tool	n_papers	pct	2020	2021	2022	2023	2024	2025	2026
bio_cancer	2766	38.2	244	332	309	345	550	675	311
bio_DE_signature	952	13.2	78	105	105	122	166	266	110
bio_immunotherapy	521	7.2	20	33	47	63	121	175	62
bio_classify_patient	465	6.4	27	38	43	82	95	132	48
bio_HLA	111	1.5	10	15	8	15	18	25	20
bio_immune_evasion	81	1.1	4	5	5	5	11	39	12
likely_bulk	68	0.9	1	5	10	7	13	25	7
bio_MHC	62	0.9	9	3	5	3	16	15	11
likely_scrna	41	0.6	0	3	1	5	12	16	4
ds_limma	31	0.4	0	3	3	3	7	14	1
ds_Seurat	26	0.4	0	2	0	4	9	11	0
ds_DESeq2	24	0.3	1	0	5	2	5	9	2
ann_Ensembl	12	0.2	2	2	1	0	4	1	2
ds_edgeR	10	0.1	0	2	2	0	3	2	1
ann_GENCODE	10	0.1	0	1	2	1	3	3	0
ann_RefSeq	10	0.1	1	0	2	2	2	2	1
ds_Monocle	10	0.1	0	0	0	0	2	6	2
proc_spike	7	0.1	1	0	0	1	2	1	2
bio_pseudogene	6	0.1	1	2	2	0	0	1	0
bio_multimapper_note	6	0.1	0	1	0	0	2	1	2
ds_Harmony	6	0.1	0	0	0	1	2	2	1
ref_GRCh38	5	0.1	0	0	1	0	0	2	2
ann_UCSC	5	0.1	0	0	1	1	2	1	0
proc_MANE	4	0.1	0	0	0	1	1	2	0
ds_scVI	4	0.1	0	1	0	2	1	0	0
ref_T2T	4	0.1	0	0	0	0	0	3	1
aln_Salmon	3	0.0	0	0	1	0	0	1	1
cnt_featureCounts	3	0.0	0	0	0	0	0	2	1
aln_STAR	3	0.0	0	0	0	1	0	0	2
ds_Scanpy	2	0.0	0	1	1	0	0	0	0
proc_filter_mt	2	0.0	0	0	0	0	0	2	0
aln_CellRanger	2	0.0	0	0	0	0	0	1	1
cnt_StringTie	2	0.0	0	0	1	0	0	1	0
aln_HISAT2	2	0.0	0	0	1	1	0	0	0
ref_GRCh37	2	0.0	0	0	0	0	2	0	0
proc_ERCC	1	0.0	0	0	0	0	0	0	1
aln_kallisto	1	0.0	0	0	0	1	0	0	0
aln_TopHat	1	0.0	0	0	0	0	0	1	0
cnt_RSEM	1	0.0	0	0	0	0	1	0	0
