doi	pmcid	year	journal	combo	multi_risk	likely_scrna	likely_bulk	bio_HLA	bio_MHC	bio_cancer	bio_immune_evasion	bio_DE_signature	bio_classify_patient	bio_immunotherapy	bio_pseudogene	github_links
10.1016/j.cels.2020.06.008		2020	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2023.03.008		2023	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	False	False	False	
10.1016/j.cels.2024.01.004		2024	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2022.10.005		2022	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2024.12.002		2024	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101261		2025	Cell Systems	(none detected)	unknown	False	False	False	False	True	True	False	False	False	False	
10.1016/j.cels.2020.06.013		2020	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	False	False	False	
10.1016/j.cels.2023.06.003		2023	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	False	False	False	
10.1016/j.cels.2021.04.004		2021	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	True	False	False	
10.1016/j.cels.2024.06.005		2024	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2024.11.001		2024	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	False	False	False	
10.1016/j.cels.2024.08.005		2024	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101204		2025	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101487		2026	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101264		2025	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101301		2025	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101488		2026	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2026.101570		2026	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101235		2025	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2025.101294		2025	Cell Systems	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1016/j.cels.2026.101594		2026	Cell Systems	(none detected)	unknown	False	False	False	False	True	False	False	True	False	False	
10.1186/s13059-020-1950-6		2020	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-020-02252-4		2021	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-021-02362-7		2021	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-022-02648-4		2022	Genome Biology	DESeq2 + edgeR + limma	unknown	False	True	False	False	False	False	True	False	False	False	
10.1186/s13059-021-02533-6		2021	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-020-02210-0		2020	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-020-02064-6		2020	Genome Biology	(none detected)	unknown	False	False	False	False	True	False	False	False	True	False	
10.1186/s13059-021-02525-6		2021	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-022-02677-z		2022	Genome Biology	(none detected)	unknown	False	False	False	False	True	False	False	True	True	False	
10.1186/s13059-021-02599-2		2022	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
10.1186/s13059-022-02811-x		2022	Genome Biology	(none detected)	unknown	False	False	False	False	False	False	False	False	False	False	
