transcript_id	gene_symbol	gene_family	n_conditions	n_MANE_higher	n_CDS_higher	n_equal	n_CDS_zero	frac_MANE_higher	frac_CDS_higher	frac_CDS_zero	median_ratio_mane_over_cds	median_tpm_mane	median_tpm_cds	classification
ENST00000000412.8	M6PR		22	0	0	0	22	0.0	0.0	1.0	NA	51.2902	0.0	no_CDS_signal
ENST00000005257.7	RALA		22	0	0	0	22	0.0	0.0	1.0	NA	50.8026	0.0	no_CDS_signal
ENST00000005259.9	BCAP29		22	0	0	0	22	0.0	0.0	1.0	NA	50.8556	0.0	no_CDS_signal
ENST00000008527.10	CRY1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5845	0.0	no_CDS_signal
ENST00000009041.12	STARD3NL		22	0	0	0	22	0.0	0.0	1.0	NA	51.4576	0.0	no_CDS_signal
ENST00000009180.10	CD9		22	0	0	0	22	0.0	0.0	1.0	NA	52.9261	0.0	no_CDS_signal
ENST00000011691.6	SS18L2		22	0	0	0	22	0.0	0.0	1.0	NA	50.8143	0.0	no_CDS_signal
ENST00000011898.10	TSPAN9		22	0	0	0	22	0.0	0.0	1.0	NA	50.3492	0.0	no_CDS_signal
ENST00000020673.6	PSD		22	0	0	0	22	0.0	0.0	1.0	NA	50.5685	0.0	no_CDS_signal
ENST00000022615.9	VDAC3		22	0	0	0	22	0.0	0.0	1.0	NA	52.4801	0.0	no_CDS_signal
ENST00000023064.9	SLC7A9		22	0	0	0	22	0.0	0.0	1.0	NA	51.4582	0.0	no_CDS_signal
ENST00000025301.4	AKAP11		22	0	0	0	22	0.0	0.0	1.0	NA	51.5911	0.0	no_CDS_signal
ENST00000039007.5	OTC		22	0	0	0	22	0.0	0.0	1.0	NA	51.4556	0.0	no_CDS_signal
ENST00000044462.12	PSMA4		22	0	0	0	22	0.0	0.0	1.0	NA	50.0033	0.0	no_CDS_signal
ENST00000052754.10	DCN		22	0	0	0	22	0.0	0.0	1.0	NA	49.9639	0.0	no_CDS_signal
ENST00000064780.7	RELT		22	0	0	0	22	0.0	0.0	1.0	NA	51.5478	0.0	no_CDS_signal
ENST00000155093.8	ZFY		22	0	0	0	22	0.0	0.0	1.0	NA	51.5888	0.0	no_CDS_signal
ENST00000159111.9	KDM4B		22	0	0	0	22	0.0	0.0	1.0	NA	51.5702	0.0	no_CDS_signal
ENST00000161863.9	YTHDC2		22	0	0	0	22	0.0	0.0	1.0	NA	51.5708	0.0	no_CDS_signal
ENST00000162391.8	FOXJ2		22	0	0	0	22	0.0	0.0	1.0	NA	50.2202	0.0	no_CDS_signal
ENST00000164133.7	PPP2R5B		22	0	0	0	22	0.0	0.0	1.0	NA	50.7712	0.0	no_CDS_signal
ENST00000168148.8	SPP2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4458	0.0	no_CDS_signal
ENST00000169298.8	ST6GAL1		22	0	0	0	22	0.0	0.0	1.0	NA	50.2563	0.0	no_CDS_signal
ENST00000171111.10	KEAP1		22	0	0	0	22	0.0	0.0	1.0	NA	50.962	0.0	no_CDS_signal
ENST00000173898.12	TRO		22	0	0	0	22	0.0	0.0	1.0	NA	51.5499	0.0	no_CDS_signal
ENST00000176643.11	ALDH3A2		22	0	0	0	22	0.0	0.0	1.0	NA	50.7319	0.0	no_CDS_signal
ENST00000190983.5	CCN5		22	0	0	0	22	0.0	0.0	1.0	NA	51.4746	0.0	no_CDS_signal
ENST00000198536.7	PILRA		22	0	0	0	22	0.0	0.0	1.0	NA	50.6004	0.0	no_CDS_signal
ENST00000202834.12	TMEM230		22	0	0	0	22	0.0	0.0	1.0	NA	51.4656	0.0	no_CDS_signal
ENST00000202967.4	SIRT4		22	0	0	0	22	0.0	0.0	1.0	NA	51.4733	0.0	no_CDS_signal
ENST00000203630.10	MLF2		22	0	0	0	22	0.0	0.0	1.0	NA	51.4561	0.0	no_CDS_signal
ENST00000204566.7	SPG21		22	0	0	0	22	0.0	0.0	1.0	NA	51.4585	0.0	no_CDS_signal
ENST00000206249.8	ESR1		22	0	0	0	22	0.0	0.0	1.0	NA	50.0101	0.0	no_CDS_signal
