read_dir	read_source	mode	read_len_bp	index	n_processed	n_pseudoaligned	p_pseudoaligned	n_unique	p_unique
mappability_MANE_RNA_PE	MANE_RNA	PE	100	MANE	70083967	70083558	100.0	67239860	95.9
mappability_MANE_RNA_PE	MANE_RNA	PE	100	dedup_CDS	70083967	35499603	50.7	9681136	13.8
mappability_MANE_RNA_PE_L150bp	MANE_RNA	PE	150	MANE	69113371	69112958	100.0	66557870	96.3
mappability_MANE_RNA_PE_L150bp	MANE_RNA	PE	150	dedup_CDS	69113371	36060342	52.2	10213929	14.8
mappability_MANE_RNA_PE_L200bp	MANE_RNA	PE	200	MANE	68143650	68143222	100.0	65792322	96.5
mappability_MANE_RNA_PE_L200bp	MANE_RNA	PE	200	dedup_CDS	68143650	36402191	53.4	10629434	15.6
mappability_MANE_RNA_PE_L75bp	MANE_RNA	PE	75	MANE	70569649	70569272	100.0	67508738	95.7
mappability_MANE_RNA_PE_L75bp	MANE_RNA	PE	75	dedup_CDS	70569649	35089725	49.7	9331477	13.2
mappability_MANE_RNA_SE	MANE_RNA	SE	100	MANE	70083967	70064989	100.0	67222645	95.9
mappability_MANE_RNA_SE	MANE_RNA	SE	100	dedup_CDS	70083967	34184181	48.8	9201170	13.1
mappability_MANE_RNA_SE_L150bp	MANE_RNA	SE	150	MANE	69113371	69094288	100.0	66540394	96.3
mappability_MANE_RNA_SE_L150bp	MANE_RNA	SE	150	dedup_CDS	69113371	33834751	49.0	9383002	13.6
mappability_MANE_RNA_SE_L200bp	MANE_RNA	SE	200	MANE	68143650	68124511	100.0	65774729	96.5
mappability_MANE_RNA_SE_L200bp	MANE_RNA	SE	200	dedup_CDS	68143650	33303173	48.9	9452426	13.9
mappability_MANE_RNA_SE_L75bp	MANE_RNA	SE	75	MANE	70569649	70550800	100.0	67491732	95.6
mappability_MANE_RNA_SE_L75bp	MANE_RNA	SE	75	dedup_CDS	70569649	34236444	48.5	9022393	12.8
mappability_MANE_exonflank_PE	exon-flank	PE	100	MANE	71982249	71879952	99.9	68975341	95.8
mappability_MANE_exonflank_PE	exon-flank	PE	100	dedup_CDS	71982249	35504720	49.3	9932253	13.8
mappability_MANE_exonflank_PE_L150bp	exon-flank	PE	150	MANE	61872769	61792610	99.9	59490825	96.2
mappability_MANE_exonflank_PE_L150bp	exon-flank	PE	150	dedup_CDS	61872769	27469422	44.4	8613362	13.9
mappability_MANE_exonflank_PE_L75bp	exon-flank	PE	75	MANE	77083924	74988139	97.3	71754268	93.1
mappability_MANE_exonflank_PE_L75bp	exon-flank	PE	75	dedup_CDS	77083924	37770391	49.0	10112726	13.1
mappability_MANE_exonflank_SE	exon-flank	SE	100	MANE	71982249	70953823	98.6	68073147	94.6
mappability_MANE_exonflank_SE	exon-flank	SE	100	dedup_CDS	71982249	34224403	47.5	9418338	13.1
mappability_MANE_exonflank_SE_L150bp	exon-flank	SE	150	MANE	61872769	60924277	98.5	58643919	94.8
mappability_MANE_exonflank_SE_L150bp	exon-flank	SE	150	dedup_CDS	61872769	25639182	41.4	7864842	12.7
mappability_MANE_exonflank_SE_L75bp	exon-flank	SE	75	MANE	77083924	74168107	96.2	70956692	92.1
mappability_MANE_exonflank_SE_L75bp	exon-flank	SE	75	dedup_CDS	77083924	36906890	47.9	9765509	12.7
mappability_dedup_cds_reads_PE	CDS_reads	PE	100	MANE	189496232	186390397	98.4	179615791	94.8
mappability_dedup_cds_reads_PE	CDS_reads	PE	100	dedup_CDS	189496232	189496232	100.0	10833204	5.7
mappability_dedup_cds_reads_PE_L150bp	CDS_reads	PE	150	MANE	184851746	182539941	98.7	176428419	95.4
mappability_dedup_cds_reads_PE_L150bp	CDS_reads	PE	150	dedup_CDS	184851746	184851746	100.0	11214862	6.1
mappability_dedup_cds_reads_PE_L200bp	CDS_reads	PE	200	MANE	180213271	178303381	98.9	172647530	95.8
mappability_dedup_cds_reads_PE_L200bp	CDS_reads	PE	200	dedup_CDS	180213271	180213271	100.0	11503689	6.4
mappability_dedup_cds_reads_PE_L75bp	CDS_reads	PE	75	MANE	191819324	188052006	98.0	180793554	94.3
mappability_dedup_cds_reads_PE_L75bp	CDS_reads	PE	75	dedup_CDS	191819324	191819318	100.0	10591158	5.5
mappability_dedup_cds_reads_SE	CDS_reads	SE	100	MANE	189496232	186412482	98.4	179636809	94.8
mappability_dedup_cds_reads_SE	CDS_reads	SE	100	dedup_CDS	189496232	189407236	100.0	10815596	5.7
mappability_dedup_cds_reads_SE_L150bp	CDS_reads	SE	150	MANE	184851746	182600941	98.8	176487347	95.5
mappability_dedup_cds_reads_SE_L150bp	CDS_reads	SE	150	dedup_CDS	184851746	184761226	100.0	11195310	6.1
mappability_dedup_cds_reads_SE_L200bp	CDS_reads	SE	200	MANE	180213271	178391076	99.0	172731561	95.8
mappability_dedup_cds_reads_SE_L200bp	CDS_reads	SE	200	dedup_CDS	180213271	180122259	99.9	11482756	6.4
mappability_dedup_cds_reads_SE_L75bp	CDS_reads	SE	75	MANE	191819324	188059364	98.0	180800243	94.3
mappability_dedup_cds_reads_SE_L75bp	CDS_reads	SE	75	dedup_CDS	191819324	191731110	100.0	10574498	5.5
