script	reference	read_source	mode	read_len_bp	alignIntronMax1	n_total	tr_too_short	n_transcripts	mean_f	f_eq_1	f_ge_0.90	f_0.10_to_0.90	f_lt_0.10	f_eq_0
v1_a	full genome	exon-flank	PE	100	no	19437	64	19373	0.8985	15002	16910	2887	1484	1125
v1_b	full genome	exon-flank	SE	100	no	19437	64	19373	0.8982	14959	16896	2927	1487	1127
v1_c	full genome	MANE RNA	SE	100	no	19437	14	19423	0.892	12616	16735	5264	1543	1158
v1_d	full genome	MANE RNA	PE	100	no	19437	14	19423	0.8933	12668	16809	5214	1541	1152
v2_a	dedup CDS	exon-flank	PE	100	no	19437	64	19373	0.16	0	181	7364	12009	2616
v2_b	dedup CDS	exon-flank	SE	100	no	19437	64	19373	0.1596	0	179	7384	11989	3628
v2_c	dedup CDS	MANE RNA	SE	100	no	19437	14	19423	0.1955	199	579	8029	11195	5138
v2_d	dedup CDS	MANE RNA	SE	100	yes	19437	14	19423	0.1956	199	579	8034	11190	5156
v2_e	dedup CDS	MANE RNA	PE	100	no	19437	14	19423	0.1931	200	580	7893	11330	5254
v2_f	dedup CDS	exon-flank	PE	75	no	19437	64	19373	0.1576	0	158	7403	11970	2286
v2_g	dedup CDS	exon-flank	SE	75	no	19437	64	19373	0.1578	0	159	7413	11960	3236
v2_h	dedup CDS	exon-flank	PE	150	no	19437	65	19372	0.167	180	295	7247	11945	3971
v2_i	dedup CDS	exon-flank	SE	150	no	19437	65	19372	0.1641	179	294	7106	12087	4839
v2_j	dedup CDS	MANE RNA	SE	75	no	19437	6	19431	0.1928	193	504	7902	11336	4986
v2_k	dedup CDS	MANE RNA	PE	75	no	19437	6	19431	0.1915	192	495	7844	11395	5035
v2_l	dedup CDS	MANE RNA	SE	150	no	19437	35	19402	0.2016	257	722	8217	10928	5404
v2_m	dedup CDS	MANE RNA	PE	150	no	19437	35	19402	0.2006	258	723	8172	10972	5864
v2_n	dedup CDS	MANE RNA	SE	200	no	19437	49	19388	0.2093	377	813	8401	10610	5760
v2_o	dedup CDS	MANE RNA	PE	200	no	19437	49	19388	0.2095	377	812	8410	10601	5774
v3_a	full genome	exon-flank	PE	75	no	19437	64	19373	0.8928	12958	16682	4851	1564	1132
v3_b	full genome	exon-flank	SE	75	no	19437	64	19373	0.8923	12894	16662	4910	1569	1135
v3_c	full genome	MANE RNA	SE	75	no	19437	6	19431	0.8861	10978	16537	6832	1621	1146
v3_d	full genome	MANE RNA	PE	75	no	19437	6	19431	0.8877	11043	16614	6777	1611	1140
v4_a	full genome	exon-flank	PE	150	no	19437	65	19372	0.9045	16299	17129	1664	1409	1122
v4_b	full genome	exon-flank	SE	150	no	19437	65	19372	0.9043	16286	17127	1671	1415	1123
v4_c	full genome	MANE RNA	SE	150	no	19437	35	19402	0.8987	13700	16963	4250	1452	1169
v4_d	full genome	MANE RNA	PE	150	no	19437	35	19402	0.8994	13740	17013	4215	1447	1159
v5_a	MANE ref	MANE RNA	SE	100	no	19437	14	19423	0.9515	16558	17702	2497	368	164
v5_b	MANE ref	exon-flank	PE	100	no	19437	64	19373	0.6905	3	3055	18965	405	81
v5_c	MANE ref	MANE RNA	SE	75	no	19437	6	19431	0.9469	15514	17548	3509	408	173
v5_d	MANE ref	MANE RNA	SE	200	no	19437	49	19388	0.9612	17403	18001	1691	294	141
v5_e	MANE ref	MANE RNA	SE	150	no	19437	35	19402	0.9574	17109	17888	1971	322	149
v5_f	MANE ref	MANE RNA	PE	75	no	19437	6	19431	0.9461	0	17545	19030	401	77
v5_g	MANE ref	MANE RNA	PE	100	no	19437	14	19423	0.9505	0	17696	19055	368	80
v5_h	MANE ref	MANE RNA	PE	150	no	19437	35	19402	0.9563	1	17883	19079	322	86
v5_i	MANE ref	MANE RNA	PE	200	no	19437	49	19388	0.9601	2	17998	19094	292	73
v5_j	MANE ref	exon-flank	SE	75	no	19437	64	19373	0.7374	1	3615	18978	394	50
v5_k	MANE ref	exon-flank	SE	100	no	19437	64	19373	0.721	4	3595	18988	381	59
v5_l	MANE ref	exon-flank	SE	150	no	19437	65	19372	0.7062	8	4027	18917	447	147
v5_m	MANE ref	exon-flank	PE	75	no	19437	64	19373	0.7057	1	3040	18965	407	64
v5_n	MANE ref	exon-flank	PE	150	no	19437	65	19372	0.6828	5	3598	18867	500	163
v6_a	full genome	MANE RNA	SE	200	no	19437	49	19388	0.9027	14151	17074	3838	1399	1167
v6_b	full genome	MANE RNA	PE	200	no	19437	49	19388	0.9031	14123	17096	3865	1400	1153
v8_a	full genome	MANE RNA proper	PE	150	no	19437	80	19357	0.9068	14407	17148	3604	1346	1166
v8_b	dedup CDS	MANE RNA proper	PE	150	no	19437	80	19357	0.2242	535	986	8903	9919	5447
v8_c	MANE ref	MANE RNA proper	PE	150	yes	19437	80	19357	0.9663	17621	18161	1479	257	131
