script,read_len_bp,reference,read_source,flanks,mode,alignIntronMax1,results_subdir,output_tsv
v1_a,100,Full genome + alt loci,Genomic exon ± 50 bp,Yes,PE,No,results/mappability_genomic,transcript_uniqueness_factors_genomic_L100bp.tsv
v1_b,100,Full genome + alt loci,Genomic exon ± 50 bp,Yes,SE,No,results/mappability_genomic_SE,transcript_uniqueness_factors_genomic_SE_L100bp.tsv
v1_c,100,Full genome + alt loci,MANE spliced RNA,No,SE,No,results/mappability_genomic_RNA_SE,transcript_uniqueness_factors_genomic_RNA_SE_L100bp.tsv
v2_a,100,Dedup CDS,Genomic exon ± 50 bp,Yes,PE,No,results/mappability_dedup_cds_PE_flank,transcript_uniqueness_factors_dedup_cds_PE_flank_L100bp.tsv
v2_b,100,Dedup CDS,Genomic exon ± 50 bp,Yes,SE,No,results/mappability_dedup_cds_SE_flank,transcript_uniqueness_factors_dedup_cds_SE_flank_L100bp.tsv
v2_c,100,Dedup CDS,MANE spliced RNA,No,SE,No,results/mappability_dedup_cds,transcript_uniqueness_factors_dedup_cds_L100bp.tsv
v2_d,100,Dedup CDS,MANE spliced RNA,No,SE,Yes,results/mappability_dedup_cds_alignIntronMax1,transcript_uniqueness_factors_dedup_cds_alignIntronMax1_L100bp.tsv
v3_a,75,Full genome + alt loci,Genomic exon ± 50 bp,Yes,PE,No,results/mappability_genomic_L75bp,transcript_uniqueness_factors_genomic_L75bp.tsv
v4_a,150,Full genome + alt loci,Genomic exon ± 50 bp,Yes,PE,No,results/mappability_genomic_L150bp,transcript_uniqueness_factors_genomic_L150bp.tsv
v5_a,100,MANE transcriptome,MANE spliced RNA,No,SE,Yes,results/mappability_MANE_RNA_SE,transcript_uniqueness_factors_MANE_RNA_SE_L100bp.tsv
v5_b,100,MANE transcriptome,Genomic exon ± 50 bp,Yes,PE,Yes,results/mappability_MANE_exonflank_PE,transcript_uniqueness_factors_MANE_exonflank_PE_L100bp.tsv
v5_c,75,MANE transcriptome,MANE spliced RNA,No,SE,Yes,results/mappability_MANE_RNA_SE_L75bp,transcript_uniqueness_factors_MANE_RNA_SE_L75bp.tsv
v5_d,200,MANE transcriptome,MANE spliced RNA,No,SE,Yes,results/mappability_MANE_RNA_SE_L200bp,transcript_uniqueness_factors_MANE_RNA_SE_L200bp.tsv
v1_d,100,Full genome + alt loci,MANE spliced RNA,No,PE,No,results/mappability_genomic_RNA_PE,transcript_uniqueness_factors_genomic_RNA_PE.tsv
v3_b,75,Full genome + alt loci,Genomic exon ± 50 bp,Yes,SE,No,results/mappability_genomic_SE_L75bp,transcript_uniqueness_factors_genomic_SE_L75bp.tsv
v3_c,75,Full genome + alt loci,MANE spliced RNA,No,SE,No,results/mappability_genomic_RNA_SE_L75bp,transcript_uniqueness_factors_genomic_RNA_SE_L75bp.tsv
v3_d,75,Full genome + alt loci,MANE spliced RNA,No,PE,No,results/mappability_genomic_RNA_PE_L75bp,transcript_uniqueness_factors_genomic_RNA_PE_L75bp.tsv
v4_b,150,Full genome + alt loci,Genomic exon ± 50 bp,Yes,SE,No,results/mappability_genomic_SE_L150bp,transcript_uniqueness_factors_genomic_SE_L150bp.tsv
v4_c,150,Full genome + alt loci,MANE spliced RNA,No,SE,No,results/mappability_genomic_RNA_SE_L150bp,transcript_uniqueness_factors_genomic_RNA_SE_L150bp.tsv
v4_d,150,Full genome + alt loci,MANE spliced RNA,No,PE,No,results/mappability_genomic_RNA_PE_L150bp,transcript_uniqueness_factors_genomic_RNA_PE_L150bp.tsv
v6_a,200,Full genome + alt loci,MANE spliced RNA,No,SE,No,results/mappability_genomic_RNA_SE_L200bp,transcript_uniqueness_factors_genomic_RNA_SE_L200bp.tsv
v6_b,200,Full genome + alt loci,MANE spliced RNA,No,PE,No,results/mappability_genomic_RNA_PE_L200bp,transcript_uniqueness_factors_genomic_RNA_PE_L200bp.tsv
v2_e,100,Dedup CDS,MANE spliced RNA,No,PE,No,results/mappability_dedup_cds_RNA_PE,transcript_uniqueness_factors_dedup_cds_RNA_PE.tsv
v2_f,75,Dedup CDS,Genomic exon ± 50 bp,Yes,PE,No,results/mappability_dedup_cds_PE_flank_L75bp,transcript_uniqueness_factors_dedup_cds_PE_flank_L75bp.tsv
