database	cell_type	n_markers	n_markers_in_uf	n_markers_affected	frac_affected	affected_markers
CellMarker2	Natural killer T (NKT) cell	4757	4643	4643	1.0	AAGAB;AAK1;AAMP;AASDHPPT;AATF;ABCA5;ABCA7;ABCB1;ABCB7;ABCE1;ABCF1;ABCF2;ABHD14B;ABHD15;ABHD17A;ABHD17B;ABHD2;ABHD3;ABI1;ABI3;ABLIM1;ABRACL;ABT1;ABTB1;ACAA1;ACAA2;ACAD8;ACADM;ACADSB;ACADVL;ACAP1;ACAP2;ACAT1;ACAT2;ACBD3;ACBD6;ACD;ACIN1;ACLY;ACO2;ACOT2;ACOT4;ACOX1;ACP1;ACSS1;ACTG1;ACTN4;ACTR10;ACTR1A;ACTR1B;ACTR2;ACTR3;ACYP2;ADA;ADAM10;ADAM12;ADAM8;ADAR;ADD1;ADD3;ADGRD2;ADGRE5;ADGRG1;ADGRG3;ADGRG5;ADH5;ADHFE1;ADIPOR2;ADNP;ADPGK;ADRB2;ADRM1;ADSS2;ADTRP;AFG3L2;AGAP2;AGGF1;AGK;AGMAT;AGO2;AGO3;AGPAT4;A
CellMarker2	Meiotic prophase fetal germ cell	1118	1064	1064	1.0	AAGAB;AASS;ABCA5;ABCC9;ABHD5;ACBD3;ACER3;ACSS2;ACTR3;ACVR2A;ADAD1;ADAD2;ADARB1;ADD1;ADGRG6;ADGRL2;ADNP2;ADSS1;ADSS2;AFTPH;AGBL4;AGO3;AGPS;AJUBA;AK1;AK3;AK7;AK9;ALDH1A2;ALDH3A2;ALG13;ANKIB1;ANKRD12;ANKRD28;ANKRD31;ANKRD36;ANKRD42;ANKRD50;ANKRD62;ANKRD7;AP1S2;APIP;ARFGAP3;ARFRP1;ARHGAP20;ARHGAP21;ARHGAP5;ARHGAP9;ARID2;ARID4B;ARIH2;ARL1;ARL4A;ARL6;ARMC8;ARPC5;ART3;ARV1;ASAP1;ASF1B;ASH1L;ASZ1;ATAD2B;ATF1;ATF7IP2;ATL1;ATP11B;ATP6AP1;ATPAF2;AURKC;B2M;B3GALNT2;BAZ1A;BBIP1;BBOF1;BBS10;BBS4;BBS7;BCAP29;B
CellMarker2	SLC16A7+ cell	1172	1021	1021	1.0	AAK1;AARD;AASDH;ABCA13;ABCA5;ABCA9;ABCC6;ABCC9;ABCF3;ABHD15;ABHD18;ABI2;ABL2;ACBD7;ACER3;ACIN1;ACKR4;ACP7;ACSL6;ACSS3;ADAM17;ADAMTS2;ADAR;ADAT1;ADCY1;ADGB;ADPRS;AFDN;AGAP6;AGBL2;AGER;AGMAT;AIPL1;AIRE;AK3;AKAP8;AKAP9;AKR1D1;ALG1;ALKBH4;ALPK1;ALS2;ANAPC4;ANGPT2;ANKIB1;ANKK1;ANKLE1;ANKRD11;ANKRD16;ANKRD18A;ANKRD36;ANKRD36B;ANKRD40CL;ANKRD45;ANKRD62;ANKS6;AOPEP;AP1S3;AP4S1;AP5B1;APOL6;ARAP1;ARFGEF3;ARFIP2;ARGFX;ARGLU1;ARHGAP32;ARHGAP8;ARHGEF4;ARID4B;ARL11;ARL16;ARL17A;ARMC9;ARMH1;ASB11;ATAD3C;ATCAY;
CellMarker2	Mitotic arrest phase fetal germ cell	1006	973	973	1.0	AADAT;ABCA3;ABCA5;ABCC1;ABCC9;ABCG2;ABHD10;ABLIM1;ACOT4;ACSL1;ACSS2;ACTL8;ACVR2A;ADA;ADAD1;ADAD2;ADGRG6;AFF3;AGAP3;AGBL5;AGGF1;AGMO;AK9;AKT3;ALDH1A2;ALKAL2;ALKBH5;AMPH;ANGPTL4;ANKRD27;ANKRD31;ANKRD42;ANKRD50;ANO10;ANXA11;ANXA2;AP1AR;AP3D1;APBA2;APPBP2;AREG;AREL1;ARHGAP17;ARHGAP20;ARHGAP21;ARHGAP35;ARHGAP39;ARHGEF19;ARHGEF26;ARHGEF33;ARID3B;ARL4A;ARL6IP4;ARRDC3;ARRDC4;ART3;ASAP1;ASCC1;ASNS;ASPH;ASZ1;ATG4B;ATP1B1;ATP6V0C;ATP6V1C1;ATP9A;AURKC;B3GALNT1;B4GALT2;B4GALT3;B4GALT6;BAG6;BAIAP2;BAIAP2L1;BA
CellMarker2	Monocyte	927	900	900	1.0	ABTB1;ACAA1;ACAP2;ACOD1;ACP3;ACSL1;ACSL3;ACTN1;ACTR2;ADAM17;ADAM8;ADAP2;ADGRE1;ADGRE2;ADGRE3;ADM;AGFG1;AGPAT2;AGTRAP;AHNAK;AHR;AIF1;AIMP1;AKIRIN2;ALDH2;ALDH3B1;ALDOA;ALOX5;ALOX5AP;ANKLE2;ANKRD13D;ANPEP;ANXA1;ANXA11;ANXA2;ANXA5;AP1S2;APLP2;APOBEC3A;APOBEC3B;APOBR;APOE;AQP9;ARF5;ARHGAP26;ARHGDIB;ARL5B;ARMH1;ARPC1B;ARPC2;ARPC3;ARPC5;ARRB2;ARRDC1;ASAH1;ASGR1;ASGR2;ATF1;ATG16L2;ATG3;ATOX1;ATP11A;ATP13A3;ATP2B1;ATP5MF;ATP5MG;ATP5MJ;ATP6AP2;ATP6V0B;ATP6V0D1;ATP6V0E1;ATP6V1B2;ATXN1;ATXN7L3;AUP1;AZI2;B3G
CellMarker2	Oogenesis phase fetal germ cell	902	863	863	1.0	AAK1;ABCB4;ABCC1;ABCC4;ABCD3;ABHD12B;ABHD2;ABLIM1;ABLIM2;ACAT1;ACE2;ACO1;ACOT2;ACOT4;ACTL8;ACYP2;ADA;ADAD1;ADAMTS17;ADARB2;ADCY5;ADCY9;ADGRG6;ADI1;ADSS2;AFF1;AGGF1;AGO2;AGTRAP;AK1;AKR1B1;AKT3;ALDH1A2;ALDH5A1;ALKBH2;AMBP;AMOT;ANK3;ANKRD45;ANKRD46;ANKS4B;ANO10;ANXA11;ANXA7;APBA1;ARAP2;ARFIP2;ARG2;ARHGAP10;ARHGAP15;ARHGAP18;ARHGAP45;ARHGEF33;ARID4A;ARL6IP4;ARMC1;ARMC2;ARMC8;ASGR2;ASPH;ATAD3C;ATG7;ATP2C2;ATP6V1C1;ATP9A;ATXN7;AURKC;AVEN;B3GALNT1;B3GNT2;B3GNT4;B4GALT6;BAALC;BAIAP2;BAIAP2L1;BAZ1A;BBS9;
CellMarker2	B cell	875	819	819	1.0	ABCB4;ABCB9;ABHD10;ACAD10;ACBD3;ACP5;ACSM2A;ACSM2B;ACSM3;ADAM19;ADAM28;ADGRE5;ADNP;AFF3;AFF4;AHCYL1;AHNAK;AICDA;AIDA;AIM2;AKAP12;AKAP8L;AKR1C1;ALG14;ALG8;ALKBH7;ALPL;AMN1;AMT;ANAPC5;ANK2;ANKHD1;ANKRD13A;ANKRD44;AP1B1;AP1S3;APOM;APPL1;AQP7;ARHGAP24;ARID1A;ARID5B;ARL3;ARPP21;ARSA;ASB13;ASB15;ATF7IP2;ATG101;ATP2A3;ATP2B1;ATP6V0A1;ATRX;AVP;B2M;B3GALT6;BACH2;BAK1;BANK1;BASP1;BCAS4;BCL11A;BCL11B;BCL2;BCL2A1;BCL2L11;BCL6;BCL7A;BCR;BEND5;BET1L;BHLHE41;BICD1;BIRC3;BLK;BLNK;BMP2K;BMP8B;BST1;BST2;BTK;BTLA;
CellMarker2	Microglial cell	788	770	770	1.0	A1BG;A2M;ABCG2;ABHD12;ABI3;ACACA;ACD;ACTB;ACTR2;ACTR3B;ACY3;ADA2;ADAM28;ADAM8;ADAM9;ADAMTS13;ADAP2;ADGRG1;ADORA3;ADRB2;ADSS1;AIF1;ALDOA;ALOX5;ALOX5AP;ANK1;ANXA11;ANXA3;ANXA4;ANXA5;AOAH;AP1B1;APBB1IP;APBB2;APLP2;APOC1;APOC4;APOE;APPL2;AQP6;ARHGAP12;ARHGAP4;ARHGAP9;ARHGDIB;ARPC1B;ARRB2;ARRDC4;ARSA;ASAH1;ASPH;ASTN1;ATAT1;ATF3;ATM;ATOH8;ATOX1;ATP1A3;ATP1B3;ATP6V0C;ATP6V0D2;ATP6V0E1;ATP8B4;AXL;B2M;B3GNT5;BAIAP2L2;BAMBI;BCL11A;BCL2A1;BEX1;BEX3;BHLHE40;BHLHE41;BIN1;BIN2;BLNK;BLVRB;BRI3;BST2;BTG2;C12orf
CellMarker2	Mitotic fetal germ cell	690	671	671	1.0	ABCA1;ABCF3;ABHD14B;ABRACL;ACADS;ACE;ACP5;ACSL4;ACTB;ACTG2;ACTN1;ACTR1A;ADD2;ADIPOR1;AEN;AK4;AKAP1;AKAP12;AKR1A1;ALDH4A1;ALDH7A1;ALDOA;ALDOC;ALKBH4;ALPG;ALPL;ANKRD2;ANP32A;ANP32E;ANXA3;ANXA6;AP1G2;AP2M1;APBB2;APEX1;APOC1;APOE;APRT;AQP3;ARHGAP1;ARHGAP28;ARID5B;ARPC1B;ARRB1;ASH2L;ASRGL1;ASS1;ATG2A;ATIC;ATP2A3;ATP5MC1;ATP5MK;ATP6V0A4;ATP6V1B1;BABAM2;BAX;BCL7A;BFAR;BIN1;BLCAP;BNIP3;BPHL;BTF3;BTF3L4;BYSL;C14orf119;C17orf58;C1GALT1C1;C1QBP;C5orf15;CA2;CALD1;CAMKV;CAPG;CAPN13;CAPN5;CARHSP1;CASTOR2;CAVI
CellMarker2	Multilymphoid progenitor cell	597	543	543	1.0	AARS2;AARSD1;ABCA7;ABCA9;ABCG2;ACAP1;ACIN1;ADAMTS6;ADAP1;ADGRE1;ADGRL1;AFF1;AFF3;AGAP6;AGER;AIF1;AKAP17A;AKAP7;AKAP8;AMHR2;AMN1;AMPD2;AMPH;ANKRD11;ANKRD13D;ANKS3;AP2A2;ARHGAP24;ARHGAP4;ARHGAP45;ARHGAP9;ARHGEF1;ARHGEF2;ARHGEF7;ARID5B;ARMH3;ARNT2;ARPP21;ARRB2;ATAD3B;ATF7IP2;ATM;ATN1;ATP10A;ATP13A4;ATP9A;AUTS2;AVIL;BASP1;BCAS4;BCL2A1;BCL6;BDP1;BMF;BRF1;BTG1;BTN2A1;BTN3A1;C15orf39;C16orf74;C2CD2L;C5AR1;CABLES2;CABP4;CACNA1C;CADM2;CAMK2G;CAMK4;CASZ1;CAV1;CBX4;CBX7;CCDC6;CCDC85C;CCDC88B;CCDC92;CCDC9B;
CellMarker2	Endothelial cell	525	519	519	1.0	A2M;ABCB1;ABCB7;ABCC1;ABCG2;ACE;ACKR1;ACVRL1;ACYP1;ADGRE5;ADGRF5;ADGRG6;ADGRL2;ADGRL4;AEBP1;AFG1L;AGGF1;AKAP12;ALCAM;ANGPT2;ANO10;ANP32E;ANPEP;ANTXR1;ANXA2;ANXA3;AP1S2;APLN;APLNR;APOC3;APOLD1;APPBP2;AQP1;ARGLU1;ARL4A;ARL8B;ARMCX2;ATP10D;ATP1A1;B2M;BBS4;BCAR1;BCAT1;BCHE;BCL6B;BIN1;BIRC5;BMP6;BMPR1A;BMX;BNIP1;BNIP3;BRD3;BSG;BST2;BTNL9;BUB1B;BUB3;C11orf96;C22orf39;CA4;CALCRL;CARD8;CASP7;CAV1;CAVIN1;CAVIN2;CBX1;CCDC85B;CCL14;CCL2;CCL21;CCN2;CCNG1;CD14;CD151;CD160;CD209;CD24;CD248;CD274;CD320;CD34;CD
