target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3282.54	1389	9.81223
ENST00000318602.12	4610	4510.54	16606.6	85.3742
ENST00000307719.9	1799	1699.54	1703	23.2358
ENST00000286479.4	1285	1185.54	774	15.1391
ENST00000393078.5	1576	1476.54	1173	18.4216
ENST00000232892.12	1563	1463.54	2151	34.0809
ENST00000248450.9	1760	1660.54	2415	33.7243
ENST00000392492.8	971	871.544	1185	31.5286
ENST00000261772.13	3437	3337.54	4914	34.1416
ENST00000268251.13	4779	4679.54	14422	71.4657
ENST00000374736.8	10408	10308.5	6687	15.0422
ENST00000341511.11	8103	8003.54	28850	83.5871
ENST00000301732.10	6602	6502.54	5016	17.8875
ENST00000373394.8	4592	4492.54	10488.2	54.1356
ENST00000326195.13	3405	3305.54	4764	33.4199
ENST00000370225.4	7328	7228.54	13224	42.4217
ENST00000318560.6	5578	5478.54	6579	27.8465
ENST00000360937.9	2609	2509.54	4356	40.2503
ENST00000502732.6	12217	12117.5	30599	58.5556
ENST00000644422.3	6478	6378.54	966.105	3.5122
ENST00000302538.10	5395	5295.54	30345	132.878
ENST00000333167.13	1699	1599.54	4530	65.6717
ENST00000616317.5	10013	9913.54	93468	218.63
ENST00000338432.12	9368	9268.54	74541	186.492
ENST00000233710.4	2515	2415.54	3096	29.7209
ENST00000370841.9	2261	2161.54	5213	55.9242
ENST00000242592.9	1859	1759.54	2171	28.6112
ENST00000358776.7	5848	5748.54	2094	8.44685
ENST00000356839.10	2184	2084.54	15566	173.158
ENST00000265838.9	1537	1437.54	5064	81.6862
ENST00000367048.5	1520	1420.54	2137.78	34.8966
ENST00000225823.7	3750	3650.54	2547	16.1788
ENST00000447966.7	3886	3786.54	11318	69.3111
ENST00000241069.11	2172	2072.54	8599	96.21
ENST00000352035.7	4293	4193.54	13092	72.3937
ENST00000309951.8	7443	7343.54	5166.51	16.3143
ENST00000216139.10	1430	1330.54	1167	20.3384
ENST00000216254.9	2734	2634.54	2184.75	19.2297
ENST00000293217.10	7317	7217.54	8574.55	27.5485
ENST00000272065.10	1474	1374.54	888	14.9806
ENST00000672073.1	2111	2011.54	6141	70.7922
ENST00000648477.1	1381	1281.54	879	15.9049
ENST00000336375.10	3174	3074.54	5207	39.272
ENST00000533904.6	1936	1836.54	2364	29.8485
ENST00000366684.7	1491	1391.54	1035	17.2472
ENST00000224784.10	1349	1249.54	3708	68.812
ENST00000646664.1	1812	1712.54	1029	13.9332
ENST00000290378.6	1382	1282.54	2529	45.7249
ENST00000573283.7	1919	1819.54	1029	13.1138
ENST00000345517.8	1501	1401.54	1935	32.0148
ENST00000252699.7	4990	4890.54	18146.5	86.0422
