transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000436041.6	2051	0	1375	676	0.0
ENST00000617807.3	1949	0	858	1091	0.0
ENST00000337107.11	1114	0	618	496	0.0
ENST00000585245.3	786	0	471	315	0.0
ENST00000544708.3	786	0	471	315	0.0
ENST00000442621.2	1579	0	0	1579	0.0
ENST00000687189.2	946	0	0	946	0.0
ENST00000366574.7	19313	0	12602	6711	0.0
ENST00000383925.1	190	0	0	190	0.0
ENST00000384278.1	190	0	0	190	0.0
ENST00000384782.1	190	0	0	190	0.0
ENST00000384659.1	190	0	0	190	0.0
ENST00000363299.2	128	0	0	128	0.0
ENST00000362477.2	147	0	0	147	0.0
ENST00000387069.2	161	0	0	161	0.0
ENST00000506599.2	457	0	220	237	0.0
ENST00000366548.8	3865	0	2269	1596	0.0
ENST00000378295.9	5556	0	1633	3923	0.0
ENST00000375471.5	4262	0	1654	2608	0.0
ENST00000369569.6	3433	0	2018	1415	0.0
ENST00000471889.7	2730	0	2099	631	0.0
ENST00000234626.11	3527	0	1497	2030	0.0
ENST00000373062.8	2766	0	1849	917	0.0
ENST00000239462.9	5536	0	3553	1983	0.0
ENST00000374338.5	3148	0	717	2431	0.0
ENST00000623247.3	1731	0	1104	627	0.0
ENST00000358528.9	4617	0	1981	2636	0.0
ENST00000367412.2	2972	0	1705	1267	0.0
ENST00000378888.10	3695	0	1760	1935	0.0
ENST00000360851.4	5193	0	1903	3290	0.0
ENST00000372748.8	3684	0	1292	2392	0.0
ENST00000314163.12	2524	0	1046	1478	0.0
ENST00000368521.10	1860	0	612	1248	0.0
ENST00000358595.10	5282	0	1935	3347	0.0
ENST00000308105.5	1281	0	395	886	0.0
ENST00000451429.8	4298	0	2004	2294	0.0
ENST00000352967.9	2196	0	1138	1058	0.0
ENST00000368892.9	1667	0	986	681	0.0
ENST00000368013.8	4654	0	3051	1603	0.0
ENST00000354618.10	4717	0	2648	2069	0.0
ENST00000334122.5	892	0	560	332	0.0
ENST00000474796.2	3814	0	2138	1676	0.0
ENST00000367669.8	3346	0	1747	1599	0.0
ENST00000367385.9	4374	0	738	3636	0.0
ENST00000212355.9	6781	0	2194	4587	0.0
ENST00000334163.4	4167	0	1324	2843	0.0
ENST00000371833.4	1849	0	1135	714	0.0
ENST00000400809.8	3398	0	1374	2024	0.0
ENST00000620048.6	8963	0	1793	7170	0.0
ENST00000368167.8	2075	0	1041	1034	0.0
ENST00000369872.4	3859	0	693	3166	0.0
ENST00000369429.5	4250	0	1636	2614	0.0
ENST00000370589.7	3148	0	1401	1747	0.0
ENST00000367607.8	14402	0	8606	5796	0.0
ENST00000369068.5	8472	0	4140	4332	0.0
ENST00000359785.10	4153	0	1945	2208	0.0
ENST00000650070.2	3334	0	1420	1914	0.0
ENST00000356607.9	2156	0	965	1191	0.0
ENST00000366766.8	11940	0	4466	7474	0.0
ENST00000366960.8	5895	0	2868	3027	0.0
ENST00000371901.4	2568	0	1250	1318	0.0
ENST00000442510.8	6215	0	3198	3017	0.0
ENST00000367242.4	3239	0	956	2283	0.0
ENST00000375448.4	2683	0	1647	1036	0.0
ENST00000261458.8	3951	0	1347	2604	0.0
ENST00000254090.9	2565	0	1446	1119	0.0
ENST00000683666.2	2802	0	1313	1489	0.0
ENST00000375254.8	18648	0	281	18367	0.0
ENST00000359947.9	8604	0	5052	3552	0.0
ENST00000372476.8	4491	0	2899	1592	0.0
ENST00000579436.7	3955	0	1122	2833	0.0
ENST00000351829.9	1641	0	814	827	0.0
ENST00000445590.4	1833	0	404	1429	0.0
ENST00000295006.6	3912	0	1633	2279	0.0
ENST00000453943.6	1143	0	614	529	0.0
ENST00000343433.7	3703	0	1693	2010	0.0
ENST00000479191.2	799	0	193	606	0.0
ENST00000647382.2	11534	0	7995	3539	0.0
ENST00000366535.4	2893	0	1091	1802	0.0
ENST00000339381.6	3631	0	2484	1147	0.0
ENST00000356575.9	8405	0	3803	4602	0.0
ENST00000656932.1	1607	0	482	1125	0.0
ENST00000302271.11	8037	0	1721	6316	0.0
ENST00000344922.10	8854	0	5105	3749	0.0
ENST00000348159.9	6224	0	1335	4889	0.0
ENST00000429964.7	3402	0	1141	2261	0.0
ENST00000371037.9	11387	0	2001	9386	0.0
ENST00000361799.7	3432	0	1371	2061	0.0
ENST00000361170.7	7001	0	4098	2903	0.0
ENST00000271227.11	2771	0	1638	1133	0.0
ENST00000440928.6	3045	0	1154	1891	0.0
ENST00000361927.9	5491	0	1619	3872	0.0
ENST00000369489.10	1242	0	624	618	0.0
ENST00000318130.13	7357	0	2316	5041	0.0
ENST00000378466.9	3135	0	1903	1232	0.0
