target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3283.03	3390	50.3903
ENST00000318602.12	4610	4511.03	4624.01	50.0225
ENST00000307719.9	1799	1700.03	1802	51.7273
ENST00000286479.4	1285	1186.03	1287	52.9546
ENST00000393078.5	1576	1477.03	1581	52.2353
ENST00000232892.12	1563	1464.03	1568	52.2658
ENST00000248450.9	1760	1661.03	1771	52.031
ENST00000392492.8	971	872.034	975	54.5624
ENST00000261772.13	3437	3338.03	3458	50.5541
ENST00000268251.13	4779	4680.03	4795	49.9991
ENST00000374736.8	10408	10309	10458	49.5055
ENST00000341511.11	8103	8004.03	8148	49.678
ENST00000301732.10	6602	6503.03	6635	49.7906
ENST00000373394.8	4592	4493.03	4608	50.049
ENST00000326195.13	3405	3306.03	3429	50.6154
ENST00000370225.4	7328	7229.03	7378	49.8059
ENST00000318560.6	5578	5479.03	5589	49.7797
ENST00000360937.9	2609	2510.03	2614	50.8216
ENST00000502732.6	12217	12118	12229	49.2472
ENST00000644422.3	6478	6379.03	0	0
ENST00000302538.10	5395	5296.03	5417.72	49.9216
ENST00000333167.13	1699	1600.03	1608.46	49.0572
ENST00000616317.5	10013	9914.03	10044	49.44
ENST00000338432.12	9368	9269.03	9406	49.5214
ENST00000233710.4	2515	2416.03	2526	51.0214
ENST00000370841.9	2261	2162.03	2273	51.305
ENST00000242592.9	1859	1760.03	1869	51.8216
ENST00000358776.7	5848	5749.03	5841	49.5809
ENST00000356839.10	2184	2085.03	2204	51.5847
ENST00000265838.9	1537	1438.03	1532	51.9891
ENST00000367048.5	1520	1421.03	1412.84	48.5189
ENST00000225823.7	3750	3651.03	3760	50.2568
ENST00000447966.7	3886	3787.03	3898	50.2302
ENST00000241069.11	2172	2073.03	2177	51.2477
ENST00000352035.7	4293	4194.03	4322	50.2893
ENST00000309951.8	7443	7344.03	7464	49.5975
ENST00000216139.10	1430	1331.03	1435	52.6121
ENST00000216254.9	2734	2635.03	2288.16	42.3762
ENST00000293217.10	7317	7218.03	7331	49.564
ENST00000272065.10	1474	1375.03	1480	52.5256
ENST00000672073.1	2111	2012.03	2121	51.4432
ENST00000648477.1	1381	1282.03	1386	52.7577
ENST00000336375.10	3174	3075.03	3184	50.5296
ENST00000533904.6	1936	1837.03	1940	51.5356
ENST00000366684.7	1491	1392.03	1498	52.5151
ENST00000224784.10	1349	1250.03	1358	53.0152
ENST00000646664.1	1812	1713.03	1814.29	51.685
ENST00000290378.6	1382	1283.03	1379	52.4504
ENST00000573283.7	1919	1820.03	1925	51.6147
ENST00000345517.8	1501	1402.03	1510	52.5582
ENST00000252699.7	4990	4891.03	5311.47	52.9952
ENST00000429709.7	1854	1755.03	1867.77	51.9351
ENST00000394419.9	3722	3623.03	3743.78	50.4266
ENST00000366578.6	4872	4773.03	4893	50.0268
