transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000579512.3	347	0	247	100	0.0
ENST00000578186.3	347	0	247	100	0.0
ENST00000581164.2	711	0	611	100	0.0
ENST00000581138.4	711	0	611	100	0.0
ENST00000675181.1	50	0	50	0	0.0
ENST00000676334.1	14	0	0	14	0.0
ENST00000646142.1	19	0	0	19	0.0
ENST00000383925.1	115	0	15	100	0.0
ENST00000384278.1	115	0	15	100	0.0
ENST00000384782.1	115	0	15	100	0.0
ENST00000384659.1	115	0	15	100	0.0
ENST00000363299.2	53	0	0	53	0.0
ENST00000362477.2	72	0	0	72	0.0
ENST00000387069.2	86	0	0	86	0.0
ENST00000622339.5	1246	0	457	789	0.0
ENST00000330330.10	1246	0	457	789	0.0
ENST00000651669.1	164	0	0	164	0.0
ENST00000370083.9	1246	0	457	789	0.0
ENST00000369099.8	215	0	0	215	0.0
ENST00000376865.1	74	0	0	74	0.0
ENST00000580972.2	81	0	0	81	0.0
ENST00000397345.8	17280	0	6363	10917	0.0
ENST00000427231.7	17280	0	6363	10917	0.0
ENST00000677770.1	29	0	0	29	0.0
ENST00000636216.1	57	0	0	57	0.0
ENST00000304312.5	107	0	0	107	0.0
ENST00000273968.5	1213	0	1044	169	0.0
ENST00000527353.2	1213	0	1044	169	0.0
ENST00000323146.8	2537	0	2401	136	0.0
ENST00000715679.1	2537	0	2401	136	0.0
ENST00000360568.8	3812	0	3090	722	0.0
ENST00000379104.7	3818	0	3090	728	0.0
ENST00000450852.8	3365	0	2915	450	0.0
ENST00000230050.4	213	0	0	213	0.0
ENST00000439602.7	256	0	0	256	0.0
ENST00000575125.6	2508	0	2028	480	0.0
ENST00000340073.9	2508	0	2028	480	0.0
ENST00000612377.3	2508	0	2028	480	0.0
ENST00000651045.3	2508	0	2028	480	0.0
ENST00000674552.1	2	0	0	2	0.0
ENST00000333385.11	2508	0	2028	480	0.0
ENST00000578372.2	2122	0	1953	169	0.0
ENST00000313324.9	2122	0	1953	169	0.0
ENST00000316169.2	183	0	75	108	0.0
ENST00000335479.2	218	0	118	100	0.0
ENST00000335186.3	238	0	118	120	0.0
ENST00000314265.3	218	0	75	143	0.0
ENST00000437818.1	142	0	47	95	0.0
ENST00000400079.1	142	0	47	95	0.0
ENST00000356346.7	13115	0	11202	1913	0.0
ENST00000382689.8	347	0	163	184	0.0
ENST00000382692.3	351	0	163	188	0.0
ENST00000674075.1	50	0	0	50	0.0
ENST00000408749.1	77	0	0	77	0.0
ENST00000361436.10	291	0	0	291	0.0
ENST00000374511.8	202	0	0	202	0.0
ENST00000452267.2	205	0	54	151	0.0
ENST00000617224.3	205	0	54	151	0.0
ENST00000302539.9	3047	0	857	2190	0.0
ENST00000389817.8	3047	0	857	2190	0.0
