gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
A1BG	ENSG00000121410.14	ENST00000263100.8	ENSP00000263100.2	NM_130786.4	1	NP_570602.2
A1CF	ENSG00000148584.18	ENST00000373997.8	ENSP00000363109.3	NM_014576.4	29974	NP_055391.2
A2M	ENSG00000175899.17	ENST00000318602.12	ENSP00000323929.8	NM_000014.6	2	NP_000005.3
A2ML1	ENSG00000166535.21	ENST00000299698.12	ENSP00000299698.7	NM_144670.6	144568	NP_653271.3
A3GALT2	ENSG00000184389.9	ENST00000442999.3	ENSP00000475261.1	NM_001080438.1	127550	NP_001073907.1
A4GALT	ENSG00000128274.19	ENST00000642412.2	ENSP00000494127.1	NM_017436.7	53947	NP_059132.1
A4GNT	ENSG00000118017.6	ENST00000236709.4	ENSP00000236709.3	NM_016161.3	51146	NP_057245.1
AAAS	ENSG00000094914.16	ENST00000209873.9	ENSP00000209873.4	NM_015665.6	8086	NP_056480.1
AACS	ENSG00000081760.19	ENST00000316519.11	ENSP00000324842.6	NM_023928.5	65985	NP_076417.2
AADAC	ENSG00000114771.16	ENST00000232892.12	ENSP00000232892.6	NM_001086.3	13	NP_001077.2
AADACL2	ENSG00000197953.6	ENST00000356517.4	ENSP00000348911.3	NM_207365.4	344752	NP_997248.2
AADACL3	ENSG00000188984.13	ENST00000359318.8	ENSP00000352268.6	NM_001103170.3	126767	NP_001096640.2
AADACL4	ENSG00000204518.3	ENST00000376221.2	ENSP00000365395.1	NM_001013630.2	343066	NP_001013652.1
AADAT	ENSG00000109576.16	ENST00000337664.9	ENSP00000336808.4	NM_016228.4	51166	NP_057312.1
AAGAB	ENSG00000103591.15	ENST00000261880.10	ENSP00000261880.5	NM_024666.5	79719	NP_078942.3
AAK1	ENSG00000115977.23	ENST00000409085.9	ENSP00000386456.3	NM_014911.5	22848	NP_055726.4
AAMDC	ENSG00000087884.18	ENST00000393427.7	ENSP00000377078.2	NM_024684.4	28971	NP_078960.1
AAMP	ENSG00000127837.12	ENST00000248450.9	ENSP00000248450.4	NM_001087.5	14	NP_001078.2
AANAT	ENSG00000129673.12	ENST00000392492.8	ENSP00000376282.2	NM_001088.3	15	NP_001079.1
AAR2	ENSG00000131043.15	ENST00000320849.9	ENSP00000313674.4	NM_001271874.2	25980	NP_001258803.1
AARD	ENSG00000205002.5	ENST00000378279.4	ENSP00000367528.3	NM_001025357.3	441376	NP_001020528.1
AARS1	ENSG00000090861.19	ENST00000261772.13	ENSP00000261772.8	NM_001605.3	16	NP_001596.2
AARS2	ENSG00000124608.7	ENST00000244571.5	ENSP00000244571.4	NM_020745.4	57505	NP_065796.2
AARSD1	ENSG00000266967.9	ENST00000427569.7	ENSP00000400870.1	NM_001261434.2	80755	NP_001248363.1
AASDH	ENSG00000157426.16	ENST00000205214.11	ENSP00000205214.6	NM_181806.4	132949	NP_861522.2
AASDHPPT	ENSG00000149313.13	ENST00000278618.9	ENSP00000278618.4	NM_015423.3	60496	NP_056238.2
AASS	ENSG00000008311.18	ENST00000417368.7	ENSP00000403768.2	NM_005763.4	10157	NP_005754.2
AATF	ENSG00000275700.8	ENST00000619387.5	ENSP00000477848.1	NM_012138.4	26574	NP_036270.1
AATK	ENSG00000181409.16	ENST00000326724.9	ENSP00000324196.4	NM_001080395.3	9625	NP_001073864.2
ABAT	ENSG00000183044.14	ENST00000268251.13	ENSP00000268251.8	NM_020686.6	18	NP_065737.2
ABCA1	ENSG00000165029.18	ENST00000374736.8	ENSP00000363868.3	NM_005502.4	19	NP_005493.2
ABCA10	ENSG00000154263.19	ENST00000690296.1	ENSP00000509702.1	NM_001377321.1	10349	NP_001364250.1
ABCA12	ENSG00000144452.15	ENST00000272895.12	ENSP00000272895.7	NM_173076.3	26154	NP_775099.2
ABCA13	ENSG00000179869.16	ENST00000435803.6	ENSP00000411096.1	NM_152701.5	154664	NP_689914.3
ABCA2	ENSG00000107331.20	ENST00000341511.11	ENSP00000344155.6	NM_001606.5	20	NP_001597.2
ABCA3	ENSG00000167972.16	ENST00000301732.10	ENSP00000301732.5	NM_001089.3	21	NP_001080.2
ABCA4	ENSG00000198691.15	ENST00000370225.4	ENSP00000359245.3	NM_000350.3	24	NP_000341.2
ABCA5	ENSG00000154265.18	ENST00000392676.8	ENSP00000376443.2	NM_172232.4	23461	NP_758424.1
ABCA6	ENSG00000154262.15	ENST00000284425.7	ENSP00000284425.1	NM_080284.3	23460	NP_525023.2
ABCA7	ENSG00000064687.13	ENST00000263094.11	ENSP00000263094.6	NM_019112.4	10347	NP_061985.2
ABCA8	ENSG00000141338.17	ENST00000586539.6	ENSP00000467271.1	NM_001288985.2	10351	NP_001275914.1
ABCA9	ENSG00000154258.18	ENST00000340001.9	ENSP00000342216.3	NM_080283.4	10350	NP_525022.2
ABCB1	ENSG00000085563.17	ENST00000622132.5	ENSP00000478255.1	NM_001348946.2	5243	NP_001335875.1
ABCB10	ENSG00000135776.7	ENST00000344517.5	ENSP00000355637.3	NM_012089.3	23456	NP_036221.2
ABCB11	ENSG00000073734.12	ENST00000650372.1	ENSP00000497931.1	NM_003742.4	8647	NP_003733.2
ABCB4	ENSG00000005471.21	ENST00000649586.2	ENSP00000496956.2	NM_000443.4	5244	NP_000434.1
ABCB5	ENSG00000004846.17	ENST00000404938.7	ENSP00000384881.2	NM_001163941.2	340273	NP_001157413.1
ABCB6	ENSG00000115657.16	ENST00000265316.9	ENSP00000265316.3	NM_005689.4	10058	NP_005680.1
ABCB7	ENSG00000131269.21	ENST00000373394.8	ENSP00000362492.3	NM_001271696.3	22	NP_001258625.1
ABCB8	ENSG00000197150.15	ENST00000358849.9	ENSP00000351717.4	NM_007188.5	11194	NP_009119.2
ABCB9	ENSG00000150967.21	ENST00000280560.13	ENSP00000280560.8	NM_019625.4	23457	NP_062571.1
ABCC1	ENSG00000103222.22	ENST00000399410.8	ENSP00000382342.3	NM_004996.4	4363	NP_004987.2
ABCC10	ENSG00000124574.18	ENST00000372530.9	ENSP00000361608.4	NM_001198934.2	89845	NP_001185863.1
ABCC11	ENSG00000121270.16	ENST00000356608.7	ENSP00000349017.2	NM_001370497.1	85320	NP_001357426.1
ABCC12	ENSG00000140798.17	ENST00000311303.8	ENSP00000311030.4	NM_001393797.1	94160	NP_001380726.1
ABCC2	ENSG00000023839.13	ENST00000647814.1	ENSP00000497274.1	NM_000392.5	1244	NP_000383.2
ABCC3	ENSG00000108846.18	ENST00000285238.13	ENSP00000285238.8	NM_003786.4	8714	NP_003777.2
ABCC4	ENSG00000125257.18	ENST00000645237.2	ENSP00000494609.1	NM_005845.5	10257	NP_005836.2
ABCC5	ENSG00000114770.19	ENST00000334444.11	ENSP00000333926.6	NM_005688.4	10057	NP_005679.2
ABCC6	ENSG00000091262.19	ENST00000205557.12	ENSP00000205557.7	NM_001171.6	368	NP_001162.5
ABCC8	ENSG00000006071.17	ENST00000302539.9	ENSP00000303960.4	NM_001287174.3	6833	NP_001274103.1
ABCC8	ENSG00000006071.17	ENST00000389817.8	ENSP00000374467.4	NM_000352.6	6833	NP_000343.2
ABCC9	ENSG00000069431.16	ENST00000261200.9	ENSP00000261200.4	NM_020297.4	10060	NP_064693.2
ABCD1	ENSG00000101986.14	ENST00000218104.6	ENSP00000218104.3	NM_000033.4	215	NP_000024.2
ABCD2	ENSG00000173208.6	ENST00000308666.4	ENSP00000310688.3	NM_005164.4	225	NP_005155.1
ABCD3	ENSG00000117528.16	ENST00000370214.9	ENSP00000359233.4	NM_002858.4	5825	NP_002849.1
ABCD4	ENSG00000119688.23	ENST00000356924.9	ENSP00000349396.4	NM_005050.4	5826	NP_005041.1
ABCE1	ENSG00000164163.13	ENST00000296577.9	ENSP00000296577.4	NM_002940.3	6059	NP_002931.2
ABCF1	ENSG00000204574.16	ENST00000326195.13	ENSP00000313603.8	NM_001025091.2	23	NP_001020262.1
ABCF2	ENSG00000033050.11	ENST00000287844.7	ENSP00000287844.2	NM_007189.3	10061	NP_009120.1
ABCF3	ENSG00000161204.14	ENST00000429586.7	ENSP00000411471.2	NM_018358.3	55324	NP_060828.2
ABCG1	ENSG00000160179.22	ENST00000398449.8	ENSP00000381467.3	NM_016818.3	9619	NP_058198.2
ABCG2	ENSG00000118777.14	ENST00000237612.8	ENSP00000237612.3	NM_004827.3	9429	NP_004818.2
ABCG4	ENSG00000172350.12	ENST00000619701.5	ENSP00000481728.1	NM_022169.5	64137	NP_071452.2
ABCG5	ENSG00000138075.16	ENST00000405322.8	ENSP00000384513.2	NM_022436.3	64240	NP_071881.1
ABCG8	ENSG00000143921.11	ENST00000272286.4	ENSP00000272286.2	NM_022437.3	64241	NP_071882.1
ABHD1	ENSG00000143994.16	ENST00000316470.9	ENSP00000326491.4	NM_032604.4	84696	NP_115993.3
ABHD10	ENSG00000144827.11	ENST00000273359.8	ENSP00000273359.3	NM_018394.4	55347	NP_060864.1
ABHD11	ENSG00000106077.21	ENST00000222800.8	ENSP00000222800.4	NM_148912.4	83451	NP_683710.2
ABHD12	ENSG00000100997.22	ENST00000339157.10	ENSP00000341408.5	NM_001042472.3	26090	NP_001035937.1
ABHD12B	ENSG00000131969.17	ENST00000337334.7	ENSP00000336693.2	NM_001206673.2	145447	NP_001193602.1
ABHD13	ENSG00000139826.8	ENST00000375898.4	ENSP00000365063.3	NM_032859.3	84945	NP_116248.2
ABHD14A	ENSG00000248487.12	ENST00000273596.8	ENSP00000273596.3	NM_015407.5	25864	NP_056222.2
ABHD14B	ENSG00000114779.22	ENST00000361143.10	ENSP00000354841.5	NM_001146314.2	84836	NP_001139786.1
ABHD15	ENSG00000168792.6	ENST00000307201.5	ENSP00000302657.3	NM_198147.3	116236	NP_937790.2
ABHD16A	ENSG00000204427.14	ENST00000395952.8	ENSP00000379282.3	NM_021160.3	7920	NP_066983.1
ABHD16B	ENSG00000183260.7	ENST00000369916.5	ENSP00000358932.3	NM_080622.4	140701	NP_542189.1
ABHD17A	ENSG00000129968.19	ENST00000292577.12	ENSP00000292577.6	NM_001130111.2	81926	NP_001123583.1
