transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000326195.13	3331	0	3331	0	0.0
ENST00000216139.10	1356	0	1356	0	0.0
ENST00000376059.8	581	0	581	0	0.0
ENST00000374391.7	2445	0	2445	0	0.0
ENST00000370083.9	1711	0	1711	0	0.0
ENST00000330330.10	1711	0	1711	0	0.0
ENST00000622339.5	1711	0	1711	0	0.0
ENST00000216714.8	1379	0	1379	0	0.0
ENST00000381241.9	1256	0	1256	0	0.0
ENST00000233997.4	833	0	833	0	0.0
ENST00000392379.6	3453	0	3453	0	0.0
ENST00000684113.1	2871	0	2871	0	0.0
ENST00000647956.2	2414	0	2414	0	0.0
ENST00000299367.10	2536	0	2536	0	0.0
ENST00000435363.7	5353	0	5353	0	0.0
ENST00000399603.6	13670	0	13648	22	0.0
ENST00000399655.6	13670	0	13648	22	0.0
ENST00000376568.8	3762	0	3762	0	0.0
ENST00000302628.9	1380	0	1380	0	0.0
ENST00000341584.4	1403	0	1403	0	0.0
ENST00000370277.5	1339	0	1339	0	0.0
ENST00000221954.7	1087	0	1087	0	0.0
ENST00000216492.10	1911	0	1911	0	0.0
ENST00000306071.7	2486	0	2486	0	0.0
ENST00000345363.8	2629	0	2629	0	0.0
ENST00000341947.7	6348	0	6348	0	0.0
ENST00000258424.3	616	0	616	0	0.0
ENST00000360325.11	1468	0	1468	0	0.0
ENST00000375203.8	2552	0	2552	0	0.0
ENST00000314537.10	2463	0	2463	0	0.0
ENST00000282141.4	553	0	553	0	0.0
ENST00000264376.5	568	0	568	0	0.0
ENST00000572914.2	1170	0	1170	0	0.0
ENST00000381529.9	1741	0	1741	0	0.0
ENST00000375882.7	855	0	855	0	0.0
ENST00000328435.3	685	0	685	0	0.0
ENST00000361017.9	796	0	796	0	0.0
ENST00000433477.4	2829	0	2829	0	0.0
ENST00000268053.11	1763	0	1763	0	0.0
ENST00000405239.6	4261	0	4161	100	0.0
ENST00000398344.9	491	0	491	0	0.0
ENST00000382692.3	424	0	424	0	0.0
ENST00000297435.3	513	0	513	0	0.0
ENST00000330590.4	380	0	380	0	0.0
ENST00000297436.3	391	0	391	0	0.0
ENST00000302247.3	263	0	263	0	0.0
ENST00000327726.11	1117	0	1117	0	0.0
ENST00000361725.5	2282	0	2282	0	0.0
