target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3308.01	3504	50.0232
ENST00000318602.12	4610	4536.01	5156.02	53.6803
ENST00000307719.9	1799	1725.01	1845	50.5103
ENST00000286479.4	1285	1211.01	1314	51.2416
ENST00000393078.5	1576	1502.01	1659	52.1613
ENST00000232892.12	1563	1489.01	1639	51.9824
ENST00000248450.9	1760	1686.01	1939	54.3116
ENST00000392492.8	971	897.006	1038	54.6482
ENST00000261772.13	3437	3363.01	3778	53.0528
ENST00000268251.13	4779	4705.01	5044	50.6278
ENST00000374736.8	10408	10334	11211	51.233
ENST00000341511.11	8103	8029.01	8891	52.2953
ENST00000301732.10	6602	6528.01	7168	51.8551
ENST00000373394.8	4592	4518.01	4854.05	50.7377
ENST00000326195.13	3405	3331.01	3806	53.9594
ENST00000370225.4	7328	7254.01	8138	52.9802
ENST00000318560.6	5578	5504.01	5752	49.3531
ENST00000360937.9	2609	2535.01	2693	50.1685
ENST00000502732.6	12217	12143	12426	48.3258
ENST00000644422.3	6478	6404.01	0	0
ENST00000302538.10	5395	5321.01	5763.42	51.1518
ENST00000333167.13	1699	1625.01	1811.4	52.6422
ENST00000616317.5	10013	9939.01	10914	51.8579
ENST00000338432.12	9368	9294.01	10238	52.0219
ENST00000233710.4	2515	2441.01	2688	52.0037
ENST00000370841.9	2261	2187.01	2453	52.969
ENST00000242592.9	1859	1785.01	2026	53.6011
ENST00000358776.7	5848	5774.01	6022	49.2536
ENST00000356839.10	2184	2110.01	2506	56.0882
ENST00000265838.9	1537	1463.01	1726	55.7146
ENST00000367048.5	1520	1446.01	1573.51	51.3893
ENST00000225823.7	3750	3676.01	3912	50.257
ENST00000447966.7	3886	3812.01	4083	50.5825
ENST00000241069.11	2172	2098.01	2253	50.7141
ENST00000352035.7	4293	4219.01	4765	53.3368
ENST00000309951.8	7443	7369.01	7786	49.8976
ENST00000216139.10	1430	1356.01	1506	52.449
ENST00000216254.9	2734	2660.01	2638.2	46.8382
ENST00000293217.10	7317	7243.01	7545.99	49.2007
ENST00000272065.10	1474	1400.01	1568	52.892
ENST00000672073.1	2111	2037.01	2284	52.9514
ENST00000648477.1	1381	1307.01	1461	52.7894
ENST00000336375.10	3174	3100.01	3338	50.8508
ENST00000533904.6	1936	1862.01	2003	50.8012
ENST00000366684.7	1491	1417.01	1607.04	53.5585
ENST00000224784.10	1349	1275.01	1488	55.1144
ENST00000646664.1	1812	1738.01	1897.44	51.5574
ENST00000290378.6	1382	1308.01	1489	53.76
ENST00000573283.7	1919	1845.01	2021	51.73
ENST00000345517.8	1501	1427.01	1642.69	54.3631
ENST00000252699.7	4990	4916.01	5649.72	54.2736
ENST00000429709.7	1854	1780.01	2074.26	55.0321
ENST00000394419.9	3722	3648.01	4081.61	52.8385
ENST00000366578.6	4872	4798.01	5212	51.3
ENST00000513398.2	2882	2808.01	3228	54.2887
ENST00000434821.7	3332	3258.01	3509	50.8634
ENST00000257963.9	4531	4457.01	4677	49.5562
ENST00000241416.12	5214	5140.01	5379.6	49.4266
ENST00000352511.5	11782	11708	11961.6	48.248
ENST00000388922.9	4177	4103.01	4338	49.93
ENST00000636358.2	1422	1348.01	1667	58.4007
ENST00000238618.8	580	506.006	628	58.6108
ENST00000394666.9	882	808.006	911	53.2449
ENST00000372874.9	1496	1422.01	1690	56.1254
ENST00000445355.8	3259	3185.01	3654	54.1792
ENST00000260408.8	11158	11084	11408	48.6057
ENST00000368474.9	6610	6536.01	6856	49.5373
ENST00000348831.9	6902	6828.01	7082	48.982
ENST00000381312.6	8475	8401.01	8638	48.5575
ENST00000297323.12	12657	12583	12984	48.7302
ENST00000338316.9	6645	6571.01	7016	50.4234
ENST00000679454.1	4950	4876.01	5114.27	49.5329
ENST00000462833.6	6643	6569.01	6894	49.5616
ENST00000357869.8	6092	6018.01	6403	50.2464
ENST00000673801.1	6271	6197.01	6732.8	51.3083
ENST00000286355.10	4421	4347.01	4712	51.1905
ENST00000294016.8	7980	7906.01	8163	48.7603
ENST00000450565.8	3259	3185.01	3337.11	49.4805
ENST00000304166.9	6639	6565.01	6870.24	49.4209
ENST00000683351.1	4140	4066.01	4400	51.1045
ENST00000264436.9	9290	9216.01	9541.68	48.894
ENST00000356080.9	4413	4339.01	4654	50.6536
ENST00000276914.7	1897	1823.01	2019	52.3025
ENST00000209668.3	1454	1380.01	1608.89	55.0577
ENST00000305046.13	4067	3993.01	4197.26	49.6409
ENST00000515683.6	1454	1380.01	1609.86	55.091
ENST00000265512.12	2002	1928.01	2148	52.6138
ENST00000296412.14	2652	2578.01	2797	51.2369
ENST00000394899.6	2802	2728.01	2950	51.0682
ENST00000437033.7	2119	2045.01	2264	52.2824
ENST00000539909.6	1992	1918.01	2172	53.4791
ENST00000278175.10	1492	1418.01	1558	51.8876
ENST00000337894.9	2901	2827.01	2966	49.5471
ENST00000337539.12	2529	2455.01	2578	49.5912
ENST00000304222.3	1522	1448.01	1555	50.7147
ENST00000241356.5	1757	1683.01	1767.24	49.5888
ENST00000357003.8	3623	3549.01	3708	49.3409
ENST00000366794.10	3978	3904.01	4359	52.7291
ENST00000381989.4	5437	5363.01	5996	52.7992
ENST00000379453.6	2942	2868.01	2972	48.9376
ENST00000306675.5	2507	2433.01	2537	49.2438
ENST00000380573.4	3770	3696.01	3822	48.8351
ENST00000280155.4	3879	3805.01	3893	48.3174
ENST00000620793.2	3696	3622.01	3710	48.3725
ENST00000330055.7	2142	2068.01	2156	49.2347
ENST00000369295.4	3039	2965.01	3053	48.6268
ENST00000305988.6	2013	1939.01	2027	49.3684
ENST00000345060.5	2585	2511.01	2615	49.1811
ENST00000308595.10	3403	3329.01	3733	52.9563
ENST00000324198.11	9277	9203.01	9606.17	49.2941
ENST00000623063.3	4359	4285.01	4577	50.4433
ENST00000366535.4	2555	2481.01	2762	52.5739
ENST00000354293.10	3357	3283.01	3733.25	53.7019
ENST00000448903.7	4587	4513.01	4947	51.7667
ENST00000357586.7	4165	4091.01	4484	51.7618
ENST00000610402.5	5700	5626.01	6065	50.9102
ENST00000299980.9	6602	6528.01	6983	50.5168
ENST00000223357.8	4097	4023.01	4423	51.9207
ENST00000327141.9	1798	1724.01	1903	52.1284
ENST00000335847.9	1918	1844.01	2023	51.8093
ENST00000226355.5	1997	1923.01	2229	54.7398
ENST00000395792.7	2426	2352.01	2662	53.4495
ENST00000264595.7	2037	1963.01	2179	52.4215
ENST00000560601.4	8960	8886.01	9276	49.2979
ENST00000375076.9	1420	1346.01	1550	54.3824
ENST00000361915.8	7091	7017.01	7641	51.4248
ENST00000290953.3	498	424.006	568	63.263
ENST00000254958.10	5940	5866.01	6304	50.7514
ENST00000366667.6	2116	2042.01	2198	50.8329
