target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3283	3282	51.4966
ENST00000318602.12	4610	4511	4510	51.5008
ENST00000307719.9	1799	1700	1699	51.482
ENST00000286479.4	1285	1186	1185	51.4688
ENST00000393078.5	1576	1477	1476	51.4774
ENST00000232892.12	1563	1464	1463	51.4771
ENST00000248450.9	1760	1661	1660	51.4812
ENST00000392492.8	971	872	871	51.4532
ENST00000261772.13	3437	3338	3337	51.4968
ENST00000268251.13	4779	4680	4679	51.5013
ENST00000374736.8	10408	10309	10308	51.5073
ENST00000341511.11	8103	8004	8003	51.5058
ENST00000301732.10	6602	6503	6502	51.5043
ENST00000373394.8	4592	4493	4492	51.5008
ENST00000326195.13	3405	3306	3305	51.4967
ENST00000370225.4	7328	7229	7228	51.5051
ENST00000318560.6	5578	5479	5478	51.5029
ENST00000360937.9	2609	2510	2509	51.4917
ENST00000502732.6	12217	12118	12117	51.508
ENST00000644422.3	6478	6379	6378	51.5042
ENST00000302538.10	5395	5296	5296	51.5123
ENST00000333167.13	1699	1600	1599.46	51.4948
ENST00000616317.5	10013	9914	9913	51.5071
ENST00000338432.12	9368	9269	9268	51.5067
ENST00000233710.4	2515	2416	2415	51.4909
ENST00000370841.9	2261	2162	2161	51.4884
ENST00000242592.9	1859	1760	1759	51.483
ENST00000358776.7	5848	5749	5748	51.5033
ENST00000356839.10	2184	2085	2084	51.4876
ENST00000265838.9	1537	1438	1437	51.4764
ENST00000367048.5	1520	1421	1420.47	51.4931
ENST00000225823.7	3750	3651	3650	51.4981
ENST00000447966.7	3886	3787	3786	51.4987
ENST00000241069.11	2172	2073	2072	51.4874
ENST00000352035.7	4293	4194	4193	51.5
ENST00000309951.8	7443	7344	7343	51.5052
ENST00000216139.10	1430	1331	1330	51.4736
ENST00000216254.9	2734	2635	2634.47	51.502
ENST00000293217.10	7317	7218	7217	51.5051
ENST00000272065.10	1474	1375	1374	51.4748
ENST00000672073.1	2111	2012	2011	51.4867
ENST00000648477.1	1381	1282	1281	51.4721
ENST00000336375.10	3174	3075	3074	51.4955
ENST00000533904.6	1936	1837	1836	51.4842
ENST00000366684.7	1491	1392	1391	51.4753
ENST00000224784.10	1349	1250	1249	51.471
ENST00000646664.1	1812	1713	1712	51.4822
ENST00000290378.6	1382	1283	1282	51.4721
ENST00000573283.7	1919	1820	1819	51.484
ENST00000345517.8	1501	1402	1401	51.4755
ENST00000252699.7	4990	4891	4890.52	51.5072
ENST00000429709.7	1854	1755	1755	51.5123
ENST00000394419.9	3722	3623	3622	51.498
ENST00000366578.6	4872	4773	4772	51.5015
ENST00000513398.2	2882	2783	2782	51.4937
ENST00000434821.7	3332	3233	3232	51.4963
ENST00000257963.9	4531	4432	4431	51.5006
ENST00000241416.12	5214	5115	5115	51.5123
ENST00000352511.5	11782	11683	11682	51.5078
ENST00000388922.9	4177	4078	4077	51.4996
ENST00000636358.2	1422	1323	1322	51.4733
ENST00000238618.8	580	481	480	51.4052
ENST00000394666.9	882	783	782	51.4465
ENST00000372874.9	1496	1397	1396	51.4754
ENST00000445355.8	3259	3160	3159	51.496
ENST00000260408.8	11158	11059	11058	51.5076
ENST00000368474.9	6610	6511	6510	51.5043
ENST00000348831.9	6902	6803	6802	51.5047
ENST00000381312.6	8475	8376	8375	51.5061
ENST00000297323.12	12657	12558	12557	51.5082
ENST00000338316.9	6645	6546	6545	51.5044
ENST00000679454.1	4950	4851	4850.02	51.5018
ENST00000462833.6	6643	6544	6543	51.5044
ENST00000357869.8	6092	5993	5992	51.5037
ENST00000673801.1	6271	6172	6172	51.5123
ENST00000286355.10	4421	4322	4321	51.5003
ENST00000294016.8	7980	7881	7880	51.5057
ENST00000450565.8	3259	3160	3159	51.496
ENST00000304166.9	6639	6540	6539.04	51.5047
ENST00000683351.1	4140	4041	4040	51.4995
ENST00000264436.9	9290	9191	9190	51.5067
ENST00000356080.9	4413	4314	4313	51.5003
ENST00000276914.7	1897	1798	1797	51.4836
ENST00000209668.3	1454	1355	1354	51.4742
ENST00000305046.13	4067	3968	3967.02	51.4995
ENST00000515683.6	1454	1355	1353.98	51.4736
ENST00000265512.12	2002	1903	1902	51.4852
ENST00000296412.14	2652	2553	2552	51.4921
ENST00000394899.6	2802	2703	2702	51.4932
ENST00000437033.7	2119	2020	2019	51.4868
ENST00000539909.6	1992	1893	1892	51.485
ENST00000278175.10	1492	1393	1392	51.4753
ENST00000337894.9	2901	2802	2801	51.4939
ENST00000337539.12	2529	2430	2429	51.4911
ENST00000304222.3	1522	1423	1422	51.4761
ENST00000241356.5	1757	1658	1657.01	51.4816
ENST00000357003.8	3623	3524	3523	51.4976
ENST00000366794.10	3978	3879	3878	51.499
ENST00000381989.4	5437	5338	5337	51.5026
ENST00000379453.6	2942	2843	2842	51.4941
ENST00000306675.5	2507	2408	2407	51.4909
ENST00000380573.4	3770	3671	3670	51.4982
ENST00000280155.4	3879	3780	3779	51.4986
ENST00000620793.2	3696	3597	3596	51.4979
ENST00000330055.7	2142	2043	2042	51.487
ENST00000369295.4	3039	2940	2939	51.4947
ENST00000305988.6	2013	1914	1913	51.4853
ENST00000345060.5	2585	2486	2485	51.4915
ENST00000308595.10	3403	3304	3303	51.4967
ENST00000324198.11	9277	9178	9177	51.5066
ENST00000623063.3	4359	4260	4259	51.5002
ENST00000366535.4	2555	2456	2455	51.4913
ENST00000354293.10	3357	3258	3258	51.5123
ENST00000448903.7	4587	4488	4487	51.5008
