transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000262304.9		14140	200	v5i_MANE_RNA_PE_200	13941	0.958109	250	1	0.004	-0.954109	400	1	0.0025	-0.955609	500	1	0.002	-0.956109	600	17	0.028333	-0.929776
ENST00000409508.8		14343	200	v5i_MANE_RNA_PE_200	14144	0.955105	250	1	0.004	-0.951105	400	1	0.0025	-0.952605	500	1	0.002	-0.953105	600	1	0.001667	-0.953438
ENST00000359520.12		8704	200	v5i_MANE_RNA_PE_200	8505	0.939918	250	1	0.004	-0.935918	400	1	0.0025	-0.937418	500	1	0.002	-0.937918	600	90	0.15	-0.789918
ENST00000425241.6		8419	200	v5i_MANE_RNA_PE_200	8220	0.93163	250	1	0.004	-0.92763	400	1	0.0025	-0.92913	500	1	0.002	-0.92963	600	39	0.065	-0.86663
ENST00000374695.8		14341	200	v5i_MANE_RNA_PE_200	14142	0.925965	250	1	0.004	-0.921965	400	1	0.0025	-0.923465	500	1	0.002	-0.923965	600	1	0.001667	-0.924298
ENST00000286918.9		6705	200	v5i_MANE_RNA_PE_200	6506	0.921457	250	1	0.004	-0.917457	400	1	0.0025	-0.918957	500	1	0.002	-0.919457	600	90	0.15	-0.771457
ENST00000643759.2		8018	200	v5i_MANE_RNA_PE_200	7819	0.937332	250	1	0.004	-0.933332	400	1	0.0025	-0.934832	500	11	0.022	-0.915332	600	111	0.185	-0.752332
ENST00000274867.9		6185	200	v5i_MANE_RNA_PE_200	5986	0.916472	250	1	0.004	-0.912472	400	1	0.0025	-0.913972	500	1	0.002	-0.914472	600	101	0.168333	-0.748139
ENST00000219476.9		6415	200	v5i_MANE_RNA_PE_200	6216	0.906049	250	1	0.004	-0.902049	400	1	0.0025	-0.903549	500	1	0.002	-0.904049	600	17	0.028333	-0.877716
ENST00000600882.6		5445	200	v5i_MANE_RNA_PE_200	5246	0.902211	250	1	0.004	-0.898211	400	1	0.0025	-0.899711	500	1	0.002	-0.900211	600	88	0.146667	-0.755544
ENST00000313005.11		5835	200	v5i_MANE_RNA_PE_200	5636	0.901171	250	1	0.004	-0.897171	400	1	0.0025	-0.898671	500	1	0.002	-0.899171	600	44	0.073333	-0.827838
ENST00000447648.7		6545	200	v5i_MANE_RNA_PE_200	6346	0.900095	250	1	0.004	-0.896095	400	1	0.0025	-0.897595	500	1	0.002	-0.898095	600	1	0.001667	-0.898428
ENST00000297477.10		6051	200	v5i_MANE_RNA_PE_200	5852	0.895933	250	1	0.004	-0.891933	400	1	0.0025	-0.893433	500	1	0.002	-0.893933	600	1	0.001667	-0.894266
ENST00000633556.3		10039	200	v5i_MANE_RNA_PE_200	9840	0.893598	250	1	0.004	-0.889598	400	1	0.0025	-0.891098	500	1	0.002	-0.891598	600	1	0.001667	-0.891931
ENST00000317147.10		8411	200	v5i_MANE_RNA_PE_200	8212	0.891987	250	1	0.004	-0.887987	400	1	0.0025	-0.889487	500	1	0.002	-0.889987	600	1	0.001667	-0.89032
ENST00000451188.7		4911	200	v5i_MANE_RNA_PE_200	4712	0.891553	250	1	0.004	-0.887553	400	1	0.0025	-0.889053	500	1	0.002	-0.889553	600	90	0.15	-0.741553
ENST00000508593.6		8899	200	v5i_MANE_RNA_PE_200	8700	0.889885	250	1	0.004	-0.885885	400	1	0.0025	-0.887385	500	1	0.002	-0.887885	600	1	0.001667	-0.888218
ENST00000367255.10		27708	200	v5i_MANE_RNA_PE_200	27509	0.88651	250	0	0.0	-0.88651	400	0	0.0	-0.88651	500	0	0.0	-0.88651	600	0	0.0	-0.88651
ENST00000289371.11		5741	200	v5i_MANE_RNA_PE_200	5542	0.882714	250	1	0.004	-0.878714	400	1	0.0025	-0.880214	500	1	0.002	-0.880714	600	1	0.001667	-0.881047
ENST00000216286.10		4870	200	v5i_MANE_RNA_PE_200	4671	0.894455	250	1	0.004	-0.890455	400	1	0.0025	-0.891955	500	8	0.016	-0.878455	600	108	0.18	-0.714455
ENST00000696270.1		10391	200	v5i_MANE_RNA_PE_200	10192	0.87971	250	1	0.004	-0.87571	400	1	0.0025	-0.87721	500	1	0.002	-0.87771	600	1	0.001667	-0.878043
ENST00000337768.10		4296	200	v5i_MANE_RNA_PE_200	4097	0.877227	250	1	0.004	-0.873227	400	1	0.0025	-0.874727	500	1	0.002	-0.875227	600	98	0.163333	-0.713894
ENST00000338883.9		4879	200	v5i_MANE_RNA_PE_200	4680	0.876709	250	1	0.004	-0.872709	400	1	0.0025	-0.874209	500	1	0.002	-0.874709	600	24	0.04	-0.836709
ENST00000608999.6		15244	200	v5i_MANE_RNA_PE_200	15045	0.873247	250	1	0.004	-0.869247	400	1	0.0025	-0.870747	500	1	0.002	-0.871247	600	1	0.001667	-0.87158
ENST00000340692.10		4143	200	v5i_MANE_RNA_PE_200	3944	0.873225	250	1	0.004	-0.869225	400	1	0.0025	-0.870725	500	1	0.002	-0.871225	600	101	0.168333	-0.704892
ENST00000253686.7		4572	200	v5i_MANE_RNA_PE_200	4373	0.871484	250	1	0.004	-0.867484	400	1	0.0025	-0.868984	500	1	0.002	-0.869484	600	39	0.065	-0.806484
ENST00000308275.8		10707	200	v5i_MANE_RNA_PE_200	10508	0.869052	250	1	0.004	-0.865052	400	1	0.0025	-0.866552	500	1	0.002	-0.867052	600	1	0.001667	-0.867385
ENST00000343516.8		5839	200	v5i_MANE_RNA_PE_200	5640	0.867021	250	1	0.004	-0.863021	400	1	0.0025	-0.864521	500	1	0.002	-0.865021	600	1	0.001667	-0.865354
ENST00000674895.3		8273	200	v5i_MANE_RNA_PE_200	8074	0.864751	250	1	0.004	-0.860751	400	1	0.0025	-0.862251	500	1	0.002	-0.862751	600	1	0.001667	-0.863084
ENST00000281772.14		4782	200	v5i_MANE_RNA_PE_200	4583	0.860353	250	1	0.004	-0.856353	400	1	0.0025	-0.857853	500	1	0.002	-0.858353	600	1	0.001667	-0.858686
ENST00000389221.9		5250	200	v5i_MANE_RNA_PE_200	5051	0.859632	250	1	0.004	-0.855632	400	1	0.0025	-0.857132	500	1	0.002	-0.857632	600	1	0.001667	-0.857965
ENST00000258428.8		4731	200	v5i_MANE_RNA_PE_200	4532	0.856575	250	1	0.004	-0.852575	400	1	0.0025	-0.854075	500	1	0.002	-0.854575	600	1	0.001667	-0.854908
ENST00000389622.7		10779	200	v5i_MANE_RNA_PE_200	10580	0.852363	250	1	0.004	-0.848363	400	1	0.0025	-0.849863	500	1	0.002	-0.850363	600	1	0.001667	-0.850696
