gene_id	gene_name	gene_type	n_isoforms	n_pairs	n_share_3p	n_share_5p	rate_3p	rate_5p	delta_3p_vs_5p
ENSG00000297224	ENSG00000297224	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304038	ENSG00000304038	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000173673	HES3	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000301344	ENSG00000301344	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000296056	ENSG00000296056	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000225602	MTOR-AS1	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302176	ENSG00000302176	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000120937	NPPB	protein_coding	4	6	6	0	1.0	0.0	1.0
ENSG00000232423	PRAMEF6	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000277058	HNRNPCL3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000229571	PRAMEF25	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000182330	PRAMEF8	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000294586	ENSG00000294586	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000310349	ENSG00000310349	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000285959	ENSG00000285959	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000307540	ENSG00000307540	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000181773	GPR3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000142698	C1orf94	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000294271	ENSG00000294271	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000295513	ENSG00000295513	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000302309	ENSG00000302309	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000203995	ZYG11A	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000162398	CIMAP2	protein_coding	2	1	1	1	1.0	1.0	0.0
ENSG00000304811	ENSG00000304811	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000184599	TAFA3	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000299309	ENSG00000299309	lncRNA	3	3	3	0	1.0	0.0	1.0
ENSG00000308155	ENSG00000308155	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000294675	ENSG00000294675	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000143067	ZNF697	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000275131	PDE4DIPP2	transcribed_unprocessed_pseudogene	2	1	1	0	1.0	0.0	1.0
ENSG00000215784	FAM72D	protein_coding	2	1	1	0	1.0	0.0	1.0
ENSG00000303386	ENSG00000303386	lncRNA	2	1	1	0	1.0	0.0	1.0
ENSG00000304723	ENSG00000304723	lncRNA	2	1	1	0	1.0	0.0	1.0
