transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000262304.9		14140	100	v5a_MANE_RNA_SE_100	14041	0.951214	250	0	0.0	-0.951214	400	0	0.0	-0.951214	500	0	0.0	-0.951214	600	0	0.0	-0.951214
ENST00000409508.8		14343	100	v5a_MANE_RNA_SE_100	14244	0.948399	250	0	0.0	-0.948399	400	0	0.0	-0.948399	500	0	0.0	-0.948399	600	0	0.0	-0.948399
ENST00000549884.6		8938	100	v5a_MANE_RNA_SE_100	8839	0.943546	250	0	0.0	-0.943546	400	0	0.0	-0.943546	500	1	0.002	-0.941546	600	101	0.168333	-0.775213
ENST00000262031.10		8488	100	v5a_MANE_RNA_SE_100	8389	0.940517	250	0	0.0	-0.940517	400	0	0.0	-0.940517	500	1	0.002	-0.938517	600	101	0.168333	-0.772184
ENST00000349129.7		7957	100	v5a_MANE_RNA_SE_100	7858	0.934716	250	0	0.0	-0.934716	400	0	0.0	-0.934716	500	0	0.0	-0.934716	600	87	0.145	-0.789716
ENST00000238616.10		8278	100	v5a_MANE_RNA_SE_100	8179	0.934344	250	0	0.0	-0.934344	400	0	0.0	-0.934344	500	0	0.0	-0.934344	600	63	0.105	-0.829344
ENST00000495936.7		10747	100	v5a_MANE_RNA_SE_100	10648	0.954076	250	0	0.0	-0.954076	400	0	0.0	-0.954076	500	11	0.022	-0.932076	600	111	0.185	-0.769076
ENST00000359520.12		8704	100	v5a_MANE_RNA_SE_100	8605	0.928879	250	0	0.0	-0.928879	400	0	0.0	-0.928879	500	0	0.0	-0.928879	600	0	0.0	-0.928879
ENST00000643759.2		8018	100	v5a_MANE_RNA_SE_100	7919	0.925496	250	0	0.0	-0.925496	400	0	0.0	-0.925496	500	0	0.0	-0.925496	600	10	0.016667	-0.908829
ENST00000425241.6		8419	100	v5a_MANE_RNA_SE_100	8320	0.920312	250	0	0.0	-0.920312	400	0	0.0	-0.920312	500	0	0.0	-0.920312	600	0	0.0	-0.920312
ENST00000374695.8		14341	100	v5a_MANE_RNA_SE_100	14242	0.918972	250	0	0.0	-0.918972	400	0	0.0	-0.918972	500	0	0.0	-0.918972	600	0	0.0	-0.918972
ENST00000343067.9		6031	100	v5a_MANE_RNA_SE_100	5932	0.913351	250	0	0.0	-0.913351	400	0	0.0	-0.913351	500	0	0.0	-0.913351	600	86	0.143333	-0.770018
ENST00000286918.9		6705	100	v5a_MANE_RNA_SE_100	6606	0.907357	250	0	0.0	-0.907357	400	0	0.0	-0.907357	500	0	0.0	-0.907357	600	0	0.0	-0.907357
ENST00000274867.9		6185	100	v5a_MANE_RNA_SE_100	6086	0.901249	250	0	0.0	-0.901249	400	0	0.0	-0.901249	500	0	0.0	-0.901249	600	0	0.0	-0.901249
ENST00000621632.5		5573	100	v5a_MANE_RNA_SE_100	5474	0.900438	250	0	0.0	-0.900438	400	0	0.0	-0.900438	500	0	0.0	-0.900438	600	55	0.091667	-0.808771
