target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3183	3183	51.5777
ENST00000318602.12	4610	4411	4411	51.5777
ENST00000307719.9	1799	1600	1600	51.5777
ENST00000286479.4	1285	1086	1086	51.5777
ENST00000393078.5	1576	1377	1377	51.5777
ENST00000232892.12	1563	1364	1364	51.5777
ENST00000248450.9	1760	1561	1561	51.5777
ENST00000392492.8	971	772	772	51.5777
ENST00000261772.13	3437	3238	3238	51.5777
ENST00000268251.13	4779	4580	4580	51.5777
ENST00000374736.8	10408	10209	10209	51.5777
ENST00000341511.11	8103	7904	7904	51.5777
ENST00000301732.10	6602	6403	6403	51.5777
ENST00000373394.8	4592	4393	4393	51.5777
ENST00000326195.13	3405	3206	3206	51.5777
ENST00000370225.4	7328	7129	7129	51.5777
ENST00000318560.6	5578	5379	5379	51.5777
ENST00000360937.9	2609	2410	2410	51.5777
ENST00000502732.6	12217	12018	12018	51.5777
ENST00000644422.3	6478	6279	6279	51.5777
ENST00000302538.10	5395	5196	5196	51.5777
ENST00000333167.13	1699	1500	1500	51.5777
ENST00000616317.5	10013	9814	9814	51.5777
ENST00000338432.12	9368	9169	9169	51.5777
ENST00000233710.4	2515	2316	2316	51.5777
ENST00000370841.9	2261	2062	2062	51.5777
ENST00000242592.9	1859	1660	1660	51.5777
ENST00000358776.7	5848	5649	5649	51.5777
ENST00000356839.10	2184	1985	1985	51.5777
ENST00000265838.9	1537	1338	1338	51.5777
ENST00000367048.5	1520	1321	1321	51.5777
ENST00000225823.7	3750	3551	3551	51.5777
ENST00000447966.7	3886	3687	3687	51.5777
ENST00000241069.11	2172	1973	1973	51.5777
ENST00000352035.7	4293	4094	4094	51.5777
ENST00000309951.8	7443	7244	7244	51.5777
ENST00000216139.10	1430	1231	1231	51.5777
ENST00000216254.9	2734	2535	2535	51.5777
ENST00000293217.10	7317	7118	7118	51.5777
ENST00000272065.10	1474	1275	1275	51.5777
ENST00000672073.1	2111	1912	1912	51.5777
ENST00000648477.1	1381	1182	1182	51.5777
ENST00000336375.10	3174	2975	2975	51.5777
ENST00000533904.6	1936	1737	1737	51.5777
ENST00000366684.7	1491	1292	1292	51.5777
ENST00000224784.10	1349	1150	1150	51.5777
ENST00000646664.1	1812	1613	1613	51.5777
ENST00000290378.6	1382	1183	1183	51.5777
ENST00000573283.7	1919	1720	1720	51.5777
ENST00000345517.8	1501	1302	1302	51.5777
ENST00000252699.7	4990	4791	4791	51.5777
ENST00000429709.7	1854	1655	1655	51.5777
ENST00000394419.9	3722	3523	3523	51.5777
ENST00000366578.6	4872	4673	4673	51.5777
ENST00000513398.2	2882	2683	2683	51.5777
ENST00000434821.7	3332	3133	3133	51.5777
ENST00000257963.9	4531	4332	4332	51.5777
ENST00000241416.12	5214	5015	5015	51.5777
ENST00000352511.5	11782	11583	11583	51.5777
ENST00000388922.9	4177	3978	3978	51.5777
ENST00000636358.2	1422	1223	1223	51.5777
ENST00000238618.8	580	381	381	51.5777
ENST00000394666.9	882	683	683	51.5777
ENST00000372874.9	1496	1297	1297	51.5777
ENST00000445355.8	3259	3060	3060	51.5777
ENST00000260408.8	11158	10959	10959	51.5777
ENST00000368474.9	6610	6411	6411	51.5777
ENST00000348831.9	6902	6703	6703	51.5777
ENST00000381312.6	8475	8276	8276	51.5777
ENST00000297323.12	12657	12458	12458	51.5777
ENST00000338316.9	6645	6446	6446	51.5777
ENST00000679454.1	4950	4751	4751	51.5777
ENST00000462833.6	6643	6444	6444	51.5777
ENST00000357869.8	6092	5893	5893	51.5777
ENST00000673801.1	6271	6072	6072	51.5777
ENST00000286355.10	4421	4222	4222	51.5777
ENST00000294016.8	7980	7781	7781	51.5777
ENST00000450565.8	3259	3060	3060	51.5777
ENST00000304166.9	6639	6440	6440	51.5777
ENST00000683351.1	4140	3941	3941	51.5777
ENST00000264436.9	9290	9091	9091	51.5777
ENST00000356080.9	4413	4214	4214	51.5777
ENST00000276914.7	1897	1698	1698	51.5777
ENST00000209668.3	1454	1255	1255	51.5777
ENST00000305046.13	4067	3868	3868	51.5777
ENST00000515683.6	1454	1255	1255	51.5777
ENST00000265512.12	2002	1803	1803	51.5777
ENST00000296412.14	2652	2453	2453	51.5777
ENST00000394899.6	2802	2603	2603	51.5777
ENST00000437033.7	2119	1920	1920	51.5777
ENST00000539909.6	1992	1793	1793	51.5777
ENST00000278175.10	1492	1293	1293	51.5777
ENST00000337894.9	2901	2702	2702	51.5777
ENST00000337539.12	2529	2330	2330	51.5777
ENST00000304222.3	1522	1323	1323	51.5777
ENST00000241356.5	1757	1558	1558	51.5777
ENST00000357003.8	3623	3424	3424	51.5777
ENST00000366794.10	3978	3779	3779	51.5777
ENST00000381989.4	5437	5238	5238	51.5777
ENST00000379453.6	2942	2743	2743	51.5777
ENST00000306675.5	2507	2308	2308	51.5777
ENST00000380573.4	3770	3571	3571	51.5777
ENST00000280155.4	3879	3680	3680	51.5777
ENST00000620793.2	3696	3497	3497	51.5777
ENST00000330055.7	2142	1943	1943	51.5777
ENST00000369295.4	3039	2840	2840	51.5777
ENST00000305988.6	2013	1814	1814	51.5777
ENST00000345060.5	2585	2386	2386	51.5777
ENST00000308595.10	3403	3204	3204	51.5777
ENST00000324198.11	9277	9078	9078	51.5777
ENST00000623063.3	4359	4160	4160	51.5777
ENST00000366535.4	2555	2356	2356	51.5777
ENST00000354293.10	3357	3158	3158	51.5777
ENST00000448903.7	4587	4388	4388	51.5777
ENST00000357586.7	4165	3966	3966	51.5777
ENST00000610402.5	5700	5501	5501	51.5777
ENST00000299980.9	6602	6403	6403	51.5777
ENST00000223357.8	4097	3898	3898	51.5777
ENST00000327141.9	1798	1599	1599	51.5777
ENST00000335847.9	1918	1719	1719	51.5777
ENST00000226355.5	1997	1798	1798	51.5777
ENST00000395792.7	2426	2227	2227	51.5777
ENST00000264595.7	2037	1838	1838	51.5777
ENST00000560601.4	8960	8761	8761	51.5777
ENST00000375076.9	1420	1221	1221	51.5777
ENST00000361915.8	7091	6892	6892	51.5777
ENST00000290953.3	498	299	299	51.5777
ENST00000254958.10	5940	5741	5741	51.5777
ENST00000366667.6	2116	1917	1917	51.5777
ENST00000349243.8	2324	2125	2125	51.5777
ENST00000371906.5	2862	2663	2663	51.5777
ENST00000606794.2	3660	3461	3461	51.5777
ENST00000307503.4	2900	2701	2701	51.5777
ENST00000378970.5	1813	1614	1614	51.5777
ENST00000217426.7	2150	1951	1951	51.5777
ENST00000242057.9	6243	6044	6044	51.5777
ENST00000411641.7	1574	1375	1375	51.5777
ENST00000376059.8	655	456	456	51.5777
ENST00000633556.3	10039	9840	9840	51.5777
ENST00000644144.2	2192	1993	1993	51.5777
ENST00000672715.1	5970	5771	5771	51.5777
ENST00000327299.8	6845	6646	6646	51.5777
ENST00000649815.2	2957	2758	2758	51.5777
ENST00000392038.7	5250	5051	5051	51.5777
ENST00000409155.8	3129	2930	2930	51.5777
ENST00000484952.6	2375	2176	2176	51.5777
ENST00000650242.1	1940	1741	1741	51.5777
ENST00000295897.9	2285	2086	2086	51.5777
ENST00000306107.9	4701	4502	4502	51.5777
ENST00000218104.6	3669	3470	3470	51.5777
ENST00000297785.8	2096	1897	1897	51.5777
ENST00000261733.7	9561	9362	9362	51.5777
ENST00000225740.11	1639	1440	1440	51.5777
ENST00000377698.4	3028	2829	2829	51.5777
ENST00000329841.10	3469	3270	3270	51.5777
ENST00000342456.11	2811	2612	2612	51.5777
ENST00000673966.2	2650	2451	2451	51.5777
ENST00000354775.5	2395	2196	2196	51.5777
ENST00000176643.11	3703	3504	3504	51.5777
ENST00000308666.4	6290	6091	6091	51.5777
ENST00000642816.3	1640	1441	1441	51.5777
ENST00000647789.2	2420	2221	2221	51.5777
ENST00000226253.9	1608	1409	1409	51.5777
ENST00000285930.9	1361	1162	1162	51.5777
ENST00000389048.8	6240	6041	6041	51.5777
ENST00000251535.11	2392	2193	2193	51.5777
ENST00000374391.7	2519	2320	2320	51.5777
ENST00000380490.5	869	670	670	51.5777
ENST00000647874.1	2515	2316	2316	51.5777
ENST00000293761.8	2697	2498	2498	51.5777
ENST00000380183.9	2697	2498	2498	51.5777
ENST00000295463.4	3241	3042	3042	51.5777
ENST00000374840.8	2536	2337	2337	51.5777
ENST00000392027.3	2754	2555	2555	51.5777
ENST00000295453.8	2492	2293	2293	51.5777
ENST00000647563.2	1955	1756	1756	51.5777
ENST00000322937.10	2005	1806	1806	51.5777
ENST00000265132.8	1262	1063	1063	51.5777
ENST00000368885.8	3423	3224	3224	51.5777
ENST00000380714.7	793	594	594	51.5777
ENST00000651267.2	926	727	727	51.5777
ENST00000290649.10	3607	3408	3408	51.5777
ENST00000221496.5	1809	1610	1610	51.5777
ENST00000257863.9	2001	1802	1802	51.5777
ENST00000520113.7	2335	2136	2136	51.5777
ENST00000528667.7	4081	3882	3882	51.5777
ENST00000396553.7	4189	3990	3990	51.5777
ENST00000356264.7	3224	3025	3025	51.5777
ENST00000316724.10	2487	2288	2288	51.5777
ENST00000273588.9	1997	1798	1798	51.5777
ENST00000370083.9	1785	1586	1586	51.5777
ENST00000330330.10	1785	1586	1586	51.5777
ENST00000622339.5	1785	1586	1586	51.5777
ENST00000414303.7	1584	1385	1385	51.5777
ENST00000684275.1	1584	1385	1385	51.5777
ENST00000397990.5	748	549	549	51.5777
ENST00000517746.6	4230	4031	4031	51.5777
ENST00000629816.3	5268	5069	5069	51.5777
ENST00000289734.13	8292	8093	8093	51.5777
ENST00000357077.9	14215	14016	14016	51.5777
ENST00000280772.7	17019	16820	16820	51.5777
ENST00000300060.7	3662	3463	3463	51.5777
ENST00000281456.11	4415	4216	4216	51.5777
ENST00000317881.9	1307	1108	1108	51.5777
ENST00000381401.11	1451	1252	1252	51.5777
ENST00000257497.11	1401	1202	1202	51.5777
ENST00000451270.7	1554	1355	1355	51.5777
ENST00000264908.11	1432	1233	1233	51.5777
ENST00000394295.6	2651	2452	2452	51.5777
ENST00000296511.10	1638	1439	1439	51.5777
ENST00000354546.10	2889	2690	2690	51.5777
ENST00000372921.10	2443	2244	2244	51.5777
ENST00000422982.8	6734	6535	6535	51.5777
ENST00000419625.6	1456	1257	1257	51.5777
ENST00000617537.5	2385	2186	2186	51.5777
ENST00000253799.8	2677	2478	2478	51.5777
ENST00000374700.7	4928	4729	4729	51.5777
ENST00000551964.6	7201	7002	7002	51.5777
ENST00000379158.7	998	799	799	51.5777
ENST00000398189.4	1750	1551	1551	51.5777
ENST00000265381.7	6597	6398	6398	51.5777
ENST00000683413.1	3941	3742	3742	51.5777
ENST00000609360.6	2666	2467	2467	51.5777
ENST00000508593.6	8899	8700	8700	51.5777
ENST00000257430.9	10704	10505	10505	51.5777
ENST00000255040.3	925	726	726	51.5777
ENST00000291582.6	2690	2491	2491	51.5777
ENST00000296456.10	2879	2680	2680	51.5777
ENST00000216714.8	1453	1254	1254	51.5777
ENST00000227758.7	3764	3565	3565	51.5777
ENST00000263464.9	6877	6678	6678	51.5777
ENST00000371199.8	8558	8359	8359	51.5777
ENST00000350051.8	2574	2375	2375	51.5777
ENST00000221891.9	2370	2171	2171	51.5777
ENST00000338167.10	3697	3498	3498	51.5777
ENST00000236850.5	899	700	700	51.5777
ENST00000367990.7	474	275	275	51.5777
ENST00000357780.5	1471	1272	1272	51.5777
ENST00000233242.5	14121	13922	13922	51.5777
ENST00000229304.5	894	695	695	51.5777
ENST00000592535.6	514	315	315	51.5777
ENST00000219660.6	1325	1126	1126	51.5777
ENST00000252490.7	660	461	461	51.5777
ENST00000227667.8	535	336	336	51.5777
ENST00000592954.2	616	417	417	51.5777
ENST00000343267.8	862	663	663	51.5777
ENST00000252486.9	1166	967	967	51.5777
ENST00000205948.11	1174	975	975	51.5777
ENST00000346798.8	3583	3384	3384	51.5777
ENST00000378364.8	931	732	732	51.5777
ENST00000326003.7	1464	1265	1265	51.5777
ENST00000652046.1	3696	3497	3497	51.5777
ENST00000367721.3	1805	1606	1606	51.5777
ENST00000380913.8	7474	7275	7275	51.5777
ENST00000311813.11	2754	2555	2555	51.5777
ENST00000199280.4	4180	3981	3981	51.5777
ENST00000297991.6	1825	1626	1626	51.5777
ENST00000383168.9	5158	4959	4959	51.5777
ENST00000293599.7	1449	1250	1250	51.5777
ENST00000315520.10	2544	2345	2345	51.5777
ENST00000297988.6	3064	2865	2865	51.5777
ENST00000219919.9	2849	2650	2650	51.5777
ENST00000374690.9	10667	10468	10468	51.5777
ENST00000205557.12	5140	4941	4941	51.5777
ENST00000377045.9	2378	2179	2179	51.5777
ENST00000264028.5	3994	3795	3795	51.5777
ENST00000231524.14	3863	3664	3664	51.5777
ENST00000395748.8	1234	1035	1035	51.5777
ENST00000272102.10	1840	1641	1641	51.5777
ENST00000256682.9	4041	3842	3842	51.5777
ENST00000303436.11	1596	1397	1397	51.5777
ENST00000320033.5	1578	1379	1379	51.5777
ENST00000000233.10	1032	833	833	51.5777
ENST00000298316.7	3875	3676	3676	51.5777
ENST00000368087.8	1447	1248	1248	51.5777
ENST00000261783.4	1911	1712	1712	51.5777
ENST00000418115.6	1805	1606	1606	51.5777
ENST00000272233.6	2367	2168	2168	51.5777
ENST00000339083.12	1117	918	918	51.5777
ENST00000263895.9	2684	2485	2485	51.5777
ENST00000351018.5	1295	1096	1096	51.5777
ENST00000311956.9	3395	3196	3196	51.5777
ENST00000350060.10	3254	3055	3055	51.5777
ENST00000345122.8	9589	9390	9390	51.5777
ENST00000337414.9	5336	5137	5137	51.5777
ENST00000269321.12	1837	1638	1638	51.5777
ENST00000228945.9	1174	975	975	51.5777
ENST00000219409.8	964	765	765	51.5777
ENST00000381799.10	4181	3982	3982	51.5777
ENST00000261636.13	3197	2998	2998	51.5777
ENST00000298231.5	1699	1500	1500	51.5777
ENST00000246747.9	932	733	733	51.5777
ENST00000260746.6	3834	3635	3635	51.5777
ENST00000358595.10	4710	4511	4511	51.5777
ENST00000403290.6	2787	2588	2588	51.5777
ENST00000307959.9	1310	1111	1111	51.5777
ENST00000420843.7	7352	7153	7153	51.5777
ENST00000269260.7	1778	1579	1579	51.5777
ENST00000216124.10	4294	4095	4095	51.5777
ENST00000264914.10	4852	4653	4653	51.5777
ENST00000674429.1	6622	6423	6423	51.5777
ENST00000381154.6	5145	4946	4946	51.5777
ENST00000381134.9	2219	2020	2020	51.5777
ENST00000381127.6	2165	1966	1966	51.5777
ENST00000250693.2	1315	1116	1116	51.5777
ENST00000355810.9	1557	1358	1358	51.5777
ENST00000228936.6	5160	4961	4961	51.5777
ENST00000263207.8	4056	3857	3857	51.5777
ENST00000637790.2	2779	2580	2580	51.5777
ENST00000266744.4	2481	2282	2282	51.5777
ENST00000331289.5	1485	1286	1286	51.5777
ENST00000269299.8	1310	1111	1111	51.5777
ENST00000691900.1	1448	1249	1249	51.5777
ENST00000374954.4	653	454	454	51.5777
ENST00000304874.14	2140	1941	1941	51.5777
ENST00000381241.9	1330	1131	1131	51.5777
ENST00000357332.8	1275	1076	1076	51.5777
ENST00000394308.8	2385	2186	2186	51.5777
ENST00000263080.3	5422	5223	5223	51.5777
ENST00000379454.9	5301	5102	5102	51.5777
ENST00000352480.10	1532	1333	1333	51.5777
ENST00000361833.7	7138	6939	6939	51.5777
ENST00000367698.4	1552	1353	1353	51.5777
ENST00000268489.10	15817	15618	15618	51.5777
ENST00000262053.8	2412	2213	2213	51.5777
ENST00000341491.9	1940	1741	1741	51.5777
ENST00000674920.3	1419	1220	1220	51.5777
ENST00000236959.14	1972	1773	1773	51.5777
ENST00000675843.1	12915	12716	12716	51.5777
ENST00000400908.7	8009	7810	7810	51.5777
ENST00000306011.6	2212	2013	2013	51.5777
ENST00000313115.11	471	272	272	51.5777
ENST00000295598.10	3670	3471	3471	51.5777
ENST00000361216.8	5435	5236	5236	51.5777
ENST00000648268.1	3551	3352	3352	51.5777
ENST00000381946.5	4406	4207	4207	51.5777
ENST00000368081.9	3809	3610	3610	51.5777
ENST00000367815.9	2216	2017	2017	51.5777
ENST00000250111.9	3341	3142	3142	51.5777
ENST00000286371.8	1847	1648	1648	51.5777
ENST00000292079.7	589	390	390	51.5777
ENST00000395503.9	3493	3294	3294	51.5777
ENST00000539276.7	8295	8096	8096	51.5777
ENST00000397041.8	4695	4496	4496	51.5777
ENST00000428670.8	7062	6863	6863	51.5777
ENST00000360273.7	8964	8765	8765	51.5777
ENST00000263519.5	6774	6575	6575	51.5777
ENST00000357681.10	8697	8498	8498	51.5777
ENST00000262623.4	3721	3522	3522	51.5777
ENST00000335288.5	1500	1301	1301	51.5777
ENST00000398752.11	5761	5562	5562	51.5777
ENST00000409134.8	4765	4566	4566	51.5777
ENST00000262030.8	1759	1560	1560	51.5777
ENST00000356708.12	1101	902	902	51.5777
ENST00000215375.7	995	796	796	51.5777
ENST00000243997.8	3610	3411	3411	51.5777
ENST00000369722.8	2628	2429	2429	51.5777
ENST00000393366.7	646	447	447	51.5777
ENST00000394349.9	632	433	433	51.5777
ENST00000284727.9	2587	2388	2388	51.5777
ENST00000304312.5	303	104	104	51.5777
ENST00000284971.8	526	327	327	51.5777
ENST00000273398.8	4575	4376	4376	51.5777
ENST00000234396.10	1907	1708	1708	51.5777
ENST00000276390.7	2856	2657	2657	51.5777
ENST00000330398.9	1093	894	894	51.5777
ENST00000518738.2	5635	5436	5436	51.5777
ENST00000253413.10	1333	1134	1134	51.5777
ENST00000472174.7	987	788	788	51.5777
ENST00000303892.10	1370	1171	1171	51.5777
ENST00000343619.9	4106	3907	3907	51.5777
ENST00000369762.7	2054	1855	1855	51.5777
ENST00000341514.11	8492	8293	8293	51.5777
ENST00000290299.7	756	557	557	51.5777
ENST00000242839.10	6598	6399	6399	51.5777
ENST00000350721.9	8158	7959	7959	51.5777
ENST00000373344.11	11165	10966	10966	51.5777
ENST00000498729.9	9131	8932	8932	51.5777
ENST00000375731.9	1574	1375	1375	51.5777
ENST00000377526.4	1458	1259	1259	51.5777
