transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000678782.1		172	100	v5b_MANE_exflank_PE_100	73	1.0	73	0	0.0	-1.0	73	0	0.0	-1.0	73	0	0.0	-1.0	73	0	0.0	-1.0
ENST00000683890.1		190	100	v5b_MANE_exflank_PE_100	91	1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0
ENST00000684204.1		184	100	v5b_MANE_exflank_PE_100	85	1.0	85	0	0.0	-1.0	85	0	0.0	-1.0	85	0	0.0	-1.0	85	0	0.0	-1.0
ENST00000597346.1		91767	100	v5b_MANE_exflank_PE_100	91668	0.997382	250	0	0.0	-0.997382	400	0	0.0	-0.997382	500	0	0.0	-0.997382	600	0	0.0	-0.997382
ENST00000501122.4		22843	100	v5b_MANE_exflank_PE_100	22744	0.995515	250	0	0.0	-0.995515	400	0	0.0	-0.995515	500	0	0.0	-0.995515	600	0	0.0	-0.995515
ENST00000330753.6		33782	100	v5b_MANE_exflank_PE_100	33683	0.994537	250	0	0.0	-0.994537	400	0	0.0	-0.994537	500	0	0.0	-0.994537	600	0	0.0	-0.994537
ENST00000588001.2		1117	100	v5b_MANE_exflank_PE_100	1018	0.992141	250	0	0.0	-0.992141	400	0	0.0	-0.992141	500	0	0.0	-0.992141	600	0	0.0	-0.992141
ENST00000331327.5		11611	100	v5b_MANE_exflank_PE_100	11512	0.99114	250	0	0.0	-0.99114	400	0	0.0	-0.99114	500	0	0.0	-0.99114	600	0	0.0	-0.99114
ENST00000515384.2		10710	100	v5b_MANE_exflank_PE_100	10611	0.990387	250	0	0.0	-0.990387	400	0	0.0	-0.990387	500	0	0.0	-0.990387	600	0	0.0	-0.990387
ENST00000395699.5		9332	100	v5b_MANE_exflank_PE_100	9233	0.988953	250	0	0.0	-0.988953	400	0	0.0	-0.988953	500	0	0.0	-0.988953	600	0	0.0	-0.988953
ENST00000340634.6		9190	100	v5b_MANE_exflank_PE_100	9091	0.98878	250	0	0.0	-0.98878	400	0	0.0	-0.98878	500	0	0.0	-0.98878	600	0	0.0	-0.98878
ENST00000322002.5		9102	100	v5b_MANE_exflank_PE_100	9003	0.98867	250	0	0.0	-0.98867	400	0	0.0	-0.98867	500	0	0.0	-0.98867	600	0	0.0	-0.98867
ENST00000491143.3		16534	100	v5b_MANE_exflank_PE_100	16435	0.988622	250	0	0.0	-0.988622	400	0	0.0	-0.988622	500	0	0.0	-0.988622	600	0	0.0	-0.988622
ENST00000314940.7		8813	100	v5b_MANE_exflank_PE_100	8714	0.988295	250	0	0.0	-0.988295	400	0	0.0	-0.988295	500	0	0.0	-0.988295	600	0	0.0	-0.988295
ENST00000323534.5		8502	100	v5b_MANE_exflank_PE_100	8403	0.987861	250	0	0.0	-0.987861	400	0	0.0	-0.987861	500	0	0.0	-0.987861	600	0	0.0	-0.987861
ENST00000606183.4		8481	100	v5b_MANE_exflank_PE_100	8382	0.987831	250	0	0.0	-0.987831	400	0	0.0	-0.987831	500	0	0.0	-0.987831	600	0	0.0	-0.987831
ENST00000269856.5		9640	100	v5b_MANE_exflank_PE_100	9541	0.987632	250	0	0.0	-0.987632	400	0	0.0	-0.987632	500	0	0.0	-0.987632	600	0	0.0	-0.987632
ENST00000322527.4		21573	100	v5b_MANE_exflank_PE_100	21474	0.98752	250	0	0.0	-0.98752	400	0	0.0	-0.98752	500	0	0.0	-0.98752	600	0	0.0	-0.98752
ENST00000322716.8		8189	100	v5b_MANE_exflank_PE_100	8090	0.987392	250	0	0.0	-0.987392	400	0	0.0	-0.987392	500	0	0.0	-0.987392	600	0	0.0	-0.987392
ENST00000306549.6		8073	100	v5b_MANE_exflank_PE_100	7974	0.987208	250	0	0.0	-0.987208	400	0	0.0	-0.987208	500	0	0.0	-0.987208	600	0	0.0	-0.987208
ENST00000563281.2		6724	100	v5b_MANE_exflank_PE_100	6625	0.98717	250	0	0.0	-0.98717	400	0	0.0	-0.98717	500	0	0.0	-0.98717	600	0	0.0	-0.98717
ENST00000651154.1		14676	100	v5b_MANE_exflank_PE_100	14577	0.986966	250	0	0.0	-0.986966	400	0	0.0	-0.986966	500	0	0.0	-0.986966	600	0	0.0	-0.986966
ENST00000609438.2		14138	100	v5b_MANE_exflank_PE_100	14039	0.986822	250	0	0.0	-0.986822	400	0	0.0	-0.986822	500	0	0.0	-0.986822	600	0	0.0	-0.986822
ENST00000327381.7		20343	100	v5b_MANE_exflank_PE_100	20244	0.986762	250	0	0.0	-0.986762	400	0	0.0	-0.986762	500	0	0.0	-0.986762	600	0	0.0	-0.986762
ENST00000253255.7		7781	100	v5b_MANE_exflank_PE_100	7682	0.986722	250	0	0.0	-0.986722	400	0	0.0	-0.986722	500	0	0.0	-0.986722	600	0	0.0	-0.986722
ENST00000381440.5		7766	100	v5b_MANE_exflank_PE_100	7667	0.986696	250	0	0.0	-0.986696	400	0	0.0	-0.986696	500	0	0.0	-0.986696	600	0	0.0	-0.986696
