transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000363593.2		237	150	v5n_MANE_exflank_PE_150	88	1.0	88	0	0.0	-1.0	88	0	0.0	-1.0	88	0	0.0	-1.0	88	0	0.0	-1.0
ENST00000676205.1		238	150	v5n_MANE_exflank_PE_150	89	1.0	89	0	0.0	-1.0	89	0	0.0	-1.0	89	0	0.0	-1.0	89	0	0.0	-1.0
ENST00000678782.1		172	150	v5n_MANE_exflank_PE_150	23	1.0	23	0	0.0	-1.0	23	0	0.0	-1.0	23	0	0.0	-1.0	23	0	0.0	-1.0
ENST00000683890.1		190	150	v5n_MANE_exflank_PE_150	41	1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0
ENST00000684204.1		184	150	v5n_MANE_exflank_PE_150	35	1.0	35	0	0.0	-1.0	35	0	0.0	-1.0	35	0	0.0	-1.0	35	0	0.0	-1.0
ENST00000588001.2		1117	150	v5n_MANE_exflank_PE_150	968	0.998967	250	0	0.0	-0.998967	400	0	0.0	-0.998967	500	0	0.0	-0.998967	600	0	0.0	-0.998967
ENST00000597346.1		91767	150	v5n_MANE_exflank_PE_150	91618	0.998887	250	0	0.0	-0.998887	400	0	0.0	-0.998887	500	0	0.0	-0.998887	600	0	0.0	-0.998887
ENST00000501122.4		22843	150	v5n_MANE_exflank_PE_150	22694	0.995505	250	0	0.0	-0.995505	400	0	0.0	-0.995505	500	0	0.0	-0.995505	600	0	0.0	-0.995505
ENST00000330753.6		33732	150	v5n_MANE_exflank_PE_150	33583	0.994521	250	0	0.0	-0.994521	400	0	0.0	-0.994521	500	0	0.0	-0.994521	600	0	0.0	-0.994521
ENST00000322527.4		21444	150	v5n_MANE_exflank_PE_150	21295	0.991125	250	0	0.0	-0.991125	400	0	0.0	-0.991125	500	0	0.0	-0.991125	600	0	0.0	-0.991125
ENST00000331327.5		11611	150	v5n_MANE_exflank_PE_150	11462	0.991101	250	0	0.0	-0.991101	400	0	0.0	-0.991101	500	0	0.0	-0.991101	600	0	0.0	-0.991101
