risk_level	doi	pmcid	title	year	journal	n_citations	rationale	verified_policy	combo	bio_HLA	bio_MHC	bio_pseudogene	bio_cancer	bio_DE_signature	bio_classify_patient	bio_immune_evasion	bio_immunotherapy	bio_AMP	bio_multimapper_note	likely_scrna	likely_bulk	github_links
MEDIUM	10.1038/s41467-021-25771-5		Single-cell RNA sequencing of peripheral blood mononuclear cells from acute Kawasaki disease patients	2021	Nature Communications	159	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			False	True	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41598-021-95718-9		Comprehensive analysis of immune cell enrichment in the tumor microenvironment of head and neck squamous cell carcinoma	2021	Scientific Reports	61	HLA/MHC or pseudogene mentioned + DE signature used + cancer context; cancer-specific pseudogene derepression changes multimapping landscape between tumor and normal → differential bias not cancelled by DE.			True	False	False	True	True	False	False	True	False	False	False	False	
MEDIUM	10.1038/s41467-022-28315-7		Myeloid cell interferon responses correlate with clearance of SARS-CoV-2	2022	Nature Communications	58	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41598-020-65042-9		Circulating lymphocytes and monocytes transcriptomic analysis of patients with type 2 diabetes mellitus, dyslipidemia and periodontitis	2020	Scientific Reports	41	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41467-021-24730-4		Single-cell RNA sequencing reveals ex vivo signatures of SARS-CoV-2-reactive T cells through ‘reverse phenotyping’	2021	Nature Communications	40	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41598-022-15482-2		Role of GBP1 in innate immunity and potential as a tuberculosis biomarker	2022	Scientific Reports	38	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41467-025-59339-4		Single-cell RNA sequencing dissects the immunosuppressive signatures in Helicobacter pylori-infected human gastric ecosystem	2025	Nature Communications	21	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	True	False	False	False	False	False	
MEDIUM	10.1038/s41467-025-56363-2		Single cell profiling of circulating autoreactive CD4 T cells from patients with autoimmune liver diseases suggests tissue imprinting	2025	Nature Communications	12	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	False	
MEDIUM	10.1038/s41598-025-85799-1		Combining machine learning and single-cell sequencing to identify key immune genes in sepsis	2025	Scientific Reports	6	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	False	False	False	True	False	False	False	False	False	False	True	
MEDIUM	10.1038/s41598-024-57052-8		Peripheral blood transcriptomic analysis identifies potential inflammation and immune signatures for central retinal artery occlusion	2024	Scientific Reports	5	HLA/MHC in DE analysis; patient-level classification not detected, but HLA DE results may still be affected by multimapper handling.			True	True	False	False	True	False	False	False	False	False	False	False	
