transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000437818.1	292	0	292	0	0.0
ENST00000251372.8	3492	0	3492	0	0.0
ENST00000434248.6	8817	0	8814	3	0.0
ENST00000270747.8	3738	0	3738	0	0.0
ENST00000438167.8	740	0	740	0	0.0
ENST00000437198.7	3695	0	3695	0	0.0
ENST00000292586.11	1350	0	1350	0	0.0
ENST00000377179.4	2964	0	2964	0	0.0
ENST00000692443.1	1783	0	1783	0	0.0
ENST00000437316.7	1368	0	1368	0	0.0
ENST00000268668.11	779	0	779	0	0.0
ENST00000233997.4	1037	0	1037	0	0.0
ENST00000648174.1	1499	0	537	962	0.0
ENST00000647769.1	1499	0	706	793	0.0
ENST00000336077.11	1822	0	872	950	0.0
ENST00000431365.3	1141	0	1141	0	0.0
ENST00000568546.6	7355	0	7355	0	0.0
ENST00000248114.7	2443	0	2443	0	0.0
ENST00000268661.8	2405	0	2405	0	0.0
ENST00000392017.9	3766	0	3766	0	0.0
ENST00000407683.6	2009	0	2009	0	0.0
ENST00000314357.4	381	0	381	0	0.0
ENST00000306270.12	6794	0	6794	0	0.0
ENST00000434618.7	3658	0	3599	59	0.0
ENST00000375896.9	2443	0	2443	0	0.0
ENST00000375527.3	2015	0	2015	0	0.0
ENST00000588872.3	2771	0	2771	0	0.0
ENST00000328867.9	3675	0	3675	0	0.0
ENST00000571838.2	1215	0	1215	0	0.0
ENST00000345540.10	1659	0	553	1106	0.0
ENST00000648435.1	1499	0	742	757	0.0
ENST00000375599.8	1704	0	1704	0	0.0
ENST00000314265.3	368	0	368	0	0.0
ENST00000335186.3	388	0	388	0	0.0
ENST00000334773.7	1361	0	1361	0	0.0
ENST00000651894.2	453	0	453	0	0.0
ENST00000330978.4	477	0	477	0	0.0
ENST00000265720.8	2474	0	2474	0	0.0
ENST00000313766.6	3436	0	3436	0	0.0
ENST00000650288.1	1499	0	920	579	0.0
ENST00000648590.1	1499	0	923	576	0.0
ENST00000684052.1	3375	0	3375	0	0.0
ENST00000650426.1	1499	0	537	962	0.0
ENST00000648344.1	1499	0	629	870	0.0
ENST00000339133.6	1000	0	1000	0	0.0
ENST00000695418.1	2407	0	2407	0	0.0
ENST00000418107.3	1504	0	1504	0	0.0
ENST00000431845.3	2712	0	2712	0	0.0
ENST00000506444.1	1499	0	681	818	0.0
ENST00000514465.1	1499	0	667	832	0.0
ENST00000396388.3	2264	0	2264	0	0.0
ENST00000221954.7	1343	0	1343	0	0.0
ENST00000647903.1	1499	0	706	793	0.0
