cluster_id	cluster_size	n_genes	n_protein_coding	n_pseudogene	n_other	mixed_pc_pseudo	gene_names	window_bp
C1_30bb26724d	216	1	0	0	216	0	SNHG1	400
C2_a22edfbeeb	169	1	0	0	169	0	GUSBP11	400
C3_14d465728f	146	1	0	0	146	0	PVT1	400
C4_6eb3d5592c	106	1	0	0	106	0	ENSG00000304309	400
C5_76071c3665	99	1	0	0	99	0	WASH9P	400
C6_9bed34195f	92	1	0	0	92	0	MTMR9LP	400
C7_d6b492cd90	91	1	91	0	0	0	GSN	400
C8_0a29faa996	90	1	90	0	0	0	ZBTB20	400
C9_c06a353419	82	29	68	0	14	0	ENSG00000283784;ENSG00000283902;KIR2DL4	400
C10_584bb67763	80	1	80	0	0	0	TEAD2	400
C11_c1140cd59f	77	2	0	0	77	0	ENSG00000291134;ENSG00000310523	400
C12_3593797e83	77	4	0	0	77	0	ENSG00000285702;ENSG00000304176;ENSG00000310534;ENSG00000310535	400
C13_ba84785828	76	2	72	0	4	0	EEF1D	400
C14_fb0a0b60fb	74	1	74	0	0	0	SORBS1	400
C15_b2dda8d4ff	73	7	45	0	28	0	EHMT2	400
C16_a7e283bcaa	73	1	0	0	73	0	FAM66A	400
C17_b7fc59a095	65	1	0	0	65	0	SNHG1	400
C18_f0b316bfcb	64	1	0	0	64	0	WASH9P	400
C19_e384b33729	63	1	0	0	63	0	WASH7P	400
C20_ca261d4160	63	1	63	0	0	0	LRRFIP2	400
C21_0c73c4d3a3	63	3	0	0	63	0	ENSG00000294171;H19	400
C22_aa179fe130	60	1	57	0	3	0	SUN1	400
C23_562908b0e7	60	1	0	0	60	0	ENSG00000304309	400
C24_63236ec887	60	1	0	0	60	0	SNHG17	400
C25_8409d6a2ae	59	1	59	0	0	0	PUM1	400
C26_256a7d9238	59	1	0	0	59	0	PDE4DIPP6	400
C27_dca3a11c29	58	4	55	0	3	0	DDR1	400
C28_85f593aedc	57	1	0	0	57	0	ENSG00000291176	400
C29_ad7df7431c	56	7	21	0	35	0	NRM	400
C30_8c67fd9e86	55	7	34	0	21	0	AGER	400
C31_bef0753f21	55	1	53	0	2	0	DGLUCY	400
C32_6e7de43262	55	1	0	0	55	0	ENSG00000290927	400
C33_40eb389dbc	55	1	0	0	55	0	MIR663AHG	400
C34_6da2721367	54	1	0	0	54	0	GIRGL	400
C35_0082d62bca	54	1	54	0	0	0	CNDP2	400
C36_a84c4753db	53	1	2	0	51	0	MTO1	400
C37_cb4df5954a	52	10	26	0	26	0	ATP6V1G2-DDX39B;DDX39B;ENSG00000254899	400
C38_b976d03fec	52	7	45	0	7	0	AGPAT1	400
C39_7e9430cc10	52	1	52	0	0	0	PPP6R3	400
C40_d77a43f718	51	1	50	0	1	0	FOXP1	400
C41_5cda6c38e5	51	1	51	0	0	0	SORBS2	400
C42_13caf19ec8	51	7	30	0	21	0	DDAH2	400
C43_1f441943fb	51	1	50	0	1	0	EPB41L2	400
C44_2510de848c	50	1	48	0	2	0	PFKM	400
C45_d9cfb49b23	50	2	50	0	0	0	SERPINF2	400
C46_85e202ddfa	49	1	48	0	1	0	PHC1	400
C47_9fbcc97163	49	1	49	0	0	0	ZFAND6	400
C48_d4ff37b598	49	1	0	0	49	0	ENSG00000290823	400
C49_23e1861e9d	49	1	49	0	0	0	ARMCX2	400
C50_ad59449787	49	9	49	0	0	0	OSCAR	400
C51_14eba6b003	48	1	0	0	48	0	WASH9P	400
C52_9f89f5369c	48	2	0	0	48	0	CDRT15P3;LINC03124	400
C53_5027ac8ae8	48	6	6	0	42	0	MUC4	400
C54_ffea7c4717	48	1	31	0	17	0	TRIM2	400
C55_daea8dbbc0	48	1	0	0	48	0	ENSG00000304309	400
C56_93e1a54bbd	48	1	0	0	48	0	SNHG17	400
C57_72256f768f	48	6	30	0	18	0	MPIG6B	400
C58_ded0274e10	47	1	47	0	0	0	MADD	400
C59_fba5fa71d0	47	1	0	0	47	0	SNHG14	400
C60_afb8e064de	46	1	0	0	46	0	LINC01138	400
C61_18f7c2821e	46	1	46	0	0	0	PLS1	400
C62_089855ce0e	46	2	0	0	46	0	ENSG00000310533;ENSG00000310537	400
C63_a4cc9a984b	45	3	0	0	45	0	ENSG00000295602;ENSG00000297805;ENSG00000300022	400
C64_2516b65356	45	7	0	0	45	0	HCG18	400
C65_4b161021d6	44	1	44	0	0	0	NFYC	400
C66_26573b34ca	44	3	7	0	37	0	GBA1;GBA1LP	400
C67_5fbd9d693c	44	1	29	0	15	0	TAF6	400
C68_af77c36a3f	44	1	24	0	20	0	MTMR2	400
C69_7e45f7397d	43	1	0	0	43	0	WASH7P	400
C70_e406aab8a1	43	1	43	0	0	0	MIB2	400
C71_90ca3b7e6e	43	1	43	0	0	0	ZBTB20	400
C72_228dc0390c	43	5	32	0	11	0	SNHG32	400
C73_4c50e9009d	43	6	17	0	26	0	WHR1	400
C74_04dd25901e	43	3	43	0	0	0	PTP4A3	400
C75_36151da3d3	43	1	43	0	0	0	UBA1	400
C76_eb82beb287	42	1	0	0	42	0	TEX41	400
C77_95e55d5f31	42	1	0	0	42	0	LINC00635	400
C78_40ebdc7cce	41	1	41	0	0	0	ZBTB20	400
C79_d666c48aa2	41	1	41	0	0	0	TFR2	400
C80_55b7379b1e	41	2	37	0	4	0	SLC52A2	400
C81_6a0db4bcb1	41	1	41	0	0	0	GSN	400
C82_2ee2187cdd	40	1	40	0	0	0	LRRFIP2	400
C83_7e9d1ac804	40	1	35	0	5	0	TFG	400
C84_528ee4b92c	39	1	39	0	0	0	PUM1	400
C85_6c7899430c	39	1	13	0	26	0	STAMBP	400
C86_793681a5c2	39	1	39	0	0	0	BIN1	400
C87_24865538cb	39	1	38	0	1	0	LRRFIP1	400
C88_f86bafeed9	39	1	32	0	7	0	ANK2	400
C89_da89b4e6ab	39	8	15	0	24	0	PRRT1	400
C90_7aa1605f4f	39	1	0	0	39	0	ENSG00000304309	400
C91_3216546b4b	38	3	0	0	38	0	DDX11L16;DDX11L2	400
C92_f216ae09dc	38	1	0	0	38	0	ENSG00000310523	400
C93_c2c358a971	38	6	15	0	23	0	DXO	400
C94_8da0c7b2c6	38	6	0	0	38	0	ENSG00000304176;ENSG00000310533;ENSG00000310534;ENSG00000310535;ENSG00000310536;ENSG00000310537	400
C95_e06cd83b63	38	1	38	0	0	0	EGFL7	400
C96_d71539bcbc	38	1	38	0	0	0	SHLD2	400
C97_876c3471b2	38	1	38	0	0	0	DGLUCY	400
C98_f39a00e078	37	1	33	0	4	0	MIB2	400
C99_1ced7ff68b	37	1	34	0	3	0	MUTYH	400
C100_32f0495774	37	1	37	0	0	0	MRPL55	400
C101_ad93db40c0	37	1	36	0	1	0	LRRFIP2	400
C102_31a7d8077b	37	6	8	0	29	0	LSM2	400
C103_3cbdb14668	37	1	0	0	37	0	LINC-PINT	400
C104_e1b556b350	37	1	37	0	0	0	SFTPA1	400
C105_c11a3357f0	37	1	36	0	1	0	NDRG2	400
C106_62dec13a43	37	1	3	0	34	0	BBS2	400
C107_b87fdd9734	37	1	0	0	37	0	MIR99AHG	400
C108_17a63dd483	37	2	37	0	0	0	FAM156A;FAM156B	400
C109_175a52adf5	36	2	0	0	36	0	LINC00869;LINC01145	400
C110_26c9ad83c4	36	7	15	0	21	0	PRR3	400
C111_5d3ccd6db3	36	1	36	0	0	0	HMGA1	400
C112_81a7885e27	36	1	17	0	19	0	ALG8	400
C113_ab5ab9984f	36	1	34	0	2	0	CERS4	400
C114_932765d29d	36	6	36	0	0	0	PPP1R11	400
C115_a6a1a7d11a	35	1	35	0	0	0	EPHX1	400
C116_5e11146a14	35	1	33	0	2	0	COQ8A	400
C117_927a352161	35	1	35	0	0	0	SPATS2L	400
