transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000544440.7		15077	75	v2j_dedupcds_RNA_SE_75	15003	0.938279	250	0	0.0	-0.938279	400	0	0.0	-0.938279	500	0	0.0	-0.938279	600	0	0.0	-0.938279
ENST00000409508.8		14343	75	v2j_dedupcds_RNA_SE_75	14269	0.94877	250	0	0.0	-0.94877	400	9	0.0225	-0.92627	500	9	0.018	-0.93077	600	50	0.083333	-0.865437
ENST00000300648.7		8681	75	v2j_dedupcds_RNA_SE_75	8607	0.927849	250	0	0.0	-0.927849	400	0	0.0	-0.927849	500	0	0.0	-0.927849	600	0	0.0	-0.927849
ENST00000306151.9		14352	75	v2j_dedupcds_RNA_SE_75	14278	0.921348	250	0	0.0	-0.921348	400	0	0.0	-0.921348	500	0	0.0	-0.921348	600	0	0.0	-0.921348
ENST00000243077.8		14923	75	v2j_dedupcds_RNA_SE_75	14849	0.916762	250	0	0.0	-0.916762	400	0	0.0	-0.916762	500	0	0.0	-0.916762	600	0	0.0	-0.916762
ENST00000398571.7		11675	75	v2j_dedupcds_RNA_SE_75	11601	0.915352	250	0	0.0	-0.915352	400	0	0.0	-0.915352	500	0	0.0	-0.915352	600	0	0.0	-0.915352
ENST00000369393.8		18485	75	v2j_dedupcds_RNA_SE_75	18411	0.907718	250	0	0.0	-0.907718	400	0	0.0	-0.907718	500	0	0.0	-0.907718	600	0	0.0	-0.907718
ENST00000323853.10		7194	75	v2j_dedupcds_RNA_SE_75	7120	0.897331	250	0	0.0	-0.897331	400	0	0.0	-0.897331	500	0	0.0	-0.897331	600	0	0.0	-0.897331
ENST00000306749.4		8464	75	v2j_dedupcds_RNA_SE_75	8390	0.89559	250	0	0.0	-0.89559	400	0	0.0	-0.89559	500	0	0.0	-0.89559	600	0	0.0	-0.89559
ENST00000264233.6		8757	75	v2j_dedupcds_RNA_SE_75	8683	0.892664	250	0	0.0	-0.892664	400	0	0.0	-0.892664	500	0	0.0	-0.892664	600	0	0.0	-0.892664
ENST00000375759.8		12385	75	v2j_dedupcds_RNA_SE_75	12311	0.891317	250	0	0.0	-0.891317	400	0	0.0	-0.891317	500	0	0.0	-0.891317	600	0	0.0	-0.891317
ENST00000314888.10		8623	75	v2j_dedupcds_RNA_SE_75	8549	0.889461	250	0	0.0	-0.889461	400	0	0.0	-0.889461	500	0	0.0	-0.889461	600	0	0.0	-0.889461
ENST00000379458.9		11248	75	v2j_dedupcds_RNA_SE_75	11174	0.886164	250	0	0.0	-0.886164	400	0	0.0	-0.886164	500	0	0.0	-0.886164	600	0	0.0	-0.886164
ENST00000253255.7		7681	75	v2j_dedupcds_RNA_SE_75	7607	0.885369	250	0	0.0	-0.885369	400	0	0.0	-0.885369	500	0	0.0	-0.885369	600	0	0.0	-0.885369
ENST00000368223.4		5568	75	v2j_dedupcds_RNA_SE_75	5494	0.881689	250	0	0.0	-0.881689	400	0	0.0	-0.881689	500	0	0.0	-0.881689	600	67	0.111667	-0.770022
ENST00000361673.4		7437	75	v2j_dedupcds_RNA_SE_75	7363	0.88157	250	0	0.0	-0.88157	400	0	0.0	-0.88157	500	0	0.0	-0.88157	600	50	0.083333	-0.798237
ENST00000374469.6		12205	75	v2j_dedupcds_RNA_SE_75	12131	0.881543	250	0	0.0	-0.881543	400	0	0.0	-0.881543	500	0	0.0	-0.881543	600	0	0.0	-0.881543
ENST00000262189.11		16860	75	v2j_dedupcds_RNA_SE_75	16786	0.876564	250	0	0.0	-0.876564	400	0	0.0	-0.876564	500	0	0.0	-0.876564	600	0	0.0	-0.876564
ENST00000217939.7		9804	75	v2j_dedupcds_RNA_SE_75	9730	0.86999	250	0	0.0	-0.86999	400	0	0.0	-0.86999	500	0	0.0	-0.86999	600	0	0.0	-0.86999
ENST00000565624.3		13770	75	v2j_dedupcds_RNA_SE_75	13696	0.864486	250	0	0.0	-0.864486	400	0	0.0	-0.864486	500	0	0.0	-0.864486	600	0	0.0	-0.864486
ENST00000301030.10		9301	75	v2j_dedupcds_RNA_SE_75	9227	0.863769	250	0	0.0	-0.863769	400	0	0.0	-0.863769	500	0	0.0	-0.863769	600	0	0.0	-0.863769
ENST00000361428.3		8210	75	v2j_dedupcds_RNA_SE_75	8136	0.859882	250	0	0.0	-0.859882	400	0	0.0	-0.859882	500	0	0.0	-0.859882	600	0	0.0	-0.859882
ENST00000367549.4		4493	75	v2j_dedupcds_RNA_SE_75	4419	0.857886	250	0	0.0	-0.857886	400	0	0.0	-0.857886	500	0	0.0	-0.857886	600	78	0.13	-0.727886
ENST00000569591.3		5188	75	v2j_dedupcds_RNA_SE_75	5114	0.850411	250	0	0.0	-0.850411	400	0	0.0	-0.850411	500	0	0.0	-0.850411	600	0	0.0	-0.850411
ENST00000262623.4		3721	75	v2j_dedupcds_RNA_SE_75	3647	0.846175	250	0	0.0	-0.846175	400	0	0.0	-0.846175	500	0	0.0	-0.846175	600	42	0.07	-0.776175
ENST00000288078.11		3907	75	v2j_dedupcds_RNA_SE_75	3833	0.843465	250	0	0.0	-0.843465	400	0	0.0	-0.843465	500	0	0.0	-0.843465	600	32	0.053333	-0.790132
ENST00000644991.3		8261	75	v2j_dedupcds_RNA_SE_75	8187	0.840112	250	0	0.0	-0.840112	400	0	0.0	-0.840112	500	0	0.0	-0.840112	600	0	0.0	-0.840112
ENST00000301740.13		9044	75	v2j_dedupcds_RNA_SE_75	8970	0.836901	250	0	0.0	-0.836901	400	0	0.0	-0.836901	500	0	0.0	-0.836901	600	81	0.135	-0.701901
ENST00000317276.9		4676	75	v2j_dedupcds_RNA_SE_75	4602	0.83681	250	0	0.0	-0.83681	400	0	0.0	-0.83681	500	0	0.0	-0.83681	600	30	0.05	-0.78681
ENST00000164024.5		11933	75	v2j_dedupcds_RNA_SE_75	11859	0.836243	250	0	0.0	-0.836243	400	0	0.0	-0.836243	500	0	0.0	-0.836243	600	0	0.0	-0.836243
ENST00000291495.5		4199	75	v2j_dedupcds_RNA_SE_75	4125	0.836121	250	0	0.0	-0.836121	400	0	0.0	-0.836121	500	0	0.0	-0.836121	600	0	0.0	-0.836121
ENST00000643185.2		11476	75	v2j_dedupcds_RNA_SE_75	11402	0.832924	250	0	0.0	-0.832924	400	0	0.0	-0.832924	500	0	0.0	-0.832924	600	0	0.0	-0.832924
ENST00000594866.3		5687	75	v2j_dedupcds_RNA_SE_75	5613	0.830394	250	0	0.0	-0.830394	400	0	0.0	-0.830394	500	0	0.0	-0.830394	600	0	0.0	-0.830394
ENST00000262518.9		11724	75	v2j_dedupcds_RNA_SE_75	11650	0.830129	250	0	0.0	-0.830129	400	0	0.0	-0.830129	500	0	0.0	-0.830129	600	0	0.0	-0.830129
