transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000326195.13	3256	0	3256	0	0.0
ENST00000216139.10	1281	0	1281	0	0.0
ENST00000573283.7	1770	0	1770	0	0.0
ENST00000252699.7	4841	0	4841	0	0.0
ENST00000376059.8	506	0	506	0	0.0
ENST00000374391.7	2370	0	2370	0	0.0
ENST00000370083.9	1636	0	1636	0	0.0
ENST00000330330.10	1636	0	1636	0	0.0
ENST00000622339.5	1636	0	1636	0	0.0
ENST00000381401.11	1302	0	1302	0	0.0
ENST00000216714.8	1304	0	1304	0	0.0
ENST00000381241.9	1181	0	1181	0	0.0
ENST00000303892.10	1221	0	1221	0	0.0
ENST00000233997.4	758	0	758	0	0.0
ENST00000392379.6	3378	0	3378	0	0.0
ENST00000684113.1	2796	0	2796	0	0.0
ENST00000647956.2	2339	0	2339	0	0.0
ENST00000299367.10	2461	0	2461	0	0.0
ENST00000435363.7	5278	0	5278	0	0.0
ENST00000542230.7	2183	0	2183	0	0.0
ENST00000399603.6	13595	0	13548	47	0.0
ENST00000399655.6	13595	0	13548	47	0.0
ENST00000376568.8	3687	0	3687	0	0.0
ENST00000302628.9	1305	0	1305	0	0.0
ENST00000341584.4	1328	0	1328	0	0.0
ENST00000370277.5	1264	0	1264	0	0.0
ENST00000221954.7	1012	0	1012	0	0.0
ENST00000216492.10	1836	0	1836	0	0.0
ENST00000306071.7	2411	0	2411	0	0.0
ENST00000375784.8	1050	0	1050	0	0.0
ENST00000345363.8	2554	0	2554	0	0.0
ENST00000341947.7	6273	0	6273	0	0.0
ENST00000258424.3	541	0	541	0	0.0
ENST00000360325.11	1393	0	1393	0	0.0
ENST00000375203.8	2477	0	2477	0	0.0
ENST00000314537.10	2388	0	2388	0	0.0
ENST00000282141.4	478	0	478	0	0.0
ENST00000264376.5	493	0	493	0	0.0
ENST00000572914.2	1095	0	1095	0	0.0
ENST00000381529.9	1666	0	1666	0	0.0
ENST00000375882.7	780	0	780	0	0.0
ENST00000328435.3	610	0	610	0	0.0
ENST00000361017.9	721	0	721	0	0.0
ENST00000433477.4	2754	0	2754	0	0.0
ENST00000617225.5	1417	0	1417	0	0.0
ENST00000268053.11	1688	0	1688	0	0.0
ENST00000405239.6	4186	0	4079	107	0.0
ENST00000398344.9	416	0	416	0	0.0
ENST00000382692.3	349	0	349	0	0.0
ENST00000297435.3	438	0	438	0	0.0
ENST00000330590.4	305	0	305	0	0.0
ENST00000297436.3	316	0	316	0	0.0
ENST00000302247.3	188	0	188	0	0.0
ENST00000327726.11	1042	0	1042	0	0.0
ENST00000361725.5	2207	0	2207	0	0.0
ENST00000337523.10	1320	0	1320	0	0.0
ENST00000400454.6	8422	0	8379	43	0.0
ENST00000344604.10	3036	0	3036	0	0.0
ENST00000397374.8	4675	0	4675	0	0.0
ENST00000361729.3	5047	0	5047	0	0.0
ENST00000221418.9	1051	0	1051	0	0.0
ENST00000618139.4	1941	0	1910	31	0.0
ENST00000263621.2	760	0	760	0	0.0
ENST00000301843.13	3100	0	3100	0	0.0
ENST00000275815.4	3161	0	3161	0	0.0
ENST00000331222.6	6935	0	6935	0	0.0
ENST00000221801.8	976	0	976	0	0.0
ENST00000330927.5	1788	0	1788	0	0.0
ENST00000367412.2	2511	0	2511	0	0.0
ENST00000355524.8	2327	0	2327	0	0.0
ENST00000693622.1	924	0	924	0	0.0
ENST00000293829.9	2429	0	2429	0	0.0
ENST00000327031.9	4032	0	4032	0	0.0
ENST00000226798.9	829	0	829	0	0.0
ENST00000265708.9	2461	0	2461	0	0.0
ENST00000302262.8	3602	0	3602	0	0.0
ENST00000377034.9	4376	0	4376	0	0.0
ENST00000368373.8	2142	0	2142	0	0.0
ENST00000400723.8	1881	0	1881	0	0.0
ENST00000316170.9	4430	0	4430	0	0.0
ENST00000495262.7	4356	0	4356	0	0.0
ENST00000248114.7	2216	0	2216	0	0.0
ENST00000373614.7	396	0	396	0	0.0
ENST00000328078.3	2336	0	2336	0	0.0
ENST00000376621.8	6652	0	6652	0	0.0
ENST00000621141.5	1876	0	1876	0	0.0
ENST00000684052.1	3174	0	3174	0	0.0
ENST00000377741.4	1415	0	1415	0	0.0
ENST00000304402.6	2821	0	2821	0	0.0
ENST00000380728.7	1027	0	1027	0	0.0
ENST00000412168.7	1438	0	1438	0	0.0
ENST00000259895.9	1563	0	1563	0	0.0
ENST00000367415.8	1349	0	1349	0	0.0
ENST00000418107.3	1199	0	1199	0	0.0
ENST00000229829.7	3315	0	3315	0	0.0
ENST00000438763.7	1177	0	1177	0	0.0
ENST00000692443.1	1504	0	1504	0	0.0
ENST00000418931.7	3842	0	3842	0	0.0
ENST00000374940.4	1309	0	1309	0	0.0
ENST00000437316.7	1063	0	1063	0	0.0
ENST00000395388.7	1086	0	1086	0	0.0
ENST00000457451.7	1027	0	1027	0	0.0
ENST00000376630.5	2399	0	2399	0	0.0
ENST00000570646.6	1524	0	1524	0	0.0
ENST00000400677.5	1768	0	1768	0	0.0
ENST00000311189.8	921	0	921	0	0.0
ENST00000417302.7	1111	0	1111	0	0.0
ENST00000528838.6	1985	0	1985	0	0.0
ENST00000375651.7	2251	0	2251	0	0.0
ENST00000375650.5	2368	0	2368	0	0.0
ENST00000375654.5	2613	0	2613	0	0.0
ENST00000246896.8	398	0	398	0	0.0
ENST00000673563.1	383	0	383	0	0.0
ENST00000443024.7	4334	0	4334	0	0.0
ENST00000374561.6	801	0	801	0	0.0
ENST00000621160.5	503	0	503	0	0.0
ENST00000331035.10	1392	0	1392	0	0.0
ENST00000244174.11	1889	0	1889	0	0.0
ENST00000445964.6	4753	0	4753	0	0.0
ENST00000249842.8	2182	0	2182	0	0.0
ENST00000264741.10	7711	0	7711	0	0.0
ENST00000267615.11	6039	0	6039	0	0.0
ENST00000218176.4	4569	0	4569	0	0.0
ENST00000355265.7	2345	0	2345	0	0.0
ENST00000336077.11	1465	0	945	520	0.0
ENST00000612594.3	1465	0	875	590	0.0
ENST00000342376.4	1443	0	1002	441	0.0
ENST00000345540.10	1328	0	798	530	0.0
ENST00000621207.1	952	0	630	322	0.0
ENST00000614725.2	1012	0	961	51	0.0
ENST00000619771.2	1456	0	657	799	0.0
ENST00000614053.1	1452	0	1398	54	0.0
ENST00000391728.8	1722	0	1586	136	0.0
ENST00000326321.7	1728	0	1152	576	0.0
ENST00000618890.5	1727	0	1540	187	0.0
ENST00000428849.7	2242	0	2242	0	0.0
ENST00000251643.5	1731	0	1731	0	0.0
ENST00000251645.3	1466	0	1466	0	0.0
ENST00000007735.4	1154	0	1154	0	0.0
ENST00000251646.8	1467	0	1467	0	0.0
ENST00000394001.3	1486	0	1486	0	0.0
ENST00000307751.9	972	0	972	0	0.0
ENST00000261349.9	10103	0	10103	0	0.0
ENST00000311604.8	1436	0	1436	0	0.0
ENST00000418386.3	1267	0	1267	0	0.0
ENST00000429299.3	744	0	744	0	0.0
ENST00000292596.15	652	0	652	0	0.0
ENST00000292494.11	982	0	982	0	0.0
ENST00000342752.9	793	0	793	0	0.0
ENST00000684311.1	1737	0	1737	0	0.0
ENST00000370278.4	1533	0	1533	0	0.0
ENST00000348159.9	5763	0	5763	0	0.0
ENST00000375535.4	896	0	896	0	0.0
ENST00000381192.10	980	0	980	0	0.0
ENST00000252229.7	2267	0	2267	0	0.0
ENST00000215754.8	408	0	408	0	0.0
ENST00000215743.8	2112	0	2112	0	0.0
ENST00000375750.9	2572	0	2572	0	0.0
ENST00000463781.8	16607	0	16563	44	0.0
ENST00000621226.2	17299	0	17299	0	0.0
ENST00000300036.6	6731	0	6731	0	0.0
ENST00000452625.7	6791	0	6791	0	0.0
ENST00000328439.6	5408	0	5408	0	0.0
ENST00000649030.2	1757	0	1757	0	0.0
ENST00000485876.6	796	0	796	0	0.0
ENST00000498737.8	923	0	923	0	0.0
ENST00000268668.11	526	0	526	0	0.0
ENST00000233190.11	11511	0	11511	0	0.0
ENST00000263774.9	745	0	745	0	0.0
ENST00000250495.10	467	0	467	0	0.0
ENST00000375631.5	3204	0	3204	0	0.0
ENST00000250373.9	4613	0	4613	0	0.0
ENST00000313582.6	1043	0	1043	0	0.0
