transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000000233.10		1262	75	v3b_genome_exflank_SE_75	1188	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000001146.7		4786	75	v3b_genome_exflank_SE_75	4712	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000002165.11		2641	75	v3b_genome_exflank_SE_75	2567	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000002501.11		2234	75	v3b_genome_exflank_SE_75	2160	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000002829.8		4175	75	v3b_genome_exflank_SE_75	4101	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000004103.8		1289	75	v3b_genome_exflank_SE_75	1215	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000004982.6		1612	75	v3b_genome_exflank_SE_75	1538	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000005178.6		3961	75	v3b_genome_exflank_SE_75	3887	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000005180.9		627	75	v3b_genome_exflank_SE_75	553	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	553	0	0.0	-1.0
ENST00000005226.12		4017	75	v3b_genome_exflank_SE_75	3943	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
