transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000641819.1		7300	200	v6b_genome_RNA_PE_200	7101	0.766653	250	0	0.0	-0.766653	400	0	0.0	-0.766653	500	0	0.0	-0.766653	600	0	0.0	-0.766653
ENST00000382409.4		2190	200	v6b_genome_RNA_PE_200	1991	0.743847	250	0	0.0	-0.743847	400	0	0.0	-0.743847	500	0	0.0	-0.743847	600	90	0.15	-0.593847
ENST00000244221.9		6300	200	v6b_genome_RNA_PE_200	6101	0.892968	250	86	0.344	-0.548968	400	86	0.215	-0.677968	500	86	0.172	-0.720968	600	86	0.143333	-0.749635
ENST00000326317.11		2705	200	v6b_genome_RNA_PE_200	2506	0.719074	250	0	0.0	-0.719074	400	0	0.0	-0.719074	500	0	0.0	-0.719074	600	0	0.0	-0.719074
ENST00000409379.8		4531	200	v6b_genome_RNA_PE_200	4332	0.715374	250	0	0.0	-0.715374	400	0	0.0	-0.715374	500	0	0.0	-0.715374	600	0	0.0	-0.715374
ENST00000392977.8		4033	200	v6b_genome_RNA_PE_200	3834	0.71205	250	0	0.0	-0.71205	400	0	0.0	-0.71205	500	0	0.0	-0.71205	600	0	0.0	-0.71205
ENST00000381815.9		3318	200	v6b_genome_RNA_PE_200	3119	0.702148	250	0	0.0	-0.702148	400	0	0.0	-0.702148	500	0	0.0	-0.702148	600	0	0.0	-0.702148
ENST00000265849.12		5093	200	v6b_genome_RNA_PE_200	4894	0.68962	250	0	0.0	-0.68962	400	0	0.0	-0.68962	500	0	0.0	-0.68962	600	88	0.146667	-0.542953
ENST00000362031.10		3282	200	v6b_genome_RNA_PE_200	3083	0.682452	250	0	0.0	-0.682452	400	0	0.0	-0.682452	500	0	0.0	-0.682452	600	0	0.0	-0.682452
ENST00000291560.7		1900	200	v6b_genome_RNA_PE_200	1701	0.654321	250	0	0.0	-0.654321	400	0	0.0	-0.654321	500	0	0.0	-0.654321	600	12	0.02	-0.634321
ENST00000296589.9		1728	200	v6b_genome_RNA_PE_200	1529	0.644212	250	0	0.0	-0.644212	400	0	0.0	-0.644212	500	0	0.0	-0.644212	600	56	0.093333	-0.550879
ENST00000261965.8		3879	200	v6b_genome_RNA_PE_200	3680	0.610054	250	0	0.0	-0.610054	400	0	0.0	-0.610054	500	0	0.0	-0.610054	600	0	0.0	-0.610054
ENST00000487273.7		4112	200	v6b_genome_RNA_PE_200	3913	0.607973	250	0	0.0	-0.607973	400	0	0.0	-0.607973	500	0	0.0	-0.607973	600	0	0.0	-0.607973
ENST00000368376.8		1636	200	v6b_genome_RNA_PE_200	1437	0.60682	250	0	0.0	-0.60682	400	0	0.0	-0.60682	500	0	0.0	-0.60682	600	80	0.133333	-0.473487
ENST00000000412.8		2450	200	v6b_genome_RNA_PE_200	2251	0.696135	250	49	0.196	-0.500135	400	49	0.1225	-0.573635	500	49	0.098	-0.598135	600	49	0.081667	-0.614468
ENST00000276241.11		1441	200	v6b_genome_RNA_PE_200	1242	0.597424	250	0	0.0	-0.597424	400	0	0.0	-0.597424	500	12	0.024	-0.573424	600	112	0.186667	-0.410757
ENST00000617444.5		6434	200	v6b_genome_RNA_PE_200	6235	0.739374	250	85	0.34	-0.399374	400	85	0.2125	-0.526874	500	85	0.17	-0.569374	600	180	0.3	-0.439374
ENST00000369390.7		2396	200	v6b_genome_RNA_PE_200	2197	0.572144	250	0	0.0	-0.572144	400	0	0.0	-0.572144	500	6	0.012	-0.560144	600	106	0.176667	-0.395477
ENST00000316843.9		4212	200	v6b_genome_RNA_PE_200	4013	0.559432	250	0	0.0	-0.559432	400	0	0.0	-0.559432	500	0	0.0	-0.559432	600	0	0.0	-0.559432
ENST00000324266.10		2499	200	v6b_genome_RNA_PE_200	2300	0.531304	250	0	0.0	-0.531304	400	0	0.0	-0.531304	500	0	0.0	-0.531304	600	0	0.0	-0.531304
ENST00000326674.10		2462	200	v6b_genome_RNA_PE_200	2263	0.519222	250	0	0.0	-0.519222	400	0	0.0	-0.519222	500	0	0.0	-0.519222	600	0	0.0	-0.519222
ENST00000307731.2		3859	200	v6b_genome_RNA_PE_200	3660	0.841257	250	61	0.244	-0.597257	400	68	0.17	-0.671257	500	168	0.336	-0.505257	600	268	0.446667	-0.39459
ENST00000303212.3		1528	200	v6b_genome_RNA_PE_200	1329	0.709556	250	0	0.0	-0.709556	400	14	0.035	-0.674556	500	114	0.228	-0.481556	600	214	0.356667	-0.352889
ENST00000341426.9		3235	200	v6b_genome_RNA_PE_200	3036	0.863966	250	0	0.0	-0.863966	400	94	0.235	-0.628966	500	194	0.388	-0.475966	600	294	0.49	-0.373966
ENST00000430490.7		2641	200	v6b_genome_RNA_PE_200	2442	0.454545	250	0	0.0	-0.454545	400	0	0.0	-0.454545	500	0	0.0	-0.454545	600	0	0.0	-0.454545
ENST00000238651.10		1622	200	v6b_genome_RNA_PE_200	1423	0.732256	250	55	0.22	-0.512256	400	55	0.1375	-0.594756	500	143	0.286	-0.446256	600	243	0.405	-0.327256
ENST00000368331.6		7745	200	v6b_genome_RNA_PE_200	7546	0.856348	250	206	0.824	-0.032348	400	206	0.515	-0.341348	500	206	0.412	-0.444348	600	306	0.51	-0.346348
ENST00000684222.1		2151	200	v6b_genome_RNA_PE_200	1952	0.847848	250	66	0.264	-0.583848	400	141	0.3525	-0.495348	500	203	0.406	-0.441848	600	303	0.505	-0.342848
ENST00000361910.9		1840	200	v6b_genome_RNA_PE_200	1641	0.438147	250	0	0.0	-0.438147	400	0	0.0	-0.438147	500	0	0.0	-0.438147	600	0	0.0	-0.438147
ENST00000301030.10		9301	200	v6b_genome_RNA_PE_200	9102	0.903648	250	169	0.676	-0.227648	400	234	0.585	-0.318648	500	234	0.468	-0.435648	600	234	0.39	-0.513648
ENST00000252996.9		4699	200	v6b_genome_RNA_PE_200	4500	0.432	250	0	0.0	-0.432	400	0	0.0	-0.432	500	0	0.0	-0.432	600	0	0.0	-0.432
ENST00000243662.11		1432	200	v6b_genome_RNA_PE_200	1233	0.429846	250	0	0.0	-0.429846	400	0	0.0	-0.429846	500	0	0.0	-0.429846	600	0	0.0	-0.429846
ENST00000215794.8		1858	200	v6b_genome_RNA_PE_200	1659	0.639542	250	0	0.0	-0.639542	400	43	0.1075	-0.532042	500	106	0.212	-0.427542	600	206	0.343333	-0.296209
ENST00000573035.6		4515	200	v6b_genome_RNA_PE_200	4316	0.425162	250	0	0.0	-0.425162	400	0	0.0	-0.425162	500	0	0.0	-0.425162	600	0	0.0	-0.425162
ENST00000407834.4		1099	200	v6b_genome_RNA_PE_200	900	0.482222	250	0	0.0	-0.482222	400	0	0.0	-0.482222	500	34	0.068	-0.414222	600	134	0.223333	-0.258889
ENST00000329758.5		2163	200	v6b_genome_RNA_PE_200	1964	0.429735	250	0	0.0	-0.429735	400	0	0.0	-0.429735	500	12	0.024	-0.405735	600	112	0.186667	-0.243068
ENST00000650372.1		6934	200	v6b_genome_RNA_PE_200	6735	0.404751	250	0	0.0	-0.404751	400	0	0.0	-0.404751	500	0	0.0	-0.404751	600	0	0.0	-0.404751
ENST00000448984.1		2163	200	v6b_genome_RNA_PE_200	1964	0.425153	250	0	0.0	-0.425153	400	0	0.0	-0.425153	500	12	0.024	-0.401153	600	112	0.186667	-0.238486
ENST00000413687.3		4132	200	v6b_genome_RNA_PE_200	3933	0.770404	250	188	0.752	-0.018404	400	188	0.47	-0.300404	500	188	0.376	-0.394404	600	188	0.313333	-0.457071
ENST00000337801.9		1063	200	v6b_genome_RNA_PE_200	864	0.460648	250	0	0.0	-0.460648	400	0	0.0	-0.460648	500	34	0.068	-0.392648	600	134	0.223333	-0.237315
ENST00000299505.8		6680	200	v6b_genome_RNA_PE_200	6481	0.391143	250	0	0.0	-0.391143	400	0	0.0	-0.391143	500	0	0.0	-0.391143	600	0	0.0	-0.391143
ENST00000628202.3		1384	200	v6b_genome_RNA_PE_200	1185	0.715612	250	0	0.0	-0.715612	400	63	0.1575	-0.558112	500	163	0.326	-0.389612	600	263	0.438333	-0.277279
ENST00000547848.5		2204	200	v6b_genome_RNA_PE_200	2005	0.510224	250	62	0.248	-0.262224	400	62	0.155	-0.355224	500	62	0.124	-0.386224	600	62	0.103333	-0.406891
ENST00000311148.9		1686	200	v6b_genome_RNA_PE_200	1487	0.669132	250	54	0.216	-0.453132	400	54	0.135	-0.534132	500	143	0.286	-0.383132	600	243	0.405	-0.264132
ENST00000377386.8		6050	200	v6b_genome_RNA_PE_200	5851	0.379593	250	0	0.0	-0.379593	400	0	0.0	-0.379593	500	0	0.0	-0.379593	600	0	0.0	-0.379593
ENST00000641515.2		2618	200	v6b_genome_RNA_PE_200	2419	0.379496	250	0	0.0	-0.379496	400	0	0.0	-0.379496	500	0	0.0	-0.379496	600	0	0.0	-0.379496
ENST00000496811.6		6723	200	v6b_genome_RNA_PE_200	6524	0.373391	250	0	0.0	-0.373391	400	0	0.0	-0.373391	500	0	0.0	-0.373391	600	0	0.0	-0.373391
ENST00000290438.3		3176	200	v6b_genome_RNA_PE_200	2977	0.371179	250	0	0.0	-0.371179	400	0	0.0	-0.371179	500	0	0.0	-0.371179	600	0	0.0	-0.371179
ENST00000233047.9		1717	200	v6b_genome_RNA_PE_200	1518	0.370224	250	0	0.0	-0.370224	400	0	0.0	-0.370224	500	0	0.0	-0.370224	600	0	0.0	-0.370224
ENST00000273261.8		5363	200	v6b_genome_RNA_PE_200	5164	0.369675	250	0	0.0	-0.369675	400	0	0.0	-0.369675	500	0	0.0	-0.369675	600	0	0.0	-0.369675
ENST00000401731.6		2376	200	v6b_genome_RNA_PE_200	2177	0.368856	250	0	0.0	-0.368856	400	0	0.0	-0.368856	500	0	0.0	-0.368856	600	0	0.0	-0.368856
ENST00000374312.5		2033	200	v6b_genome_RNA_PE_200	1834	0.364231	250	0	0.0	-0.364231	400	0	0.0	-0.364231	500	0	0.0	-0.364231	600	0	0.0	-0.364231
ENST00000264848.10		2237	200	v6b_genome_RNA_PE_200	2038	0.361629	250	0	0.0	-0.361629	400	0	0.0	-0.361629	500	0	0.0	-0.361629	600	0	0.0	-0.361629
ENST00000298181.6		1340	200	v6b_genome_RNA_PE_200	1141	0.663453	250	0	0.0	-0.663453	400	51	0.1275	-0.535953	500	151	0.302	-0.361453	600	251	0.418333	-0.24512
