group	functional_gene	position	shared_90pct
classI_A_clade	HLA-A	0	1
classI_A_clade	HLA-A	1	1
classI_A_clade	HLA-A	2	1
classI_A_clade	HLA-A	3	1
classI_A_clade	HLA-A	4	1
classI_A_clade	HLA-A	5	1
classI_A_clade	HLA-A	6	1
classI_A_clade	HLA-A	7	1
classI_A_clade	HLA-A	8	1
classI_A_clade	HLA-A	9	1
classI_A_clade	HLA-A	10	1
classI_A_clade	HLA-A	11	1
classI_A_clade	HLA-A	12	1
classI_A_clade	HLA-A	13	1
classI_A_clade	HLA-A	14	1
classI_A_clade	HLA-A	15	1
classI_A_clade	HLA-A	16	1
classI_A_clade	HLA-A	17	1
classI_A_clade	HLA-A	18	1
classI_A_clade	HLA-A	19	1
classI_A_clade	HLA-A	20	1
classI_A_clade	HLA-A	21	1
classI_A_clade	HLA-A	22	1
classI_A_clade	HLA-A	23	1
classI_A_clade	HLA-A	24	1
classI_A_clade	HLA-A	25	1
classI_A_clade	HLA-A	26	1
classI_A_clade	HLA-A	27	1
classI_A_clade	HLA-A	28	1
classI_A_clade	HLA-A	29	1
classI_A_clade	HLA-A	30	1
classI_A_clade	HLA-A	31	1
classI_A_clade	HLA-A	32	1
classI_A_clade	HLA-A	33	1
classI_A_clade	HLA-A	34	1
classI_A_clade	HLA-A	35	1
classI_A_clade	HLA-A	36	1
classI_A_clade	HLA-A	37	1
classI_A_clade	HLA-A	38	1
classI_A_clade	HLA-A	39	1
classI_A_clade	HLA-A	40	1
classI_A_clade	HLA-A	41	1
classI_A_clade	HLA-A	42	1
classI_A_clade	HLA-A	43	1
classI_A_clade	HLA-A	44	1
classI_A_clade	HLA-A	45	1
classI_A_clade	HLA-A	46	1
classI_A_clade	HLA-A	47	1
classI_A_clade	HLA-A	48	1
classI_A_clade	HLA-A	49	1
classI_A_clade	HLA-A	50	1
classI_A_clade	HLA-A	51	1
classI_A_clade	HLA-A	52	1
classI_A_clade	HLA-A	53	1
classI_A_clade	HLA-A	54	1
classI_A_clade	HLA-A	55	1
