transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000318602.12	4411	0	4360	51	0.0
ENST00000268251.13	4580	0	1438	3142	0.0
ENST00000502732.6	12018	0	3484	8534	0.0
ENST00000302538.10	5196	0	2515	2681	0.0
ENST00000333167.13	1500	0	1210	290	0.0
ENST00000616317.5	9814	0	7087	2727	0.0
ENST00000338432.12	9169	0	7312	1857	0.0
ENST00000370841.9	2062	0	1201	861	0.0
ENST00000356839.10	1985	0	1883	102	0.0
ENST00000265838.9	1338	0	1192	146	0.0
ENST00000447966.7	3687	0	1522	2165	0.0
ENST00000352035.7	4094	0	3269	825	0.0
ENST00000336375.10	2975	0	1079	1896	0.0
ENST00000533904.6	1737	0	733	1004	0.0
ENST00000224784.10	1150	0	1068	82	0.0
ENST00000252699.7	4791	0	2671	2120	0.0
ENST00000394419.9	3523	0	2680	843	0.0
ENST00000257963.9	4332	0	1431	2901	0.0
ENST00000388922.9	3978	0	1447	2531	0.0
ENST00000445355.8	3060	0	2394	666	0.0
ENST00000368474.9	6411	0	3616	2795	0.0
ENST00000348831.9	6703	0	2091	4612	0.0
ENST00000338316.9	6446	0	3211	3235	0.0
ENST00000679454.1	4751	0	3370	1381	0.0
ENST00000462833.6	6444	0	3721	2723	0.0
ENST00000673801.1	6072	0	3178	2894	0.0
ENST00000286355.10	4222	0	3691	531	0.0
ENST00000304166.9	6440	0	1342	5098	0.0
ENST00000683351.1	3941	0	2335	1606	0.0
ENST00000356080.9	4214	0	2056	2158	0.0
ENST00000539909.6	1793	0	1015	778	0.0
ENST00000324198.11	9078	0	2002	7076	0.0
ENST00000623063.3	4160	0	1469	2691	0.0
ENST00000366535.4	2356	0	1306	1050	0.0
ENST00000354293.10	3158	0	2803	355	0.0
ENST00000448903.7	4388	0	2755	1633	0.0
ENST00000357586.7	3966	0	2785	1181	0.0
ENST00000610402.5	5501	0	2791	2710	0.0
ENST00000327141.9	1599	0	529	1070	0.0
ENST00000335847.9	1719	0	685	1034	0.0
ENST00000375076.9	1221	0	1114	107	0.0
ENST00000361915.8	6892	0	4534	2358	0.0
ENST00000411641.7	1375	0	1039	336	0.0
ENST00000672715.1	5771	0	643	5128	0.0
ENST00000392038.7	5051	0	1381	3670	0.0
ENST00000484952.6	2176	0	1885	291	0.0
ENST00000342456.11	2612	0	1342	1270	0.0
ENST00000176643.11	3504	0	1393	2111	0.0
ENST00000308666.4	6091	0	2158	3933	0.0
ENST00000374391.7	2320	0	1957	363	0.0
ENST00000380714.7	594	0	511	83	0.0
ENST00000290649.10	3408	0	1867	1541	0.0
ENST00000257863.9	1802	0	1657	145	0.0
ENST00000396553.7	3990	0	2244	1746	0.0
ENST00000316724.10	2288	0	1711	577	0.0
ENST00000273588.9	1798	0	1103	695	0.0
ENST00000517746.6	4031	0	1432	2599	0.0
ENST00000629816.3	5069	0	1423	3646	0.0
ENST00000357077.9	14016	0	7130	6886	0.0
ENST00000354546.10	2690	0	1957	733	0.0
ENST00000372921.10	2244	0	1317	927	0.0
ENST00000422982.8	6535	0	1453	5082	0.0
ENST00000617537.5	2186	0	1883	303	0.0
ENST00000374700.7	4729	0	3952	777	0.0
ENST00000551964.6	7002	0	3682	3320	0.0
ENST00000265381.7	6398	0	2449	3949	0.0
ENST00000683413.1	3742	0	2185	1557	0.0
ENST00000609360.6	2467	0	2068	399	0.0
ENST00000508593.6	8700	0	2215	6485	0.0
ENST00000257430.9	10505	0	8459	2046	0.0
ENST00000296456.10	2680	0	2118	562	0.0
ENST00000221891.9	2171	0	1887	284	0.0
ENST00000338167.10	3498	0	2191	1307	0.0
ENST00000346798.8	3384	0	2248	1136	0.0
ENST00000326003.7	1265	0	695	570	0.0
ENST00000652046.1	3497	0	943	2554	0.0
ENST00000380913.8	7275	0	4786	2489	0.0
ENST00000383168.9	4959	0	945	4014	0.0
ENST00000219919.9	2650	0	823	1827	0.0
ENST00000374690.9	10468	0	2698	7770	0.0
ENST00000205557.12	4941	0	4440	501	0.0
ENST00000264028.5	3795	0	1471	2324	0.0
ENST00000231524.14	3664	0	1652	2012	0.0
ENST00000418115.6	1606	0	517	1089	0.0
ENST00000337414.9	5137	0	2860	2277	0.0
ENST00000358595.10	4511	0	2270	2241	0.0
ENST00000403290.6	2588	0	1825	763	0.0
ENST00000420843.7	7153	0	1179	5974	0.0
ENST00000269260.7	1579	0	1165	414	0.0
ENST00000216124.10	4095	0	1465	2630	0.0
ENST00000381154.6	4946	0	1714	3232	0.0
ENST00000381134.9	2020	0	1727	293	0.0
ENST00000381127.6	1966	0	1736	230	0.0
ENST00000263207.8	3857	0	2824	1033	0.0
ENST00000691900.1	1249	0	1067	182	0.0
ENST00000304874.14	1941	0	1330	611	0.0
ENST00000379454.9	5102	0	309	4793	0.0
ENST00000361833.7	6939	0	3789	3150	0.0
ENST00000367698.4	1353	0	1330	23	0.0
ENST00000268489.10	15618	0	11047	4571	0.0
ENST00000675843.1	12716	0	9106	3610	0.0
ENST00000395503.9	3294	0	2920	374	0.0
ENST00000539276.7	8096	0	3064	5032	0.0
ENST00000428670.8	6863	0	3598	3265	0.0
ENST00000360273.7	8765	0	3667	5098	0.0
ENST00000263519.5	6575	0	3598	2977	0.0
ENST00000398752.11	5562	0	1595	3967	0.0
ENST00000409134.8	4566	0	1509	3057	0.0
ENST00000356708.12	902	0	796	106	0.0
ENST00000472174.7	788	0	553	235	0.0
ENST00000343619.9	3907	0	2449	1458	0.0
ENST00000242839.10	6399	0	4333	2066	0.0
ENST00000350721.9	7959	0	7832	127	0.0
ENST00000373344.11	10966	0	7414	3552	0.0
ENST00000498729.9	8932	0	5311	3621	0.0
ENST00000375731.9	1375	0	917	458	0.0
ENST00000301178.9	4518	0	2620	1898	0.0
ENST00000517894.6	5821	0	4690	1131	0.0
ENST00000373658.8	5509	0	4693	816	0.0
ENST00000260947.9	5279	0	2269	3010	0.0
ENST00000345358.12	596	0	539	57	0.0
ENST00000268057.9	2268	0	1449	819	0.0
ENST00000261192.12	9115	0	1096	8019	0.0
ENST00000320393.9	3469	0	1070	2399	0.0
ENST00000359273.8	1228	0	1185	43	0.0
ENST00000356660.9	3786	0	702	3084	0.0
ENST00000377873.8	2018	0	1916	102	0.0
ENST00000369096.9	4949	0	2413	2536	0.0
ENST00000259089.9	2016	0	1453	563	0.0
ENST00000355112.8	5041	0	4189	852	0.0
ENST00000372827.8	4627	0	1144	3483	0.0
ENST00000372037.8	6218	0	1534	4684	0.0
ENST00000348343.11	2344	0	1963	381	0.0
ENST00000351486.10	969	0	570	399	0.0
ENST00000607373.6	5912	0	880	5032	0.0
ENST00000680361.1	24510	0	23392	1118	0.0
ENST00000380379.10	1710	0	774	936	0.0
ENST00000642449.2	1642	0	1388	254	0.0
ENST00000357654.9	6889	0	0	6889	0.0
ENST00000644969.2	9608	0	2444	7164	0.0
ENST00000646891.2	6260	0	2236	4024	0.0
ENST00000380152.8	11755	0	10192	1563	0.0
ENST00000399546.7	3111	0	2779	332	0.0
ENST00000265016.9	1780	0	892	888	0.0
ENST00000380591.8	1077	0	556	521	0.0
ENST00000302759.11	3563	0	3193	370	0.0
ENST00000299367.10	2411	0	2163	248	0.0
ENST00000428956.7	5228	0	5154	74	0.0
ENST00000435363.7	5228	0	5154	74	0.0
ENST00000648180.1	4168	0	1894	2274	0.0
ENST00000223642.3	5265	0	4928	337	0.0
ENST00000337836.10	3492	0	2760	732	0.0
ENST00000371237.9	1841	0	1711	130	0.0
ENST00000358117.10	2363	0	820	1543	0.0
ENST00000278836.10	5741	0	3391	2350	0.0
ENST00000257215.10	5600	0	3064	2536	0.0
ENST00000339818.9	2022	0	706	1316	0.0
ENST00000377443.7	1135	0	814	321	0.0
ENST00000317995.5	5536	0	808	4728	0.0
ENST00000399603.6	13545	0	1129	12416	0.0
ENST00000399655.6	13545	0	1129	12416	0.0
ENST00000288139.11	9230	0	6481	2749	0.0
ENST00000350061.11	9170	0	6421	2749	0.0
ENST00000367573.7	16221	0	6878	9343	0.0
ENST00000376568.8	3637	0	2803	834	0.0
ENST00000356860.8	7343	0	3211	4132	0.0
ENST00000394303.8	3512	0	1732	1780	0.0
ENST00000324631.13	5930	0	1918	4012	0.0
ENST00000377329.10	5673	0	1756	3917	0.0
ENST00000301050.7	2732	0	1390	1342	0.0
ENST00000539935.7	7745	0	1464	6281	0.0
ENST00000264705.9	7087	0	6613	474	0.0
ENST00000361675.7	4812	0	2317	2495	0.0
ENST00000249364.9	5067	0	895	4172	0.0
ENST00000395749.7	4346	0	1936	2410	0.0
ENST00000511664.6	5586	0	724	4862	0.0
ENST00000423381.6	3679	0	1044	2635	0.0
ENST00000247461.9	4716	0	1723	2993	0.0
ENST00000263867.9	1051	0	978	73	0.0
ENST00000295006.6	3167	0	2038	1129	0.0
ENST00000397163.8	3116	0	2401	715	0.0
ENST00000246533.8	1229	0	742	487	0.0
ENST00000675179.1	4291	0	2291	2000	0.0
ENST00000264202.8	1476	0	754	722	0.0
ENST00000380525.9	2538	0	2420	118	0.0
ENST00000533400.6	1797	0	1114	683	0.0
ENST00000265164.7	1435	0	800	635	0.0
ENST00000673742.1	2460	0	1402	1058	0.0
ENST00000333868.10	2609	0	1134	1475	0.0
ENST00000286186.11	5469	0	1504	3965	0.0
ENST00000647337.2	5341	0	1501	3840	0.0
ENST00000675419.1	5772	0	1378	4394	0.0
ENST00000268679.9	4281	0	1897	2384	0.0
ENST00000412916.7	2904	0	499	2405	0.0
ENST00000394030.8	6550	0	2903	3647	0.0
ENST00000398165.8	2296	0	1591	705	0.0
ENST00000302586.8	1772	0	1197	575	0.0
ENST00000334619.7	1820	0	1279	541	0.0
ENST00000256442.10	1830	0	1237	593	0.0
ENST00000520429.6	1954	0	787	1167	0.0
ENST00000372991.9	1827	0	903	924	0.0
ENST00000262643.8	1755	0	1168	587	0.0
ENST00000340828.7	2245	0	823	1422	0.0
ENST00000256897.9	1081	0	907	174	0.0
ENST00000261900.8	6589	0	2081	4508	0.0
ENST00000264157.10	6721	0	2094	4627	0.0
ENST00000674085.2	3293	0	943	2350	0.0
ENST00000368167.8	1720	0	1102	618	0.0
ENST00000362089.10	1401	0	427	974	0.0
ENST00000313421.11	3053	0	1942	1111	0.0
ENST00000009180.10	1026	0	622	404	0.0
ENST00000538922.8	1719	0	1569	150	0.0
ENST00000278865.8	1419	0	580	839	0.0
ENST00000085219.10	3075	0	2478	597	0.0
ENST00000266557.4	1046	0	900	146	0.0
ENST00000263932.7	3561	0	1723	1838	0.0
ENST00000262262.5	1263	0	1002	261	0.0
ENST00000425629.8	3448	0	1252	2196	0.0
ENST00000447544.7	4399	0	1354	3045	0.0
ENST00000261693.11	3206	0	1465	1741	0.0
ENST00000323906.9	1060	0	781	279	0.0
ENST00000371205.5	12294	0	1468	10826	0.0
ENST00000355097.7	1903	0	1420	483	0.0
ENST00000376652.9	3905	0	1390	2515	0.0
ENST00000428726.8	5232	0	1690	3542	0.0
ENST00000368046.8	898	0	659	239	0.0
ENST00000257857.9	824	0	652	172	0.0
ENST00000259633.9	1332	0	1102	230	0.0
ENST00000263645.10	1283	0	646	637	0.0
ENST00000341832.11	2793	0	2284	509	0.0
ENST00000651943.2	9949	0	8494	1455	0.0
ENST00000350320.11	4085	0	1249	2836	0.0
ENST00000302506.8	3645	0	1510	2135	0.0
ENST00000245960.10	2920	0	1678	1242	0.0
ENST00000066544.8	5631	0	2410	3221	0.0
ENST00000269141.8	3817	0	2656	1161	0.0
ENST00000264012.9	4253	0	2425	1828	0.0
ENST00000268603.9	6523	0	2326	4197	0.0
ENST00000567109.6	7677	0	2104	5573	0.0
ENST00000299752.9	2656	0	2425	231	0.0
ENST00000027335.8	3471	0	2434	1037	0.0
ENST00000382275.6	4594	0	2308	2286	0.0
ENST00000381527.8	2866	0	1330	1536	0.0
