transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000306151.9		14202	150	v8b_dedupcds_RNA_PE_150_proper	14053	0.949121	250	0	0.0	-0.949121	400	0	0.0	-0.949121	500	0	0.0	-0.949121	600	0	0.0	-0.949121
ENST00000544440.7		14927	150	v8b_dedupcds_RNA_PE_150_proper	14778	0.943159	250	0	0.0	-0.943159	400	0	0.0	-0.943159	500	0	0.0	-0.943159	600	0	0.0	-0.943159
ENST00000300648.7		8531	150	v8b_dedupcds_RNA_PE_150_proper	8382	0.934741	250	0	0.0	-0.934741	400	0	0.0	-0.934741	500	0	0.0	-0.934741	600	53	0.088333	-0.846408
ENST00000409508.8		14193	150	v8b_dedupcds_RNA_PE_150_proper	14044	0.957847	250	0	0.0	-0.957847	400	0	0.0	-0.957847	500	15	0.03	-0.927847	600	115	0.191667	-0.76618
ENST00000398571.7		11525	150	v8b_dedupcds_RNA_PE_150_proper	11376	0.926688	250	0	0.0	-0.926688	400	0	0.0	-0.926688	500	0	0.0	-0.926688	600	61	0.101667	-0.825021
ENST00000243077.8		14773	150	v8b_dedupcds_RNA_PE_150_proper	14624	0.925602	250	0	0.0	-0.925602	400	0	0.0	-0.925602	500	0	0.0	-0.925602	600	0	0.0	-0.925602
ENST00000369393.8		18335	150	v8b_dedupcds_RNA_PE_150_proper	18186	0.917849	250	0	0.0	-0.917849	400	0	0.0	-0.917849	500	0	0.0	-0.917849	600	0	0.0	-0.917849
ENST00000323853.10		7044	150	v8b_dedupcds_RNA_PE_150_proper	6895	0.915446	250	0	0.0	-0.915446	400	0	0.0	-0.915446	500	0	0.0	-0.915446	600	26	0.043333	-0.872113
ENST00000306749.4		8314	150	v8b_dedupcds_RNA_PE_150_proper	8165	0.910839	250	0	0.0	-0.910839	400	0	0.0	-0.910839	500	0	0.0	-0.910839	600	0	0.0	-0.910839
ENST00000264233.6		8607	150	v8b_dedupcds_RNA_PE_150_proper	8458	0.907307	250	0	0.0	-0.907307	400	0	0.0	-0.907307	500	0	0.0	-0.907307	600	0	0.0	-0.907307
ENST00000242310.4		6066	150	v8b_dedupcds_RNA_PE_150_proper	5917	0.906033	250	0	0.0	-0.906033	400	0	0.0	-0.906033	500	0	0.0	-0.906033	600	44	0.073333	-0.8327
ENST00000314888.10		8473	150	v8b_dedupcds_RNA_PE_150_proper	8324	0.904253	250	0	0.0	-0.904253	400	0	0.0	-0.904253	500	0	0.0	-0.904253	600	0	0.0	-0.904253
ENST00000375759.8		12235	150	v8b_dedupcds_RNA_PE_150_proper	12086	0.901539	250	0	0.0	-0.901539	400	0	0.0	-0.901539	500	0	0.0	-0.901539	600	0	0.0	-0.901539
