transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14343	150	v2l_dedupcds_RNA_SE_150	14194	0.951247	250	0	0.0	-0.951247	400	0	0.0	-0.951247	500	0	0.0	-0.951247	600	65	0.108333	-0.842914
ENST00000306151.9		14352	150	v2l_dedupcds_RNA_SE_150	14203	0.945786	250	0	0.0	-0.945786	400	0	0.0	-0.945786	500	0	0.0	-0.945786	600	0	0.0	-0.945786
ENST00000544440.7		15077	150	v2l_dedupcds_RNA_SE_150	14928	0.937031	250	0	0.0	-0.937031	400	0	0.0	-0.937031	500	0	0.0	-0.937031	600	0	0.0	-0.937031
ENST00000300648.7		8681	150	v2l_dedupcds_RNA_SE_150	8532	0.930028	250	0	0.0	-0.930028	400	0	0.0	-0.930028	500	0	0.0	-0.930028	600	3	0.005	-0.925028
ENST00000243077.8		14923	150	v2l_dedupcds_RNA_SE_150	14774	0.919588	250	0	0.0	-0.919588	400	0	0.0	-0.919588	500	0	0.0	-0.919588	600	0	0.0	-0.919588
ENST00000398571.7		11675	150	v2l_dedupcds_RNA_SE_150	11526	0.918966	250	0	0.0	-0.918966	400	0	0.0	-0.918966	500	0	0.0	-0.918966	600	11	0.018333	-0.900633
ENST00000369393.8		18485	150	v2l_dedupcds_RNA_SE_150	18336	0.91274	250	0	0.0	-0.91274	400	0	0.0	-0.91274	500	0	0.0	-0.91274	600	0	0.0	-0.91274
ENST00000323853.10		7194	150	v2l_dedupcds_RNA_SE_150	7045	0.903052	250	0	0.0	-0.903052	400	0	0.0	-0.903052	500	0	0.0	-0.903052	600	0	0.0	-0.903052
ENST00000306749.4		8464	150	v2l_dedupcds_RNA_SE_150	8315	0.900421	250	0	0.0	-0.900421	400	0	0.0	-0.900421	500	0	0.0	-0.900421	600	0	0.0	-0.900421
ENST00000264233.6		8757	150	v2l_dedupcds_RNA_SE_150	8608	0.897305	250	0	0.0	-0.897305	400	0	0.0	-0.897305	500	0	0.0	-0.897305	600	0	0.0	-0.897305
ENST00000375759.8		12385	150	v2l_dedupcds_RNA_SE_150	12236	0.894573	250	0	0.0	-0.894573	400	0	0.0	-0.894573	500	0	0.0	-0.894573	600	0	0.0	-0.894573
ENST00000314888.10		8623	150	v2l_dedupcds_RNA_SE_150	8474	0.894147	250	0	0.0	-0.894147	400	0	0.0	-0.894147	500	0	0.0	-0.894147	600	0	0.0	-0.894147
ENST00000379458.9		11248	150	v2l_dedupcds_RNA_SE_150	11099	0.894045	250	0	0.0	-0.894045	400	0	0.0	-0.894045	500	0	0.0	-0.894045	600	0	0.0	-0.894045
ENST00000242310.4		6216	150	v2l_dedupcds_RNA_SE_150	6067	0.892369	250	0	0.0	-0.892369	400	0	0.0	-0.892369	500	0	0.0	-0.892369	600	5	0.008333	-0.884036
ENST00000368223.4		5568	150	v2l_dedupcds_RNA_SE_150	5419	0.888909	250	0	0.0	-0.888909	400	0	0.0	-0.888909	500	0	0.0	-0.888909	600	91	0.151667	-0.737242
ENST00000253255.7		7681	150	v2l_dedupcds_RNA_SE_150	7532	0.887414	250	0	0.0	-0.887414	400	0	0.0	-0.887414	500	0	0.0	-0.887414	600	0	0.0	-0.887414
ENST00000361673.4		7437	150	v2l_dedupcds_RNA_SE_150	7288	0.886937	250	0	0.0	-0.886937	400	0	0.0	-0.886937	500	0	0.0	-0.886937	600	74	0.123333	-0.763604
ENST00000374469.6		12205	150	v2l_dedupcds_RNA_SE_150	12056	0.884788	250	0	0.0	-0.884788	400	0	0.0	-0.884788	500	0	0.0	-0.884788	600	0	0.0	-0.884788
ENST00000262189.11		16860	150	v2l_dedupcds_RNA_SE_150	16711	0.878882	250	0	0.0	-0.878882	400	0	0.0	-0.878882	500	0	0.0	-0.878882	600	0	0.0	-0.878882
ENST00000315579.10		4825	150	v2l_dedupcds_RNA_SE_150	4676	0.889008	250	0	0.0	-0.889008	400	0	0.0	-0.889008	500	7	0.014	-0.875008	600	107	0.178333	-0.710675
ENST00000217939.7		9804	150	v2l_dedupcds_RNA_SE_150	9655	0.873951	250	0	0.0	-0.873951	400	0	0.0	-0.873951	500	0	0.0	-0.873951	600	0	0.0	-0.873951
ENST00000301030.10		9301	150	v2l_dedupcds_RNA_SE_150	9152	0.867898	250	0	0.0	-0.867898	400	0	0.0	-0.867898	500	0	0.0	-0.867898	600	0	0.0	-0.867898
ENST00000565624.3		13770	150	v2l_dedupcds_RNA_SE_150	13621	0.867264	250	0	0.0	-0.867264	400	0	0.0	-0.867264	500	0	0.0	-0.867264	600	0	0.0	-0.867264
ENST00000367549.4		4493	150	v2l_dedupcds_RNA_SE_150	4344	0.866483	250	0	0.0	-0.866483	400	0	0.0	-0.866483	500	2	0.004	-0.862483	600	102	0.17	-0.696483
ENST00000435029.6		4387	150	v2l_dedupcds_RNA_SE_150	4238	0.861727	250	0	0.0	-0.861727	400	0	0.0	-0.861727	500	0	0.0	-0.861727	600	73	0.121667	-0.74006
ENST00000374403.4		4388	150	v2l_dedupcds_RNA_SE_150	4239	0.860109	250	0	0.0	-0.860109	400	0	0.0	-0.860109	500	0	0.0	-0.860109	600	29	0.048333	-0.811776
ENST00000361428.3		8210	150	v2l_dedupcds_RNA_SE_150	8061	0.858206	250	0	0.0	-0.858206	400	0	0.0	-0.858206	500	0	0.0	-0.858206	600	0	0.0	-0.858206
ENST00000569591.3		5188	150	v2l_dedupcds_RNA_SE_150	5039	0.85771	250	0	0.0	-0.85771	400	0	0.0	-0.85771	500	0	0.0	-0.85771	600	0	0.0	-0.85771
ENST00000288078.11		3907	150	v2l_dedupcds_RNA_SE_150	3758	0.853113	250	0	0.0	-0.853113	400	0	0.0	-0.853113	500	0	0.0	-0.853113	600	56	0.093333	-0.75978
ENST00000262623.4		3721	150	v2l_dedupcds_RNA_SE_150	3572	0.850504	250	0	0.0	-0.850504	400	0	0.0	-0.850504	500	0	0.0	-0.850504	600	66	0.11	-0.740504
ENST00000291495.5		4199	150	v2l_dedupcds_RNA_SE_150	4050	0.844938	250	0	0.0	-0.844938	400	0	0.0	-0.844938	500	0	0.0	-0.844938	600	7	0.011667	-0.833271
ENST00000317276.9		4676	150	v2l_dedupcds_RNA_SE_150	4527	0.84471	250	0	0.0	-0.84471	400	0	0.0	-0.84471	500	0	0.0	-0.84471	600	54	0.09	-0.75471
ENST00000644991.3		8261	150	v2l_dedupcds_RNA_SE_150	8112	0.844551	250	0	0.0	-0.844551	400	0	0.0	-0.844551	500	0	0.0	-0.844551	600	0	0.0	-0.844551
ENST00000529681.5		17911	150	v2l_dedupcds_RNA_SE_150	17762	0.843148	250	0	0.0	-0.843148	400	0	0.0	-0.843148	500	0	0.0	-0.843148	600	86	0.143333	-0.699815
ENST00000614923.2		6985	150	v2l_dedupcds_RNA_SE_150	6836	0.843037	250	0	0.0	-0.843037	400	0	0.0	-0.843037	500	0	0.0	-0.843037	600	0	0.0	-0.843037
ENST00000301740.13		9044	150	v2l_dedupcds_RNA_SE_150	8895	0.849354	250	0	0.0	-0.849354	400	0	0.0	-0.849354	500	5	0.01	-0.839354	600	105	0.175	-0.674354
ENST00000164024.5		11933	150	v2l_dedupcds_RNA_SE_150	11784	0.839274	250	0	0.0	-0.839274	400	0	0.0	-0.839274	500	0	0.0	-0.839274	600	0	0.0	-0.839274
ENST00000594866.3		5687	150	v2l_dedupcds_RNA_SE_150	5538	0.836764	250	0	0.0	-0.836764	400	0	0.0	-0.836764	500	0	0.0	-0.836764	600	0	0.0	-0.836764
ENST00000643185.2		11476	150	v2l_dedupcds_RNA_SE_150	11327	0.836055	250	0	0.0	-0.836055	400	0	0.0	-0.836055	500	0	0.0	-0.836055	600	0	0.0	-0.836055
ENST00000418929.7		7416	150	v2l_dedupcds_RNA_SE_150	7267	0.834182	250	0	0.0	-0.834182	400	0	0.0	-0.834182	500	0	0.0	-0.834182	600	0	0.0	-0.834182
ENST00000262518.9		11724	150	v2l_dedupcds_RNA_SE_150	11575	0.833175	250	0	0.0	-0.833175	400	0	0.0	-0.833175	500	0	0.0	-0.833175	600	0	0.0	-0.833175
ENST00000639579.2		3423	150	v2l_dedupcds_RNA_SE_150	3274	0.832621	250	0	0.0	-0.832621	400	0	0.0	-0.832621	500	0	0.0	-0.832621	600	73	0.121667	-0.710954
ENST00000298832.14		4716	150	v2l_dedupcds_RNA_SE_150	4567	0.831399	250	0	0.0	-0.831399	400	0	0.0	-0.831399	500	0	0.0	-0.831399	600	17	0.028333	-0.803066
ENST00000262719.10		6299	150	v2l_dedupcds_RNA_SE_150	6150	0.830081	250	0	0.0	-0.830081	400	0	0.0	-0.830081	500	0	0.0	-0.830081	600	0	0.0	-0.830081
ENST00000261637.5		9031	150	v2l_dedupcds_RNA_SE_150	8882	0.935488	250	0	0.0	-0.935488	400	0	0.0	-0.935488	500	55	0.11	-0.825488	600	155	0.258333	-0.677155
ENST00000301764.12		4245	150	v2l_dedupcds_RNA_SE_150	4096	0.82373	250	0	0.0	-0.82373	400	0	0.0	-0.82373	500	0	0.0	-0.82373	600	0	0.0	-0.82373
ENST00000263791.10		5538	150	v2l_dedupcds_RNA_SE_150	5389	0.909445	250	0	0.0	-0.909445	400	0	0.0	-0.909445	500	43	0.086	-0.823445	600	143	0.238333	-0.671112
ENST00000297268.11		5072	150	v2l_dedupcds_RNA_SE_150	4923	0.823075	250	0	0.0	-0.823075	400	0	0.0	-0.823075	500	0	0.0	-0.823075	600	0	0.0	-0.823075
