transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000363593.2		237	150	v5l_MANE_exflank_SE_150	88	1.0	88	0	0.0	-1.0	88	0	0.0	-1.0	88	0	0.0	-1.0	88	0	0.0	-1.0
ENST00000588001.2		1117	150	v5l_MANE_exflank_SE_150	968	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	600	0	0.0	-1.0
ENST00000639081.1		697	150	v5l_MANE_exflank_SE_150	548	1.0	250	0	0.0	-1.0	400	0	0.0	-1.0	500	0	0.0	-1.0	548	0	0.0	-1.0
ENST00000676205.1		238	150	v5l_MANE_exflank_SE_150	89	1.0	89	0	0.0	-1.0	89	0	0.0	-1.0	89	0	0.0	-1.0	89	0	0.0	-1.0
ENST00000678782.1		172	150	v5l_MANE_exflank_SE_150	23	1.0	23	0	0.0	-1.0	23	0	0.0	-1.0	23	0	0.0	-1.0	23	0	0.0	-1.0
ENST00000683730.1		190	150	v5l_MANE_exflank_SE_150	41	1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0
ENST00000683890.1		190	150	v5l_MANE_exflank_SE_150	41	1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0	41	0	0.0	-1.0
ENST00000684204.1		184	150	v5l_MANE_exflank_SE_150	35	1.0	35	0	0.0	-1.0	35	0	0.0	-1.0	35	0	0.0	-1.0	35	0	0.0	-1.0
ENST00000597346.1		91767	150	v5l_MANE_exflank_SE_150	91618	0.998909	250	0	0.0	-0.998909	400	0	0.0	-0.998909	500	0	0.0	-0.998909	600	0	0.0	-0.998909
ENST00000501122.4		22843	150	v5l_MANE_exflank_SE_150	22694	0.995594	250	0	0.0	-0.995594	400	0	0.0	-0.995594	500	0	0.0	-0.995594	600	0	0.0	-0.995594
