transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000326195.13	3306	0	3306	0	0.0
ENST00000216139.10	1331	0	1331	0	0.0
ENST00000573283.7	1820	0	1820	0	0.0
ENST00000376059.8	556	0	556	0	0.0
ENST00000374391.7	2420	0	2420	0	0.0
ENST00000370083.9	1686	0	1686	0	0.0
ENST00000330330.10	1686	0	1686	0	0.0
ENST00000622339.5	1686	0	1686	0	0.0
ENST00000381401.11	1352	0	1352	0	0.0
ENST00000216714.8	1354	0	1354	0	0.0
ENST00000381241.9	1231	0	1231	0	0.0
ENST00000233997.4	808	0	808	0	0.0
ENST00000392379.6	3428	0	3428	0	0.0
ENST00000684113.1	2846	0	2846	0	0.0
ENST00000647956.2	2389	0	2389	0	0.0
ENST00000299367.10	2511	0	2511	0	0.0
ENST00000435363.7	5328	0	5328	0	0.0
ENST00000399603.6	13645	0	13614	31	0.0
ENST00000399655.6	13645	0	13614	31	0.0
ENST00000376568.8	3737	0	3737	0	0.0
ENST00000302628.9	1355	0	1355	0	0.0
ENST00000341584.4	1378	0	1378	0	0.0
ENST00000370277.5	1314	0	1314	0	0.0
ENST00000221954.7	1062	0	1062	0	0.0
ENST00000216492.10	1886	0	1886	0	0.0
ENST00000306071.7	2461	0	2461	0	0.0
ENST00000345363.8	2604	0	2604	0	0.0
ENST00000341947.7	6323	0	6323	0	0.0
ENST00000258424.3	591	0	591	0	0.0
ENST00000360325.11	1443	0	1443	0	0.0
ENST00000375203.8	2527	0	2527	0	0.0
ENST00000314537.10	2438	0	2438	0	0.0
ENST00000282141.4	528	0	528	0	0.0
ENST00000264376.5	543	0	543	0	0.0
ENST00000572914.2	1145	0	1145	0	0.0
ENST00000381529.9	1716	0	1716	0	0.0
ENST00000375882.7	830	0	830	0	0.0
ENST00000328435.3	660	0	660	0	0.0
ENST00000361017.9	771	0	771	0	0.0
ENST00000433477.4	2804	0	2804	0	0.0
ENST00000268053.11	1738	0	1738	0	0.0
ENST00000405239.6	4236	0	4153	83	0.0
ENST00000398344.9	466	0	466	0	0.0
ENST00000382692.3	399	0	399	0	0.0
ENST00000297435.3	488	0	488	0	0.0
ENST00000330590.4	355	0	355	0	0.0
ENST00000297436.3	366	0	366	0	0.0
ENST00000302247.3	238	0	238	0	0.0
ENST00000327726.11	1092	0	1092	0	0.0
ENST00000361725.5	2257	0	2257	0	0.0
ENST00000337523.10	1370	0	1370	0	0.0
ENST00000400454.6	8472	0	8445	27	0.0
ENST00000344604.10	3086	0	3086	0	0.0
ENST00000361729.3	5097	0	5097	0	0.0
ENST00000221418.9	1101	0	1101	0	0.0
ENST00000618139.4	1991	0	1946	45	0.0
ENST00000263621.2	810	0	810	0	0.0
ENST00000301843.13	3150	0	3150	0	0.0
ENST00000275815.4	3211	0	3211	0	0.0
ENST00000331222.6	6985	0	6958	27	0.0
ENST00000221801.8	1026	0	1026	0	0.0
ENST00000330927.5	1838	0	1838	0	0.0
ENST00000367412.2	2561	0	2561	0	0.0
ENST00000355524.8	2377	0	2377	0	0.0
ENST00000693622.1	974	0	974	0	0.0
ENST00000293829.9	2479	0	2479	0	0.0
ENST00000327031.9	4082	0	4082	0	0.0
ENST00000226798.9	879	0	879	0	0.0
ENST00000265708.9	2511	0	2511	0	0.0
ENST00000302262.8	3652	0	3652	0	0.0
ENST00000377034.9	4426	0	4426	0	0.0
ENST00000368373.8	2192	0	2192	0	0.0
ENST00000400723.8	1931	0	1931	0	0.0
ENST00000316170.9	4480	0	4480	0	0.0
ENST00000495262.7	4406	0	4406	0	0.0
ENST00000248114.7	2266	0	2266	0	0.0
ENST00000373614.7	446	0	446	0	0.0
ENST00000328078.3	2386	0	2386	0	0.0
ENST00000376621.8	6702	0	6702	0	0.0
ENST00000621141.5	1926	0	1926	0	0.0
ENST00000684052.1	3224	0	3224	0	0.0
ENST00000377741.4	1465	0	1465	0	0.0
ENST00000304402.6	2871	0	2871	0	0.0
ENST00000412168.7	1488	0	1488	0	0.0
ENST00000259895.9	1613	0	1613	0	0.0
ENST00000367415.8	1399	0	1399	0	0.0
ENST00000418107.3	1249	0	1249	0	0.0
ENST00000229829.7	3365	0	3365	0	0.0
ENST00000438763.7	1227	0	1227	0	0.0
ENST00000692443.1	1554	0	1554	0	0.0
ENST00000418931.7	3892	0	3892	0	0.0
ENST00000374940.4	1359	0	1359	0	0.0
ENST00000437316.7	1113	0	1113	0	0.0
ENST00000395388.7	1136	0	1136	0	0.0
ENST00000457451.7	1077	0	1077	0	0.0
ENST00000376630.5	2449	0	2449	0	0.0
ENST00000570646.6	1574	0	1574	0	0.0
ENST00000400677.5	1818	0	1818	0	0.0
ENST00000311189.8	971	0	971	0	0.0
ENST00000417302.7	1161	0	1161	0	0.0
ENST00000528838.6	2035	0	2035	0	0.0
ENST00000375651.7	2301	0	2301	0	0.0
ENST00000375650.5	2418	0	2418	0	0.0
ENST00000375654.5	2663	0	2663	0	0.0
ENST00000246896.8	448	0	448	0	0.0
ENST00000673563.1	433	0	433	0	0.0
ENST00000443024.7	4384	0	4384	0	0.0
ENST00000374561.6	851	0	851	0	0.0
ENST00000621160.5	553	0	553	0	0.0
ENST00000331035.10	1442	0	1442	0	0.0
ENST00000244174.11	1939	0	1939	0	0.0
ENST00000445964.6	4803	0	4803	0	0.0
ENST00000249842.8	2232	0	2232	0	0.0
ENST00000264741.10	7761	0	7761	0	0.0
ENST00000267615.11	6089	0	6089	0	0.0
ENST00000218176.4	4619	0	4619	0	0.0
ENST00000355265.7	2395	0	2395	0	0.0
ENST00000336077.11	1515	0	789	726	0.0
ENST00000612594.3	1515	0	657	858	0.0
ENST00000342376.4	1493	0	827	666	0.0
ENST00000345540.10	1378	0	564	814	0.0
ENST00000621207.1	1002	0	500	502	0.0
ENST00000614725.2	1062	0	930	132	0.0
ENST00000614053.1	1502	0	1277	225	0.0
ENST00000391728.8	1772	0	1544	228	0.0
