transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000262304.9		14140	150	v5h_MANE_RNA_PE_150	13991	0.954685	250	1	0.004	-0.950685	400	1	0.0025	-0.952185	500	1	0.002	-0.952685	600	1	0.001667	-0.953018
ENST00000409508.8		14343	150	v5h_MANE_RNA_PE_150	14194	0.95174	250	1	0.004	-0.94774	400	1	0.0025	-0.94924	500	1	0.002	-0.94974	600	1	0.001667	-0.950073
ENST00000359520.12		8704	150	v5h_MANE_RNA_PE_150	8555	0.934424	250	1	0.004	-0.930424	400	1	0.0025	-0.931924	500	1	0.002	-0.932424	600	40	0.066667	-0.867757
ENST00000643759.2		8018	150	v5h_MANE_RNA_PE_150	7869	0.931376	250	1	0.004	-0.927376	400	1	0.0025	-0.928876	500	1	0.002	-0.929376	600	61	0.101667	-0.829709
ENST00000425241.6		8419	150	v5h_MANE_RNA_PE_150	8270	0.925998	250	1	0.004	-0.921998	400	1	0.0025	-0.923498	500	1	0.002	-0.923998	600	1	0.001667	-0.924331
ENST00000374695.8		14341	150	v5h_MANE_RNA_PE_150	14192	0.922703	250	1	0.004	-0.918703	400	1	0.0025	-0.920203	500	1	0.002	-0.920703	600	1	0.001667	-0.921036
ENST00000286918.9		6705	150	v5h_MANE_RNA_PE_150	6556	0.91443	250	1	0.004	-0.91043	400	1	0.0025	-0.91193	500	1	0.002	-0.91243	600	40	0.066667	-0.847763
ENST00000238616.10		8278	150	v5h_MANE_RNA_PE_150	8129	0.940214	250	1	0.004	-0.936214	400	1	0.0025	-0.937714	500	15	0.03	-0.910214	600	115	0.191667	-0.748547
ENST00000274867.9		6185	150	v5h_MANE_RNA_PE_150	6036	0.90888	250	1	0.004	-0.90488	400	1	0.0025	-0.90638	500	1	0.002	-0.90688	600	51	0.085	-0.82388
ENST00000219476.9		6415	150	v5h_MANE_RNA_PE_150	6266	0.898819	250	1	0.004	-0.894819	400	1	0.0025	-0.896319	500	1	0.002	-0.896819	600	1	0.001667	-0.897152
ENST00000621632.5		5573	150	v5h_MANE_RNA_PE_150	5424	0.908923	250	1	0.004	-0.904923	400	1	0.0025	-0.906423	500	7	0.014	-0.894923	600	107	0.178333	-0.73059
ENST00000600882.6		5445	150	v5h_MANE_RNA_PE_150	5296	0.893693	250	1	0.004	-0.889693	400	1	0.0025	-0.891193	500	1	0.002	-0.891693	600	38	0.063333	-0.83036
ENST00000313005.11		5835	150	v5h_MANE_RNA_PE_150	5686	0.893247	250	1	0.004	-0.889247	400	1	0.0025	-0.890747	500	1	0.002	-0.891247	600	1	0.001667	-0.89158
ENST00000447648.7		6545	150	v5h_MANE_RNA_PE_150	6396	0.893058	250	1	0.004	-0.889058	400	1	0.0025	-0.890558	500	1	0.002	-0.891058	600	1	0.001667	-0.891391
ENST00000633556.3		10039	150	v5h_MANE_RNA_PE_150	9890	0.88908	250	1	0.004	-0.88508	400	1	0.0025	-0.88658	500	1	0.002	-0.88708	600	1	0.001667	-0.887413
