transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000579512.3	422	0	320	102	0.0
ENST00000578186.3	422	0	320	102	0.0
ENST00000581164.2	786	0	684	102	0.0
ENST00000581138.4	786	0	684	102	0.0
ENST00000675181.1	125	0	125	0	0.0
ENST00000383925.1	190	0	88	102	0.0
ENST00000384278.1	190	0	88	102	0.0
ENST00000384782.1	190	0	88	102	0.0
ENST00000384659.1	190	0	88	102	0.0
ENST00000273968.5	1363	0	1181	182	0.0
ENST00000527353.2	1363	0	1181	182	0.0
ENST00000323146.8	2744	0	2510	234	0.0
ENST00000715679.1	2744	0	2510	234	0.0
ENST00000575125.6	3108	0	2409	699	0.0
ENST00000340073.9	3108	0	2409	699	0.0
ENST00000612377.3	3108	0	2409	699	0.0
ENST00000651045.3	3108	0	2409	699	0.0
ENST00000333385.11	3108	0	2409	699	0.0
ENST00000578372.2	2272	0	2085	187	0.0
ENST00000313324.9	2272	0	2085	187	0.0
ENST00000437818.1	292	0	114	178	0.0
ENST00000400079.1	292	0	114	178	0.0
ENST00000452267.2	430	0	156	274	0.0
ENST00000617224.3	430	0	156	274	0.0
ENST00000302539.9	5938	0	2702	3236	0.0
ENST00000389817.8	5935	0	2702	3233	0.0
ENST00000458811.1	89	0	0	89	0.0
ENST00000377930.1	1925	0	1653	272	0.0
ENST00000452123.3	1925	0	1653	272	0.0
ENST00000434815.1	1925	0	1653	272	0.0
ENST00000377931.1	1925	0	1653	272	0.0
ENST00000544357.2	1925	0	1653	272	0.0
ENST00000364784.1	133	0	31	102	0.0
ENST00000365467.1	133	0	31	102	0.0
ENST00000383898.1	133	0	31	102	0.0
ENST00000330181.10	1289	0	775	514	0.0
ENST00000251303.11	1289	0	775	514	0.0
ENST00000384627.1	133	0	31	102	0.0
ENST00000384776.1	133	0	31	102	0.0
ENST00000247005.8	2787	0	2102	685	0.0
ENST00000623882.4	2787	0	2102	685	0.0
ENST00000636267.1	541	0	270	271	0.0
ENST00000457020.3	1372	0	1110	262	0.0
ENST00000615853.1	617	0	515	102	0.0
ENST00000622749.2	1733	0	1631	102	0.0
ENST00000430448.3	1376	0	1110	266	0.0
ENST00000417256.3	1376	0	1110	266	0.0
ENST00000457977.3	1376	0	1110	266	0.0
ENST00000439466.3	1376	0	1110	266	0.0
ENST00000415858.3	1376	0	1110	266	0.0
ENST00000441330.3	1376	0	1110	266	0.0
ENST00000458218.3	1376	0	1110	266	0.0
ENST00000354514.6	617	0	515	102	0.0
ENST00000369505.5	1733	0	1631	102	0.0
ENST00000419795.6	541	0	270	271	0.0
ENST00000433030.4	1338	0	1110	228	0.0
ENST00000540220.6	730	0	457	273	0.0
ENST00000598087.4	730	0	457	273	0.0
ENST00000331070.8	1440	0	729	711	0.0
ENST00000382287.5	1440	0	729	711	0.0
ENST00000382392.5	1440	0	729	711	0.0
ENST00000405239.6	5063	0	2752	2311	0.0
ENST00000682740.1	5026	0	2658	2368	0.0
ENST00000382365.7	3911	0	2365	1546	0.0
ENST00000345530.8	7659	2	5304	2353	0.000261
ENST00000281405.9	7600	2	5304	2294	0.000263
ENST00000360568.8	4937	2	3657	1278	0.000405
ENST00000533250.2	1692	1	1341	350	0.000591
ENST00000528972.1	1691	1	1341	349	0.000591
ENST00000650373.2	16044	15	8562	7467	0.000935
