transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000641819.1		7300	100	v1c_genome_RNA_SE_100	7201	0.755867	250	0	0.0	-0.755867	400	0	0.0	-0.755867	500	0	0.0	-0.755867	600	0	0.0	-0.755867
ENST00000382409.4		2190	100	v1c_genome_RNA_SE_100	2091	0.707795	250	0	0.0	-0.707795	400	0	0.0	-0.707795	500	0	0.0	-0.707795	600	0	0.0	-0.707795
ENST00000409379.8		4531	100	v1c_genome_RNA_SE_100	4432	0.699233	250	0	0.0	-0.699233	400	0	0.0	-0.699233	500	0	0.0	-0.699233	600	0	0.0	-0.699233
ENST00000244221.9		6300	100	v1c_genome_RNA_SE_100	6201	0.863893	250	85	0.34	-0.523893	400	85	0.2125	-0.651393	500	85	0.17	-0.693893	600	85	0.141667	-0.722226
ENST00000392977.8		4033	100	v1c_genome_RNA_SE_100	3934	0.693442	250	0	0.0	-0.693442	400	0	0.0	-0.693442	500	0	0.0	-0.693442	600	0	0.0	-0.693442
ENST00000326317.11		2705	100	v1c_genome_RNA_SE_100	2606	0.691097	250	0	0.0	-0.691097	400	0	0.0	-0.691097	500	0	0.0	-0.691097	600	0	0.0	-0.691097
ENST00000381815.9		3318	100	v1c_genome_RNA_SE_100	3219	0.680336	250	0	0.0	-0.680336	400	0	0.0	-0.680336	500	0	0.0	-0.680336	600	0	0.0	-0.680336
ENST00000639785.2		10062	100	v1c_genome_RNA_SE_100	9963	0.964669	250	133	0.532	-0.432669	400	133	0.3325	-0.632169	500	161	0.322	-0.642669	600	261	0.435	-0.529669
ENST00000303212.3		1528	100	v1c_genome_RNA_SE_100	1429	0.659902	250	0	0.0	-0.659902	400	0	0.0	-0.659902	500	14	0.028	-0.631902	600	114	0.19	-0.469902
ENST00000357179.10		2834	100	v1c_genome_RNA_SE_100	2735	0.858867	250	53	0.212	-0.646867	400	98	0.245	-0.613867	500	114	0.228	-0.630867	600	214	0.356667	-0.5022
