transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14343	100	v2e_dedupcds_RNA_PE_100	14244	0.949031	250	0	0.0	-0.949031	400	0	0.0	-0.949031	500	0	0.0	-0.949031	600	48	0.08	-0.869031
ENST00000306151.9		14352	100	v2e_dedupcds_RNA_PE_100	14253	0.939942	250	0	0.0	-0.939942	400	0	0.0	-0.939942	500	0	0.0	-0.939942	600	0	0.0	-0.939942
ENST00000544440.7		15077	100	v2e_dedupcds_RNA_PE_100	14978	0.938376	250	0	0.0	-0.938376	400	0	0.0	-0.938376	500	0	0.0	-0.938376	600	0	0.0	-0.938376
ENST00000300648.7		8681	100	v2e_dedupcds_RNA_PE_100	8582	0.928455	250	0	0.0	-0.928455	400	0	0.0	-0.928455	500	0	0.0	-0.928455	600	0	0.0	-0.928455
ENST00000243077.8		14923	100	v2e_dedupcds_RNA_PE_100	14824	0.917566	250	0	0.0	-0.917566	400	0	0.0	-0.917566	500	0	0.0	-0.917566	600	0	0.0	-0.917566
ENST00000398571.7		11675	100	v2e_dedupcds_RNA_PE_100	11576	0.916379	250	0	0.0	-0.916379	400	0	0.0	-0.916379	500	0	0.0	-0.916379	600	0	0.0	-0.916379
ENST00000369393.8		18485	100	v2e_dedupcds_RNA_PE_100	18386	0.909388	250	0	0.0	-0.909388	400	0	0.0	-0.909388	500	0	0.0	-0.909388	600	0	0.0	-0.909388
ENST00000323853.10		7194	100	v2e_dedupcds_RNA_PE_100	7095	0.898943	250	0	0.0	-0.898943	400	0	0.0	-0.898943	500	0	0.0	-0.898943	600	0	0.0	-0.898943
ENST00000306749.4		8464	100	v2e_dedupcds_RNA_PE_100	8365	0.896952	250	0	0.0	-0.896952	400	0	0.0	-0.896952	500	0	0.0	-0.896952	600	0	0.0	-0.896952
ENST00000264233.6		8757	100	v2e_dedupcds_RNA_PE_100	8658	0.893971	250	0	0.0	-0.893971	400	0	0.0	-0.893971	500	0	0.0	-0.893971	600	0	0.0	-0.893971
ENST00000375759.8		12385	100	v2e_dedupcds_RNA_PE_100	12286	0.892235	250	0	0.0	-0.892235	400	0	0.0	-0.892235	500	0	0.0	-0.892235	600	0	0.0	-0.892235
ENST00000379458.9		11248	100	v2e_dedupcds_RNA_PE_100	11149	0.89147	250	0	0.0	-0.89147	400	0	0.0	-0.89147	500	0	0.0	-0.89147	600	0	0.0	-0.89147
ENST00000314888.10		8623	100	v2e_dedupcds_RNA_PE_100	8524	0.890779	250	0	0.0	-0.890779	400	0	0.0	-0.890779	500	0	0.0	-0.890779	600	0	0.0	-0.890779
ENST00000253255.7		7681	100	v2e_dedupcds_RNA_PE_100	7582	0.885914	250	0	0.0	-0.885914	400	0	0.0	-0.885914	500	0	0.0	-0.885914	600	0	0.0	-0.885914
ENST00000368223.4		5568	100	v2e_dedupcds_RNA_PE_100	5469	0.883708	250	0	0.0	-0.883708	400	0	0.0	-0.883708	500	0	0.0	-0.883708	600	74	0.123333	-0.760375
ENST00000361673.4		7437	100	v2e_dedupcds_RNA_PE_100	7338	0.883074	250	0	0.0	-0.883074	400	0	0.0	-0.883074	500	0	0.0	-0.883074	600	57	0.095	-0.788074
ENST00000374469.6		12205	100	v2e_dedupcds_RNA_PE_100	12106	0.882455	250	0	0.0	-0.882455	400	0	0.0	-0.882455	500	0	0.0	-0.882455	600	0	0.0	-0.882455
ENST00000262189.11		16860	100	v2e_dedupcds_RNA_PE_100	16761	0.877215	250	0	0.0	-0.877215	400	0	0.0	-0.877215	500	0	0.0	-0.877215	600	0	0.0	-0.877215
ENST00000217939.7		9804	100	v2e_dedupcds_RNA_PE_100	9705	0.871097	250	0	0.0	-0.871097	400	0	0.0	-0.871097	500	0	0.0	-0.871097	600	0	0.0	-0.871097
ENST00000242310.4		6216	100	v2e_dedupcds_RNA_PE_100	6117	0.870525	250	0	0.0	-0.870525	400	0	0.0	-0.870525	500	0	0.0	-0.870525	600	0	0.0	-0.870525
ENST00000565624.3		13770	100	v2e_dedupcds_RNA_PE_100	13671	0.865262	250	0	0.0	-0.865262	400	0	0.0	-0.865262	500	0	0.0	-0.865262	600	0	0.0	-0.865262
ENST00000301030.10		9301	100	v2e_dedupcds_RNA_PE_100	9202	0.864921	250	0	0.0	-0.864921	400	0	0.0	-0.864921	500	0	0.0	-0.864921	600	0	0.0	-0.864921
ENST00000367549.4		4493	100	v2e_dedupcds_RNA_PE_100	4394	0.860264	250	0	0.0	-0.860264	400	0	0.0	-0.860264	500	0	0.0	-0.860264	600	85	0.141667	-0.718597
ENST00000361428.3		8210	100	v2e_dedupcds_RNA_PE_100	8111	0.858957	250	0	0.0	-0.858957	400	0	0.0	-0.858957	500	0	0.0	-0.858957	600	0	0.0	-0.858957
ENST00000261637.5		9031	100	v2e_dedupcds_RNA_PE_100	8932	0.932042	250	0	0.0	-0.932042	400	0	0.0	-0.932042	500	38	0.076	-0.856042	600	138	0.23	-0.702042
ENST00000569591.3		5188	100	v2e_dedupcds_RNA_PE_100	5089	0.852427	250	0	0.0	-0.852427	400	0	0.0	-0.852427	500	0	0.0	-0.852427	600	0	0.0	-0.852427
ENST00000263791.10		5538	100	v2e_dedupcds_RNA_PE_100	5439	0.904026	250	0	0.0	-0.904026	400	0	0.0	-0.904026	500	26	0.052	-0.852026	600	126	0.21	-0.694026
ENST00000262623.4		3721	100	v2e_dedupcds_RNA_PE_100	3622	0.847874	250	0	0.0	-0.847874	400	0	0.0	-0.847874	500	0	0.0	-0.847874	600	49	0.081667	-0.766207
ENST00000288078.11		3907	100	v2e_dedupcds_RNA_PE_100	3808	0.846113	250	0	0.0	-0.846113	400	0	0.0	-0.846113	500	0	0.0	-0.846113	600	39	0.065	-0.781113
ENST00000644991.3		8261	100	v2e_dedupcds_RNA_PE_100	8162	0.841338	250	0	0.0	-0.841338	400	0	0.0	-0.841338	500	0	0.0	-0.841338	600	0	0.0	-0.841338
ENST00000301740.13		9044	100	v2e_dedupcds_RNA_PE_100	8945	0.841029	250	0	0.0	-0.841029	400	0	0.0	-0.841029	500	0	0.0	-0.841029	600	88	0.146667	-0.694362
ENST00000317276.9		4676	100	v2e_dedupcds_RNA_PE_100	4577	0.838977	250	0	0.0	-0.838977	400	0	0.0	-0.838977	500	0	0.0	-0.838977	600	37	0.061667	-0.77731
ENST00000291495.5		4199	100	v2e_dedupcds_RNA_PE_100	4100	0.838537	250	0	0.0	-0.838537	400	0	0.0	-0.838537	500	0	0.0	-0.838537	600	0	0.0	-0.838537
ENST00000435029.6		4387	100	v2e_dedupcds_RNA_PE_100	4288	0.83722	250	0	0.0	-0.83722	400	0	0.0	-0.83722	500	0	0.0	-0.83722	600	56	0.093333	-0.743887
ENST00000164024.5		11933	100	v2e_dedupcds_RNA_PE_100	11834	0.83708	250	0	0.0	-0.83708	400	0	0.0	-0.83708	500	0	0.0	-0.83708	600	0	0.0	-0.83708
ENST00000374403.4		4388	100	v2e_dedupcds_RNA_PE_100	4289	0.835626	250	0	0.0	-0.835626	400	0	0.0	-0.835626	500	0	0.0	-0.835626	600	12	0.02	-0.815626
ENST00000643185.2		11476	100	v2e_dedupcds_RNA_PE_100	11377	0.833787	250	0	0.0	-0.833787	400	0	0.0	-0.833787	500	0	0.0	-0.833787	600	0	0.0	-0.833787
ENST00000594866.3		5687	100	v2e_dedupcds_RNA_PE_100	5588	0.83214	250	0	0.0	-0.83214	400	0	0.0	-0.83214	500	0	0.0	-0.83214	600	0	0.0	-0.83214
ENST00000262518.9		11724	100	v2e_dedupcds_RNA_PE_100	11625	0.830968	250	0	0.0	-0.830968	400	0	0.0	-0.830968	500	0	0.0	-0.830968	600	0	0.0	-0.830968
ENST00000614923.2		6985	100	v2e_dedupcds_RNA_PE_100	6886	0.830816	250	0	0.0	-0.830816	400	0	0.0	-0.830816	500	0	0.0	-0.830816	600	0	0.0	-0.830816
ENST00000418929.7		7416	100	v2e_dedupcds_RNA_PE_100	7317	0.830668	250	0	0.0	-0.830668	400	0	0.0	-0.830668	500	0	0.0	-0.830668	600	0	0.0	-0.830668
ENST00000262719.10		6299	100	v2e_dedupcds_RNA_PE_100	6200	0.825968	250	0	0.0	-0.825968	400	0	0.0	-0.825968	500	0	0.0	-0.825968	600	0	0.0	-0.825968
ENST00000298832.14		4716	100	v2e_dedupcds_RNA_PE_100	4617	0.825861	250	0	0.0	-0.825861	400	0	0.0	-0.825861	500	0	0.0	-0.825861	600	0	0.0	-0.825861
ENST00000639579.2		3423	100	v2e_dedupcds_RNA_PE_100	3324	0.82491	250	0	0.0	-0.82491	400	0	0.0	-0.82491	500	0	0.0	-0.82491	600	56	0.093333	-0.731577
ENST00000264661.4		3788	100	v2e_dedupcds_RNA_PE_100	3689	0.818921	250	0	0.0	-0.818921	400	0	0.0	-0.818921	500	0	0.0	-0.818921	600	96	0.16	-0.658921
ENST00000297268.11		5072	100	v2e_dedupcds_RNA_PE_100	4973	0.818017	250	0	0.0	-0.818017	400	0	0.0	-0.818017	500	0	0.0	-0.818017	600	0	0.0	-0.818017
ENST00000301764.12		4245	100	v2e_dedupcds_RNA_PE_100	4146	0.817656	250	0	0.0	-0.817656	400	0	0.0	-0.817656	500	0	0.0	-0.817656	600	0	0.0	-0.817656
ENST00000285879.5		4256	100	v2e_dedupcds_RNA_PE_100	4157	0.816935	250	0	0.0	-0.816935	400	0	0.0	-0.816935	500	0	0.0	-0.816935	600	92	0.153333	-0.663602
ENST00000617257.2		3188	100	v2e_dedupcds_RNA_PE_100	3089	0.816769	250	0	0.0	-0.816769	400	0	0.0	-0.816769	500	0	0.0	-0.816769	600	84	0.14	-0.676769
ENST00000396105.6		7209	100	v2e_dedupcds_RNA_PE_100	7110	0.816456	250	0	0.0	-0.816456	400	0	0.0	-0.816456	500	0	0.0	-0.816456	600	0	0.0	-0.816456
ENST00000405799.3		7180	100	v2e_dedupcds_RNA_PE_100	7081	0.815139	250	0	0.0	-0.815139	400	0	0.0	-0.815139	500	0	0.0	-0.815139	600	0	0.0	-0.815139
ENST00000207549.9		4080	100	v2e_dedupcds_RNA_PE_100	3981	0.813866	250	0	0.0	-0.813866	400	0	0.0	-0.813866	500	0	0.0	-0.813866	600	0	0.0	-0.813866
ENST00000315579.10		4825	100	v2e_dedupcds_RNA_PE_100	4726	0.89124	250	0	0.0	-0.89124	400	39	0.0975	-0.79374	500	39	0.078	-0.81324	600	129	0.215	-0.67624
ENST00000412172.4		3135	100	v2e_dedupcds_RNA_PE_100	3036	0.812253	250	0	0.0	-0.812253	400	0	0.0	-0.812253	500	0	0.0	-0.812253	600	42	0.07	-0.742253
ENST00000444565.2		3897	100	v2e_dedupcds_RNA_PE_100	3798	0.809637	250	0	0.0	-0.809637	400	0	0.0	-0.809637	500	0	0.0	-0.809637	600	0	0.0	-0.809637
ENST00000321612.8		3843	100	v2e_dedupcds_RNA_PE_100	3744	0.809295	250	0	0.0	-0.809295	400	0	0.0	-0.809295	500	0	0.0	-0.809295	600	83	0.138333	-0.670962
ENST00000648076.2		5612	100	v2e_dedupcds_RNA_PE_100	5513	0.809178	250	0	0.0	-0.809178	400	0	0.0	-0.809178	500	0	0.0	-0.809178	600	0	0.0	-0.809178
ENST00000301067.12		20635	100	v2e_dedupcds_RNA_PE_100	20536	0.807411	250	0	0.0	-0.807411	400	0	0.0	-0.807411	500	0	0.0	-0.807411	600	0	0.0	-0.807411
ENST00000375001.8		5223	100	v2e_dedupcds_RNA_PE_100	5124	0.806792	250	0	0.0	-0.806792	400	0	0.0	-0.806792	500	0	0.0	-0.806792	600	0	0.0	-0.806792
ENST00000360467.7		6446	100	v2e_dedupcds_RNA_PE_100	6347	0.804475	250	0	0.0	-0.804475	400	0	0.0	-0.804475	500	0	0.0	-0.804475	600	0	0.0	-0.804475
ENST00000361470.4		3633	100	v2e_dedupcds_RNA_PE_100	3534	0.803905	250	0	0.0	-0.803905	400	0	0.0	-0.803905	500	0	0.0	-0.803905	600	95	0.158333	-0.645572
ENST00000218436.7		4964	100	v2e_dedupcds_RNA_PE_100	4865	0.803494	250	0	0.0	-0.803494	400	0	0.0	-0.803494	500	0	0.0	-0.803494	600	0	0.0	-0.803494
ENST00000271332.4		11015	100	v2e_dedupcds_RNA_PE_100	10916	0.800568	250	0	0.0	-0.800568	400	0	0.0	-0.800568	500	0	0.0	-0.800568	600	0	0.0	-0.800568
ENST00000230640.10		3961	100	v2e_dedupcds_RNA_PE_100	3862	0.799586	250	0	0.0	-0.799586	400	0	0.0	-0.799586	500	0	0.0	-0.799586	600	0	0.0	-0.799586
ENST00000543095.7		7811	100	v2e_dedupcds_RNA_PE_100	7712	0.79694	250	0	0.0	-0.79694	400	0	0.0	-0.79694	500	0	0.0	-0.79694	600	0	0.0	-0.79694
ENST00000295408.9		3826	100	v2e_dedupcds_RNA_PE_100	3727	0.796083	250	0	0.0	-0.796083	400	0	0.0	-0.796083	500	0	0.0	-0.796083	600	0	0.0	-0.796083
ENST00000216181.11		7451	100	v2e_dedupcds_RNA_PE_100	7352	0.795702	250	0	0.0	-0.795702	400	0	0.0	-0.795702	500	0	0.0	-0.795702	600	0	0.0	-0.795702
ENST00000380649.8		2943	100	v2e_dedupcds_RNA_PE_100	2844	0.794304	250	0	0.0	-0.794304	400	0	0.0	-0.794304	500	0	0.0	-0.794304	600	18	0.03	-0.764304
ENST00000368799.2		12793	100	v2e_dedupcds_RNA_PE_100	12694	0.794233	250	0	0.0	-0.794233	400	0	0.0	-0.794233	500	0	0.0	-0.794233	600	98	0.163333	-0.6309
ENST00000251287.3		3420	100	v2e_dedupcds_RNA_PE_100	3321	0.794038	250	0	0.0	-0.794038	400	0	0.0	-0.794038	500	0	0.0	-0.794038	600	0	0.0	-0.794038
ENST00000358321.4		3172	100	v2e_dedupcds_RNA_PE_100	3073	0.792711	250	0	0.0	-0.792711	400	0	0.0	-0.792711	500	0	0.0	-0.792711	600	0	0.0	-0.792711
ENST00000278742.6		3305	100	v2e_dedupcds_RNA_PE_100	3206	0.790705	250	0	0.0	-0.790705	400	0	0.0	-0.790705	500	0	0.0	-0.790705	600	94	0.156667	-0.634038
ENST00000380035.3		3738	100	v2e_dedupcds_RNA_PE_100	3639	0.790052	250	0	0.0	-0.790052	400	0	0.0	-0.790052	500	0	0.0	-0.790052	600	0	0.0	-0.790052
ENST00000231021.9		3082	100	v2e_dedupcds_RNA_PE_100	2983	0.783439	250	0	0.0	-0.783439	400	0	0.0	-0.783439	500	0	0.0	-0.783439	600	94	0.156667	-0.626772
ENST00000301732.10		6602	100	v2e_dedupcds_RNA_PE_100	6503	0.781485	250	0	0.0	-0.781485	400	0	0.0	-0.781485	500	0	0.0	-0.781485	600	0	0.0	-0.781485
