transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000318602.12	4311	0	4296	15	0.0
ENST00000268251.13	4480	0	1404	3076	0.0
ENST00000502732.6	11918	0	3450	8468	0.0
ENST00000302538.10	5096	0	2481	2615	0.0
ENST00000333167.13	1400	0	1168	232	0.0
ENST00000616317.5	9714	0	7053	2661	0.0
ENST00000338432.12	9069	0	7278	1791	0.0
ENST00000356839.10	1885	0	1816	69	0.0
ENST00000265838.9	1238	0	1125	113	0.0
ENST00000447966.7	3587	0	1488	2099	0.0
ENST00000352035.7	3994	0	3202	792	0.0
ENST00000336375.10	2875	0	1012	1863	0.0
ENST00000224784.10	1050	0	1001	49	0.0
ENST00000252699.7	4691	0	2634	2057	0.0
ENST00000394419.9	3423	0	2646	777	0.0
ENST00000257963.9	4232	0	1364	2868	0.0
ENST00000388922.9	3878	0	1413	2465	0.0
ENST00000445355.8	2960	0	2327	633	0.0
ENST00000368474.9	6311	0	3582	2729	0.0
ENST00000348831.9	6603	0	2057	4546	0.0
ENST00000338316.9	6346	0	3177	3169	0.0
ENST00000679454.1	4651	0	3336	1315	0.0
ENST00000462833.6	6344	0	3687	2657	0.0
ENST00000673801.1	5972	0	3144	2828	0.0
ENST00000286355.10	4122	0	3646	476	0.0
ENST00000304166.9	6340	0	1308	5032	0.0
ENST00000683351.1	3841	0	2301	1540	0.0
ENST00000356080.9	4114	0	2022	2092	0.0
ENST00000539909.6	1693	0	948	745	0.0
ENST00000324198.11	8978	0	1968	7010	0.0
ENST00000623063.3	4060	0	1315	2745	0.0
ENST00000366535.4	2256	0	1264	992	0.0
ENST00000354293.10	3058	0	2769	289	0.0
ENST00000448903.7	4288	0	2721	1567	0.0
ENST00000357586.7	3866	0	2751	1115	0.0
ENST00000610402.5	5401	0	2757	2644	0.0
ENST00000327141.9	1499	0	495	1004	0.0
ENST00000375076.9	1121	0	1047	74	0.0
ENST00000361915.8	6792	0	4500	2292	0.0
ENST00000411641.7	1275	0	987	288	0.0
ENST00000672715.1	5671	0	576	5095	0.0
ENST00000392038.7	4951	0	1347	3604	0.0
ENST00000484952.6	2076	0	1851	225	0.0
ENST00000176643.11	3404	0	1359	2045	0.0
ENST00000308666.4	5991	0	2124	3867	0.0
ENST00000374391.7	2220	0	1890	330	0.0
ENST00000380714.7	494	0	445	49	0.0
ENST00000290649.10	3308	0	1833	1475	0.0
ENST00000257863.9	1702	0	1603	99	0.0
ENST00000396553.7	3890	0	2210	1680	0.0
ENST00000316724.10	2188	0	1683	505	0.0
ENST00000273588.9	1698	0	1036	662	0.0
ENST00000517746.6	3931	0	1398	2533	0.0
ENST00000629816.3	4969	0	1389	3580	0.0
ENST00000357077.9	13916	0	7383	6533	0.0
ENST00000354546.10	2590	0	1923	667	0.0
ENST00000372921.10	2144	0	1250	894	0.0
ENST00000422982.8	6435	0	1419	5016	0.0
ENST00000617537.5	2086	0	1840	246	0.0
ENST00000374700.7	4629	0	3913	716	0.0
