target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3233	2963	53.5193
ENST00000318602.12	4610	4461	2831	37.0589
ENST00000307719.9	1799	1650	1601	56.662
ENST00000286479.4	1285	1136	1136	58.3962
ENST00000393078.5	1576	1427	1280	52.3806
ENST00000232892.12	1563	1414	1267	52.3253
ENST00000248450.9	1760	1611	1171	42.4469
ENST00000392492.8	971	822	724	51.4341
ENST00000261772.13	3437	3288	2371	42.1099
ENST00000268251.13	4779	4630	3963	49.9836
ENST00000374736.8	10408	10259	7924	45.105
ENST00000341511.11	8103	7954	5698	41.8333
ENST00000301732.10	6602	6453	4935	44.6591
ENST00000373394.8	4592	4443	3758	49.393
ENST00000326195.13	3405	3256	2158	38.7036
ENST00000370225.4	7328	7179	4844	39.4026
ENST00000318560.6	5578	5429	4988	53.6527
ENST00000360937.9	2609	2460	2320	55.0729
ENST00000502732.6	12217	12068	11587	56.0687
ENST00000644422.3	6478	6329	0	0
ENST00000302538.10	5395	5246	4218.7	46.9607
ENST00000333167.13	1699	1550	938.652	35.3637
ENST00000616317.5	10013	9864	7257	42.9624
ENST00000338432.12	9368	9219	6727	42.6111
ENST00000233710.4	2515	2366	1926	47.5364
ENST00000370841.9	2261	2112	1622	44.8479
ENST00000242592.9	1859	1710	1318	45.0095
ENST00000358776.7	5848	5699	5258	53.8774
ENST00000356839.10	2184	2035	1153	33.0864
ENST00000265838.9	1537	1388	899	37.8229
ENST00000367048.5	1520	1371	951.66	40.5349
ENST00000225823.7	3750	3601	3210	52.0555
ENST00000447966.7	3886	3737	3247	50.7392
ENST00000241069.11	2172	2023	1889	54.5282
ENST00000352035.7	4293	4144	2868	40.4151
ENST00000309951.8	7443	7294	6363	50.9426
ENST00000216139.10	1430	1281	1134	51.695
ENST00000216254.9	2734	2585	1366.72	30.8747
ENST00000293217.10	7317	7168	6581	53.6141
ENST00000272065.10	1474	1325	1129	49.758
ENST00000672073.1	2111	1962	1522	45.3002
ENST00000648477.1	1381	1232	1132	53.6563
ENST00000336375.10	3174	3025	2633	50.8288
ENST00000533904.6	1936	1787	1690	55.2264
ENST00000366684.7	1491	1342	1106	48.1268
ENST00000224784.10	1349	1200	907	44.1378
ENST00000646664.1	1812	1663	1489	52.2862
ENST00000290378.6	1382	1233	1038	49.1608
ENST00000573283.7	1919	1770	1608	53.0515
ENST00000345517.8	1501	1352	1014	43.7972
ENST00000252699.7	4990	4841	4177.66	50.3944
ENST00000429709.7	1854	1705	1140	39.045
ENST00000394419.9	3722	3573	2594	42.3957
ENST00000366578.6	4872	4723	3792	46.8851
ENST00000513398.2	2882	2733	1802	38.5035
ENST00000434821.7	3332	3183	2743	50.3239
ENST00000257963.9	4531	4382	4039	53.8253
ENST00000241416.12	5214	5065	4650.52	53.6175
ENST00000352511.5	11782	11633	11192	56.1825
ENST00000388922.9	4177	4028	3636	52.7132
ENST00000636358.2	1422	1273	636	29.1752
ENST00000238618.8	580	431	411	55.6864
ENST00000394666.9	882	733	667	53.1382
ENST00000372874.9	1496	1347	858	37.1967
ENST00000445355.8	3259	3110	2084	39.1311
ENST00000260408.8	11158	11009	10324	54.7627
ENST00000368474.9	6610	6461	5825	52.6479
ENST00000348831.9	6902	6753	6312	54.5827
ENST00000381312.6	8475	8326	7935	55.6539
ENST00000297323.12	12657	12508	11626	54.2784
ENST00000338316.9	6645	6496	5374	48.3099
ENST00000679454.1	4950	4801	3587.29	43.6335
ENST00000462833.6	6643	6494	5609	50.438
ENST00000357869.8	6092	5943	5000	49.1303
ENST00000673801.1	6271	6122	4920.32	46.9337
ENST00000286355.10	4421	4272	3489	47.693
ENST00000294016.8	7980	7831	7398	55.1673
ENST00000450565.8	3259	3110	2963	55.636
ENST00000304166.9	6639	6490	5846	52.6016
ENST00000683351.1	4140	3991	3305	48.3587
ENST00000264436.9	9290	9141	8456	54.0202
ENST00000356080.9	4413	4264	3627	49.6724
ENST00000276914.7	1897	1748	1480	49.443
ENST00000209668.3	1454	1305	973	43.5399
ENST00000305046.13	4067	3918	3594.15	53.5693
ENST00000515683.6	1454	1305	969.854	43.3991
ENST00000265512.12	2002	1853	1517	47.8074
ENST00000296412.14	2652	2503	2161	50.4172
ENST00000394899.6	2802	2653	2311	50.8683
ENST00000437033.7	2119	1970	1628	48.2584
ENST00000539909.6	1992	1843	1415	44.8349
ENST00000278175.10	1492	1343	1245	54.135
ENST00000337894.9	2901	2752	2654	56.3167
ENST00000337539.12	2529	2380	2331	57.194
ENST00000304222.3	1522	1373	1373	58.3962
ENST00000241356.5	1757	1608	1666.7	60.5279
ENST00000357003.8	3623	3474	3327	55.9252
ENST00000366794.10	3978	3829	2801	42.7182
ENST00000381989.4	5437	5288	3749	41.4008
ENST00000379453.6	2942	2793	2794	58.4171
ENST00000306675.5	2507	2358	2358	58.3962
ENST00000380573.4	3770	3621	3573	57.6221
ENST00000280155.4	3879	3730	3779	59.1634
ENST00000620793.2	3696	3547	3597	59.2194
ENST00000330055.7	2142	1993	2042	59.832
ENST00000369295.4	3039	2890	2939	59.3863
ENST00000305988.6	2013	1864	1913	59.9313
ENST00000345060.5	2585	2436	2437	58.4202
ENST00000308595.10	3403	3254	2323	41.6885
ENST00000324198.11	9277	9128	8197	52.4402
ENST00000623063.3	4359	4210	3677	51.0031
ENST00000366535.4	2555	2406	1868	45.3384
ENST00000354293.10	3357	3208	2226.97	40.5382
ENST00000448903.7	4587	4438	3458	45.5012
ENST00000357586.7	4165	4016	3056	44.437
ENST00000610402.5	5700	5551	4578	48.1603
ENST00000299980.9	6602	6453	5452	49.3377
ENST00000223357.8	4097	3948	3017	44.6255
ENST00000327141.9	1798	1649	1409	49.8971
ENST00000335847.9	1918	1769	1476	48.724
ENST00000226355.5	1997	1848	1211	38.2672
ENST00000395792.7	2426	2277	1640	42.0596
ENST00000264595.7	2037	1888	1546	47.8181
ENST00000560601.4	8960	8811	7978	52.8754
ENST00000375076.9	1420	1271	869	39.9263
ENST00000361915.8	7091	6942	5374	45.2062
ENST00000290953.3	498	349	301	50.3647
ENST00000254958.10	5940	5791	4639	46.7795
ENST00000366667.6	2116	1967	1870	55.5165
ENST00000349243.8	2324	2175	2126	57.0806
ENST00000371906.5	2862	2713	2664	57.3415
ENST00000606794.2	3660	3511	3561	59.2278
ENST00000307503.4	2900	2751	2310	49.035
ENST00000378970.5	1813	1664	1665	58.4313
ENST00000217426.7	2150	2001	1610	46.9855
ENST00000242057.9	6243	6094	5653	54.1703
ENST00000411641.7	1574	1425	1180	48.3562
ENST00000376059.8	655	506	317	36.5842
ENST00000633556.3	10039	9890	9018.82	53.2523
ENST00000644144.2	2192	2043	1868	53.3941
ENST00000672715.1	5970	5821	5626	56.44
ENST00000327299.8	6845	6696	6549	57.1142
ENST00000649815.2	2957	2808	2172	45.1697
ENST00000392038.7	5250	5101	4514	51.6763
ENST00000409155.8	3129	2980	2517	49.3233
ENST00000484952.6	2375	2226	1736	45.5417
ENST00000650242.1	1940	1791	1377	44.8976
ENST00000295897.9	2285	2136	1499	40.9812
ENST00000306107.9	4701	4552	3876	49.724
ENST00000218104.6	3669	3520	3128	51.893
ENST00000297785.8	2096	1947	1409	42.26
ENST00000261733.7	9561	9412	8873	55.052
ENST00000225740.11	1639	1490	1099	43.0721
ENST00000377698.4	3028	2879	2879	58.3962
ENST00000329841.10	3469	3320	2781	48.9156
ENST00000342456.11	2811	2662	2270	49.7969
ENST00000673966.2	2650	2501	2062	48.1459
ENST00000354775.5	2395	2246	1806	46.9562
ENST00000176643.11	3703	3554	3162	51.9552
ENST00000308666.4	6290	6141	5750	54.6781
ENST00000642816.3	1640	1491	1231.08	48.2164
ENST00000647789.2	2420	2271	1962	50.4506
ENST00000226253.9	1608	1459	1121	44.8678
ENST00000285930.9	1361	1212	821	39.5572
ENST00000389048.8	6240	6091	4769	45.7218
ENST00000251535.11	2392	2243	1655	43.0877
ENST00000374391.7	2519	2370	1782	43.908
ENST00000380490.5	869	720	573	46.4737
ENST00000647874.1	2515	2366	1712	42.2546
ENST00000293761.8	2697	2548	1961	44.9431
ENST00000380183.9	2697	2548	1960	44.9202
ENST00000295463.4	3241	3092	2651	50.0674
ENST00000374840.8	2536	2387	1897	46.4087
ENST00000392027.3	2754	2605	2166.63	48.5693
ENST00000295453.8	2492	2343	1899.37	47.3394
ENST00000647563.2	1955	1806	1709	55.2598
ENST00000322937.10	2005	1856	1356	42.6645
ENST00000265132.8	1262	1113	724	37.9864
ENST00000368885.8	3423	3274	2937	52.3854
ENST00000380714.7	793	644	456	41.3489
ENST00000651267.2	926	777	557	41.8619
ENST00000290649.10	3607	3458	2879	48.6185
ENST00000221496.5	1809	1660	1513	53.225
ENST00000257863.9	2001	1852	1411	44.4909
ENST00000520113.7	2335	2186	1540	41.1392
ENST00000528667.7	4081	3932	3099	46.0249
ENST00000396553.7	4189	4040	3403	49.1887
ENST00000356264.7	3224	3075	2219	42.1402
ENST00000316724.10	2487	2338	1531	38.2398
ENST00000273588.9	1997	1848	1492	47.1467
ENST00000370083.9	1785	1636	1146.7	40.9308
ENST00000330330.10	1785	1636	1146.7	40.9308
ENST00000622339.5	1785	1636	1146.7	40.9308
ENST00000414303.7	1584	1435	1007.91	41.0162
ENST00000684275.1	1584	1435	947.997	38.578
ENST00000397990.5	748	599	599	58.3962
ENST00000517746.6	4230	4081	3739	53.5024
ENST00000629816.3	5268	5119	4806	54.8256
ENST00000289734.13	8292	8143	6135	43.9962
ENST00000357077.9	14215	14066	11978	49.7277
ENST00000280772.7	17019	16870	14835	51.352
ENST00000300060.7	3662	3513	2601	43.2361
ENST00000281456.11	4415	4266	4168	57.0547
ENST00000317881.9	1307	1158	1060	53.4542
ENST00000381401.11	1451	1302	1205	54.0457
ENST00000257497.11	1401	1252	713	33.256
ENST00000451270.7	1554	1405	916	38.0718
ENST00000264908.11	1432	1283	744	33.8634
ENST00000394295.6	2651	2502	1970	45.9794
ENST00000296511.10	1638	1489	956	37.4928
ENST00000354546.10	2889	2740	1602	34.1426
ENST00000372921.10	2443	2294	1788	45.5155
ENST00000422982.8	6734	6585	5880	52.1442
ENST00000419625.6	1456	1307	907	40.5244
ENST00000617537.5	2385	2236	1318	34.4214
ENST00000253799.8	2677	2528	2430	56.1324
ENST00000374700.7	4928	4779	3162	38.6376
ENST00000551964.6	7201	7052	5827	48.2522
ENST00000379158.7	998	849	720	49.5233
ENST00000398189.4	1750	1601	1602	58.4327
ENST00000265381.7	6597	6448	5935	53.7502
ENST00000683413.1	3941	3792	3180	48.9715
ENST00000609360.6	2666	2517	1924	44.6382
ENST00000508593.6	8899	8750	7971.01	53.1974
ENST00000257430.9	10704	10555	9877	54.6451
ENST00000255040.3	925	776	776	58.3962
ENST00000291582.6	2690	2541	1953	44.883
ENST00000296456.10	2879	2730	1758	37.6046
ENST00000216714.8	1453	1304	1157	51.8132
ENST00000227758.7	3764	3615	3279	52.9685
ENST00000263464.9	6877	6728	6392	55.4799
ENST00000371199.8	8558	8409	8170	56.7365
ENST00000350051.8	2574	2425	2327	56.0363
ENST00000221891.9	2370	2221	1508	39.6495
ENST00000338167.10	3697	3548	2813	46.2989
ENST00000236850.5	899	750	720	56.0604
ENST00000367990.7	474	325	277	49.7716
ENST00000357780.5	1471	1322	1274	56.2759
ENST00000233242.5	14121	13972	12660	52.9127
ENST00000229304.5	894	745	667	52.2823
ENST00000592535.6	514	365	267	42.7172
ENST00000219660.6	1325	1176	980	48.6635
ENST00000252490.7	660	511	437	49.9396
ENST00000227667.8	535	386	303	45.8395
ENST00000592954.2	616	467	418	52.269
ENST00000343267.8	862	713	603	49.387
ENST00000252486.9	1166	1017	922	52.9413
ENST00000205948.11	1174	1025	732	41.7035
ENST00000346798.8	3583	3434	2651	45.0811
ENST00000378364.8	931	782	636	47.4936
ENST00000326003.7	1464	1315	1168	51.8683
ENST00000652046.1	3696	3547	3228	53.1444
ENST00000367721.3	1805	1656	1561	55.0462
ENST00000380913.8	7474	7325	6933	55.2711
ENST00000311813.11	2754	2605	2507	56.1994
ENST00000199280.4	4180	4031	3933	56.9765
ENST00000297991.6	1825	1676	1481	51.6019
ENST00000383168.9	5158	5009	4912	57.2654
ENST00000293599.7	1449	1300	1202	53.994
ENST00000315520.10	2544	2395	2297	56.0067
ENST00000297988.6	3064	2915	2670	53.4881
ENST00000219919.9	2849	2700	2504	54.1571
ENST00000374690.9	10667	10518	10224	56.7639
ENST00000205557.12	5140	4991	3574	41.8169
ENST00000377045.9	2378	2229	1568	41.0791
ENST00000264028.5	3994	3845	3453	52.4427
ENST00000231524.14	3863	3714	3274	51.478
ENST00000395748.8	1234	1085	876	47.1476
ENST00000272102.10	1840	1691	1544	53.3198
ENST00000256682.9	4041	3892	3746	56.2056
ENST00000303436.11	1596	1447	1252	50.5267
ENST00000320033.5	1578	1429	1429	58.3962
ENST00000000233.10	1032	883	687	45.434
ENST00000298316.7	3875	3726	3726	58.3962
ENST00000368087.8	1447	1298	1004	45.1693
ENST00000261783.4	1911	1762	1287.15	42.6588
ENST00000418115.6	1805	1656	1510	53.2478
ENST00000272233.6	2367	2218	2267	59.6863
ENST00000339083.12	1117	968	822	49.5885
ENST00000263895.9	2684	2535	2340	53.9042
ENST00000351018.5	1295	1146	1180	60.1287
ENST00000311956.9	3395	3246	2738	49.2572
ENST00000350060.10	3254	3105	2147	40.379
ENST00000345122.8	9589	9440	9195	56.8806
ENST00000337414.9	5336	5187	4649	52.3393
ENST00000269321.12	1837	1688	1542	53.3454
ENST00000228945.9	1174	1025	864	49.2237
ENST00000219409.8	964	815	619	44.3525
ENST00000381799.10	4181	4032	3983	57.6865
ENST00000261636.13	3197	3048	2853	54.6602
ENST00000298231.5	1699	1550	1452	54.7041
ENST00000246747.9	932	783	636	47.4329
ENST00000260746.6	3834	3685	3490	55.3061
ENST00000358595.10	4710	4561	3636	46.5531
ENST00000403290.6	2787	2638	1773	39.2481
ENST00000307959.9	1310	1161	533	26.8089
ENST00000420843.7	7352	7203	6590	53.4265
ENST00000269260.7	1778	1629	1014	36.3498
ENST00000216124.10	4294	4145	3852	54.2683
ENST00000264914.10	4852	4703	4410	54.7581
ENST00000674429.1	6622	6473	5983	53.9757
ENST00000381154.6	5145	4996	4605	53.826
ENST00000381134.9	2219	2070	1600	45.1372
ENST00000381127.6	2165	2016	1593	46.1434
ENST00000250693.2	1315	1166	1026	51.3847
ENST00000355810.9	1557	1408	1055	43.7557
ENST00000228936.6	5160	5011	4963	57.8369
ENST00000263207.8	4056	3907	3007	44.9443
ENST00000637790.2	2779	2630	2048	45.4736
ENST00000266744.4	2481	2332	2332	58.3962
ENST00000331289.5	1485	1336	1337	58.4399
ENST00000269299.8	1310	1161	802	40.3392
ENST00000691900.1	1448	1299	957	43.0217
ENST00000374954.4	653	504	406	47.0414
ENST00000304874.14	2140	1991	1267	37.1612
ENST00000381241.9	1330	1181	803	39.7055
ENST00000357332.8	1275	1126	881	45.6901
ENST00000394308.8	2385	2236	1752	45.7559
ENST00000263080.3	5422	5273	5077	56.2256
ENST00000379454.9	5301	5152	3961.3	44.9
ENST00000352480.10	1532	1383	778	32.8505
ENST00000361833.7	7138	6989	5961	49.8068
ENST00000367698.4	1552	1403	1159	48.2404
ENST00000268489.10	15817	15668	15277	56.9389
ENST00000262053.8	2412	2263	2018	52.0741
ENST00000341491.9	1940	1791	1693	55.2009
ENST00000674920.3	1419	1270	1221	56.1431
ENST00000236959.14	1972	1823	1137	36.4216
ENST00000675843.1	12915	12766	9777	44.7235
ENST00000400908.7	8009	7860	6832	50.7587
ENST00000306011.6	2212	2063	2112	59.7832
ENST00000313115.11	471	322	238	43.1624
ENST00000295598.10	3670	3521	2492	41.3301
ENST00000361216.8	5435	5286	4258	47.0396
ENST00000648268.1	3551	3402	2374	40.7503
ENST00000381946.5	4406	4257	3228	44.2807
ENST00000368081.9	3809	3660	2679	42.744
ENST00000367815.9	2216	2067	1928.49	54.4832
