transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000370083.9	1486	0	1486	0	0.0
ENST00000330330.10	1486	0	1486	0	0.0
ENST00000622339.5	1486	0	1486	0	0.0
ENST00000328435.3	460	0	460	0	0.0
ENST00000247005.8	2280	0	2280	0	0.0
ENST00000684311.1	1587	0	1587	0	0.0
ENST00000337502.6	982	0	982	0	0.0
ENST00000369159.3	234	0	234	0	0.0
ENST00000578186.3	97	0	97	0	0.0
ENST00000331070.8	907	0	907	0	0.0
ENST00000250825.5	211	0	211	0	0.0
ENST00000521776.2	5230	0	5230	0	0.0
ENST00000623882.4	2280	0	2280	0	0.0
ENST00000399635.4	1016	0	1016	0	0.0
ENST00000398682.5	1166	0	1166	0	0.0
ENST00000323319.7	1878	0	1878	0	0.0
ENST00000615063.2	1064	0	1064	0	0.0
ENST00000330181.10	834	0	834	0	0.0
ENST00000332831.5	640	0	640	0	0.0
ENST00000335504.10	2214	0	2214	0	0.0
ENST00000615853.1	292	0	292	0	0.0
ENST00000016946.8	6969	0	6969	0	0.0
ENST00000313324.9	1921	0	1921	0	0.0
ENST00000310981.6	3447	0	3447	0	0.0
ENST00000527353.2	1012	0	1012	0	0.0
ENST00000307393.3	1096	0	1096	0	0.0
ENST00000323146.8	2367	0	2367	0	0.0
ENST00000528368.3	1054	0	1054	0	0.0
ENST00000377931.1	1548	0	1548	0	0.0
ENST00000457020.3	995	0	995	0	0.0
ENST00000682532.1	1587	0	1587	0	0.0
ENST00000540220.6	353	0	353	0	0.0
ENST00000403683.2	219	0	219	0	0.0
ENST00000514465.1	1096	0	1096	0	0.0
ENST00000602548.2	1321	0	1321	0	0.0
ENST00000314357.4	30	0	30	0	0.0
ENST00000648174.1	1096	0	1096	0	0.0
ENST00000647769.1	1096	0	1096	0	0.0
ENST00000634648.1	1321	0	1321	0	0.0
ENST00000382392.5	907	0	907	0	0.0
ENST00000382287.5	907	0	907	0	0.0
ENST00000354514.6	292	0	292	0	0.0
ENST00000369505.5	1408	0	1408	0	0.0
ENST00000622749.2	1408	0	1408	0	0.0
ENST00000355602.3	25	0	25	0	0.0
ENST00000335479.2	17	0	17	0	0.0
ENST00000335510.7	22	0	22	0	0.0
ENST00000251303.11	834	0	834	0	0.0
ENST00000579512.3	97	0	97	0	0.0
ENST00000408930.7	1129	0	1129	0	0.0
ENST00000651045.3	2601	0	2601	0	0.0
ENST00000575125.6	2601	0	2601	0	0.0
ENST00000617224.3	53	0	53	0	0.0
ENST00000445148.2	262	0	262	0	0.0
ENST00000624207.2	1610	0	1610	0	0.0
ENST00000638483.1	298	0	298	0	0.0
ENST00000375616.6	165	0	165	0	0.0
ENST00000561509.3	1163	0	1163	0	0.0
ENST00000607355.3	235	0	235	0	0.0
ENST00000596480.6	982	0	982	0	0.0
ENST00000416841.8	3458	0	3458	0	0.0
ENST00000430448.3	999	0	999	0	0.0
ENST00000417256.3	999	0	999	0	0.0
ENST00000457977.3	999	0	999	0	0.0
ENST00000439466.3	999	0	999	0	0.0
ENST00000415858.3	999	0	999	0	0.0
ENST00000441330.3	999	0	999	0	0.0
ENST00000458218.3	999	0	999	0	0.0
ENST00000382689.8	195	0	195	0	0.0
ENST00000504481.1	1294	0	1294	0	0.0
ENST00000509271.1	1294	0	1294	0	0.0
ENST00000509660.1	1294	0	1294	0	0.0
ENST00000515574.1	1294	0	1294	0	0.0
ENST00000504543.1	1294	0	1294	0	0.0
ENST00000511681.1	1294	0	1294	0	0.0
ENST00000504104.1	1294	0	1294	0	0.0
ENST00000369929.8	962	0	962	0	0.0
ENST00000333385.11	2601	0	2601	0	0.0
ENST00000370518.4	109	0	109	0	0.0
ENST00000650426.1	1096	0	1096	0	0.0
ENST00000647903.1	1096	0	1096	0	0.0
ENST00000581138.4	461	0	461	0	0.0
ENST00000377930.1	1548	0	1548	0	0.0
ENST00000544357.2	1548	0	1548	0	0.0
ENST00000452123.3	1548	0	1548	0	0.0
ENST00000434815.1	1548	0	1548	0	0.0
ENST00000341305.7	1168	0	1168	0	0.0
ENST00000623787.3	1352	0	1352	0	0.0
ENST00000420398.3	262	0	262	0	0.0
ENST00000381698.5	261	0	261	0	0.0
ENST00000426406.4	640	0	640	0	0.0
ENST00000620215.3	1778	0	1778	0	0.0
ENST00000581164.2	461	0	461	0	0.0
ENST00000567119.1	1075	0	1075	0	0.0
ENST00000440137.2	262	0	262	0	0.0
ENST00000458472.2	150	0	150	0	0.0
ENST00000611003.2	123	0	123	0	0.0
ENST00000533250.2	1289	0	1289	0	0.0
ENST00000405679.4	262	0	262	0	0.0
ENST00000542739.3	1496	0	1496	0	0.0
ENST00000452267.2	53	0	53	0	0.0
ENST00000528972.1	1288	0	1288	0	0.0
ENST00000415041.1	1294	0	1294	0	0.0
ENST00000454856.4	1388	0	1388	0	0.0
ENST00000506151.1	1294	0	1294	0	0.0
ENST00000506414.1	1294	0	1294	0	0.0
ENST00000632897.2	1792	0	1792	0	0.0
ENST00000331733.5	1659	0	1659	0	0.0
ENST00000340073.9	2601	0	2601	0	0.0
ENST00000273968.5	1012	0	1012	0	0.0
ENST00000610598.5	727	0	727	0	0.0
ENST00000599405.4	940	0	940	0	0.0
ENST00000569055.2	1766	0	1766	0	0.0
ENST00000611660.5	711	0	711	0	0.0
ENST00000623042.2	1168	0	1168	0	0.0
ENST00000612377.3	2601	0	2601	0	0.0
ENST00000419795.6	164	0	164	0	0.0
ENST00000427999.7	1253	0	1253	0	0.0
ENST00000636267.1	164	0	164	0	0.0
ENST00000607829.6	344	0	344	0	0.0
ENST00000638842.1	298	0	298	0	0.0
ENST00000518377.3	254	0	254	0	0.0
ENST00000598087.4	353	0	353	0	0.0
ENST00000645271.2	1569	0	1569	0	0.0
ENST00000578372.2	1921	0	1921	0	0.0
ENST00000706918.1	484	0	484	0	0.0
ENST00000676296.1	91	0	91	0	0.0
ENST00000649912.2	271	0	271	0	0.0
ENST00000713549.1	271	0	271	0	0.0
ENST00000381497.7	1271	0	1271	0	0.0
ENST00000715679.1	2367	0	2367	0	0.0
ENST00000625106.4	2037	1	2036	0	0.000491
ENST00000329516.8	7006	5	7001	0	0.000714
ENST00000378149.9	1085	1	1084	0	0.000922
ENST00000480744.3	1795	2	1793	0	0.001114
ENST00000595689.3	910	3	907	0	0.003297
ENST00000503143.3	2836	11	2825	0	0.003879
ENST00000619661.3	1620	8	1612	0	0.004938
ENST00000623491.2	1170	6	1164	0	0.005128
ENST00000304270.6	334	2	332	0	0.005988
ENST00000438525.3	152	1	151	0	0.006579
ENST00000356346.7	14384	122	14262	0	0.008482
ENST00000622447.5	3492	33	3459	0	0.00945
ENST00000338971.10	1056	10	1046	0	0.00947
ENST00000471932.6	2238	23	2215	0	0.010277
ENST00000360423.12	1057	11	1046	0	0.010407
ENST00000453960.7	10044	113	9931	0	0.01125
ENST00000450852.8	3406	42	3364	0	0.012331
ENST00000369158.2	223	3	220	0	0.013453
ENST00000421274.7	5128	72	5056	0	0.014041
ENST00000382692.3	199	3	196	0	0.015075
ENST00000397345.8	25892	398	25494	0	0.015372
ENST00000427231.7	25892	398	25494	0	0.015372
ENST00000457736.1	1294	21	1273	0	0.016229
ENST00000345136.8	14505	243	14262	0	0.016753
ENST00000620654.2	767	13	754	0	0.016949
ENST00000396594.8	4921	84	4837	0	0.01707
ENST00000599837.3	470	9	461	0	0.019149
ENST00000375735.7	13384	290	13094	0	0.021668
ENST00000405239.6	4036	94	3942	0	0.02329
ENST00000303391.11	10168	237	9931	0	0.023308
ENST00000650373.2	13405	316	13089	0	0.023573
ENST00000356175.8	12011	292	11719	0	0.024311
ENST00000642385.2	4964	127	4837	0	0.025584
ENST00000651894.2	76	2	74	0	0.026316
ENST00000357162.7	13712	364	13348	0	0.026546
ENST00000358273.9	12074	359	11715	0	0.029733
ENST00000367210.3	5618	168	5450	0	0.029904
ENST00000538039.6	9664	292	9372	0	0.030215
ENST00000602195.6	2102	66	2036	0	0.031399
ENST00000427177.6	3434	109	3325	0	0.031741
ENST00000358544.7	13787	439	13348	0	0.031842
ENST00000354534.11	11260	385	10875	0	0.034192
ENST00000627620.5	11260	385	10875	0	0.034192
ENST00000530217.3	965	33	932	0	0.034197
ENST00000620704.5	1069	38	1031	0	0.035547
ENST00000269217.11	5319	192	5127	0	0.036097
ENST00000535490.3	1555	58	1497	0	0.037299
ENST00000376143.5	12772	491	12281	0	0.038443
ENST00000394351.9	4176	161	4015	0	0.038554
ENST00000622206.2	1806	71	1735	0	0.039313
ENST00000294053.9	9754	386	9368	0	0.039574
ENST00000346342.8	2764	112	2652	0	0.040521
ENST00000382365.7	3118	129	2989	0	0.041373
ENST00000354600.10	4378	182	4196	0	0.041571
ENST00000304790.3	1145	48	1097	0	0.041921
ENST00000281405.9	6599	292	6307	0	0.044249
ENST00000376131.9	12857	576	12281	0	0.0448
ENST00000375437.7	8477	382	8095	0	0.045063
ENST00000631182.3	8477	382	8095	0	0.045063
ENST00000437951.6	7606	344	7262	0	0.045227
ENST00000461393.7	2828	131	2697	0	0.046322
ENST00000340595.4	7370	349	7021	0	0.047354
ENST00000377329.10	5573	267	5306	0	0.04791
ENST00000359426.7	3303	161	3142	0	0.048744
ENST00000682740.1	3973	196	3777	0	0.049333
ENST00000345530.8	6632	329	6303	0	0.049608
ENST00000515566.1	1294	67	1227	0	0.051777
ENST00000264485.11	7417	396	7021	0	0.053391
ENST00000639969.1	298	16	282	0	0.053691
ENST00000428956.7	5128	296	4832	0	0.057722
ENST00000435500.7	5128	296	4832	0	0.057722
ENST00000399603.6	13445	777	12668	0	0.057791
ENST00000399655.6	13445	777	12668	0	0.057791
ENST00000552981.6	5685	331	5354	0	0.058223
ENST00000311936.8	5007	292	4715	0	0.058318
ENST00000228318.8	5688	334	5354	0	0.05872
ENST00000345034.2	2022	121	1901	0	0.059842
ENST00000382867.4	1662	100	1562	0	0.060168
ENST00000250838.6	1661	100	1561	0	0.060205
ENST00000389817.8	4622	282	4340	0	0.061013
ENST00000519520.7	2504	155	2349	0	0.061901
ENST00000302539.9	4625	288	4337	0	0.06227
ENST00000715854.1	9698	609	9089	0	0.062796
ENST00000375581.4	2830	178	2652	0	0.062898
ENST00000612907.2	1022	67	955	0	0.065558
ENST00000549701.6	4215	292	3923	0	0.069276
ENST00000677389.1	1730	121	1609	0	0.069942
ENST00000357559.9	8044	578	7466	0	0.071855
ENST00000350061.11	9070	654	8416	0	0.072106
ENST00000409851.8	9797	708	9089	0	0.072267
ENST00000595235.6	979	72	907	0	0.073544
ENST00000250831.6	1647	122	1525	0	0.074074
ENST00000370519.4	119	9	110	0	0.07563
ENST00000640846.1	298	23	275	0	0.077181
ENST00000456475.1	696	54	642	0	0.077586
ENST00000288139.11	9130	718	8412	0	0.078642
ENST00000553257.6	4254	335	3919	0	0.078749
ENST00000423572.7	8217	670	7547	0	0.081538
ENST00000334036.10	1161	95	1066	0	0.081826
ENST00000256078.10	5131	420	4711	0	0.081855
ENST00000344626.10	5278	434	4844	0	0.082228
ENST00000413689.6	8220	676	7544	0	0.082238
ENST00000616101.5	1823	150	1673	0	0.082282
ENST00000360568.8	4248	351	3897	0	0.082627
ENST00000379104.7	4254	357	3897	0	0.083921
ENST00000620443.2	4849	407	4442	0	0.083935
ENST00000622768.5	4849	407	4442	0	0.083935
ENST00000373299.5	3455	292	3163	0	0.084515
ENST00000423027.8	5746	492	5254	0	0.085625
ENST00000399506.9	5877	507	5370	0	0.086269
ENST00000428845.6	862	75	787	0	0.087007
ENST00000426950.6	880	77	803	0	0.0875
ENST00000300036.6	6581	582	5999	0	0.088436
ENST00000613155.1	1297	115	1182	0	0.088666
ENST00000324631.13	5830	524	5306	0	0.08988
ENST00000295959.10	2967	270	2697	0	0.091001
ENST00000482125.2	8212	757	7455	0	0.092182
ENST00000375602.2	183	17	166	0	0.092896
ENST00000435363.7	5128	487	4641	0	0.094969
ENST00000377050.5	595	57	538	0	0.095798
ENST00000264731.8	4645	449	4196	0	0.096663
ENST00000625293.3	797	78	719	0	0.097867
ENST00000341105.7	3084	302	2782	0	0.097925
ENST00000452625.7	6641	651	5990	0	0.098027
ENST00000646693.2	5371	533	4838	0	0.099237
ENST00000434883.3	995	99	896	0	0.099497
ENST00000620804.2	5429	547	4882	0	0.100755
ENST00000358487.10	4325	440	3885	0	0.101734
ENST00000331666.11	2611	266	2345	0	0.101877
ENST00000457416.7	4328	443	3885	0	0.102357
ENST00000380876.5	2614	272	2342	0	0.104055
ENST00000359741.10	4364	457	3907	0	0.10472
ENST00000381237.6	4364	457	3907	0	0.10472
ENST00000326294.4	608	64	544	0	0.105263
ENST00000448552.7	2622	278	2344	0	0.106026
ENST00000352241.9	4500	485	4015	0	0.107778
ENST00000611411.4	1333	150	1183	0	0.112528
ENST00000610350.4	1778	201	1577	0	0.113048
ENST00000334049.11	5928	674	5254	0	0.113698
ENST00000507450.6	2915	336	2579	0	0.115266
ENST00000302824.7	4588	534	4054	0	0.116391
ENST00000638009.2	8346	973	7373	0	0.116583
ENST00000360228.11	8348	976	7372	0	0.116914
ENST00000437823.5	3927	461	3466	0	0.117392
ENST00000373302.8	3581	422	3159	0	0.117844
ENST00000652175.2	2479	296	2183	0	0.119403
ENST00000250823.5	241	29	212	0	0.120332
ENST00000315939.11	10497	1265	9232	0	0.120511
ENST00000487848.6	3171	389	2782	0	0.122674
ENST00000383020.7	1622	203	1419	0	0.125154
ENST00000442250.6	5504	692	4812	0	0.125727
ENST00000684293.1	5517	707	4810	0	0.128149
ENST00000396954.8	3867	503	3364	0	0.130075
ENST00000309366.9	275	36	239	0	0.130909
ENST00000331920.11	8363	1101	7262	0	0.131651
ENST00000534703.1	1096	148	948	0	0.135036
ENST00000456914.7	1409	191	1218	0	0.135557
ENST00000398146.5	6471	882	5589	0	0.1363
ENST00000626021.3	4322	595	3727	0	0.137668
ENST00000641458.2	6520	923	5597	0	0.141564
ENST00000511568.1	1294	190	1104	0	0.146832
ENST00000372923.8	2918	433	2485	0	0.148389
ENST00000486160.4	2918	433	2485	0	0.148389
ENST00000382440.6	3766	566	3200	0	0.150292
ENST00000433039.2	5497	827	4670	0	0.150446
ENST00000643399.2	3699	557	3142	0	0.150581
ENST00000521508.2	6211	980	5231	0	0.157785
ENST00000382407.1	1928	307	1621	0	0.159232
ENST00000620691.5	3987	642	3345	0	0.161023
ENST00000354674.5	3486	562	2924	0	0.161216
ENST00000588136.7	4093	662	3431	0	0.16174
ENST00000614055.2	3523	577	2946	0	0.163781
ENST00000306349.13	2207	363	1844	0	0.164477
ENST00000433030.4	961	159	802	0	0.165453
ENST00000568624.2	4005	664	3341	0	0.165793
ENST00000539706.6	9853	1634	8219	0	0.165838
ENST00000570508.3	718	121	597	0	0.168524
ENST00000382680.5	1622	284	1338	0	0.175092
ENST00000528738.1	1096	192	904	0	0.175182
ENST00000648172.9	6513	1143	5370	0	0.175495
ENST00000618455.5	3432	606	2826	0	0.176573
ENST00000370416.4	1664	296	1368	0	0.177885
ENST00000598963.3	1667	298	1369	0	0.178764
ENST00000340908.9	11253	2020	9233	0	0.179508
ENST00000395693.8	685	124	561	0	0.181022
ENST00000339876.11	10037	1824	8213	0	0.181728
ENST00000550665.6	3306	601	2502	203	0.181791
ENST00000698833.1	19279	3558	2199	13522	0.184553
ENST00000339598.8	4539	839	3700	0	0.184842
ENST00000355637.9	3763	697	3066	0	0.185225
ENST00000620247.2	1823	338	1485	0	0.185409
ENST00000381394.9	475	89	386	0	0.187368
ENST00000370683.6	1987	373	1614	0	0.18772
ENST00000420911.2	2288	431	1857	0	0.188374
ENST00000648344.1	1096	214	882	0	0.195255
ENST00000410020.8	6476	1275	5201	0	0.196881
ENST00000329047.13	4152	827	3325	0	0.199181
ENST00000467889.3	3558	713	2845	0	0.200393
ENST00000583866.9	12731	2582	4952	5197	0.202812
ENST00000509311.7	4890	992	3898	0	0.202863
ENST00000355557.7	2050	423	1627	0	0.206341
ENST00000330852.10	1391	288	1103	0	0.207045
ENST00000323770.8	1419	296	1123	0	0.208598
ENST00000263997.11	3892	816	3076	0	0.209661
ENST00000397763.6	2857	604	2253	0	0.211411
ENST00000303766.12	1563	334	1229	0	0.213692
ENST00000306609.5	2067	447	1620	0	0.216255
ENST00000258104.8	6653	1448	5205	0	0.217646
ENST00000691607.2	2922	638	2284	0	0.218344
ENST00000486333.2	2316	510	1806	0	0.220207
ENST00000518322.6	3899	870	3029	0	0.223134
ENST00000399336.9	4021	898	3123	0	0.223328
ENST00000524958.6	347	78	269	0	0.224784
ENST00000618755.2	862	194	668	0	0.225058
ENST00000318109.12	2794	632	2162	0	0.226199
ENST00000259392.8	1424	323	1101	0	0.226826
ENST00000262965.12	4436	1010	3426	0	0.227683
ENST00000507227.1	1294	296	998	0	0.228748
ENST00000504209.1	1294	296	998	0	0.228748
ENST00000511280.1	1294	296	998	0	0.228748
ENST00000288022.2	2560	590	1970	0	0.230469
ENST00000619423.4	10480	2440	6033	2007	0.232824
ENST00000641363.1	2226	523	1703	0	0.234951
ENST00000651566.2	13642	3217	4218	6207	0.235816
ENST00000619167.2	3924	932	2992	0	0.237513
ENST00000382707.6	1622	386	1236	0	0.237978
ENST00000642816.3	1341	320	1021	0	0.238628
ENST00000710952.2	1601	383	1218	0	0.239225
ENST00000243314.5	1515	365	1150	0	0.240924
ENST00000595065.6	1515	365	1150	0	0.240924
ENST00000479665.6	4104	992	3112	0	0.241715
ENST00000267205.7	2136	522	1614	0	0.244382
ENST00000487179.2	2316	567	1749	0	0.244819
ENST00000439682.2	1844	453	1391	0	0.245662
ENST00000315453.4	1459	359	1100	0	0.246059
ENST00000622971.4	1459	368	1091	0	0.252228
ENST00000642911.3	1459	368	1091	0	0.252228
ENST00000596535.3	166	42	124	0	0.253012
ENST00000621406.5	1435	365	1070	0	0.254355
ENST00000497775.2	1094	280	814	0	0.255941
ENST00000304494.10	679	175	504	0	0.257732
ENST00000441322.6	1280	331	949	0	0.258594
ENST00000413453.7	1280	331	949	0	0.258594
ENST00000330978.4	100	26	74	0	0.26
ENST00000329753.5	479	125	354	0	0.26096
ENST00000288723.9	1486	389	1097	0	0.261777
ENST00000420869.3	1847	494	1353	0	0.267461
ENST00000648315.1	1096	296	800	0	0.270073
ENST00000641069.1	2338	635	1703	0	0.2716
ENST00000611927.2	88	24	64	0	0.272727
ENST00000233596.8	1061	290	771	0	0.273327
ENST00000284154.10	1689	464	1225	0	0.274719
ENST00000525596.6	1289	357	932	0	0.276959
ENST00000300527.9	3146	893	2253	0	0.283853
ENST00000572195.3	732	208	524	0	0.284153
ENST00000371085.8	1555	443	1112	0	0.284887
ENST00000355057.3	90	26	64	0	0.288889
ENST00000432901.4	852	247	605	0	0.289906
ENST00000394155.8	2269	661	1608	0	0.291318
ENST00000526619.7	4668	1365	3303	0	0.292416
ENST00000525590.3	4672	1368	3304	0	0.292808
ENST00000381393.3	494	145	349	0	0.293522
ENST00000295491.9	1251	370	881	0	0.295763
ENST00000529166.6	1210	358	852	0	0.295868
ENST00000617807.3	1598	474	1124	0	0.296621
ENST00000261303.13	4091	1214	2877	0	0.296749
ENST00000225728.8	1330	397	933	0	0.298496
ENST00000682606.1	3721	1117	1790	814	0.300188
ENST00000621034.2	1823	549	1274	0	0.301152
ENST00000713540.1	7475	2260	5215	0	0.302341
ENST00000357796.8	1795	543	1252	0	0.302507
ENST00000470691.2	2309	704	1605	0	0.304894
ENST00000419194.3	999	305	694	0	0.305305
ENST00000619898.5	3487	1080	2407	0	0.309722
ENST00000456464.2	1363	426	937	0	0.312546
ENST00000683297.1	1238	387	851	0	0.312601
ENST00000382659.7	1583	496	1087	0	0.313329
ENST00000375651.7	2101	682	1419	0	0.324607
ENST00000395479.10	1142	376	766	0	0.329247
ENST00000579755.2	753	249	504	0	0.330677
ENST00000550418.6	4585	1519	3066	0	0.331298
ENST00000614725.2	862	289	573	0	0.335267
ENST00000440215.5	880	296	584	0	0.336364
ENST00000584486.6	2096	707	1389	0	0.337309
ENST00000313835.14	1825	616	1209	0	0.337534
ENST00000302558.8	7000	2371	4629	0	0.338714
ENST00000320301.11	6663	2258	4405	0	0.338886
ENST00000514985.6	1757	602	1155	0	0.342629
ENST00000251595.11	277	95	182	0	0.34296
ENST00000457222.6	862	296	566	0	0.343387
ENST00000318024.9	1933	665	1268	0	0.344025
ENST00000325558.11	1314	453	861	0	0.344749
ENST00000237264.9	3900	1346	2554	0	0.345128
ENST00000320868.9	278	96	182	0	0.345324
ENST00000495262.7	4206	1458	2748	0	0.346648
ENST00000622306.5	3936	1366	2570	0	0.347053
ENST00000287996.8	3969	1389	2580	0	0.349962
ENST00000314163.12	1861	652	1209	0	0.350349
ENST00000357635.10	2976	1046	1930	0	0.351478
ENST00000359481.9	2717	957	1760	0	0.352227
ENST00000360151.9	785	279	506	0	0.355414
ENST00000636986.2	542	194	348	0	0.357934
ENST00000316170.9	4280	1532	2748	0	0.357944
ENST00000691996.1	2771	998	1773	0	0.360159
ENST00000375650.5	2218	799	1419	0	0.360234
ENST00000562783.2	4811	1737	3074	0	0.361048
ENST00000404406.6	2823	1022	1801	0	0.362026
ENST00000372950.6	1996	725	1271	0	0.363226
ENST00000610660.2	387	141	246	0	0.364341
ENST00000618279.3	809	296	513	0	0.365884
ENST00000290765.9	809	296	513	0	0.365884
ENST00000404077.6	2813	1037	1776	0	0.368646
ENST00000281882.8	1344	497	847	0	0.369792
ENST00000366554.3	2329	867	1462	0	0.372263
ENST00000610495.2	1408	527	881	0	0.37429
ENST00000641841.1	1763	662	1101	0	0.375496
ENST00000613478.2	2253	846	1407	0	0.375499
ENST00000389879.9	3225	1231	1994	0	0.381705
ENST00000259216.6	1373	525	848	0	0.382374
ENST00000417826.3	3143	1209	1934	0	0.384664
ENST00000651502.1	3710	1435	2275	0	0.386792
ENST00000299518.7	3784	1470	2314	0	0.388478
ENST00000419782.5	4624	1799	2825	0	0.389057
ENST00000445385.3	4627	1802	2825	0	0.389453
ENST00000620225.5	2335	929	1406	0	0.397859
ENST00000621587.2	1783	712	1071	0	0.399327
ENST00000450673.4	4941	1987	2954	0	0.402145
ENST00000336125.6	4943	1989	2954	0	0.402387
ENST00000355705.4	2950	1189	1761	0	0.403051
ENST00000277517.2	1057	428	629	0	0.40492
ENST00000199320.9	2532	1027	1505	0	0.405608
ENST00000503176.6	3065	1250	1815	0	0.40783
ENST00000382152.7	2071	845	1226	0	0.408015
ENST00000374321.9	5425	2222	3203	0	0.409585
ENST00000713538.1	7487	3069	4418	0	0.409911
ENST00000355346.9	3854	1583	2271	0	0.410742
ENST00000373414.4	2132	876	1256	0	0.410882
