target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3183	1289	9.71211
ENST00000318602.12	4610	4411	16268	88.4493
ENST00000307719.9	1799	1600	1534	22.9934
ENST00000286479.4	1285	1086	674	14.8843
ENST00000393078.5	1576	1377	1073	18.688
ENST00000232892.12	1563	1364	1951	34.3036
ENST00000248450.9	1760	1561	2215	34.0305
ENST00000392492.8	971	772	985	30.5996
ENST00000261772.13	3437	3238	4714	34.9148
ENST00000268251.13	4779	4580	13349	69.9005
ENST00000374736.8	10408	10209	6587	15.474
ENST00000341511.11	8103	7904	28622	86.8461
ENST00000301732.10	6602	6403	4916	18.413
ENST00000373394.8	4592	4393	9988	54.5274
ENST00000326195.13	3405	3206	4564	34.1412
ENST00000370225.4	7328	7129	13024	43.814
ENST00000318560.6	5578	5379	6445	28.7355
ENST00000360937.9	2609	2410	4171	41.5069
ENST00000502732.6	12217	12018	29863	59.5934
ENST00000644422.3	6478	6279	866	3.30769
ENST00000302538.10	5395	5196	29248	134.997
ENST00000333167.13	1699	1500	4030	64.4334
ENST00000616317.5	10013	9814	92068	224.988
ENST00000338432.12	9368	9169	73418	192.034
ENST00000233710.4	2515	2316	2796	28.9532
ENST00000370841.9	2261	2062	4771	55.4904
ENST00000242592.9	1859	1660	2068	29.8772
ENST00000358776.7	5848	5649	1894	8.04092
ENST00000356839.10	2184	1985	14832	179.199
ENST00000265838.9	1537	1338	4564	81.8063
ENST00000367048.5	1520	1321	2077	37.7078
ENST00000225823.7	3750	3551	2447	16.5265
ENST00000447966.7	3886	3687	10747	69.9055
ENST00000241069.11	2172	1973	8361	101.632
ENST00000352035.7	4293	4094	12692	74.3498
ENST00000309951.8	7443	7244	4966	16.4409
ENST00000216139.10	1430	1231	1067	20.7876
ENST00000216254.9	2734	2535	2144	20.2836
ENST00000293217.10	7317	7118	8173	27.5373
ENST00000272065.10	1474	1275	696	13.0917
ENST00000672073.1	2111	1912	5541	69.502
ENST00000648477.1	1381	1182	779	15.8058
ENST00000336375.10	3174	2975	4807	38.7511
ENST00000533904.6	1936	1737	1964	27.1168
ENST00000366684.7	1491	1292	935	17.3559
ENST00000224784.10	1349	1150	3308	68.9866
ENST00000646664.1	1812	1613	929	13.8127
