target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3283	3340	50.7998
ENST00000318602.12	4610	4511	4574.01	50.6303
ENST00000307719.9	1799	1700	1751	51.4308
ENST00000286479.4	1285	1186	1236	52.0379
ENST00000393078.5	1576	1477	1530	51.7246
ENST00000232892.12	1563	1464	1517	51.7405
ENST00000248450.9	1760	1661	1721	51.7365
ENST00000392492.8	971	872	924	52.9105
ENST00000261772.13	3437	3338	3408	50.9799
ENST00000268251.13	4779	4680	4744	50.6157
ENST00000374736.8	10408	10309	10408	50.4123
ENST00000341511.11	8103	8004	8098	50.5192
ENST00000301732.10	6602	6503	6585	50.5624
ENST00000373394.8	4592	4493	4558	50.6552
ENST00000326195.13	3405	3306	3379	51.0354
ENST00000370225.4	7328	7229	7328	50.6166
ENST00000318560.6	5578	5479	5538	50.4705
ENST00000360937.9	2609	2510	2563	50.9872
ENST00000502732.6	12217	12118	12179	50.1842
ENST00000644422.3	6478	6379	0	0
ENST00000302538.10	5395	5296	5368.49	50.6163
ENST00000333167.13	1699	1600	1554.16	48.5021
ENST00000616317.5	10013	9914	9994	50.3357
ENST00000338432.12	9368	9269	9356	50.4015
ENST00000233710.4	2515	2416	2476	51.1729
ENST00000370841.9	2261	2162	2222	51.3186
ENST00000242592.9	1859	1760	1818	51.5783
ENST00000358776.7	5848	5749	5808	50.4453
ENST00000356839.10	2184	2085	2153	51.5613
ENST00000265838.9	1537	1438	1483	51.4954
ENST00000367048.5	1520	1421	1416.17	49.7632
ENST00000225823.7	3750	3651	3710	50.7397
ENST00000447966.7	3886	3787	3847	50.7239
ENST00000241069.11	2172	2073	2127	51.2335
ENST00000352035.7	4293	4194	4272	50.8615
ENST00000309951.8	7443	7344	7413	50.402
ENST00000216139.10	1430	1331	1384	51.9211
ENST00000216254.9	2734	2635	2290.47	43.4041
ENST00000293217.10	7317	7218	7281	50.3686
ENST00000272065.10	1474	1375	1429	51.8938
ENST00000672073.1	2111	2012	2071	51.3971
ENST00000648477.1	1381	1282	1336	52.0361
ENST00000336375.10	3174	3075	3133	50.8746
ENST00000533904.6	1936	1837	1890	51.3734
ENST00000366684.7	1491	1392	1448	51.9416
ENST00000224784.10	1349	1250	1307	52.2098
ENST00000646664.1	1812	1713	1764.27	51.4272
ENST00000290378.6	1382	1283	1328	51.6842
ENST00000573283.7	1919	1820	1875	51.4418
ENST00000345517.8	1501	1402	1459	51.9629
ENST00000252699.7	4990	4891	5263.45	53.7353
ENST00000429709.7	1854	1755	1867.2	53.1252
ENST00000394419.9	3722	3623	3693.76	50.908
ENST00000366578.6	4872	4773	4842	50.6547
ENST00000513398.2	2882	2783	2852	51.1708
ENST00000434821.7	3332	3233	3293	50.8595
ENST00000257963.9	4531	4432	4489	50.575
ENST00000241416.12	5214	5115	5200.11	50.7636
ENST00000352511.5	11782	11683	11742	50.185
ENST00000388922.9	4177	4078	4136	50.643
ENST00000636358.2	1422	1323	1386	52.3106
ENST00000238618.8	580	481	533	55.331
ENST00000394666.9	882	783	817	52.101
ENST00000372874.9	1496	1397	1458	52.1131
ENST00000445355.8	3259	3160	3232	51.0705
ENST00000260408.8	11158	11059	11124	50.2263
ENST00000368474.9	6610	6511	6575	50.4236
ENST00000348831.9	6902	6803	6862	50.3659
ENST00000381312.6	8475	8376	8435	50.2845
ENST00000297323.12	12657	12558	12626	50.2032
ENST00000338316.9	6645	6546	6619	50.4897
ENST00000679454.1	4950	4851	4694.28	48.3196
ENST00000462833.6	6643	6544	6559	50.0473
ENST00000357869.8	6092	5993	6037	50.2994
ENST00000673801.1	6271	6172	6307.96	51.0328
ENST00000286355.10	4421	4322	4389	50.7069
ENST00000294016.8	7980	7881	7941	50.313
ENST00000450565.8	3259	3160	3213	50.7703
ENST00000304166.9	6639	6540	6582.04	50.2538
ENST00000683351.1	4140	4041	4105	50.7236
ENST00000264436.9	9290	9191	9256	50.2859
ENST00000356080.9	4413	4314	4377	50.662
ENST00000276914.7	1897	1798	1855	51.5158
ENST00000209668.3	1454	1355	1413.84	52.1011
ENST00000305046.13	4067	3968	4023.94	50.6367
ENST00000515683.6	1454	1355	1414.22	52.1153
ENST00000265512.12	2002	1903	1961	51.4547
ENST00000296412.14	2652	2553	2611	51.0672
ENST00000394899.6	2802	2703	2761	51.0043
ENST00000437033.7	2119	2020	2078	51.3665
ENST00000539909.6	1992	1893	1952	51.4891
ENST00000278175.10	1492	1393	1445	51.7968
ENST00000337894.9	2901	2802	2854	50.8595
ENST00000337539.12	2529	2430	2481	50.9808
ENST00000304222.3	1522	1423	1473	51.6873
ENST00000241356.5	1757	1658	1707.09	51.4112
ENST00000357003.8	3623	3524	3577	50.6838
ENST00000366794.10	3978	3879	3951	50.8596
ENST00000381989.4	5437	5338	5421	50.7092
ENST00000379453.6	2942	2843	2894	50.8286
ENST00000306675.5	2507	2408	2458	50.9696
ENST00000380573.4	3770	3671	3723	50.6401
ENST00000280155.4	3879	3780	3829	50.5801
ENST00000620793.2	3696	3597	3647	50.6269
ENST00000330055.7	2142	2043	2092	51.1304
ENST00000369295.4	3039	2940	2989	50.765
ENST00000305988.6	2013	1914	1963	51.2111
ENST00000345060.5	2585	2486	2537	50.9572
ENST00000308595.10	3403	3304	3373	50.9756
ENST00000324198.11	9277	9178	9247	50.3082
ENST00000623063.3	4359	4260	4321	50.6478
ENST00000366535.4	2555	2456	2518	51.1933
ENST00000354293.10	3357	3258	3378.98	51.7869
ENST00000448903.7	4587	4488	4558	50.7116
ENST00000357586.7	4165	4066	4106	50.424
ENST00000610402.5	5700	5601	5671	50.5569
ENST00000299980.9	6602	6503	6575	50.4857
ENST00000223357.8	4097	3998	4067	50.7946
ENST00000327141.9	1798	1699	1745	51.2847
ENST00000335847.9	1918	1819	1876	51.4975
ENST00000226355.5	1997	1898	1961	51.5902
ENST00000395792.7	2426	2327	2390	51.2847
ENST00000264595.7	2037	1938	1996	51.4272
ENST00000560601.4	8960	8861	8928	50.3104
ENST00000375076.9	1420	1321	1353	51.1424
ENST00000361915.8	7091	6992	7074	50.5184
ENST00000290953.3	498	399	451	56.4404
ENST00000254958.10	5940	5841	5887	50.3261
ENST00000366667.6	2116	2017	2070	51.2449
ENST00000349243.8	2324	2225	2276	51.0773
ENST00000371906.5	2862	2763	2814	50.8545
ENST00000606794.2	3660	3561	3611	50.6339
ENST00000307503.4	2900	2801	2860	50.9846
ENST00000378970.5	1813	1714	1765	51.4186
ENST00000217426.7	2150	2051	2110	51.3692
ENST00000242057.9	6243	6144	6203	50.4123
ENST00000411641.7	1574	1475	1530	51.7947
ENST00000376059.8	655	556	610	54.7824
ENST00000633556.3	10039	9940	10053.1	50.5011
ENST00000644144.2	2192	2093	2149	51.2688
ENST00000672715.1	5970	5871	5926	50.4006
ENST00000327299.8	6845	6746	6799	50.3251
ENST00000649815.2	2957	2858	2922	51.051
ENST00000392038.7	5250	5151	5214	50.5435
ENST00000409155.8	3129	3030	3091	50.9381
ENST00000484952.6	2375	2276	2336	51.2491
ENST00000650242.1	1940	1841	1877	50.9092
ENST00000295897.9	2285	2186	2249	51.3719
ENST00000306107.9	4701	4602	4666	50.6272
ENST00000218104.6	3669	3570	3628	50.7441
ENST00000297785.8	2096	1997	2059	51.4831
ENST00000261733.7	9561	9462	9522.99	50.2546
ENST00000225740.11	1639	1540	1599	51.8458
ENST00000377698.4	3028	2929	2979	50.7852
ENST00000329841.10	3469	3370	3431	50.8366
ENST00000342456.11	2811	2712	2770	51.0007
ENST00000673966.2	2650	2551	2562	50.1481
ENST00000354775.5	2395	2296	2356	51.2377
ENST00000176643.11	3703	3604	3662	50.7364
ENST00000308666.4	6290	6191	6250	50.4087
ENST00000642816.3	1640	1541	1752.06	56.7719
ENST00000647789.2	2420	2321	2379	51.1806
ENST00000226253.9	1608	1509	1567	51.852
ENST00000285930.9	1361	1262	1321	52.2672
ENST00000389048.8	6240	6141	6219	50.567
ENST00000251535.11	2392	2293	2355	51.2829
ENST00000374391.7	2519	2420	2482	51.2121
ENST00000380490.5	869	770	823	53.3698
ENST00000647874.1	2515	2416	2462	50.8835
ENST00000293761.8	2697	2598	2661	51.1437
ENST00000380183.9	2697	2598	2660	51.1244
ENST00000295463.4	3241	3142	3201	50.8704
ENST00000374840.8	2536	2437	2497	51.1622
ENST00000392027.3	2754	2655	2713.32	51.0296
ENST00000295453.8	2492	2393	2452.68	51.1781
ENST00000647563.2	1955	1856	1909	51.3587
ENST00000322937.10	2005	1906	1967	51.5309
ENST00000265132.8	1262	1163	1222	52.466
ENST00000368885.8	3423	3324	3381	50.7891
ENST00000380714.7	793	694	748.245	53.8357
ENST00000651267.2	926	827	882.755	53.2992
ENST00000290649.10	3607	3508	3571	50.8296
ENST00000221496.5	1809	1710	1763	51.4804
ENST00000257863.9	2001	1902	1961	51.4817
ENST00000520113.7	2335	2236	2288	51.094
ENST00000528667.7	4081	3982	4049	50.773
ENST00000396553.7	4189	4090	4153	50.702
ENST00000356264.7	3224	3125	3145	50.2524
ENST00000316724.10	2487	2388	2431	50.8319
ENST00000273588.9	1997	1898	1906.67	50.161
ENST00000370083.9	1785	1686	1694.78	50.1927
ENST00000330330.10	1785	1686	1694.78	50.1927
ENST00000622339.5	1785	1686	1694.78	50.1927
ENST00000414303.7	1584	1485	1659.46	55.7989
ENST00000684275.1	1584	1485	1414.21	47.5527
ENST00000397990.5	748	649	699	53.7797
ENST00000517746.6	4230	4131	4189	50.6339
ENST00000629816.3	5268	5169	5306	51.2562
ENST00000289734.13	8292	8193	8285	50.4935
ENST00000357077.9	14215	14116	14149	50.0495
ENST00000280772.7	17019	16920	17013	50.2073
ENST00000300060.7	3662	3563	3633	50.9138
ENST00000281456.11	4415	4316	4368	50.5344
ENST00000317881.9	1307	1208	1260	52.0822
ENST00000381401.11	1451	1352	1405	51.8902
ENST00000257497.11	1401	1302	1363	52.2722
ENST00000451270.7	1554	1455	1516	52.0262
ENST00000264908.11	1432	1333	1394	52.2178
ENST00000394295.6	2651	2552	2613	51.1264
ENST00000296511.10	1638	1539	1601	51.9444
ENST00000354546.10	2889	2790	2846	50.9351
ENST00000372921.10	2443	2344	2388	50.8701
ENST00000422982.8	6734	6635	6680	50.2715
ENST00000419625.6	1456	1357	1417	52.1406
