transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000318602.12	4536	0	4403	133	0.0
ENST00000268251.13	4705	0	1481	3224	0.0
ENST00000341511.11	8029	0	7289	740	0.0
ENST00000302538.10	5321	0	2558	2763	0.0
ENST00000333167.13	1625	0	1253	372	0.0
ENST00000616317.5	9939	0	7130	2809	0.0
ENST00000370841.9	2187	0	1244	943	0.0
ENST00000356839.10	2110	0	1946	164	0.0
ENST00000265838.9	1463	0	1262	201	0.0
ENST00000447966.7	3812	0	1565	2247	0.0
ENST00000352035.7	4219	0	3353	866	0.0
ENST00000533904.6	1862	0	776	1086	0.0
ENST00000224784.10	1275	0	1112	163	0.0
ENST00000252699.7	4916	0	2852	2064	0.0
ENST00000394419.9	3648	0	2723	925	0.0
ENST00000257963.9	4457	0	1496	2961	0.0
ENST00000394666.9	808	0	278	530	0.0
ENST00000372874.9	1422	0	1070	352	0.0
ENST00000445355.8	3185	0	2453	732	0.0
ENST00000368474.9	6536	0	3659	2877	0.0
ENST00000348831.9	6828	0	2134	4694	0.0
ENST00000679454.1	4876	0	3413	1463	0.0
ENST00000462833.6	6569	0	3764	2805	0.0
ENST00000673801.1	6197	0	3221	2976	0.0
ENST00000286355.10	4347	0	3734	613	0.0
ENST00000304166.9	6565	0	1385	5180	0.0
ENST00000683351.1	4066	0	2378	1688	0.0
ENST00000356080.9	4339	0	2099	2240	0.0
ENST00000539909.6	1918	0	1067	851	0.0
ENST00000366535.4	2481	0	1349	1132	0.0
ENST00000354293.10	3283	0	2846	437	0.0
ENST00000448903.7	4513	0	2798	1715	0.0
ENST00000357586.7	4091	0	2828	1263	0.0
ENST00000610402.5	5626	0	2834	2792	0.0
ENST00000327141.9	1724	0	572	1152	0.0
ENST00000335847.9	1844	0	728	1116	0.0
ENST00000375076.9	1346	0	1193	153	0.0
ENST00000361915.8	7017	0	4577	2440	0.0
ENST00000411641.7	1500	0	1082	418	0.0
ENST00000484952.6	2301	0	1922	379	0.0
ENST00000306107.9	4627	0	1730	2897	0.0
ENST00000308666.4	6216	0	2201	4015	0.0
ENST00000374391.7	2445	0	2003	442	0.0
ENST00000380714.7	719	0	554	165	0.0
ENST00000290649.10	3533	0	1910	1623	0.0
ENST00000257863.9	1927	0	1700	227	0.0
ENST00000396553.7	4115	0	2287	1828	0.0
ENST00000356264.7	3150	0	2062	1088	0.0
ENST00000316724.10	2413	0	1760	653	0.0
ENST00000273588.9	1923	0	1187	736	0.0
ENST00000517746.6	4156	0	1475	2681	0.0
ENST00000289734.13	8218	0	5621	2597	0.0
ENST00000357077.9	14141	0	6793	7348	0.0
ENST00000354546.10	2815	0	2000	815	0.0
ENST00000372921.10	2369	0	1379	990	0.0
ENST00000617537.5	2311	0	1926	385	0.0
ENST00000374700.7	4854	0	3995	859	0.0
ENST00000265381.7	6523	0	2492	4031	0.0
ENST00000683413.1	3867	0	2228	1639	0.0
ENST00000609360.6	2592	0	2111	481	0.0
ENST00000257430.9	10630	0	8510	2120	0.0
ENST00000296456.10	2805	0	2192	613	0.0
ENST00000221891.9	2296	0	1934	362	0.0
ENST00000338167.10	3623	0	2234	1389	0.0
ENST00000236850.5	825	0	782	43	0.0
ENST00000346798.8	3509	0	2291	1218	0.0
ENST00000326003.7	1390	0	764	626	0.0
ENST00000652046.1	3622	0	986	2636	0.0
ENST00000380913.8	7400	0	4829	2571	0.0
ENST00000383168.9	5084	0	1029	4055	0.0
ENST00000219919.9	2775	0	866	1909	0.0
ENST00000374690.9	10593	0	2741	7852	0.0
ENST00000205557.12	5066	0	4490	576	0.0
ENST00000377045.9	2304	0	1799	505	0.0
ENST00000368087.8	1373	0	947	426	0.0
ENST00000418115.6	1731	0	560	1171	0.0
ENST00000337414.9	5262	0	2903	2359	0.0
ENST00000358595.10	4636	0	2348	2288	0.0
ENST00000403290.6	2713	0	1919	794	0.0
ENST00000420843.7	7278	0	1235	6043	0.0
ENST00000269260.7	1704	0	1208	496	0.0
ENST00000381134.9	2145	0	1770	375	0.0
ENST00000263207.8	3982	0	2867	1115	0.0
ENST00000691900.1	1374	0	1151	223	0.0
ENST00000379454.9	5227	0	40	5187	0.0
ENST00000361833.7	7064	0	3863	3201	0.0
ENST00000367698.4	1478	0	1373	105	0.0
ENST00000268489.10	15743	0	11138	4605	0.0
ENST00000341491.9	1866	0	524	1342	0.0
ENST00000395503.9	3419	0	2963	456	0.0
ENST00000539276.7	8221	0	3107	5114	0.0
ENST00000428670.8	6988	0	3641	3347	0.0
