transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14193	150	v8c_MANE_RNA_PE_150_proper	14044	0.961834	250	0	0.0	-0.961834	400	0	0.0	-0.961834	500	0	0.0	-0.961834	600	64	0.106667	-0.855167
ENST00000262304.9		13990	150	v8c_MANE_RNA_PE_150_proper	13841	0.964887	250	0	0.0	-0.964887	400	0	0.0	-0.964887	500	14	0.028	-0.936887	600	114	0.19	-0.774887
ENST00000374695.8		14191	150	v8c_MANE_RNA_PE_150_proper	14042	0.932488	250	0	0.0	-0.932488	400	0	0.0	-0.932488	500	0	0.0	-0.932488	600	0	0.0	-0.932488
ENST00000447648.7		6395	150	v8c_MANE_RNA_PE_150_proper	6246	0.914185	250	0	0.0	-0.914185	400	0	0.0	-0.914185	500	0	0.0	-0.914185	600	64	0.106667	-0.807518
ENST00000297477.10		5901	150	v8c_MANE_RNA_PE_150_proper	5752	0.911161	250	0	0.0	-0.911161	400	0	0.0	-0.911161	500	0	0.0	-0.911161	600	89	0.148333	-0.762828
ENST00000317147.10		8261	150	v8c_MANE_RNA_PE_150_proper	8112	0.90286	250	0	0.0	-0.90286	400	0	0.0	-0.90286	500	0	0.0	-0.90286	600	0	0.0	-0.90286
ENST00000633556.3		9889	150	v8c_MANE_RNA_PE_150_proper	9740	0.902567	250	0	0.0	-0.902567	400	0	0.0	-0.902567	500	0	0.0	-0.902567	600	0	0.0	-0.902567
ENST00000508593.6		8749	150	v8c_MANE_RNA_PE_150_proper	8600	0.9	250	0	0.0	-0.9	400	0	0.0	-0.9	500	0	0.0	-0.9	600	0	0.0	-0.9
ENST00000289371.11		5591	150	v8c_MANE_RNA_PE_150_proper	5442	0.898567	250	0	0.0	-0.898567	400	0	0.0	-0.898567	500	0	0.0	-0.898567	600	48	0.08	-0.818567
ENST00000367255.10		27558	150	v8c_MANE_RNA_PE_150_proper	27409	0.893174	250	0	0.0	-0.893174	400	0	0.0	-0.893174	500	0	0.0	-0.893174	600	0	0.0	-0.893174
ENST00000219476.9		6265	150	v8c_MANE_RNA_PE_150_proper	6116	0.920536	250	0	0.0	-0.920536	400	0	0.0	-0.920536	500	14	0.028	-0.892536	600	114	0.19	-0.730536
ENST00000696270.1		10241	150	v8c_MANE_RNA_PE_150_proper	10092	0.888228	250	0	0.0	-0.888228	400	0	0.0	-0.888228	500	0	0.0	-0.888228	600	0	0.0	-0.888228
ENST00000343516.8		5689	150	v8c_MANE_RNA_PE_150_proper	5540	0.88231	250	0	0.0	-0.88231	400	0	0.0	-0.88231	500	0	0.0	-0.88231	600	0	0.0	-0.88231
ENST00000281772.14		4632	150	v8c_MANE_RNA_PE_150_proper	4483	0.879099	250	0	0.0	-0.879099	400	0	0.0	-0.879099	500	0	0.0	-0.879099	600	58	0.096667	-0.782432
ENST00000608999.6		15094	150	v8c_MANE_RNA_PE_150_proper	14945	0.878956	250	0	0.0	-0.878956	400	0	0.0	-0.878956	500	0	0.0	-0.878956	600	0	0.0	-0.878956
ENST00000308275.8		10557	150	v8c_MANE_RNA_PE_150_proper	10408	0.87721	250	0	0.0	-0.87721	400	0	0.0	-0.87721	500	0	0.0	-0.87721	600	0	0.0	-0.87721
ENST00000389221.9		5100	150	v8c_MANE_RNA_PE_150_proper	4951	0.876591	250	0	0.0	-0.876591	400	0	0.0	-0.876591	500	0	0.0	-0.876591	600	0	0.0	-0.876591
ENST00000258428.8		4581	150	v8c_MANE_RNA_PE_150_proper	4432	0.875451	250	0	0.0	-0.875451	400	0	0.0	-0.875451	500	0	0.0	-0.875451	600	48	0.08	-0.795451
ENST00000674895.3		8123	150	v8c_MANE_RNA_PE_150_proper	7974	0.875345	250	0	0.0	-0.875345	400	0	0.0	-0.875345	500	0	0.0	-0.875345	600	0	0.0	-0.875345
ENST00000425241.6		8269	150	v8c_MANE_RNA_PE_150_proper	8120	0.942857	250	0	0.0	-0.942857	400	0	0.0	-0.942857	500	36	0.072	-0.870857	600	136	0.226667	-0.71619
ENST00000341356.10		4261	150	v8c_MANE_RNA_PE_150_proper	4112	0.867704	250	0	0.0	-0.867704	400	0	0.0	-0.867704	500	0	0.0	-0.867704	600	56	0.093333	-0.774371
ENST00000590602.6		8237	150	v8c_MANE_RNA_PE_150_proper	8088	0.860534	250	0	0.0	-0.860534	400	0	0.0	-0.860534	500	0	0.0	-0.860534	600	0	0.0	-0.860534
ENST00000389622.7		10629	150	v8c_MANE_RNA_PE_150_proper	10480	0.860019	250	0	0.0	-0.860019	400	0	0.0	-0.860019	500	0	0.0	-0.860019	600	0	0.0	-0.860019
ENST00000264042.8		3859	150	v8c_MANE_RNA_PE_150_proper	3710	0.8531	250	0	0.0	-0.8531	400	0	0.0	-0.8531	500	0	0.0	-0.8531	600	62	0.103333	-0.749767
ENST00000503581.6		10440	150	v8c_MANE_RNA_PE_150_proper	10291	0.852007	250	0	0.0	-0.852007	400	0	0.0	-0.852007	500	0	0.0	-0.852007	600	0	0.0	-0.852007
ENST00000338883.9		4729	150	v8c_MANE_RNA_PE_150_proper	4580	0.895633	250	0	0.0	-0.895633	400	0	0.0	-0.895633	500	22	0.044	-0.851633	600	122	0.203333	-0.6923
ENST00000315251.11		7544	150	v8c_MANE_RNA_PE_150_proper	7395	0.851116	250	0	0.0	-0.851116	400	0	0.0	-0.851116	500	0	0.0	-0.851116	600	0	0.0	-0.851116
ENST00000379454.9		5151	150	v8c_MANE_RNA_PE_150_proper	5002	0.844862	250	0	0.0	-0.844862	400	0	0.0	-0.844862	500	0	0.0	-0.844862	600	0	0.0	-0.844862
ENST00000373004.5		6496	150	v8c_MANE_RNA_PE_150_proper	6347	0.842445	250	0	0.0	-0.842445	400	0	0.0	-0.842445	500	0	0.0	-0.842445	600	0	0.0	-0.842445
ENST00000617928.5		6676	150	v8c_MANE_RNA_PE_150_proper	6527	0.841428	250	0	0.0	-0.841428	400	0	0.0	-0.841428	500	0	0.0	-0.841428	600	0	0.0	-0.841428
ENST00000544916.6		5240	150	v8c_MANE_RNA_PE_150_proper	5091	0.841092	250	0	0.0	-0.841092	400	0	0.0	-0.841092	500	0	0.0	-0.841092	600	0	0.0	-0.841092
ENST00000322349.13		9689	150	v8c_MANE_RNA_PE_150_proper	9540	0.840566	250	0	0.0	-0.840566	400	0	0.0	-0.840566	500	0	0.0	-0.840566	600	0	0.0	-0.840566
ENST00000299563.5		7692	150	v8c_MANE_RNA_PE_150_proper	7543	0.840117	250	0	0.0	-0.840117	400	0	0.0	-0.840117	500	0	0.0	-0.840117	600	0	0.0	-0.840117
ENST00000682666.1		5944	150	v8c_MANE_RNA_PE_150_proper	5795	0.836928	250	0	0.0	-0.836928	400	0	0.0	-0.836928	500	0	0.0	-0.836928	600	0	0.0	-0.836928
ENST00000375135.4		4193	150	v8c_MANE_RNA_PE_150_proper	4044	0.835312	250	0	0.0	-0.835312	400	0	0.0	-0.835312	500	0	0.0	-0.835312	600	0	0.0	-0.835312
ENST00000313005.11		5685	150	v8c_MANE_RNA_PE_150_proper	5536	0.917088	250	0	0.0	-0.917088	400	0	0.0	-0.917088	500	41	0.082	-0.835088	600	141	0.235	-0.682088
ENST00000343242.9		3230	150	v8c_MANE_RNA_PE_150_proper	3081	0.834145	250	0	0.0	-0.834145	400	0	0.0	-0.834145	500	0	0.0	-0.834145	600	89	0.148333	-0.685812
ENST00000651438.1		5258	150	v8c_MANE_RNA_PE_150_proper	5109	0.832061	250	0	0.0	-0.832061	400	0	0.0	-0.832061	500	0	0.0	-0.832061	600	0	0.0	-0.832061
ENST00000320211.10		4426	150	v8c_MANE_RNA_PE_150_proper	4277	0.831892	250	0	0.0	-0.831892	400	0	0.0	-0.831892	500	0	0.0	-0.831892	600	0	0.0	-0.831892
ENST00000394019.7		6207	150	v8c_MANE_RNA_PE_150_proper	6058	0.830637	250	0	0.0	-0.830637	400	0	0.0	-0.830637	500	0	0.0	-0.830637	600	0	0.0	-0.830637
ENST00000376829.7		7341	150	v8c_MANE_RNA_PE_150_proper	7192	0.824805	250	0	0.0	-0.824805	400	0	0.0	-0.824805	500	0	0.0	-0.824805	600	0	0.0	-0.824805
ENST00000645548.2		3122	150	v8c_MANE_RNA_PE_150_proper	2973	0.834174	250	0	0.0	-0.834174	400	0	0.0	-0.834174	500	7	0.014	-0.820174	600	107	0.178333	-0.655841
ENST00000253686.7		4422	150	v8c_MANE_RNA_PE_150_proper	4273	0.891411	250	0	0.0	-0.891411	400	0	0.0	-0.891411	500	36	0.072	-0.819411	600	136	0.226667	-0.664744
ENST00000609256.2		3112	150	v8c_MANE_RNA_PE_150_proper	2963	0.819102	250	0	0.0	-0.819102	400	0	0.0	-0.819102	500	0	0.0	-0.819102	600	64	0.106667	-0.712435
ENST00000311124.9		4841	150	v8c_MANE_RNA_PE_150_proper	4692	0.817136	250	0	0.0	-0.817136	400	0	0.0	-0.817136	500	0	0.0	-0.817136	600	0	0.0	-0.817136
ENST00000603928.3		5532	150	v8c_MANE_RNA_PE_150_proper	5383	0.817017	250	0	0.0	-0.817017	400	0	0.0	-0.817017	500	0	0.0	-0.817017	600	0	0.0	-0.817017
ENST00000303407.12		5511	150	v8c_MANE_RNA_PE_150_proper	5362	0.8163	250	0	0.0	-0.8163	400	0	0.0	-0.8163	500	0	0.0	-0.8163	600	0	0.0	-0.8163
ENST00000683865.1		7448	150	v8c_MANE_RNA_PE_150_proper	7299	0.814495	250	0	0.0	-0.814495	400	0	0.0	-0.814495	500	0	0.0	-0.814495	600	0	0.0	-0.814495
ENST00000359429.11		3030	150	v8c_MANE_RNA_PE_150_proper	2881	0.811871	250	0	0.0	-0.811871	400	0	0.0	-0.811871	500	0	0.0	-0.811871	600	58	0.096667	-0.715204
ENST00000381782.7		4689	150	v8c_MANE_RNA_PE_150_proper	4540	0.810573	250	0	0.0	-0.810573	400	0	0.0	-0.810573	500	0	0.0	-0.810573	600	0	0.0	-0.810573
ENST00000420699.9		6384	150	v8c_MANE_RNA_PE_150_proper	6235	0.807698	250	0	0.0	-0.807698	400	0	0.0	-0.807698	500	0	0.0	-0.807698	600	0	0.0	-0.807698
ENST00000355371.9		6721	150	v8c_MANE_RNA_PE_150_proper	6572	0.879641	250	36	0.144	-0.735641	400	36	0.09	-0.789641	500	36	0.072	-0.807641	600	36	0.06	-0.819641
ENST00000326181.11		3533	150	v8c_MANE_RNA_PE_150_proper	3384	0.807329	250	0	0.0	-0.807329	400	0	0.0	-0.807329	500	0	0.0	-0.807329	600	0	0.0	-0.807329
ENST00000180173.10		4960	150	v8c_MANE_RNA_PE_150_proper	4811	0.806069	250	0	0.0	-0.806069	400	0	0.0	-0.806069	500	0	0.0	-0.806069	600	0	0.0	-0.806069
