transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14343	200	v2o_dedupcds_RNA_PE_200	14144	0.953479	250	0	0.0	-0.953479	400	0	0.0	-0.953479	500	0	0.0	-0.953479	600	82	0.136667	-0.816812
ENST00000306151.9		14352	200	v2o_dedupcds_RNA_PE_200	14153	0.947149	250	0	0.0	-0.947149	400	0	0.0	-0.947149	500	0	0.0	-0.947149	600	0	0.0	-0.947149
ENST00000544440.7		15077	200	v2o_dedupcds_RNA_PE_200	14878	0.939105	250	0	0.0	-0.939105	400	0	0.0	-0.939105	500	0	0.0	-0.939105	600	0	0.0	-0.939105
ENST00000300648.7		8681	200	v2o_dedupcds_RNA_PE_200	8482	0.93162	250	0	0.0	-0.93162	400	0	0.0	-0.93162	500	0	0.0	-0.93162	600	20	0.033333	-0.898287
ENST00000243077.8		14923	200	v2o_dedupcds_RNA_PE_200	14724	0.921625	250	0	0.0	-0.921625	400	0	0.0	-0.921625	500	0	0.0	-0.921625	600	0	0.0	-0.921625
ENST00000398571.7		11675	200	v2o_dedupcds_RNA_PE_200	11476	0.921575	250	0	0.0	-0.921575	400	0	0.0	-0.921575	500	0	0.0	-0.921575	600	28	0.046667	-0.874908
ENST00000369393.8		18485	200	v2o_dedupcds_RNA_PE_200	18286	0.914689	250	0	0.0	-0.914689	400	0	0.0	-0.914689	500	0	0.0	-0.914689	600	0	0.0	-0.914689
ENST00000323853.10		7194	200	v2o_dedupcds_RNA_PE_200	6995	0.907219	250	0	0.0	-0.907219	400	0	0.0	-0.907219	500	0	0.0	-0.907219	600	0	0.0	-0.907219
ENST00000306749.4		8464	200	v2o_dedupcds_RNA_PE_200	8265	0.903932	250	0	0.0	-0.903932	400	0	0.0	-0.903932	500	0	0.0	-0.903932	600	0	0.0	-0.903932
ENST00000264233.6		8757	200	v2o_dedupcds_RNA_PE_200	8558	0.900678	250	0	0.0	-0.900678	400	0	0.0	-0.900678	500	0	0.0	-0.900678	600	0	0.0	-0.900678
ENST00000242310.4		6216	200	v2o_dedupcds_RNA_PE_200	6017	0.89995	250	0	0.0	-0.89995	400	0	0.0	-0.89995	500	0	0.0	-0.89995	600	21	0.035	-0.86495
ENST00000314888.10		8623	200	v2o_dedupcds_RNA_PE_200	8424	0.897555	250	0	0.0	-0.897555	400	0	0.0	-0.897555	500	0	0.0	-0.897555	600	0	0.0	-0.897555
