transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000262304.9		14140	150	v5e_MANE_RNA_SE_150	13991	0.954614	250	0	0.0	-0.954614	400	0	0.0	-0.954614	500	0	0.0	-0.954614	600	0	0.0	-0.954614
ENST00000409508.8		14343	150	v5e_MANE_RNA_SE_150	14194	0.95174	250	0	0.0	-0.95174	400	0	0.0	-0.95174	500	0	0.0	-0.95174	600	0	0.0	-0.95174
ENST00000359520.12		8704	150	v5e_MANE_RNA_SE_150	8555	0.934307	250	0	0.0	-0.934307	400	0	0.0	-0.934307	500	0	0.0	-0.934307	600	38	0.063333	-0.870974
ENST00000643759.2		8018	150	v5e_MANE_RNA_SE_150	7869	0.931376	250	0	0.0	-0.931376	400	0	0.0	-0.931376	500	0	0.0	-0.931376	600	60	0.1	-0.831376
ENST00000425241.6		8419	150	v5e_MANE_RNA_SE_150	8270	0.925877	250	0	0.0	-0.925877	400	0	0.0	-0.925877	500	0	0.0	-0.925877	600	0	0.0	-0.925877
ENST00000374695.8		14341	150	v5e_MANE_RNA_SE_150	14192	0.922703	250	0	0.0	-0.922703	400	0	0.0	-0.922703	500	0	0.0	-0.922703	600	0	0.0	-0.922703
ENST00000286918.9		6705	150	v5e_MANE_RNA_SE_150	6556	0.914277	250	0	0.0	-0.914277	400	0	0.0	-0.914277	500	0	0.0	-0.914277	600	38	0.063333	-0.850944
ENST00000238616.10		8278	150	v5e_MANE_RNA_SE_150	8129	0.940091	250	0	0.0	-0.940091	400	0	0.0	-0.940091	500	13	0.026	-0.914091	600	113	0.188333	-0.751758
ENST00000274867.9		6185	150	v5e_MANE_RNA_SE_150	6036	0.908714	250	0	0.0	-0.908714	400	0	0.0	-0.908714	500	0	0.0	-0.908714	600	49	0.081667	-0.827047
ENST00000621632.5		5573	150	v5e_MANE_RNA_SE_150	5424	0.908739	250	0	0.0	-0.908739	400	0	0.0	-0.908739	500	5	0.01	-0.898739	600	105	0.175	-0.733739
ENST00000219476.9		6415	150	v5e_MANE_RNA_SE_150	6266	0.898659	250	0	0.0	-0.898659	400	0	0.0	-0.898659	500	0	0.0	-0.898659	600	0	0.0	-0.898659
ENST00000600882.6		5445	150	v5e_MANE_RNA_SE_150	5296	0.893505	250	0	0.0	-0.893505	400	0	0.0	-0.893505	500	0	0.0	-0.893505	600	36	0.06	-0.833505
ENST00000313005.11		5835	150	v5e_MANE_RNA_SE_150	5686	0.893071	250	0	0.0	-0.893071	400	0	0.0	-0.893071	500	0	0.0	-0.893071	600	0	0.0	-0.893071
ENST00000447648.7		6545	150	v5e_MANE_RNA_SE_150	6396	0.892902	250	0	0.0	-0.892902	400	0	0.0	-0.892902	500	0	0.0	-0.892902	600	0	0.0	-0.892902
ENST00000633556.3		10039	150	v5e_MANE_RNA_SE_150	9890	0.888979	250	0	0.0	-0.888979	400	0	0.0	-0.888979	500	0	0.0	-0.888979	600	0	0.0	-0.888979
ENST00000297477.10		6051	150	v5e_MANE_RNA_SE_150	5902	0.888174	250	0	0.0	-0.888174	400	0	0.0	-0.888174	500	0	0.0	-0.888174	600	0	0.0	-0.888174
ENST00000317147.10		8411	150	v5e_MANE_RNA_SE_150	8262	0.886589	250	0	0.0	-0.886589	400	0	0.0	-0.886589	500	0	0.0	-0.886589	600	0	0.0	-0.886589
ENST00000508593.6		8899	150	v5e_MANE_RNA_SE_150	8750	0.884686	250	0	0.0	-0.884686	400	0	0.0	-0.884686	500	0	0.0	-0.884686	600	0	0.0	-0.884686
ENST00000367255.10		27708	150	v5e_MANE_RNA_SE_150	27559	0.883123	250	0	0.0	-0.883123	400	0	0.0	-0.883123	500	0	0.0	-0.883123	600	0	0.0	-0.883123
ENST00000216286.10		4870	150	v5e_MANE_RNA_SE_150	4721	0.882652	250	0	0.0	-0.882652	400	0	0.0	-0.882652	500	0	0.0	-0.882652	600	57	0.095	-0.787652
ENST00000451188.7		4911	150	v5e_MANE_RNA_SE_150	4762	0.881982	250	0	0.0	-0.881982	400	0	0.0	-0.881982	500	0	0.0	-0.881982	600	38	0.063333	-0.818649
ENST00000246186.8		4376	150	v5e_MANE_RNA_SE_150	4227	0.882186	250	0	0.0	-0.882186	400	0	0.0	-0.882186	500	2	0.004	-0.878186	600	102	0.17	-0.712186
ENST00000696270.1		10391	150	v5e_MANE_RNA_SE_150	10242	0.875317	250	0	0.0	-0.875317	400	0	0.0	-0.875317	500	0	0.0	-0.875317	600	0	0.0	-0.875317
ENST00000289371.11		5741	150	v5e_MANE_RNA_SE_150	5592	0.874642	250	0	0.0	-0.874642	400	0	0.0	-0.874642	500	0	0.0	-0.874642	600	0	0.0	-0.874642
ENST00000608999.6		15244	150	v5e_MANE_RNA_SE_150	15095	0.870288	250	0	0.0	-0.870288	400	0	0.0	-0.870288	500	0	0.0	-0.870288	600	0	0.0	-0.870288
ENST00000338883.9		4879	150	v5e_MANE_RNA_SE_150	4730	0.867442	250	0	0.0	-0.867442	400	0	0.0	-0.867442	500	0	0.0	-0.867442	600	0	0.0	-0.867442
ENST00000349129.7		7957	150	v5e_MANE_RNA_SE_150	7808	0.940702	250	0	0.0	-0.940702	400	0	0.0	-0.940702	500	37	0.074	-0.866702	600	137	0.228333	-0.712369
ENST00000337768.10		4296	150	v5e_MANE_RNA_SE_150	4147	0.866409	250	0	0.0	-0.866409	400	0	0.0	-0.866409	500	0	0.0	-0.866409	600	46	0.076667	-0.789742
ENST00000308275.8		10707	150	v5e_MANE_RNA_SE_150	10558	0.864842	250	0	0.0	-0.864842	400	0	0.0	-0.864842	500	0	0.0	-0.864842	600	0	0.0	-0.864842
