transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000641819.1		7300	75	v3d_genome_RNA_PE_75	7226	0.753391	250	0	0.0	-0.753391	400	0	0.0	-0.753391	500	0	0.0	-0.753391	600	0	0.0	-0.753391
ENST00000382409.4		2190	75	v3d_genome_RNA_PE_75	2116	0.699905	250	0	0.0	-0.699905	400	0	0.0	-0.699905	500	0	0.0	-0.699905	600	0	0.0	-0.699905
ENST00000409379.8		4531	75	v3d_genome_RNA_PE_75	4457	0.695311	250	0	0.0	-0.695311	400	0	0.0	-0.695311	500	0	0.0	-0.695311	600	0	0.0	-0.695311
ENST00000357179.10		2834	75	v3d_genome_RNA_PE_75	2760	0.842754	250	29	0.116	-0.726754	400	75	0.1875	-0.655254	500	75	0.15	-0.692754	600	166	0.276667	-0.566087
ENST00000639785.2		10062	75	v3d_genome_RNA_PE_75	9988	0.956748	250	133	0.532	-0.424748	400	133	0.3325	-0.624248	500	133	0.266	-0.690748	600	232	0.386667	-0.570081
ENST00000392977.8		4033	75	v3d_genome_RNA_PE_75	3959	0.689568	250	0	0.0	-0.689568	400	0	0.0	-0.689568	500	0	0.0	-0.689568	600	0	0.0	-0.689568
ENST00000326317.11		2705	75	v3d_genome_RNA_PE_75	2631	0.684911	250	0	0.0	-0.684911	400	0	0.0	-0.684911	500	0	0.0	-0.684911	600	0	0.0	-0.684911
ENST00000244221.9		6300	75	v3d_genome_RNA_PE_75	6226	0.848057	250	86	0.344	-0.504057	400	86	0.215	-0.633057	500	86	0.172	-0.676057	600	86	0.143333	-0.704724
ENST00000381815.9		3318	75	v3d_genome_RNA_PE_75	3244	0.675092	250	0	0.0	-0.675092	400	0	0.0	-0.675092	500	0	0.0	-0.675092	600	0	0.0	-0.675092
ENST00000303212.3		1528	75	v3d_genome_RNA_PE_75	1454	0.648556	250	0	0.0	-0.648556	400	0	0.0	-0.648556	500	0	0.0	-0.648556	600	89	0.148333	-0.500223
ENST00000313135.5		3685	75	v3d_genome_RNA_PE_75	3611	0.875104	250	66	0.264	-0.611104	400	74	0.185	-0.690104	500	118	0.236	-0.639104	600	149	0.248333	-0.626771
ENST00000301030.10		9301	75	v3d_genome_RNA_PE_75	9227	0.852932	250	44	0.176	-0.676932	400	109	0.2725	-0.580432	500	109	0.218	-0.634932	600	109	0.181667	-0.671265
ENST00000341426.9		3235	75	v3d_genome_RNA_PE_75	3161	0.766213	250	0	0.0	-0.766213	400	0	0.0	-0.766213	500	69	0.138	-0.628213	600	93	0.155	-0.611213
ENST00000362031.10		3282	75	v3d_genome_RNA_PE_75	3208	0.621259	250	0	0.0	-0.621259	400	0	0.0	-0.621259	500	0	0.0	-0.621259	600	0	0.0	-0.621259
ENST00000291560.7		1900	75	v3d_genome_RNA_PE_75	1826	0.609529	250	0	0.0	-0.609529	400	0	0.0	-0.609529	500	0	0.0	-0.609529	600	0	0.0	-0.609529
ENST00000295269.5		4215	75	v3d_genome_RNA_PE_75	4141	0.916928	250	0	0.0	-0.916928	400	75	0.1875	-0.729428	500	156	0.312	-0.604928	600	256	0.426667	-0.490261
ENST00000296589.9		1728	75	v3d_genome_RNA_PE_75	1654	0.595526	250	0	0.0	-0.595526	400	0	0.0	-0.595526	500	0	0.0	-0.595526	600	0	0.0	-0.595526
ENST00000261965.8		3879	75	v3d_genome_RNA_PE_75	3805	0.590013	250	0	0.0	-0.590013	400	0	0.0	-0.590013	500	0	0.0	-0.590013	600	0	0.0	-0.590013
