transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14343	200	v2n_dedupcds_RNA_SE_200	14144	0.953479	250	0	0.0	-0.953479	400	0	0.0	-0.953479	500	0	0.0	-0.953479	600	82	0.136667	-0.816812
ENST00000306151.9		14352	200	v2n_dedupcds_RNA_SE_200	14153	0.947149	250	0	0.0	-0.947149	400	0	0.0	-0.947149	500	0	0.0	-0.947149	600	0	0.0	-0.947149
ENST00000544440.7		15077	200	v2n_dedupcds_RNA_SE_200	14878	0.939105	250	0	0.0	-0.939105	400	0	0.0	-0.939105	500	0	0.0	-0.939105	600	0	0.0	-0.939105
ENST00000300648.7		8681	200	v2n_dedupcds_RNA_SE_200	8482	0.93162	250	0	0.0	-0.93162	400	0	0.0	-0.93162	500	0	0.0	-0.93162	600	20	0.033333	-0.898287
ENST00000243077.8		14923	200	v2n_dedupcds_RNA_SE_200	14724	0.921625	250	0	0.0	-0.921625	400	0	0.0	-0.921625	500	0	0.0	-0.921625	600	0	0.0	-0.921625
ENST00000398571.7		11675	200	v2n_dedupcds_RNA_SE_200	11476	0.921575	250	0	0.0	-0.921575	400	0	0.0	-0.921575	500	0	0.0	-0.921575	600	28	0.046667	-0.874908
ENST00000369393.8		18485	200	v2n_dedupcds_RNA_SE_200	18286	0.914689	250	0	0.0	-0.914689	400	0	0.0	-0.914689	500	0	0.0	-0.914689	600	0	0.0	-0.914689
ENST00000323853.10		7194	200	v2n_dedupcds_RNA_SE_200	6995	0.907219	250	0	0.0	-0.907219	400	0	0.0	-0.907219	500	0	0.0	-0.907219	600	0	0.0	-0.907219
ENST00000306749.4		8464	200	v2n_dedupcds_RNA_SE_200	8265	0.903932	250	0	0.0	-0.903932	400	0	0.0	-0.903932	500	0	0.0	-0.903932	600	0	0.0	-0.903932
ENST00000264233.6		8757	200	v2n_dedupcds_RNA_SE_200	8558	0.900678	250	0	0.0	-0.900678	400	0	0.0	-0.900678	500	0	0.0	-0.900678	600	0	0.0	-0.900678
ENST00000242310.4		6216	200	v2n_dedupcds_RNA_SE_200	6017	0.898122	250	0	0.0	-0.898122	400	0	0.0	-0.898122	500	0	0.0	-0.898122	600	10	0.016667	-0.881455
ENST00000314888.10		8623	200	v2n_dedupcds_RNA_SE_200	8424	0.897555	250	0	0.0	-0.897555	400	0	0.0	-0.897555	500	0	0.0	-0.897555	600	0	0.0	-0.897555
ENST00000375759.8		12385	200	v2n_dedupcds_RNA_SE_200	12186	0.896931	250	0	0.0	-0.896931	400	0	0.0	-0.896931	500	0	0.0	-0.896931	600	0	0.0	-0.896931
ENST00000379458.9		11248	200	v2n_dedupcds_RNA_SE_200	11049	0.896642	250	0	0.0	-0.896642	400	0	0.0	-0.896642	500	0	0.0	-0.896642	600	0	0.0	-0.896642
ENST00000361673.4		7437	200	v2n_dedupcds_RNA_SE_200	7238	0.890854	250	0	0.0	-0.890854	400	0	0.0	-0.890854	500	0	0.0	-0.890854	600	91	0.151667	-0.739187
ENST00000253255.7		7681	200	v2n_dedupcds_RNA_SE_200	7482	0.888933	250	0	0.0	-0.888933	400	0	0.0	-0.888933	500	0	0.0	-0.888933	600	0	0.0	-0.888933
ENST00000374469.6		12205	200	v2n_dedupcds_RNA_SE_200	12006	0.88714	250	0	0.0	-0.88714	400	0	0.0	-0.88714	500	0	0.0	-0.88714	600	0	0.0	-0.88714
ENST00000529681.5		17911	200	v2n_dedupcds_RNA_SE_200	17712	0.889397	250	0	0.0	-0.889397	400	0	0.0	-0.889397	500	3	0.006	-0.883397	600	103	0.171667	-0.71773
ENST00000262189.11		16860	200	v2n_dedupcds_RNA_SE_200	16661	0.880559	250	0	0.0	-0.880559	400	0	0.0	-0.880559	500	0	0.0	-0.880559	600	0	0.0	-0.880559
ENST00000368223.4		5568	200	v2n_dedupcds_RNA_SE_200	5369	0.894207	250	0	0.0	-0.894207	400	0	0.0	-0.894207	500	8	0.016	-0.878207	600	108	0.18	-0.714207
ENST00000217939.7		9804	200	v2n_dedupcds_RNA_SE_200	9605	0.876835	250	0	0.0	-0.876835	400	0	0.0	-0.876835	500	0	0.0	-0.876835	600	0	0.0	-0.876835
ENST00000301030.10		9301	200	v2n_dedupcds_RNA_SE_200	9102	0.870907	250	0	0.0	-0.870907	400	0	0.0	-0.870907	500	0	0.0	-0.870907	600	0	0.0	-0.870907
