target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3283	1389	9.8107
ENST00000318602.12	4610	4511	16606.6	85.3641
ENST00000307719.9	1799	1700	1703	23.2292
ENST00000286479.4	1285	1186	774	15.133
ENST00000393078.5	1576	1477	1173	18.4156
ENST00000232892.12	1563	1464	2151	34.0697
ENST00000248450.9	1760	1661	2415	33.7144
ENST00000392492.8	971	872	1185	31.5116
ENST00000261772.13	3437	3338	4914	34.1364
ENST00000268251.13	4779	4680	14430	71.4972
ENST00000374736.8	10408	10309	6687	15.0412
ENST00000341511.11	8103	8004	28850	83.5809
ENST00000301732.10	6602	6503	5016	17.886
ENST00000373394.8	4592	4493	10488.2	54.1292
ENST00000326195.13	3405	3306	4764	33.4147
ENST00000370225.4	7328	7229	13224	42.4183
ENST00000318560.6	5578	5479	6579	27.8437
ENST00000360937.9	2609	2510	4356	40.2423
ENST00000502732.6	12217	12118	30599	58.5524
ENST00000644422.3	6478	6379	966.105	3.51188
ENST00000302538.10	5395	5296	30345	132.864
ENST00000333167.13	1699	1600	4530	65.6518
ENST00000616317.5	10013	9914	93468	218.616
ENST00000338432.12	9368	9269	74541	186.479
ENST00000233710.4	2515	2416	3096	29.7148
ENST00000370841.9	2261	2162	5213	55.9114
ENST00000242592.9	1859	1760	2171	28.6033
ENST00000358776.7	5848	5749	2094	8.44604
ENST00000356839.10	2184	2085	15566	173.117
ENST00000265838.9	1537	1438	5064	81.6589
ENST00000367048.5	1520	1421	2137.77	34.8848
ENST00000225823.7	3750	3651	2547	16.1765
ENST00000447966.7	3886	3787	11318	69.3015
ENST00000241069.11	2172	2073	8599	96.1872
ENST00000352035.7	4293	4194	13092	72.3846
ENST00000309951.8	7443	7344	5166.51	16.313
ENST00000216139.10	1430	1331	1167	20.3311
ENST00000216254.9	2734	2635	2184.75	19.226
ENST00000293217.10	7317	7218	8574.55	27.5463
ENST00000272065.10	1474	1375	888	14.9754
ENST00000672073.1	2111	2012	6141	70.775
ENST00000648477.1	1381	1282	879	15.899
ENST00000336375.10	3174	3075	5207	39.2655
ENST00000533904.6	1936	1837	2364	29.8406
ENST00000366684.7	1491	1392	1035	17.2413
ENST00000224784.10	1349	1250	3708	68.7857
ENST00000646664.1	1812	1713	1029	13.9292
ENST00000290378.6	1382	1283	2529	45.7078
ENST00000573283.7	1919	1820	1029	13.1103
ENST00000345517.8	1501	1402	1935	32.0038
ENST00000252699.7	4990	4891	18146.5	86.0328
ENST00000429709.7	1854	1755	2256	29.8078
ENST00000394419.9	3722	3623	56979.1	364.683
ENST00000366578.6	4872	4773	5128	24.9129
ENST00000513398.2	2882	2783	5136	42.7938
ENST00000434821.7	3332	3233	1431	10.2637
ENST00000257963.9	4531	4432	15428	80.7195
ENST00000241416.12	5214	5115	2562	11.6145
ENST00000352511.5	11782	11683	7250	14.3897
ENST00000388922.9	4177	4078	7794	44.3182
ENST00000636358.2	1422	1323	5172	90.6499
ENST00000238618.8	580	481	480	23.1401
ENST00000394666.9	882	783	979	28.9928
ENST00000372874.9	1496	1397	2502	41.5298
ENST00000445355.8	3259	3160	15722	115.369
ENST00000260408.8	11158	11059	4204.78	8.81649
ENST00000368474.9	6610	6511	36441	129.781
ENST00000348831.9	6902	6803	22350	76.1808
ENST00000381312.6	8475	8376	2121	5.87182
ENST00000297323.12	12657	12558	8577	15.8374
ENST00000338316.9	6645	6546	13366	47.3472
ENST00000679454.1	4950	4851	91154.8	435.729
ENST00000462833.6	6643	6544	40939	145.065
ENST00000357869.8	6092	5993	9762	37.7714
ENST00000673801.1	6271	6172	17484	65.6876
ENST00000286355.10	4421	4322	15894	85.2741
ENST00000294016.8	7980	7881	10856	31.9416
ENST00000450565.8	3259	3160	1412	10.3613
ENST00000304166.9	6639	6540	12810	45.4192
ENST00000683351.1	4140	4041	16392	94.0614
ENST00000264436.9	9290	9191	7044	17.7715
ENST00000356080.9	4413	4314	7032	37.7979
ENST00000276914.7	1897	1798	2390	30.8231
ENST00000209668.3	1454	1355	1033.27	17.6825
ENST00000305046.13	4067	3968	1870.32	10.9298
ENST00000515683.6	1454	1355	1092.41	18.6946
ENST00000265512.12	2002	1903	2139	26.064
ENST00000296412.14	2652	2553	1026	9.31891
ENST00000394899.6	2802	2703	2037	17.4749
ENST00000437033.7	2119	2020	2103	24.1411
ENST00000539909.6	1992	1893	11471	140.514
ENST00000278175.10	1492	1393	459	7.64065
ENST00000337894.9	2901	2802	3008	24.8931
ENST00000337539.12	2529	2430	1140	10.8785
ENST00000304222.3	1522	1423	2646	43.1175
ENST00000241356.5	1757	1658	1302.12	18.211
ENST00000357003.8	3623	3524	1629	10.719
ENST00000366794.10	3978	3879	2946	17.6109
ENST00000381989.4	5437	5338	5076	22.0502
ENST00000379453.6	2942	2843	1620	13.2132
ENST00000306675.5	2507	2408	7510	72.3189
ENST00000380573.4	3770	3671	9147	57.778
ENST00000280155.4	3879	3780	1299	7.96867
ENST00000620793.2	3696	3597	1254	8.08399
ENST00000330055.7	2142	2043	1290	14.6416
ENST00000369295.4	3039	2940	1335	10.5294
ENST00000305988.6	2013	1914	1143	13.8475
ENST00000345060.5	2585	2486	1128	10.5215
ENST00000308595.10	3403	3304	3852	27.0343
ENST00000324198.11	9277	9178	7999.17	20.21
ENST00000623063.3	4359	4260	11595	63.1146
ENST00000366535.4	2555	2456	4359	41.1554
ENST00000354293.10	3357	3258	11160	79.4295
ENST00000448903.7	4587	4488	22950	118.576
ENST00000357586.7	4165	4066	21270	121.302
ENST00000610402.5	5700	5601	15619	64.6631
ENST00000299980.9	6602	6503	4749	16.9339
ENST00000223357.8	4097	3998	6678	38.7322
ENST00000327141.9	1798	1699	2060	28.1153
ENST00000335847.9	1918	1819	1434	18.2804
ENST00000226355.5	1997	1898	5439	66.4495
ENST00000395792.7	2426	2327	2988	29.7751
ENST00000264595.7	2037	1938	2439	29.1828
ENST00000560601.4	8960	8861	59517	155.75
ENST00000375076.9	1420	1321	31236	548.304
ENST00000361915.8	7091	6992	33069	109.67
ENST00000290953.3	498	399	300	17.4348
ENST00000254958.10	5940	5841	3558	14.125
ENST00000366667.6	2116	2017	1332	15.3132
ENST00000349243.8	2324	2225	981	10.2237
ENST00000371906.5	2862	2763	993	8.33368
ENST00000606794.2	3660	3561	1044	6.79825
ENST00000307503.4	2900	2801	1080	8.94086
ENST00000378970.5	1813	1714	1314	17.7768
ENST00000217426.7	2150	2051	3522	39.8192
ENST00000242057.9	6243	6144	2448	9.23908
ENST00000411641.7	1574	1475	3936	61.8773
ENST00000376059.8	655	556	832	34.699
ENST00000633556.3	10039	9940	17712	41.319
ENST00000644144.2	2192	2093	1020	11.3005
ENST00000672715.1	5970	5871	4107	16.2211
ENST00000327299.8	6845	6746	990	3.40296
ENST00000649815.2	2957	2858	1344	10.9045
ENST00000392038.7	5250	5151	3726	16.7734
ENST00000409155.8	3129	3030	5265	40.2925
ENST00000484952.6	2375	2276	8805	89.7069
ENST00000650242.1	1940	1841	4845	61.0251
ENST00000295897.9	2285	2186	1731	18.3618
ENST00000306107.9	4701	4602	5139	25.8941
ENST00000218104.6	3669	3570	5935	38.5497
ENST00000297785.8	2096	1997	1407	16.3375
ENST00000261733.7	9561	9462	2769.23	6.78649
ENST00000225740.11	1639	1540	3366	50.683
ENST00000377698.4	3028	2929	2979	23.5841
ENST00000329841.10	3469	3370	2559	17.608
ENST00000342456.11	2811	2712	4182	35.7571
ENST00000673966.2	2650	2551	1932	17.5616
ENST00000354775.5	2395	2296	2634	26.6019
ENST00000176643.11	3703	3604	5562	35.7861
ENST00000308666.4	6290	6191	15750	58.9913
ENST00000642816.3	1640	1541	1339.78	20.1604
ENST00000647789.2	2420	2321	996	9.95068
ENST00000226253.9	1608	1509	996	15.3052
ENST00000285930.9	1361	1262	1272	23.372
ENST00000389048.8	6240	6141	6324	23.8793
ENST00000251535.11	2392	2293	3579	36.1931
ENST00000374391.7	2519	2420	12168	116.593
ENST00000380490.5	869	770	1166	35.1137
ENST00000647874.1	2515	2416	2007	19.2628
ENST00000293761.8	2697	2598	1890	16.8691
ENST00000380183.9	2697	2598	5487	48.9739
ENST00000295463.4	3241	3142	1488	10.9816
ENST00000374840.8	2536	2437	5352	50.9248
ENST00000392027.3	2754	2655	1485.25	12.9719
ENST00000295453.8	2492	2393	1524.61	14.7735
ENST00000647563.2	1955	1856	933	11.6566
ENST00000322937.10	2005	1906	1245	15.1466
ENST00000265132.8	1262	1163	960	19.1408
ENST00000368885.8	3423	3324	3525	24.5905
ENST00000380714.7	793	694	1978.89	66.1197
ENST00000651267.2	926	827	982.11	27.5374
ENST00000290649.10	3607	3508	5254	34.7295
ENST00000221496.5	1809	1710	1584	21.4797
ENST00000257863.9	2001	1902	22326	272.188
ENST00000520113.7	2335	2236	4278	44.3647
ENST00000528667.7	4081	3982	9180	53.4577
ENST00000396553.7	4189	4090	8391	47.5728
ENST00000356264.7	3224	3125	14589	108.254
ENST00000316724.10	2487	2388	21984	213.472
ENST00000273588.9	1997	1898	4099.66	50.0864
ENST00000370083.9	1785	1686	470.028	6.46449
ENST00000330330.10	1785	1686	470.028	6.46449
ENST00000622339.5	1785	1686	470.028	6.46449
ENST00000414303.7	1584	1485	1441.77	22.5132
ENST00000684275.1	1584	1485	1459.15	22.7846
ENST00000397990.5	748	649	345	12.3266
ENST00000517746.6	4230	4131	4596	25.7984
ENST00000629816.3	5268	5169	7549.86	33.8689
ENST00000289734.13	8292	8193	27600	78.115
ENST00000357077.9	14215	14116	390854	642.054
ENST00000280772.7	17019	16920	31338	42.9477
ENST00000300060.7	3662	3563	2805	18.2552
ENST00000281456.11	4415	4316	798	4.28736
ENST00000317881.9	1307	1208	798	15.3181
ENST00000381401.11	1451	1352	827	14.184
ENST00000257497.11	1401	1302	1917	34.1413
ENST00000451270.7	1554	1455	2466	39.3005
ENST00000264908.11	1432	1333	1569	27.2936
ENST00000394295.6	2651	2552	2283	20.7441
ENST00000296511.10	1638	1539	1212	18.2613
ENST00000354546.10	2889	2790	5655	46.9999
ENST00000372921.10	2443	2344	5046	49.9181
ENST00000422982.8	6734	6635	5604	19.5851
ENST00000419625.6	1456	1357	1759	30.0576
ENST00000617537.5	2385	2286	24336	246.855
ENST00000253799.8	2677	2578	4263	38.3443
ENST00000374700.7	4928	4829	15576	74.7941
ENST00000551964.6	7201	7102	21686	70.8056
ENST00000379158.7	998	899	345	8.89873
ENST00000398189.4	1750	1651	882	12.3877
ENST00000265381.7	6597	6498	6012	21.454
ENST00000683413.1	3941	3842	13941	84.1405
ENST00000609360.6	2666	2567	9390	84.822
ENST00000508593.6	8899	8800	21990.6	57.9459
ENST00000257430.9	10704	10605	155312	339.596
ENST00000255040.3	925	826	573	16.0858
ENST00000291582.6	2690	2591	1539	13.7734
ENST00000296456.10	2879	2780	11319	94.413
ENST00000216714.8	1453	1354	858	14.6939
ENST00000227758.7	3764	3665	3369	21.3155
ENST00000263464.9	6877	6778	1716	5.87062
ENST00000371199.8	8558	8459	1395.76	3.82615
ENST00000350051.8	2574	2475	957	8.96614
ENST00000221891.9	2370	2271	7104	72.5361
ENST00000338167.10	3697	3598	58063	374.203
ENST00000236850.5	899	800	1743	50.5215
ENST00000367990.7	474	375	204	12.6144
ENST00000357780.5	1471	1372	1092	18.456
ENST00000233242.5	14121	14022	27186	44.9577
ENST00000229304.5	894	795	1089	31.7636
ENST00000592535.6	514	415	340	18.9976
ENST00000219660.6	1325	1226	1725	32.6263
ENST00000252490.7	660	561	207	8.5561
ENST00000227667.8	535	436	201	10.69
ENST00000592954.2	616	517	340	15.2495
ENST00000343267.8	862	763	471	14.3141
ENST00000252486.9	1166	1067	1788	38.8572
