target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3283.02	3283	51.481
ENST00000318602.12	4610	4511.02	4511	51.4811
ENST00000307719.9	1799	1700.02	1700	51.4807
ENST00000286479.4	1285	1186.02	1186	51.4805
ENST00000393078.5	1576	1477.02	1477	51.4807
ENST00000232892.12	1563	1464.02	1464	51.4807
ENST00000248450.9	1760	1661.02	1661	51.4807
ENST00000392492.8	971	872.017	872	51.4803
ENST00000261772.13	3437	3338.02	3338	51.481
ENST00000268251.13	4779	4680.02	4680	51.4811
ENST00000374736.8	10408	10309	10309	51.4812
ENST00000341511.11	8103	8004.02	8004	51.4811
ENST00000301732.10	6602	6503.02	6503	51.4811
ENST00000373394.8	4592	4493.02	4493	51.4811
ENST00000326195.13	3405	3306.02	3306	51.481
ENST00000370225.4	7328	7229.02	7229	51.4811
ENST00000318560.6	5578	5479.02	5479	51.4811
ENST00000360937.9	2609	2510.02	2510	51.4809
ENST00000502732.6	12217	12118	12118	51.4812
ENST00000644422.3	6478	6379.02	6379	51.4811
ENST00000302538.10	5395	5296.02	5296	51.4811
ENST00000333167.13	1699	1600.02	1600	51.4807
ENST00000616317.5	10013	9914.02	9914	51.4812
ENST00000338432.12	9368	9269.02	9269	51.4812
ENST00000233710.4	2515	2416.02	2416	51.4809
ENST00000370841.9	2261	2162.02	2162	51.4808
ENST00000242592.9	1859	1760.02	1760	51.4808
ENST00000358776.7	5848	5749.02	5749	51.4811
ENST00000356839.10	2184	2085.02	2085	51.4808
ENST00000265838.9	1537	1438.02	1438	51.4806
ENST00000367048.5	1520	1421.02	1421	51.4806
ENST00000225823.7	3750	3651.02	3651	51.481
ENST00000447966.7	3886	3787.02	3787	51.481
ENST00000241069.11	2172	2073.02	2073	51.4808
ENST00000352035.7	4293	4194.02	4194	51.481
ENST00000309951.8	7443	7344.02	7344	51.4811
ENST00000216139.10	1430	1331.02	1331	51.4806
ENST00000216254.9	2734	2635.02	2635	51.4809
ENST00000293217.10	7317	7218.02	7218	51.4811
