transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000409508.8		14343	75	v2k_dedupcds_RNA_PE_75	14269	0.947999	250	0	0.0	-0.947999	400	0	0.0	-0.947999	500	0	0.0	-0.947999	600	40	0.066667	-0.881332
ENST00000544440.7		15077	75	v2k_dedupcds_RNA_PE_75	15003	0.938012	250	0	0.0	-0.938012	400	0	0.0	-0.938012	500	0	0.0	-0.938012	600	0	0.0	-0.938012
ENST00000300648.7		8681	75	v2k_dedupcds_RNA_PE_75	8607	0.927733	250	0	0.0	-0.927733	400	0	0.0	-0.927733	500	0	0.0	-0.927733	600	0	0.0	-0.927733
ENST00000306151.9		14352	75	v2k_dedupcds_RNA_PE_75	14278	0.923449	250	0	0.0	-0.923449	400	0	0.0	-0.923449	500	0	0.0	-0.923449	600	0	0.0	-0.923449
ENST00000243077.8		14923	75	v2k_dedupcds_RNA_PE_75	14849	0.916627	250	0	0.0	-0.916627	400	0	0.0	-0.916627	500	0	0.0	-0.916627	600	0	0.0	-0.916627
ENST00000398571.7		11675	75	v2k_dedupcds_RNA_PE_75	11601	0.91518	250	0	0.0	-0.91518	400	0	0.0	-0.91518	500	0	0.0	-0.91518	600	0	0.0	-0.91518
ENST00000369393.8		18485	75	v2k_dedupcds_RNA_PE_75	18411	0.907718	250	0	0.0	-0.907718	400	0	0.0	-0.907718	500	0	0.0	-0.907718	600	0	0.0	-0.907718
ENST00000323853.10		7194	75	v2k_dedupcds_RNA_PE_75	7120	0.897051	250	0	0.0	-0.897051	400	0	0.0	-0.897051	500	0	0.0	-0.897051	600	0	0.0	-0.897051
ENST00000306749.4		8464	75	v2k_dedupcds_RNA_PE_75	8390	0.895352	250	0	0.0	-0.895352	400	0	0.0	-0.895352	500	0	0.0	-0.895352	600	0	0.0	-0.895352
ENST00000264233.6		8757	75	v2k_dedupcds_RNA_PE_75	8683	0.892433	250	0	0.0	-0.892433	400	0	0.0	-0.892433	500	0	0.0	-0.892433	600	0	0.0	-0.892433
ENST00000375759.8		12385	75	v2k_dedupcds_RNA_PE_75	12311	0.891154	250	0	0.0	-0.891154	400	0	0.0	-0.891154	500	0	0.0	-0.891154	600	0	0.0	-0.891154
ENST00000314888.10		8623	75	v2k_dedupcds_RNA_PE_75	8549	0.889227	250	0	0.0	-0.889227	400	0	0.0	-0.889227	500	0	0.0	-0.889227	600	0	0.0	-0.889227
ENST00000379458.9		11248	75	v2k_dedupcds_RNA_PE_75	11174	0.886701	250	0	0.0	-0.886701	400	0	0.0	-0.886701	500	0	0.0	-0.886701	600	0	0.0	-0.886701
ENST00000253255.7		7681	75	v2k_dedupcds_RNA_PE_75	7607	0.885237	250	0	0.0	-0.885237	400	0	0.0	-0.885237	500	0	0.0	-0.885237	600	0	0.0	-0.885237
ENST00000374469.6		12205	75	v2k_dedupcds_RNA_PE_75	12131	0.881378	250	0	0.0	-0.881378	400	0	0.0	-0.881378	500	0	0.0	-0.881378	600	0	0.0	-0.881378
ENST00000368223.4		5568	75	v2k_dedupcds_RNA_PE_75	5494	0.881325	250	0	0.0	-0.881325	400	0	0.0	-0.881325	500	0	0.0	-0.881325	600	66	0.11	-0.771325
ENST00000361673.4		7437	75	v2k_dedupcds_RNA_PE_75	7363	0.881298	250	0	0.0	-0.881298	400	0	0.0	-0.881298	500	0	0.0	-0.881298	600	49	0.081667	-0.799631
ENST00000262189.11		16860	75	v2k_dedupcds_RNA_PE_75	16786	0.876445	250	0	0.0	-0.876445	400	0	0.0	-0.876445	500	0	0.0	-0.876445	600	0	0.0	-0.876445
ENST00000217939.7		9804	75	v2k_dedupcds_RNA_PE_75	9730	0.869784	250	0	0.0	-0.869784	400	0	0.0	-0.869784	500	0	0.0	-0.869784	600	0	0.0	-0.869784
ENST00000565624.3		13770	75	v2k_dedupcds_RNA_PE_75	13696	0.86434	250	0	0.0	-0.86434	400	0	0.0	-0.86434	500	0	0.0	-0.86434	600	0	0.0	-0.86434
ENST00000301030.10		9301	75	v2k_dedupcds_RNA_PE_75	9227	0.863553	250	0	0.0	-0.863553	400	0	0.0	-0.863553	500	0	0.0	-0.863553	600	0	0.0	-0.863553
ENST00000361428.3		8210	75	v2k_dedupcds_RNA_PE_75	8136	0.859513	250	0	0.0	-0.859513	400	0	0.0	-0.859513	500	0	0.0	-0.859513	600	0	0.0	-0.859513
ENST00000367549.4		4493	75	v2k_dedupcds_RNA_PE_75	4419	0.857434	250	0	0.0	-0.857434	400	0	0.0	-0.857434	500	0	0.0	-0.857434	600	77	0.128333	-0.729101
ENST00000569591.3		5188	75	v2k_dedupcds_RNA_PE_75	5114	0.85002	250	0	0.0	-0.85002	400	0	0.0	-0.85002	500	0	0.0	-0.85002	600	0	0.0	-0.85002
ENST00000262623.4		3721	75	v2k_dedupcds_RNA_PE_75	3647	0.845627	250	0	0.0	-0.845627	400	0	0.0	-0.845627	500	0	0.0	-0.845627	600	41	0.068333	-0.777294
ENST00000288078.11		3907	75	v2k_dedupcds_RNA_PE_75	3833	0.842943	250	0	0.0	-0.842943	400	0	0.0	-0.842943	500	0	0.0	-0.842943	600	31	0.051667	-0.791276
ENST00000644991.3		8261	75	v2k_dedupcds_RNA_PE_75	8187	0.839868	250	0	0.0	-0.839868	400	0	0.0	-0.839868	500	0	0.0	-0.839868	600	0	0.0	-0.839868
ENST00000301740.13		9044	75	v2k_dedupcds_RNA_PE_75	8970	0.836901	250	0	0.0	-0.836901	400	0	0.0	-0.836901	500	0	0.0	-0.836901	600	80	0.133333	-0.703568
ENST00000317276.9		4676	75	v2k_dedupcds_RNA_PE_75	4602	0.836375	250	0	0.0	-0.836375	400	0	0.0	-0.836375	500	0	0.0	-0.836375	600	29	0.048333	-0.788042
ENST00000164024.5		11933	75	v2k_dedupcds_RNA_PE_75	11859	0.836074	250	0	0.0	-0.836074	400	0	0.0	-0.836074	500	0	0.0	-0.836074	600	0	0.0	-0.836074
ENST00000291495.5		4199	75	v2k_dedupcds_RNA_PE_75	4125	0.835636	250	0	0.0	-0.835636	400	0	0.0	-0.835636	500	0	0.0	-0.835636	600	0	0.0	-0.835636
ENST00000263791.10		5538	75	v2k_dedupcds_RNA_PE_75	5464	0.904832	250	18	0.072	-0.832832	400	18	0.045	-0.859832	500	36	0.072	-0.832832	600	136	0.226667	-0.678165
ENST00000643185.2		11476	75	v2k_dedupcds_RNA_PE_75	11402	0.832749	250	0	0.0	-0.832749	400	0	0.0	-0.832749	500	0	0.0	-0.832749	600	0	0.0	-0.832749
ENST00000594866.3		5687	75	v2k_dedupcds_RNA_PE_75	5613	0.830037	250	0	0.0	-0.830037	400	0	0.0	-0.830037	500	0	0.0	-0.830037	600	0	0.0	-0.830037
ENST00000262518.9		11724	75	v2k_dedupcds_RNA_PE_75	11650	0.829957	250	0	0.0	-0.829957	400	0	0.0	-0.829957	500	0	0.0	-0.829957	600	0	0.0	-0.829957
ENST00000418929.7		7416	75	v2k_dedupcds_RNA_PE_75	7342	0.829066	250	0	0.0	-0.829066	400	0	0.0	-0.829066	500	0	0.0	-0.829066	600	0	0.0	-0.829066
ENST00000262719.10		6299	75	v2k_dedupcds_RNA_PE_75	6225	0.824096	250	0	0.0	-0.824096	400	0	0.0	-0.824096	500	0	0.0	-0.824096	600	0	0.0	-0.824096
ENST00000614923.2		6985	75	v2k_dedupcds_RNA_PE_75	6911	0.824049	250	0	0.0	-0.824049	400	0	0.0	-0.824049	500	0	0.0	-0.824049	600	0	0.0	-0.824049
ENST00000298832.14		4716	75	v2k_dedupcds_RNA_PE_75	4642	0.823352	250	0	0.0	-0.823352	400	0	0.0	-0.823352	500	0	0.0	-0.823352	600	0	0.0	-0.823352
