target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3308	3307	51.4739
ENST00000318602.12	4610	4536	4535	51.4781
ENST00000307719.9	1799	1725	1724	51.4596
ENST00000286479.4	1285	1211	1210	51.4469
ENST00000393078.5	1576	1502	1501	51.4552
ENST00000232892.12	1563	1489	1488	51.4549
ENST00000248450.9	1760	1686	1685	51.4589
ENST00000392492.8	971	897	896	51.432
ENST00000261772.13	3437	3363	3362	51.4741
ENST00000268251.13	4779	4705	4704	51.4785
ENST00000374736.8	10408	10334	10333	51.4845
ENST00000341511.11	8103	8029	8028	51.483
ENST00000301732.10	6602	6528	6527	51.4816
ENST00000373394.8	4592	4518	4517	51.4781
ENST00000326195.13	3405	3331	3330	51.474
ENST00000370225.4	7328	7254	7253	51.4823
ENST00000318560.6	5578	5504	5503	51.4801
ENST00000360937.9	2609	2535	2534	51.4691
ENST00000502732.6	12217	12143	12142	51.4852
ENST00000644422.3	6478	6404	6403	51.4814
ENST00000302538.10	5395	5321	5321	51.4894
ENST00000333167.13	1699	1625	1624.45	51.4722
ENST00000616317.5	10013	9939	9938	51.4843
ENST00000338432.12	9368	9294	9293	51.4839
ENST00000233710.4	2515	2441	2440	51.4684
ENST00000370841.9	2261	2187	2186	51.4659
ENST00000242592.9	1859	1785	1784	51.4606
ENST00000358776.7	5848	5774	5773	51.4805
ENST00000356839.10	2184	2110	2109	51.465
ENST00000265838.9	1537	1463	1462	51.4543
ENST00000367048.5	1520	1446	1445.47	51.4705
ENST00000225823.7	3750	3676	3675	51.4754
ENST00000447966.7	3886	3812	3811	51.4759
ENST00000241069.11	2172	2098	2097	51.4649
ENST00000352035.7	4293	4219	4218	51.4772
ENST00000309951.8	7443	7369	7368	51.4825
ENST00000216139.10	1430	1356	1355	51.4515
ENST00000216254.9	2734	2660	2659.47	51.4792
ENST00000293217.10	7317	7243	7242	51.4823
ENST00000272065.10	1474	1400	1399	51.4527
ENST00000672073.1	2111	2037	2036	51.4642
ENST00000648477.1	1381	1307	1306	51.4501
ENST00000336375.10	3174	3100	3099	51.4728
ENST00000533904.6	1936	1862	1861	51.4618
ENST00000366684.7	1491	1417	1416	51.4531
ENST00000224784.10	1349	1275	1274	51.4491
ENST00000646664.1	1812	1738	1736.96	51.4587
ENST00000290378.6	1382	1308	1307	51.4501
ENST00000573283.7	1919	1845	1844	51.4615
ENST00000345517.8	1501	1427	1426	51.4534
