transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000619609.1	2812	0	2812	0	0.0
ENST00000359594.3	983	0	983	0	0.0
ENST00000641363.1	2551	0	2551	0	0.0
ENST00000436041.6	2051	0	2051	0	0.0
ENST00000621994.3	1208	0	1208	0	0.0
ENST00000323770.8	1744	0	1744	0	0.0
ENST00000617807.3	1949	0	1949	0	0.0
ENST00000368236.8	3244	0	3244	0	0.0
ENST00000415919.3	2569	0	2569	0	0.0
ENST00000641644.1	4748	0	4748	0	0.0
ENST00000366473.4	989	0	989	0	0.0
ENST00000423932.6	1272	0	1272	0	0.0
ENST00000366696.2	542	0	542	0	0.0
ENST00000403683.2	544	0	544	0	0.0
ENST00000579512.3	422	0	422	0	0.0
ENST00000369159.3	559	0	559	0	0.0
ENST00000578186.3	422	0	422	0	0.0
ENST00000369158.2	548	0	548	0	0.0
ENST00000642005.1	2156	0	2156	0	0.0
ENST00000577856.3	786	0	786	0	0.0
ENST00000544708.3	786	0	786	0	0.0
ENST00000581164.2	786	0	786	0	0.0
ENST00000581138.4	786	0	786	0	0.0
ENST00000689584.1	536	0	536	0	0.0
ENST00000693095.1	482	0	482	0	0.0
ENST00000322209.5	3668	0	3668	0	0.0
ENST00000619922.1	1949	0	1949	0	0.0
ENST00000317869.7	1186	0	1186	0	0.0
ENST00000240189.2	1746	0	1746	0	0.0
ENST00000235349.6	1944	0	1944	0	0.0
ENST00000376189.5	1824	0	1824	0	0.0
ENST00000437300.2	1622	0	1622	0	0.0
ENST00000622421.3	1959	0	1959	0	0.0
ENST00000357367.7	1662	0	1662	0	0.0
ENST00000619661.3	2023	0	2023	0	0.0
ENST00000624297.3	2203	0	2203	0	0.0
ENST00000426406.4	965	0	965	0	0.0
ENST00000332831.5	965	0	965	0	0.0
ENST00000624207.2	2013	0	2013	0	0.0
ENST00000607355.3	560	0	560	0	0.0
ENST00000384782.1	190	0	190	0	0.0
ENST00000384659.1	190	0	190	0	0.0
ENST00000375460.3	3605	0	3605	0	0.0
ENST00000375471.5	4262	0	4262	0	0.0
ENST00000367412.2	2972	0	2972	0	0.0
ENST00000305943.9	3222	0	3222	0	0.0
ENST00000641925.2	3509	0	3509	0	0.0
ENST00000624419.3	2219	0	2219	0	0.0
ENST00000693622.1	1203	0	1203	0	0.0
ENST00000368235.8	1267	0	1267	0	0.0
ENST00000378486.8	5442	0	5442	0	0.0
ENST00000302631.8	1779	0	1779	0	0.0
ENST00000318967.7	6032	0	6032	0	0.0
ENST00000673466.1	7645	0	7645	0	0.0
ENST00000375448.4	2683	0	2683	0	0.0
ENST00000261458.8	3951	0	3951	0	0.0
ENST00000450454.7	2005	0	2005	0	0.0
ENST00000642610.2	5816	0	5816	0	0.0
ENST00000373842.9	1907	0	1907	0	0.0
ENST00000973241.1	7827	0	6229	1598	0.0
ENST00000374168.7	3764	0	3764	0	0.0
ENST00000302271.11	8037	0	8037	0	0.0
ENST00000235347.4	1629	0	1629	0	0.0
ENST00000348159.9	6224	0	6224	0	0.0
ENST00000361170.7	7001	0	7001	0	0.0
ENST00000682384.1	5575	0	5575	0	0.0
ENST00000378453.4	1402	0	1402	0	0.0
ENST00000294725.14	6712	0	6712	0	0.0
ENST00000378466.9	3135	0	3135	0	0.0
ENST00000368373.8	2577	0	2577	0	0.0
ENST00000624995.4	2558	0	2558	0	0.0
ENST00000368361.9	2492	0	2492	0	0.0
ENST00000366691.4	4043	0	4043	0	0.0
ENST00000375599.8	1704	0	1704	0	0.0
ENST00000270747.8	3738	0	3738	0	0.0
ENST00000625019.3	2267	0	2267	0	0.0
ENST00000367415.8	1628	0	1628	0	0.0
ENST00000368358.4	4046	0	4046	0	0.0
ENST00000375535.4	1279	0	1279	0	0.0
ENST00000361361.7	3502	0	3502	0	0.0
ENST00000361729.3	5378	0	5378	0	0.0
ENST00000366600.8	5031	0	5031	0	0.0
ENST00000366542.6	7579	0	7579	0	0.0
ENST00000375592.8	6487	0	6487	0	0.0
ENST00000369626.8	3883	0	3883	0	0.0
ENST00000375436.9	4378	0	4378	0	0.0
ENST00000366541.8	3049	0	3049	0	0.0
ENST00000697200.1	1970	0	1970	0	0.0
ENST00000326735.13	4750	0	4750	0	0.0
ENST00000342741.6	3333	0	3333	0	0.0
ENST00000336689.8	4701	0	4701	0	0.0
ENST00000314011.9	4569	0	4569	0	0.0
ENST00000375486.9	4777	0	4777	0	0.0
ENST00000355716.5	1910	0	1910	0	0.0
ENST00000255039.6	1832	0	1832	0	0.0
ENST00000337132.10	2226	0	2226	0	0.0
ENST00000367012.4	5326	0	5326	0	0.0
ENST00000335514.10	581	0	581	0	0.0
ENST00000374561.6	1028	0	1028	0	0.0
ENST00000419916.8	2929	0	2929	0	0.0
ENST00000367382.6	634	0	634	0	0.0
ENST00000253063.4	3722	0	3722	0	0.0
ENST00000343216.3	2348	0	2348	0	0.0
ENST00000409110.6	2012	0	2012	0	0.0
ENST00000409561.2	3130	0	3130	0	0.0
ENST00000410061.4	3099	0	3099	0	0.0
ENST00000405799.3	7284	0	7284	0	0.0
ENST00000282141.4	705	0	705	0	0.0
ENST00000420699.9	8510	0	8510	0	0.0
ENST00000392222.7	964	0	964	0	0.0
ENST00000289228.7	2490	0	2490	0	0.0
ENST00000329516.8	7903	0	7903	0	0.0
ENST00000480744.3	2354	0	2354	0	0.0
ENST00000272425.4	1137	0	1137	0	0.0
ENST00000361725.5	2434	0	2434	0	0.0
ENST00000272424.11	794	0	794	0	0.0
ENST00000632897.2	2351	0	2351	0	0.0
ENST00000404031.6	686	0	686	0	0.0
ENST00000397119.8	4822	0	4822	0	0.0
ENST00000680298.1	4269	0	4269	0	0.0
ENST00000627399.4	1347	0	1347	0	0.0
ENST00000445964.6	5604	0	5604	0	0.0
ENST00000407683.6	2009	0	2009	0	0.0
