transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000262304.9		14140	100	v5g_MANE_RNA_PE_100	14041	0.951286	250	1	0.004	-0.947286	400	1	0.0025	-0.948786	500	1	0.002	-0.949286	600	1	0.001667	-0.949619
ENST00000409508.8		14343	100	v5g_MANE_RNA_PE_100	14244	0.948399	250	1	0.004	-0.944399	400	1	0.0025	-0.945899	500	1	0.002	-0.946399	600	1	0.001667	-0.946732
ENST00000549884.6		8938	100	v5g_MANE_RNA_PE_100	8839	0.943659	250	1	0.004	-0.939659	400	1	0.0025	-0.941159	500	3	0.006	-0.937659	600	103	0.171667	-0.771992
ENST00000262031.10		8488	100	v5g_MANE_RNA_PE_100	8389	0.940637	250	1	0.004	-0.936637	400	1	0.0025	-0.938137	500	3	0.006	-0.934637	600	103	0.171667	-0.76897
ENST00000349129.7		7957	100	v5g_MANE_RNA_PE_100	7858	0.934716	250	1	0.004	-0.930716	400	1	0.0025	-0.932216	500	1	0.002	-0.932716	600	88	0.146667	-0.788049
ENST00000238616.10		8278	100	v5g_MANE_RNA_PE_100	8179	0.934466	250	1	0.004	-0.930466	400	1	0.0025	-0.931966	500	1	0.002	-0.932466	600	65	0.108333	-0.826133
ENST00000495936.7		10747	100	v5g_MANE_RNA_PE_100	10648	0.95417	250	1	0.004	-0.95017	400	1	0.0025	-0.95167	500	13	0.026	-0.92817	600	113	0.188333	-0.765837
ENST00000359520.12		8704	100	v5g_MANE_RNA_PE_100	8605	0.928995	250	1	0.004	-0.924995	400	1	0.0025	-0.926495	500	1	0.002	-0.926995	600	1	0.001667	-0.927328
ENST00000643759.2		8018	100	v5g_MANE_RNA_PE_100	7919	0.925496	250	1	0.004	-0.921496	400	1	0.0025	-0.922996	500	1	0.002	-0.923496	600	11	0.018333	-0.907163
ENST00000425241.6		8419	100	v5g_MANE_RNA_PE_100	8320	0.920433	250	1	0.004	-0.916433	400	1	0.0025	-0.917933	500	1	0.002	-0.918433	600	1	0.001667	-0.918766
ENST00000374695.8		14341	100	v5g_MANE_RNA_PE_100	14242	0.918972	250	1	0.004	-0.914972	400	1	0.0025	-0.916472	500	1	0.002	-0.916972	600	1	0.001667	-0.917305
ENST00000343067.9		6031	100	v5g_MANE_RNA_PE_100	5932	0.91352	250	1	0.004	-0.90952	400	1	0.0025	-0.91102	500	1	0.002	-0.91152	600	88	0.146667	-0.766853
ENST00000286918.9		6705	100	v5g_MANE_RNA_PE_100	6606	0.907508	250	1	0.004	-0.903508	400	1	0.0025	-0.905008	500	1	0.002	-0.905508	600	1	0.001667	-0.905841
ENST00000274867.9		6185	100	v5g_MANE_RNA_PE_100	6086	0.901413	250	1	0.004	-0.897413	400	1	0.0025	-0.898913	500	1	0.002	-0.899413	600	1	0.001667	-0.899746
ENST00000621632.5		5573	100	v5g_MANE_RNA_PE_100	5474	0.900621	250	1	0.004	-0.896621	400	1	0.0025	-0.898121	500	1	0.002	-0.898621	600	57	0.095	-0.805621
ENST00000262133.11		4854	100	v5g_MANE_RNA_PE_100	4755	0.892955	250	1	0.004	-0.888955	400	1	0.0025	-0.890455	500	1	0.002	-0.890955	600	92	0.153333	-0.739622
