transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000370552.8	4227	0	1746	2481	0.0
ENST00000644971.2	12998	0	12693	305	0.0
ENST00000682258.1	10212	0	5487	4725	0.0
ENST00000656932.1	1066	0	864	202	0.0
ENST00000291574.9	6887	0	3747	3140	0.0
ENST00000374719.8	3356	0	932	2424	0.0
ENST00000447601.7	1694	0	660	1034	0.0
ENST00000367278.8	3550	0	2871	679	0.0
ENST00000307765.10	3587	0	2241	1346	0.0
ENST00000367261.8	3212	0	1725	1487	0.0
ENST00000264331.9	5715	0	4848	867	0.0
ENST00000300255.7	1572	0	1293	279	0.0
ENST00000362031.10	3183	0	1187	1996	0.0
ENST00000423485.6	5596	0	4563	1033	0.0
ENST00000409020.6	1590	0	1101	489	0.0
ENST00000324679.5	2995	0	1144	1851	0.0
ENST00000377026.4	3738	0	864	2874	0.0
ENST00000265807.8	3177	0	1332	1845	0.0
ENST00000557658.6	2431	0	1449	982	0.0
ENST00000319380.12	5278	0	3824	1454	0.0
ENST00000298282.14	3543	0	1386	2157	0.0
ENST00000544898.6	4725	0	765	3960	0.0
ENST00000614355.5	7091	0	706	6385	0.0
ENST00000372476.8	3794	0	3384	410	0.0
ENST00000541036.6	7119	0	4743	2376	0.0
ENST00000249601.9	2630	0	2064	566	0.0
ENST00000252519.8	3240	0	2385	855	0.0
ENST00000329066.9	3986	0	2889	1097	0.0
ENST00000645482.3	1091	0	822	269	0.0
ENST00000403994.9	1118	0	881	237	0.0
ENST00000534000.6	2140	0	582	1558	0.0
ENST00000518937.6	4017	0	591	3426	0.0
ENST00000378295.9	5093	0	1878	3215	0.0
ENST00000392745.8	7707	0	1674	6033	0.0
ENST00000425241.6	8320	0	1802	6518	0.0
ENST00000333003.10	3959	0	1779	2180	0.0
ENST00000530705.6	4449	0	486	3963	0.0
ENST00000376052.5	5385	0	3756	1629	0.0
ENST00000322927.3	4355	0	3996	359	0.0
ENST00000277225.10	10246	0	7488	2758	0.0
ENST00000223364.7	513	0	489	24	0.0
ENST00000271620.8	2926	0	1329	1597	0.0
ENST00000268896.10	1873	0	612	1261	0.0
ENST00000540052.6	7366	0	5325	2041	0.0
ENST00000406686.8	6535	0	2028	4507	0.0
ENST00000299088.11	3261	0	1584	1677	0.0
ENST00000287218.9	3039	0	651	2388	0.0
ENST00000321562.9	2486	0	1714	772	0.0
ENST00000292672.7	1797	0	1425	372	0.0
ENST00000254730.11	2106	0	1752	354	0.0
ENST00000381501.8	3562	0	1908	1654	0.0
ENST00000374994.9	6393	0	1479	4914	0.0
ENST00000433529.7	4535	0	1128	3407	0.0
ENST00000646209.2	7477	0	1353	6124	0.0
ENST00000307741.11	4662	0	2037	2625	0.0
ENST00000350881.6	3123	0	2853	270	0.0
ENST00000395105.9	2609	0	1987	622	0.0
ENST00000374571.5	2263	0	1802	461	0.0
ENST00000438925.7	3400	0	3060	340	0.0
ENST00000393847.6	1629	0	1428	201	0.0
ENST00000251496.7	4488	0	3015	1473	0.0
ENST00000602385.3	352	0	0	352	0.0
ENST00000380036.10	4584	0	3342	1242	0.0
ENST00000212355.9	6240	0	2523	3717	0.0
ENST00000569417.6	1572	0	1002	570	0.0
ENST00000315869.8	3192	0	1695	1497	0.0
ENST00000375370.10	2540	0	1200	1340	0.0
ENST00000306796.10	2134	0	1389	745	0.0
ENST00000356736.5	3053	0	1350	1703	0.0
ENST00000396679.6	1632	0	777	855	0.0
ENST00000261486.6	4571	0	2028	2543	0.0
ENST00000356284.7	2983	0	1308	1675	0.0
ENST00000361956.8	3580	0	1275	2305	0.0
ENST00000400566.6	1761	0	1089	672	0.0
ENST00000345957.9	3010	0	1002	2008	0.0
ENST00000398548.6	6426	0	3404	3022	0.0
ENST00000239462.9	4943	0	3902	1041	0.0
ENST00000262315.14	2993	0	2895	98	0.0
ENST00000376552.8	4787	0	658	4129	0.0
ENST00000451782.7	5637	0	2277	3360	0.0
ENST00000376499.8	4036	0	2280	1756	0.0
ENST00000687189.2	535	0	0	535	0.0
ENST00000526104.6	3407	0	1563	1844	0.0
ENST00000252011.8	3215	0	2070	1145	0.0
ENST00000338034.9	3668	0	2448	1220	0.0
ENST00000237822.8	3818	0	945	2873	0.0
ENST00000375442.8	2716	0	2049	667	0.0
ENST00000256737.8	5838	0	2913	2925	0.0
ENST00000343702.9	3522	0	1854	1668	0.0
ENST00000531399.6	651	0	362	289	0.0
ENST00000269945.8	1706	0	1077	629	0.0
ENST00000246190.11	1910	0	1158	752	0.0
ENST00000366820.10	1920	0	1068	852	0.0
ENST00000220616.9	8356	0	8274	82	0.0
ENST00000356141.9	6205	0	2769	3436	0.0
ENST00000260229.5	1777	0	1509	268	0.0
ENST00000438737.3	5159	0	580	4579	0.0
ENST00000368378.7	3046	0	2826	220	0.0
ENST00000617924.6	5602	0	3486	2116	0.0
ENST00000352909.8	1728	0	1457	271	0.0
ENST00000453744.7	3630	0	411	3219	0.0
ENST00000356136.8	5018	0	2067	2951	0.0
ENST00000545955.6	6075	0	535	5540	0.0
ENST00000611820.5	5995	0	4329	1666	0.0
ENST00000327047.6	1988	0	652	1336	0.0
ENST00000222305.8	1647	0	1008	639	0.0
ENST00000244751.7	3243	0	1749	1494	0.0
ENST00000355371.9	6772	0	1986	4786	0.0
ENST00000267430.10	7032	0	6114	918	0.0
ENST00000238146.9	2557	0	1770	787	0.0
ENST00000370733.5	2690	0	2331	359	0.0
ENST00000696270.1	10292	0	5778	4514	0.0
ENST00000264276.11	6576	0	4941	1635	0.0
ENST00000375663.8	4012	0	3762	250	0.0
ENST00000394215.7	5109	0	3180	1929	0.0
ENST00000325239.12	9983	0	9522	461	0.0
ENST00000378103.7	3512	0	2751	761	0.0
ENST00000410053.8	3425	0	2694	731	0.0
ENST00000262999.4	1522	0	891	631	0.0
ENST00000377595.8	832	0	657	175	0.0
ENST00000283629.8	4076	0	1590	2486	0.0
ENST00000392246.7	1424	0	273	1151	0.0
ENST00000648336.2	8629	0	2586	6043	0.0
ENST00000371674.8	2011	0	400	1611	0.0
ENST00000377838.8	4495	0	3699	796	0.0
ENST00000317135.13	4854	0	2265	2589	0.0
ENST00000294728.7	3002	0	2187	815	0.0
ENST00000245932.11	2143	0	1110	1033	0.0
ENST00000281741.9	4458	0	2445	2013	0.0
ENST00000340157.9	1674	0	1494	180	0.0
ENST00000216639.8	1564	0	1163	401	0.0
ENST00000378043.9	2111	0	1725	386	0.0
ENST00000325123.5	2655	0	1341	1314	0.0
ENST00000367244.8	1481	0	480	1001	0.0
ENST00000367876.9	5652	0	1797	3855	0.0
ENST00000262873.13	6452	0	5919	533	0.0
ENST00000359600.6	5769	0	3525	2244	0.0
ENST00000622683.5	5812	0	4432	1380	0.0
ENST00000467087.7	4905	0	2208	2697	0.0
ENST00000410059.6	5865	0	2358	3507	0.0
ENST00000263265.11	2974	0	2307	667	0.0
ENST00000550804.6	5477	0	2043	3434	0.0
