transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000678782.1		172	75	v5j_MANE_exflank_SE_75	98	1.0	98	0	0.0	-1.0	98	0	0.0	-1.0	98	0	0.0	-1.0	98	0	0.0	-1.0
ENST00000501122.4		22843	75	v5j_MANE_exflank_SE_75	22769	0.995608	250	0	0.0	-0.995608	400	0	0.0	-0.995608	500	0	0.0	-0.995608	600	0	0.0	-0.995608
ENST00000330753.6		33807	75	v5j_MANE_exflank_SE_75	33733	0.994931	250	0	0.0	-0.994931	400	0	0.0	-0.994931	500	0	0.0	-0.994931	600	0	0.0	-0.994931
ENST00000597346.1		91767	75	v5j_MANE_exflank_SE_75	91693	0.994307	250	0	0.0	-0.994307	400	0	0.0	-0.994307	500	0	0.0	-0.994307	600	0	0.0	-0.994307
ENST00000563281.2		6724	75	v5j_MANE_exflank_SE_75	6650	0.991429	250	0	0.0	-0.991429	400	0	0.0	-0.991429	500	0	0.0	-0.991429	600	0	0.0	-0.991429
ENST00000331327.5		11611	75	v5j_MANE_exflank_SE_75	11537	0.991332	250	0	0.0	-0.991332	400	0	0.0	-0.991332	500	0	0.0	-0.991332	600	0	0.0	-0.991332
ENST00000515384.2		10710	75	v5j_MANE_exflank_SE_75	10636	0.990598	250	0	0.0	-0.990598	400	0	0.0	-0.990598	500	0	0.0	-0.990598	600	0	0.0	-0.990598
ENST00000491143.3		16559	75	v5j_MANE_exflank_SE_75	16485	0.989688	250	0	0.0	-0.989688	400	0	0.0	-0.989688	500	0	0.0	-0.989688	600	0	0.0	-0.989688
ENST00000340634.6		9190	75	v5j_MANE_exflank_SE_75	9116	0.98903	250	0	0.0	-0.98903	400	0	0.0	-0.98903	500	0	0.0	-0.98903	600	0	0.0	-0.98903
ENST00000322002.5		9102	75	v5j_MANE_exflank_SE_75	9028	0.988923	250	0	0.0	-0.988923	400	0	0.0	-0.988923	500	0	0.0	-0.988923	600	0	0.0	-0.988923
ENST00000314940.7		8813	75	v5j_MANE_exflank_SE_75	8739	0.988557	250	0	0.0	-0.988557	400	0	0.0	-0.988557	500	0	0.0	-0.988557	600	0	0.0	-0.988557
ENST00000395699.5		9332	75	v5j_MANE_exflank_SE_75	9258	0.98855	250	0	0.0	-0.98855	400	0	0.0	-0.98855	500	0	0.0	-0.98855	600	0	0.0	-0.98855
ENST00000651154.1		14701	75	v5j_MANE_exflank_SE_75	14627	0.988241	250	0	0.0	-0.988241	400	0	0.0	-0.988241	500	0	0.0	-0.988241	600	0	0.0	-0.988241
ENST00000606183.4		8481	75	v5j_MANE_exflank_SE_75	8407	0.988224	250	0	0.0	-0.988224	400	0	0.0	-0.988224	500	0	0.0	-0.988224	600	0	0.0	-0.988224
ENST00000323534.5		8502	75	v5j_MANE_exflank_SE_75	8428	0.987779	250	0	0.0	-0.987779	400	0	0.0	-0.987779	500	0	0.0	-0.987779	600	0	0.0	-0.987779
ENST00000322716.8		8189	75	v5j_MANE_exflank_SE_75	8115	0.987677	250	0	0.0	-0.987677	400	0	0.0	-0.987677	500	0	0.0	-0.987677	600	0	0.0	-0.987677
ENST00000609438.2		14163	75	v5j_MANE_exflank_SE_75	14089	0.98765	250	0	0.0	-0.98765	400	0	0.0	-0.98765	500	0	0.0	-0.98765	600	0	0.0	-0.98765
ENST00000361050.4		4518	75	v5j_MANE_exflank_SE_75	4444	0.987624	250	0	0.0	-0.987624	400	0	0.0	-0.987624	500	0	0.0	-0.987624	600	0	0.0	-0.987624
ENST00000306549.6		8073	75	v5j_MANE_exflank_SE_75	7999	0.987498	250	0	0.0	-0.987498	400	0	0.0	-0.987498	500	0	0.0	-0.987498	600	0	0.0	-0.987498
ENST00000327876.5		13690	75	v5j_MANE_exflank_SE_75	13616	0.987441	250	0	0.0	-0.987441	400	0	0.0	-0.987441	500	0	0.0	-0.987441	600	0	0.0	-0.987441
ENST00000343399.5		9682	75	v5j_MANE_exflank_SE_75	9608	0.987198	250	0	0.0	-0.987198	400	0	0.0	-0.987198	500	0	0.0	-0.987198	600	0	0.0	-0.987198
ENST00000253255.7		7781	75	v5j_MANE_exflank_SE_75	7707	0.987025	250	0	0.0	-0.987025	400	0	0.0	-0.987025	500	0	0.0	-0.987025	600	0	0.0	-0.987025
ENST00000381440.5		7766	75	v5j_MANE_exflank_SE_75	7692	0.986999	250	0	0.0	-0.986999	400	0	0.0	-0.986999	500	0	0.0	-0.986999	600	0	0.0	-0.986999
ENST00000329468.5		7719	75	v5j_MANE_exflank_SE_75	7645	0.98692	250	0	0.0	-0.98692	400	0	0.0	-0.98692	500	0	0.0	-0.98692	600	0	0.0	-0.98692
ENST00000519948.4		7696	75	v5j_MANE_exflank_SE_75	7622	0.98688	250	0	0.0	-0.98688	400	0	0.0	-0.98688	500	0	0.0	-0.98688	600	0	0.0	-0.98688
ENST00000327381.7		20393	75	v5j_MANE_exflank_SE_75	20319	0.986712	250	0	0.0	-0.986712	400	0	0.0	-0.986712	500	0	0.0	-0.986712	600	0	0.0	-0.986712
ENST00000850956.1		7572	75	v5j_MANE_exflank_SE_75	7498	0.986663	250	0	0.0	-0.986663	400	0	0.0	-0.986663	500	0	0.0	-0.986663	600	0	0.0	-0.986663
ENST00000552951.7		23702	75	v5j_MANE_exflank_SE_75	23628	0.98616	250	0	0.0	-0.98616	400	0	0.0	-0.98616	500	0	0.0	-0.98616	600	0	0.0	-0.98616
ENST00000322527.4		21648	75	v5j_MANE_exflank_SE_75	21574	0.986094	250	0	0.0	-0.986094	400	0	0.0	-0.986094	500	0	0.0	-0.986094	600	0	0.0	-0.986094
ENST00000527447.2		7240	75	v5j_MANE_exflank_SE_75	7166	0.986045	250	0	0.0	-0.986045	400	0	0.0	-0.986045	500	0	0.0	-0.986045	600	0	0.0	-0.986045
ENST00000368090.5		7138	75	v5j_MANE_exflank_SE_75	7064	0.985844	250	0	0.0	-0.985844	400	0	0.0	-0.985844	500	0	0.0	-0.985844	600	0	0.0	-0.985844
ENST00000305641.7		7025	75	v5j_MANE_exflank_SE_75	6951	0.985614	250	0	0.0	-0.985614	400	0	0.0	-0.985614	500	0	0.0	-0.985614	600	0	0.0	-0.985614
ENST00000371741.6		11997	75	v5j_MANE_exflank_SE_75	11923	0.985574	250	0	0.0	-0.985574	400	0	0.0	-0.985574	500	0	0.0	-0.985574	600	0	0.0	-0.985574
ENST00000523505.3		6899	75	v5j_MANE_exflank_SE_75	6825	0.985348	250	0	0.0	-0.985348	400	0	0.0	-0.985348	500	0	0.0	-0.985348	600	0	0.0	-0.985348
ENST00000339488.9		25484	75	v5j_MANE_exflank_SE_75	25410	0.985163	250	0	0.0	-0.985163	400	0	0.0	-0.985163	500	0	0.0	-0.985163	600	0	0.0	-0.985163
ENST00000397766.4		6704	75	v5j_MANE_exflank_SE_75	6630	0.984917	250	0	0.0	-0.984917	400	0	0.0	-0.984917	500	0	0.0	-0.984917	600	0	0.0	-0.984917
ENST00000287934.4		6994	75	v5j_MANE_exflank_SE_75	6920	0.984538	250	0	0.0	-0.984538	400	0	0.0	-0.984538	500	0	0.0	-0.984538	600	0	0.0	-0.984538
ENST00000425699.3		4117	75	v5j_MANE_exflank_SE_75	4043	0.984418	250	0	0.0	-0.984418	400	0	0.0	-0.984418	500	0	0.0	-0.984418	600	0	0.0	-0.984418
ENST00000305097.6		6409	75	v5j_MANE_exflank_SE_75	6335	0.984215	250	0	0.0	-0.984215	400	0	0.0	-0.984215	500	0	0.0	-0.984215	600	0	0.0	-0.984215
ENST00000612905.2		9223	75	v5j_MANE_exflank_SE_75	9149	0.984151	250	0	0.0	-0.984151	400	0	0.0	-0.984151	500	0	0.0	-0.984151	600	0	0.0	-0.984151
ENST00000377474.4		6331	75	v5j_MANE_exflank_SE_75	6257	0.984018	250	0	0.0	-0.984018	400	0	0.0	-0.984018	500	0	0.0	-0.984018	600	0	0.0	-0.984018
ENST00000383490.3		10705	75	v5j_MANE_exflank_SE_75	10631	0.983915	250	0	0.0	-0.983915	400	0	0.0	-0.983915	500	0	0.0	-0.983915	600	0	0.0	-0.983915
ENST00000678139.2		6108	75	v5j_MANE_exflank_SE_75	6034	0.983427	250	0	0.0	-0.983427	400	0	0.0	-0.983427	500	0	0.0	-0.983427	600	0	0.0	-0.983427
ENST00000358752.4		6075	75	v5j_MANE_exflank_SE_75	6001	0.983336	250	0	0.0	-0.983336	400	0	0.0	-0.983336	500	0	0.0	-0.983336	600	0	0.0	-0.983336
ENST00000426077.3		6022	75	v5j_MANE_exflank_SE_75	5948	0.983188	250	0	0.0	-0.983188	400	0	0.0	-0.983188	500	0	0.0	-0.983188	600	0	0.0	-0.983188
ENST00000641693.1		8807	75	v5j_MANE_exflank_SE_75	8733	0.982824	250	0	0.0	-0.982824	400	0	0.0	-0.982824	500	0	0.0	-0.982824	600	0	0.0	-0.982824
ENST00000359039.5		5840	75	v5j_MANE_exflank_SE_75	5766	0.982657	250	0	0.0	-0.982657	400	0	0.0	-0.982657	500	0	0.0	-0.982657	600	0	0.0	-0.982657
ENST00000379361.5		13035	75	v5j_MANE_exflank_SE_75	12961	0.982563	250	0	0.0	-0.982563	400	0	0.0	-0.982563	500	0	0.0	-0.982563	600	0	0.0	-0.982563
ENST00000357585.4		7811	75	v5j_MANE_exflank_SE_75	7737	0.982551	250	0	0.0	-0.982551	400	0	0.0	-0.982551	500	0	0.0	-0.982551	600	0	0.0	-0.982551
