transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000370083.9	1636	0	1636	0	0.0
ENST00000330330.10	1636	0	1636	0	0.0
ENST00000622339.5	1636	0	1636	0	0.0
ENST00000328435.3	610	0	610	0	0.0
ENST00000247005.8	2430	0	2430	0	0.0
ENST00000684311.1	1737	0	1737	0	0.0
ENST00000384659.1	15	0	15	0	0.0
ENST00000337502.6	1132	0	1132	0	0.0
ENST00000369159.3	384	0	384	0	0.0
ENST00000578186.3	247	0	247	0	0.0
ENST00000331070.8	1057	0	1057	0	0.0
ENST00000250825.5	361	0	361	0	0.0
ENST00000521776.2	5380	0	5380	0	0.0
ENST00000623882.4	2430	0	2430	0	0.0
ENST00000399635.4	1166	0	1166	0	0.0
ENST00000398682.5	1316	0	1316	0	0.0
ENST00000384782.1	15	0	15	0	0.0
ENST00000384278.1	15	0	15	0	0.0
ENST00000383925.1	15	0	15	0	0.0
ENST00000323319.7	2028	0	2028	0	0.0
ENST00000682740.1	4123	0	4123	0	0.0
ENST00000615063.2	1214	0	1214	0	0.0
ENST00000330181.10	984	0	984	0	0.0
ENST00000332831.5	790	0	790	0	0.0
ENST00000335504.10	2364	0	2364	0	0.0
ENST00000615853.1	442	0	442	0	0.0
ENST00000016946.8	7119	0	7119	0	0.0
ENST00000313324.9	2071	0	2071	0	0.0
ENST00000310981.6	3597	0	3597	0	0.0
ENST00000527353.2	1162	0	1162	0	0.0
ENST00000307393.3	1246	0	1246	0	0.0
ENST00000323146.8	2517	0	2517	0	0.0
ENST00000528368.3	1204	0	1204	0	0.0
ENST00000377931.1	1698	0	1698	0	0.0
ENST00000400079.1	91	0	91	0	0.0
ENST00000457020.3	1145	0	1145	0	0.0
ENST00000682532.1	1737	0	1737	0	0.0
ENST00000540220.6	503	0	503	0	0.0
ENST00000403683.2	369	0	369	0	0.0
ENST00000514465.1	1246	0	1246	0	0.0
ENST00000602548.2	1471	0	1471	0	0.0
ENST00000314357.4	180	0	180	0	0.0
ENST00000648174.1	1246	0	1246	0	0.0
ENST00000647769.1	1246	0	1246	0	0.0
ENST00000634648.1	1471	0	1471	0	0.0
ENST00000382392.5	1057	0	1057	0	0.0
ENST00000382287.5	1057	0	1057	0	0.0
ENST00000354514.6	442	0	442	0	0.0
ENST00000369505.5	1558	0	1558	0	0.0
ENST00000622749.2	1558	0	1558	0	0.0
ENST00000355602.3	175	0	175	0	0.0
ENST00000316169.2	132	0	132	0	0.0
ENST00000335479.2	167	0	167	0	0.0
ENST00000335510.7	172	0	172	0	0.0
ENST00000251303.11	984	0	984	0	0.0
ENST00000579512.3	247	0	247	0	0.0
ENST00000408930.7	1279	0	1279	0	0.0
ENST00000651045.3	2751	0	2751	0	0.0
ENST00000575125.6	2751	0	2751	0	0.0
ENST00000617224.3	203	0	203	0	0.0
ENST00000445148.2	412	0	412	0	0.0
ENST00000624207.2	1760	0	1760	0	0.0
ENST00000638483.1	448	0	448	0	0.0
ENST00000375616.6	315	0	315	0	0.0
ENST00000561509.3	1313	0	1313	0	0.0
ENST00000381394.9	625	0	625	0	0.0
ENST00000596480.6	1132	0	1132	0	0.0
ENST00000416841.8	3608	0	3608	0	0.0
ENST00000430448.3	1149	0	1149	0	0.0
ENST00000417256.3	1149	0	1149	0	0.0
ENST00000457977.3	1149	0	1149	0	0.0
ENST00000439466.3	1149	0	1149	0	0.0
ENST00000415858.3	1149	0	1149	0	0.0
ENST00000441330.3	1149	0	1149	0	0.0
ENST00000458218.3	1149	0	1149	0	0.0
ENST00000382689.8	345	0	345	0	0.0
