transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000678782.1		172	75	v5m_MANE_exflank_PE_75	98	1.0	98	0	0.0	-1.0	98	0	0.0	-1.0	98	0	0.0	-1.0	98	0	0.0	-1.0
ENST00000501122.4		22843	75	v5m_MANE_exflank_PE_75	22769	0.99552	250	0	0.0	-0.99552	400	0	0.0	-0.99552	500	0	0.0	-0.99552	600	0	0.0	-0.99552
ENST00000330753.6		33807	75	v5m_MANE_exflank_PE_75	33733	0.994486	250	0	0.0	-0.994486	400	0	0.0	-0.994486	500	0	0.0	-0.994486	600	0	0.0	-0.994486
ENST00000597346.1		91767	75	v5m_MANE_exflank_PE_75	91693	0.994285	250	0	0.0	-0.994285	400	0	0.0	-0.994285	500	0	0.0	-0.994285	600	0	0.0	-0.994285
ENST00000331327.5		11611	75	v5m_MANE_exflank_PE_75	11537	0.991159	250	0	0.0	-0.991159	400	0	0.0	-0.991159	500	0	0.0	-0.991159	600	0	0.0	-0.991159
ENST00000563281.2		6724	75	v5m_MANE_exflank_PE_75	6650	0.990977	250	0	0.0	-0.990977	400	0	0.0	-0.990977	500	0	0.0	-0.990977	600	0	0.0	-0.990977
ENST00000515384.2		10710	75	v5m_MANE_exflank_PE_75	10636	0.99041	250	0	0.0	-0.99041	400	0	0.0	-0.99041	500	0	0.0	-0.99041	600	0	0.0	-0.99041
ENST00000340634.6		9190	75	v5m_MANE_exflank_PE_75	9116	0.988811	250	0	0.0	-0.988811	400	0	0.0	-0.988811	500	0	0.0	-0.988811	600	0	0.0	-0.988811
ENST00000322002.5		9102	75	v5m_MANE_exflank_PE_75	9028	0.988702	250	0	0.0	-0.988702	400	0	0.0	-0.988702	500	0	0.0	-0.988702	600	0	0.0	-0.988702
ENST00000491143.3		16559	75	v5m_MANE_exflank_PE_75	16485	0.988656	250	0	0.0	-0.988656	400	0	0.0	-0.988656	500	0	0.0	-0.988656	600	0	0.0	-0.988656
ENST00000395699.5		9332	75	v5m_MANE_exflank_PE_75	9258	0.988334	250	0	0.0	-0.988334	400	0	0.0	-0.988334	500	0	0.0	-0.988334	600	0	0.0	-0.988334
ENST00000314940.7		8813	75	v5m_MANE_exflank_PE_75	8739	0.988328	250	0	0.0	-0.988328	400	0	0.0	-0.988328	500	0	0.0	-0.988328	600	0	0.0	-0.988328
ENST00000606183.4		8481	75	v5m_MANE_exflank_PE_75	8407	0.987867	250	0	0.0	-0.987867	400	0	0.0	-0.987867	500	0	0.0	-0.987867	600	0	0.0	-0.987867
ENST00000361050.4		4518	75	v5m_MANE_exflank_PE_75	4444	0.987849	250	0	0.0	-0.987849	400	0	0.0	-0.987849	500	0	0.0	-0.987849	600	0	0.0	-0.987849
ENST00000323534.5		8502	75	v5m_MANE_exflank_PE_75	8428	0.987542	250	0	0.0	-0.987542	400	0	0.0	-0.987542	500	0	0.0	-0.987542	600	0	0.0	-0.987542
ENST00000322716.8		8189	75	v5m_MANE_exflank_PE_75	8115	0.987431	250	0	0.0	-0.987431	400	0	0.0	-0.987431	500	0	0.0	-0.987431	600	0	0.0	-0.987431
ENST00000306549.6		8073	75	v5m_MANE_exflank_PE_75	7999	0.987248	250	0	0.0	-0.987248	400	0	0.0	-0.987248	500	0	0.0	-0.987248	600	0	0.0	-0.987248
ENST00000651154.1		14701	75	v5m_MANE_exflank_PE_75	14627	0.98701	250	0	0.0	-0.98701	400	0	0.0	-0.98701	500	0	0.0	-0.98701	600	0	0.0	-0.98701
