transcript_id	n_positions	n_unique_back	n_multi_back	n_unmapped	uniqueness_factor
ENST00000318602.12	4511	0	4392	119	0.0
ENST00000268251.13	4680	0	1470	3210	0.0
ENST00000302538.10	5296	0	2547	2749	0.0
ENST00000333167.13	1600	0	1242	358	0.0
ENST00000616317.5	9914	0	7119	2795	0.0
ENST00000370841.9	2162	0	1233	929	0.0
ENST00000356839.10	2085	0	1935	150	0.0
ENST00000265838.9	1438	0	1251	187	0.0
ENST00000447966.7	3787	0	1554	2233	0.0
ENST00000352035.7	4194	0	3335	859	0.0
ENST00000336375.10	3075	0	1128	1947	0.0
ENST00000533904.6	1837	0	765	1072	0.0
ENST00000224784.10	1250	0	1101	149	0.0
ENST00000252699.7	4891	0	2790	2101	0.0
ENST00000394419.9	3623	0	2712	911	0.0
ENST00000257963.9	4432	0	1485	2947	0.0
ENST00000388922.9	4078	0	1479	2599	0.0
ENST00000394666.9	783	0	267	516	0.0
ENST00000372874.9	1397	0	1059	338	0.0
ENST00000445355.8	3160	0	2442	718	0.0
ENST00000368474.9	6511	0	3648	2863	0.0
ENST00000348831.9	6803	0	2123	4680	0.0
ENST00000338316.9	6546	0	3243	3303	0.0
ENST00000679454.1	4851	0	3402	1449	0.0
ENST00000462833.6	6544	0	3753	2791	0.0
ENST00000673801.1	6172	0	3210	2962	0.0
ENST00000286355.10	4322	0	3723	599	0.0
ENST00000304166.9	6540	0	1374	5166	0.0
ENST00000683351.1	4041	0	2367	1674	0.0
ENST00000356080.9	4314	0	2088	2226	0.0
ENST00000539909.6	1893	0	1056	837	0.0
ENST00000366535.4	2456	0	1338	1118	0.0
ENST00000354293.10	3258	0	2835	423	0.0
ENST00000448903.7	4488	0	2787	1701	0.0
ENST00000357586.7	4066	0	2817	1249	0.0
ENST00000610402.5	5601	0	2823	2778	0.0
ENST00000327141.9	1699	0	561	1138	0.0
ENST00000335847.9	1819	0	717	1102	0.0
ENST00000375076.9	1321	0	1180	141	0.0
ENST00000361915.8	6992	0	4566	2426	0.0
ENST00000411641.7	1475	0	1071	404	0.0
ENST00000672715.1	5871	0	687	5184	0.0
ENST00000392038.7	5151	0	1413	3738	0.0
ENST00000484952.6	2276	0	1911	365	0.0
ENST00000306107.9	4602	0	1719	2883	0.0
ENST00000308666.4	6191	0	2190	4001	0.0
ENST00000374391.7	2420	0	1992	428	0.0
ENST00000380714.7	694	0	543	151	0.0
ENST00000290649.10	3508	0	1899	1609	0.0
ENST00000257863.9	1902	0	1689	213	0.0
ENST00000396553.7	4090	0	2276	1814	0.0
ENST00000316724.10	2388	0	1749	639	0.0
ENST00000273588.9	1898	0	1169	729	0.0
ENST00000517746.6	4131	0	1464	2667	0.0
ENST00000289734.13	8193	0	5610	2583	0.0
ENST00000357077.9	14116	0	6858	7258	0.0
ENST00000354546.10	2790	0	1989	801	0.0
ENST00000372921.10	2344	0	1368	976	0.0
ENST00000617537.5	2286	0	1915	371	0.0
ENST00000374700.7	4829	0	3984	845	0.0
ENST00000265381.7	6498	0	2481	4017	0.0
ENST00000683413.1	3842	0	2217	1625	0.0
ENST00000609360.6	2567	0	2100	467	0.0
ENST00000257430.9	10605	0	8499	2106	0.0
ENST00000296456.10	2780	0	2166	614	0.0
ENST00000221891.9	2271	0	1923	348	0.0
