target_id	length	eff_length	est_counts	tpm
ENST00000263100.8	3382	3231.9	1339	9.75058
ENST00000318602.12	4610	4459.9	16456	86.8374
ENST00000307719.9	1799	1648.9	1634	23.322
ENST00000286479.4	1285	1134.9	724	15.0138
ENST00000393078.5	1576	1425.9	1123	18.5353
ENST00000232892.12	1563	1412.9	2051	34.1635
ENST00000248450.9	1760	1609.9	2315	33.8423
ENST00000392492.8	971	820.896	1085	31.1063
ENST00000261772.13	3437	3286.9	4814	34.4689
ENST00000268251.13	4779	4628.9	13840	70.3665
ENST00000374736.8	10408	10257.9	6637	15.2272
ENST00000341511.11	8103	7952.9	28750	85.0785
ENST00000301732.10	6602	6451.9	4966	18.1145
ENST00000373394.8	4592	4441.9	10238	54.2443
ENST00000326195.13	3405	3254.9	4664	33.7232
ENST00000370225.4	7328	7177.9	13124	43.0305
ENST00000318560.6	5578	5427.9	6529	28.3089
ENST00000360937.9	2609	2458.9	4271	40.8787
ENST00000502732.6	12217	12066.9	30313	59.1208
ENST00000644422.3	6478	6327.9	916	3.40677
ENST00000302538.10	5395	5244.9	29845	133.919
ENST00000333167.13	1699	1548.9	4280	65.0322
ENST00000616317.5	10013	9862.9	92768	221.361
ENST00000338432.12	9368	9217.9	74024	188.994
ENST00000233710.4	2515	2364.9	2946	29.3176
ENST00000370841.9	2261	2110.9	5013	55.8905
ENST00000242592.9	1859	1708.9	2121	29.21
ENST00000358776.7	5848	5697.9	1994	8.23603
ENST00000356839.10	2184	2033.9	15266	176.646
ENST00000265838.9	1537	1386.9	4814	81.6901
ENST00000367048.5	1520	1369.9	2133.3	36.6498
ENST00000225823.7	3750	3599.9	2497	16.3243
ENST00000447966.7	3886	3735.9	11097	69.9066
ENST00000241069.11	2172	2021.9	8499	98.9273
ENST00000352035.7	4293	4142.9	12892	73.2358
ENST00000309951.8	7443	7292.9	5066	16.3483
ENST00000216139.10	1430	1279.9	1117	20.5393
ENST00000216254.9	2734	2583.9	2181.24	19.8672
ENST00000293217.10	7317	7166.9	8373	27.4952
ENST00000272065.10	1474	1323.9	827	14.7014
ENST00000672073.1	2111	1960.9	5841	70.1035
ENST00000648477.1	1381	1230.9	829	15.8504
ENST00000336375.10	3174	3023.9	5057	39.358
ENST00000533904.6	1936	1785.9	2164	28.5173
ENST00000366684.7	1491	1340.9	985	17.2881
ENST00000224784.10	1349	1198.9	3508	68.8629
ENST00000646664.1	1812	1661.9	979	13.8639
ENST00000290378.6	1382	1231.9	2379	45.4493
ENST00000573283.7	1919	1768.9	979	13.0253
ENST00000345517.8	1501	1350.9	1835	31.9684
ENST00000252699.7	4990	4839.9	17959	87.328
ENST00000429709.7	1854	1703.9	2156	29.7792
ENST00000394419.9	3722	3571.9	56068	369.423
ENST00000366578.6	4872	4721.9	5072	25.2796
ENST00000513398.2	2882	2731.9	5086	43.8147
ENST00000434821.7	3332	3181.9	1381	10.2144
ENST00000257963.9	4531	4380.9	14978	80.4634
ENST00000241416.12	5214	5063.9	2462	11.4422
ENST00000352511.5	11782	11631.9	7070	14.3046
ENST00000388922.9	4177	4026.9	7568	44.2301
ENST00000636358.2	1422	1271.9	4922	91.0746
ENST00000238618.8	580	430.548	392	21.4275
ENST00000394666.9	882	731.896	779	25.0493
