transcript_id	gene_symbol	transcript_len	read_len	label	n_positions	uf_overall	n_sim_3p250	n_unique_3p250	uf_3p250	delta_3p250	n_sim_3p400	n_unique_3p400	uf_3p400	delta_3p400	n_sim_3p500	n_unique_3p500	uf_3p500	delta_3p500	n_sim_3p600	n_unique_3p600	uf_3p600	delta_3p600
ENST00000678782.1		172	100	v5k_MANE_exflank_SE_100	73	1.0	73	0	0.0	-1.0	73	0	0.0	-1.0	73	0	0.0	-1.0	73	0	0.0	-1.0
ENST00000683730.1		190	100	v5k_MANE_exflank_SE_100	91	1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0
ENST00000683890.1		190	100	v5k_MANE_exflank_SE_100	91	1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0	91	0	0.0	-1.0
ENST00000684204.1		184	100	v5k_MANE_exflank_SE_100	85	1.0	85	0	0.0	-1.0	85	0	0.0	-1.0	85	0	0.0	-1.0	85	0	0.0	-1.0
ENST00000597346.1		91767	100	v5k_MANE_exflank_SE_100	91668	0.997404	250	0	0.0	-0.997404	400	0	0.0	-0.997404	500	0	0.0	-0.997404	600	0	0.0	-0.997404
ENST00000501122.4		22843	100	v5k_MANE_exflank_SE_100	22744	0.995603	250	0	0.0	-0.995603	400	0	0.0	-0.995603	500	0	0.0	-0.995603	600	0	0.0	-0.995603
ENST00000330753.6		33782	100	v5k_MANE_exflank_SE_100	33683	0.994983	250	0	0.0	-0.994983	400	0	0.0	-0.994983	500	0	0.0	-0.994983	600	0	0.0	-0.994983
ENST00000588001.2		1117	100	v5k_MANE_exflank_SE_100	1018	0.993124	250	0	0.0	-0.993124	400	0	0.0	-0.993124	500	0	0.0	-0.993124	600	0	0.0	-0.993124
ENST00000331327.5		11611	100	v5k_MANE_exflank_SE_100	11512	0.991313	250	0	0.0	-0.991313	400	0	0.0	-0.991313	500	0	0.0	-0.991313	600	0	0.0	-0.991313
ENST00000515384.2		10710	100	v5k_MANE_exflank_SE_100	10611	0.990576	250	0	0.0	-0.990576	400	0	0.0	-0.990576	500	0	0.0	-0.990576	600	0	0.0	-0.990576
ENST00000491143.3		16534	100	v5k_MANE_exflank_SE_100	16435	0.989656	250	0	0.0	-0.989656	400	0	0.0	-0.989656	500	0	0.0	-0.989656	600	0	0.0	-0.989656
ENST00000395699.5		9332	100	v5k_MANE_exflank_SE_100	9233	0.989169	250	0	0.0	-0.989169	400	0	0.0	-0.989169	500	0	0.0	-0.989169	600	0	0.0	-0.989169
ENST00000340634.6		9190	100	v5k_MANE_exflank_SE_100	9091	0.989	250	0	0.0	-0.989	400	0	0.0	-0.989	500	0	0.0	-0.989	600	0	0.0	-0.989
ENST00000322002.5		9102	100	v5k_MANE_exflank_SE_100	9003	0.988893	250	0	0.0	-0.988893	400	0	0.0	-0.988893	500	0	0.0	-0.988893	600	0	0.0	-0.988893
ENST00000314940.7		8813	100	v5k_MANE_exflank_SE_100	8714	0.988524	250	0	0.0	-0.988524	400	0	0.0	-0.988524	500	0	0.0	-0.988524	600	0	0.0	-0.988524
ENST00000322527.4		21573	100	v5k_MANE_exflank_SE_100	21474	0.988358	250	0	0.0	-0.988358	400	0	0.0	-0.988358	500	0	0.0	-0.988358	600	0	0.0	-0.988358
ENST00000651154.1		14676	100	v5k_MANE_exflank_SE_100	14577	0.988201	250	0	0.0	-0.988201	400	0	0.0	-0.988201	500	0	0.0	-0.988201	600	0	0.0	-0.988201
ENST00000323534.5		8502	100	v5k_MANE_exflank_SE_100	8403	0.988099	250	0	0.0	-0.988099	400	0	0.0	-0.988099	500	0	0.0	-0.988099	600	0	0.0	-0.988099
ENST00000327381.7		20343	100	v5k_MANE_exflank_SE_100	20244	0.988095	250	0	0.0	-0.988095	400	0	0.0	-0.988095	500	0	0.0	-0.988095	600	0	0.0	-0.988095
ENST00000606183.4		8481	100	v5k_MANE_exflank_SE_100	8382	0.98807	250	0	0.0	-0.98807	400	0	0.0	-0.98807	500	0	0.0	-0.98807	600	0	0.0	-0.98807
ENST00000609438.2		14138	100	v5k_MANE_exflank_SE_100	14039	0.987962	250	0	0.0	-0.987962	400	0	0.0	-0.987962	500	0	0.0	-0.987962	600	0	0.0	-0.987962
ENST00000269856.5		9640	100	v5k_MANE_exflank_SE_100	9541	0.987842	250	0	0.0	-0.987842	400	0	0.0	-0.987842	500	0	0.0	-0.987842	600	0	0.0	-0.987842
ENST00000322716.8		8189	100	v5k_MANE_exflank_SE_100	8090	0.987639	250	0	0.0	-0.987639	400	0	0.0	-0.987639	500	0	0.0	-0.987639	600	0	0.0	-0.987639
ENST00000563281.2		6724	100	v5k_MANE_exflank_SE_100	6625	0.987623	250	0	0.0	-0.987623	400	0	0.0	-0.987623	500	0	0.0	-0.987623	600	0	0.0	-0.987623
ENST00000306549.6		8073	100	v5k_MANE_exflank_SE_100	7974	0.987459	250	0	0.0	-0.987459	400	0	0.0	-0.987459	500	0	0.0	-0.987459	600	0	0.0	-0.987459
